entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
entity identifier,2011-01-01,2011-12-31,ID_16,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8vcGRmcy8yNDA0MTAxODtBcFM3ODAyOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8veGJybHMvWC1GRTc1MDRFMC0yMDEzMDUwN18wOTIyMDdfOTMw.xml,"Maribo, 4930",Vestergade 3,"4930, Maribo",Sdr. Boulevard 38,"Maribo, 4930",C. E. Christiansens Vej 56,Til kapitalejerne i Bangs Have Selskabet af 1911 ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1911-07-11,2013-04-16,54 78 13 02,187360.0,24041018.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Bangs Have Selskabet af 1911 ApS.,"Vi har revideret Ã¥rsregnskabet for Bangs Have Selskabet af 1911 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Flemming Boye,Ib Frederiksen,Lollands Bank,Bangs Have Selskabet af 1911 ApS,"aage maagensen, statsautoriseret revisionsaktieselskab",-9385.0,177975.0,177975.0,2012-12-31,2012-01-01,2013-03-21,Maribo,54 78 16 00,urn:ofk:oid:16577119,indberetninger-20180424,2.5118406,24041018.0,,2018-04-01T14:31:17.387Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-16.375,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_18,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8vcGRmcy8yNDA0MTAxODtBcFM3ODAyOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8veGJybHMvWC1GRTc1MDRFMC0yMDEzMDUwN18wOTIyMDdfOTMw.xml,"Maribo, 4930",Vestergade 3,"4930, Maribo",Sdr. Boulevard 38,"Maribo, 4930",C. E. Christiansens Vej 56,Til kapitalejerne i Bangs Have Selskabet af 1911 ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1911-07-11,2013-04-16,54 78 13 02,,24041018.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Bangs Have Selskabet af 1911 ApS.,"Vi har revideret Ã¥rsregnskabet for Bangs Have Selskabet af 1911 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Flemming Boye,Ib Frederiksen,Lollands Bank,Bangs Have Selskabet af 1911 ApS,"aage maagensen, statsautoriseret revisionsaktieselskab",,-177975.0,,2012-12-31,2012-01-01,2013-03-21,Maribo,54 78 16 00,urn:ofk:oid:16577119,indberetninger-20180424,2.5118406,24041018.0,,2018-04-01T14:31:17.387Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-16.375,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_20,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8vcGRmcy8yNDA0MTAxODtBcFM3ODAyOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8veGJybHMvWC1GRTc1MDRFMC0yMDEzMDUwN18wOTIyMDdfOTMw.xml,"Maribo, 4930",Vestergade 3,"4930, Maribo",Sdr. Boulevard 38,"Maribo, 4930",C. E. Christiansens Vej 56,Til kapitalejerne i Bangs Have Selskabet af 1911 ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1911-07-11,2013-04-16,54 78 13 02,,24041018.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Bangs Have Selskabet af 1911 ApS.,"Vi har revideret Ã¥rsregnskabet for Bangs Have Selskabet af 1911 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Flemming Boye,Ib Frederiksen,Lollands Bank,Bangs Have Selskabet af 1911 ApS,"aage maagensen, statsautoriseret revisionsaktieselskab",,-177975.0,,2012-12-31,2012-01-01,2013-03-21,Maribo,54 78 16 00,urn:ofk:oid:16577119,indberetninger-20180424,2.5118406,24041018.0,,2018-04-01T14:31:17.387Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-16.375,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_22,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8vcGRmcy8yNDA0MTAxODtBcFM3ODAyOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8veGJybHMvWC1GRTc1MDRFMC0yMDEzMDUwN18wOTIyMDdfOTMw.xml,"Maribo, 4930",Vestergade 3,"4930, Maribo",Sdr. Boulevard 38,"Maribo, 4930",C. E. Christiansens Vej 56,Til kapitalejerne i Bangs Have Selskabet af 1911 ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1911-07-11,2013-04-16,54 78 13 02,,24041018.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Bangs Have Selskabet af 1911 ApS.,"Vi har revideret Ã¥rsregnskabet for Bangs Have Selskabet af 1911 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Flemming Boye,Ib Frederiksen,Lollands Bank,Bangs Have Selskabet af 1911 ApS,"aage maagensen, statsautoriseret revisionsaktieselskab",,,,2012-12-31,2012-01-01,2013-03-21,Maribo,54 78 16 00,urn:ofk:oid:16577119,indberetninger-20180424,2.5118406,24041018.0,,2018-04-01T14:31:17.387Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-16.375,2013-05-07T22:00:00.000Z,448863.0,29824.0,-200000.0,448863.0,-448863.0,-448863.0,0.0,419039.0,0.0,-248863.0,0.0,419039.0,0.0,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8vcGRmcy8yNDA0MTAxODtBcFM3ODAyOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8veGJybHMvWC1GRTc1MDRFMC0yMDEzMDUwN18wOTIyMDdfOTMw.xml,"Maribo, 4930",Vestergade 3,"4930, Maribo",Sdr. Boulevard 38,"Maribo, 4930",C. E. Christiansens Vej 56,Til kapitalejerne i Bangs Have Selskabet af 1911 ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1911-07-11,2013-04-16,54 78 13 02,,24041018.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Bangs Have Selskabet af 1911 ApS.,"Vi har revideret Ã¥rsregnskabet for Bangs Have Selskabet af 1911 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Flemming Boye,Ib Frederiksen,Lollands Bank,Bangs Have Selskabet af 1911 ApS,"aage maagensen, statsautoriseret revisionsaktieselskab",,,,2012-12-31,2012-01-01,2013-03-21,Maribo,54 78 16 00,urn:ofk:oid:16577119,indberetninger-20180424,2.5118406,24041018.0,,2018-04-01T14:31:17.387Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-16.375,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8vcGRmcy8yNDA0MTAxODtBcFM3ODAyOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8veGJybHMvWC1GRTc1MDRFMC0yMDEzMDUwN18wOTIyMDdfOTMw.xml,"Maribo, 4930",Vestergade 3,"4930, Maribo",Sdr. Boulevard 38,"Maribo, 4930",C. E. Christiansens Vej 56,Til kapitalejerne i Bangs Have Selskabet af 1911 ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1911-07-11,2013-04-16,54 78 13 02,,24041018.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Bangs Have Selskabet af 1911 ApS.,"Vi har revideret Ã¥rsregnskabet for Bangs Have Selskabet af 1911 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Flemming Boye,Ib Frederiksen,Lollands Bank,Bangs Have Selskabet af 1911 ApS,"aage maagensen, statsautoriseret revisionsaktieselskab",,,,2012-12-31,2012-01-01,2013-03-21,Maribo,54 78 16 00,urn:ofk:oid:16577119,indberetninger-20180424,2.5118406,24041018.0,,2018-04-01T14:31:17.387Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-16.375,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8vcGRmcy8yNDA0MTAxODtBcFM3ODAyOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8veGJybHMvWC1GRTc1MDRFMC0yMDEzMDUwN18wOTIyMDdfOTMw.xml,"Maribo, 4930",Vestergade 3,"4930, Maribo",Sdr. Boulevard 38,"Maribo, 4930",C. E. Christiansens Vej 56,Til kapitalejerne i Bangs Have Selskabet af 1911 ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1911-07-11,2013-04-16,54 78 13 02,,24041018.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Bangs Have Selskabet af 1911 ApS.,"Vi har revideret Ã¥rsregnskabet for Bangs Have Selskabet af 1911 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Flemming Boye,Ib Frederiksen,Lollands Bank,Bangs Have Selskabet af 1911 ApS,"aage maagensen, statsautoriseret revisionsaktieselskab",,,,2012-12-31,2012-01-01,2013-03-21,Maribo,54 78 16 00,urn:ofk:oid:16577119,indberetninger-20180424,2.5118406,24041018.0,,2018-04-01T14:31:17.387Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-16.375,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,Statsautoriseret revisor,12901038.0,Thomas Henckel,"aage maagensen, statsautoriseret revisionsaktieselskab",,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8vcGRmcy8yNDA0MTAxODtBcFM3ODAyOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8veGJybHMvWC1GRTc1MDRFMC0yMDEzMDUwN18wOTIyMDdfOTMw.xml,"Maribo, 4930",Vestergade 3,"4930, Maribo",Sdr. Boulevard 38,"Maribo, 4930",C. E. Christiansens Vej 56,Til kapitalejerne i Bangs Have Selskabet af 1911 ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1911-07-11,2013-04-16,54 78 13 02,,24041018.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Bangs Have Selskabet af 1911 ApS.,"Vi har revideret Ã¥rsregnskabet for Bangs Have Selskabet af 1911 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Flemming Boye,Ib Frederiksen,Lollands Bank,Bangs Have Selskabet af 1911 ApS,"aage maagensen, statsautoriseret revisionsaktieselskab",,,,2012-12-31,2012-01-01,2013-03-21,Maribo,54 78 16 00,urn:ofk:oid:16577119,indberetninger-20180424,2.5118406,24041018.0,,2018-04-01T14:31:17.387Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-16.375,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,Registreret revisor,12901038.0,Knud  Engberg,"aage maagensen, statsautoriseret revisionsaktieselskab",,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8vcGRmcy8yNDA0MTAxODtBcFM3ODAyOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8veGJybHMvWC1GRTc1MDRFMC0yMDEzMDUwN18wOTIyMDdfOTMw.xml,"Maribo, 4930",Vestergade 3,"4930, Maribo",Sdr. Boulevard 38,"Maribo, 4930",C. E. Christiansens Vej 56,Til kapitalejerne i Bangs Have Selskabet af 1911 ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1911-07-11,2013-04-16,54 78 13 02,,24041018.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Bangs Have Selskabet af 1911 ApS.,"Vi har revideret Ã¥rsregnskabet for Bangs Have Selskabet af 1911 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Flemming Boye,Ib Frederiksen,Lollands Bank,Bangs Have Selskabet af 1911 ApS,"aage maagensen, statsautoriseret revisionsaktieselskab",,,,2012-12-31,2012-01-01,2013-03-21,Maribo,54 78 16 00,urn:ofk:oid:16577119,indberetninger-20180424,2.5118406,24041018.0,,2018-04-01T14:31:17.387Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-16.375,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8vcGRmcy8yNDA0MTAxODtBcFM3ODAyOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/81014042/Y3ZyLmRrOi8veGJybHMvWC1GRTc1MDRFMC0yMDEzMDUwN18wOTIyMDdfOTMw.xml,"Maribo, 4930",Vestergade 3,"4930, Maribo",Sdr. Boulevard 38,"Maribo, 4930",C. E. Christiansens Vej 56,Til kapitalejerne i Bangs Have Selskabet af 1911 ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",1911-07-11,2013-04-16,54 78 13 02,,24041018.0,12901038.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Bangs Have Selskabet af 1911 ApS.,"Vi har revideret Ã¥rsregnskabet for Bangs Have Selskabet af 1911 ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Flemming Boye,Ib Frederiksen,Lollands Bank,Bangs Have Selskabet af 1911 ApS,"aage maagensen, statsautoriseret revisionsaktieselskab",,,,2012-12-31,2012-01-01,2013-03-21,Maribo,54 78 16 00,urn:ofk:oid:16577119,indberetninger-20180424,2.5118406,24041018.0,,2018-04-01T14:31:17.387Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-16.375,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
