entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AdditionsToIntangibleAssets,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AmortisationOfIntangibleAssets,ClassOfReportingEntity,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfSupervisoryBoard,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CompletedDevelopmentProjects,ContributedCapital,ConvertibleProfitYieldingOrDividendYieldingLongtermDebtInstruments,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,IntangibleAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermEquityLoan,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,NumberOfEmployees,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,ReserveForDevelopmentExpenditure,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsOfWorkInProgress,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance,NameAndSurnameOfMemberOfSupervisoryBoard
30720377,2015-07-01,2016-06-30,c347,,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQ3L2U1LzAxLzc4NjQtNDg0OC1hNWZlLWQzNTY2ZDc2NTZjYg.pdf,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFjLzM0LzcwLzI5ODYtNGRmMS1hMmQ0LWIzZTAwNWZiNGE5Mw.xml,false,9540915.0,Aarhus C,8000.0,29.0,Kystvejen,Ãrhus C,8000.0,12.0,Store Torv,8200 Ãrhus N,Olof Palmes Alle 40,DK-8000 Aarhus C,Kystvejen 29,972000.0,-22731.0,7103580.0,Regnskabsklasse B,-2049693.0,2017-11-08,2007-07-01,2017-11-15,6842471.0,80069.0,Statsautoriseret revisor,3943374.0,7442993.0,20222670.0,30720377.0,20222670.0,Ãrsrapport,0.0,Niels BalshÃ¸j,Freddy Engel,Karsten Ries,Sydbank,Develco Products A/S,BDO Statsautoriseret revisionsaktieselskab,1640557.0,78033.0,1640557.0,Ãrhus,1421389.0,2015-07-01,2016-06-30,-3804952.0,-4905376.0,-3342852.0,Ãrhus,2017-06-30,2016-07-01,true,2017-11-08,Aarhus,140160.0,-1100424.0,Formand,2381825.0,urn:ofk:oid:24745774,indberetninger-20180424,2.5095992000000003,30720377.0,,2018-03-27T20:29:47.656Z,2017-11-28T09:33:41.436Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BH-50-GD,2017-11-28T09:33:41.970Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30720377,2015-07-01,2016-06-30,c368,,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQ3L2U1LzAxLzc4NjQtNDg0OC1hNWZlLWQzNTY2ZDc2NTZjYg.pdf,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFjLzM0LzcwLzI5ODYtNGRmMS1hMmQ0LWIzZTAwNWZiNGE5Mw.xml,false,9540915.0,Aarhus C,8000.0,29.0,Kystvejen,Ãrhus C,8000.0,12.0,Store Torv,8200 Ãrhus N,Olof Palmes Alle 40,DK-8000 Aarhus C,Kystvejen 29,,,7103580.0,Regnskabsklasse B,,2017-11-08,2007-07-01,2017-11-15,,80069.0,Statsautoriseret revisor,,,20222670.0,30720377.0,20222670.0,Ãrsrapport,0.0,Niels BalshÃ¸j,Freddy Engel,Karsten Ries,Sydbank,Develco Products A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Ãrhus,,2015-07-01,2016-06-30,-3804952.0,,,Ãrhus,2017-06-30,2016-07-01,true,2017-11-08,Aarhus,,,Formand,,urn:ofk:oid:24745774,indberetninger-20180424,2.5095992000000003,30720377.0,,2018-03-27T20:29:47.656Z,2017-11-28T09:33:41.436Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BH-50-GD,2017-11-28T09:33:41.970Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30720377,2016-06-30,2016-06-30,c398,,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQ3L2U1LzAxLzc4NjQtNDg0OC1hNWZlLWQzNTY2ZDc2NTZjYg.pdf,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFjLzM0LzcwLzI5ODYtNGRmMS1hMmQ0LWIzZTAwNWZiNGE5Mw.xml,false,9540915.0,Aarhus C,8000.0,29.0,Kystvejen,Ãrhus C,8000.0,12.0,Store Torv,8200 Ãrhus N,Olof Palmes Alle 40,DK-8000 Aarhus C,Kystvejen 29,,,7103580.0,Regnskabsklasse B,,2017-11-08,2007-07-01,2017-11-15,,80069.0,Statsautoriseret revisor,,,20222670.0,30720377.0,20222670.0,Ãrsrapport,0.0,Niels BalshÃ¸j,Freddy Engel,Karsten Ries,Sydbank,Develco Products A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Ãrhus,,2015-07-01,2016-06-30,,,,Ãrhus,2017-06-30,2016-07-01,true,2017-11-08,Aarhus,,,Formand,,urn:ofk:oid:24745774,indberetninger-20180424,2.5095992000000003,30720377.0,,2018-03-27T20:29:47.656Z,2017-11-28T09:33:41.436Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BH-50-GD,2017-11-28T09:33:41.970Z,34239225.0,19259302.0,40025000.0,9000000.0,876000.0,0.0,16160321.0,202046.0,19259302.0,2932453.0,34239225.0,18078904.0,0.0,66500.0,9000000.0,2161605.0,19527848.0,16.0,66500.0,1808868.0,880812.0,202046.0,770848.0,0.0,-23864679.0,1671466.0,9078904.0,1862300.0,11778924.0,4180258.0,3736270.0,5841854.0,,,,,,,,
30720377,2016-07-01,2016-07-01,c401,,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQ3L2U1LzAxLzc4NjQtNDg0OC1hNWZlLWQzNTY2ZDc2NTZjYg.pdf,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFjLzM0LzcwLzI5ODYtNGRmMS1hMmQ0LWIzZTAwNWZiNGE5Mw.xml,false,9540915.0,Aarhus C,8000.0,29.0,Kystvejen,Ãrhus C,8000.0,12.0,Store Torv,8200 Ãrhus N,Olof Palmes Alle 40,DK-8000 Aarhus C,Kystvejen 29,,,7103580.0,Regnskabsklasse B,,2017-11-08,2007-07-01,2017-11-15,,80069.0,Statsautoriseret revisor,,,20222670.0,30720377.0,20222670.0,Ãrsrapport,0.0,Niels BalshÃ¸j,Freddy Engel,Karsten Ries,Sydbank,Develco Products A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Ãrhus,,2015-07-01,2016-06-30,,,,Ãrhus,2017-06-30,2016-07-01,true,2017-11-08,Aarhus,,,Formand,,urn:ofk:oid:24745774,indberetninger-20180424,2.5095992000000003,30720377.0,,2018-03-27T20:29:47.656Z,2017-11-28T09:33:41.436Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BH-50-GD,2017-11-28T09:33:41.970Z,,,,,,,40025000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30720377,2016-07-01,2016-07-01,c421,,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQ3L2U1LzAxLzc4NjQtNDg0OC1hNWZlLWQzNTY2ZDc2NTZjYg.pdf,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFjLzM0LzcwLzI5ODYtNGRmMS1hMmQ0LWIzZTAwNWZiNGE5Mw.xml,false,9540915.0,Aarhus C,8000.0,29.0,Kystvejen,Ãrhus C,8000.0,12.0,Store Torv,8200 Ãrhus N,Olof Palmes Alle 40,DK-8000 Aarhus C,Kystvejen 29,,,7103580.0,Regnskabsklasse B,,2017-11-08,2007-07-01,2017-11-15,,80069.0,Statsautoriseret revisor,,,20222670.0,30720377.0,20222670.0,Ãrsrapport,0.0,Niels BalshÃ¸j,Freddy Engel,Karsten Ries,Sydbank,Develco Products A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Ãrhus,,2015-07-01,2016-06-30,,,,Ãrhus,2017-06-30,2016-07-01,true,2017-11-08,Aarhus,,,Formand,,urn:ofk:oid:24745774,indberetninger-20180424,2.5095992000000003,30720377.0,,2018-03-27T20:29:47.656Z,2017-11-28T09:33:41.436Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BH-50-GD,2017-11-28T09:33:41.970Z,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30720377,2016-07-01,2016-07-01,c428,,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQ3L2U1LzAxLzc4NjQtNDg0OC1hNWZlLWQzNTY2ZDc2NTZjYg.pdf,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFjLzM0LzcwLzI5ODYtNGRmMS1hMmQ0LWIzZTAwNWZiNGE5Mw.xml,false,9540915.0,Aarhus C,8000.0,29.0,Kystvejen,Ãrhus C,8000.0,12.0,Store Torv,8200 Ãrhus N,Olof Palmes Alle 40,DK-8000 Aarhus C,Kystvejen 29,,,7103580.0,Regnskabsklasse B,,2017-11-08,2007-07-01,2017-11-15,,80069.0,Statsautoriseret revisor,,,20222670.0,30720377.0,20222670.0,Ãrsrapport,0.0,Niels BalshÃ¸j,Freddy Engel,Karsten Ries,Sydbank,Develco Products A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Ãrhus,,2015-07-01,2016-06-30,,,,Ãrhus,2017-06-30,2016-07-01,true,2017-11-08,Aarhus,,,Formand,,urn:ofk:oid:24745774,indberetninger-20180424,2.5095992000000003,30720377.0,,2018-03-27T20:29:47.656Z,2017-11-28T09:33:41.436Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BH-50-GD,2017-11-28T09:33:41.970Z,,,,,,,-23864679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30720377,2016-07-01,2016-07-01,c496,,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQ3L2U1LzAxLzc4NjQtNDg0OC1hNWZlLWQzNTY2ZDc2NTZjYg.pdf,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFjLzM0LzcwLzI5ODYtNGRmMS1hMmQ0LWIzZTAwNWZiNGE5Mw.xml,false,9540915.0,Aarhus C,8000.0,29.0,Kystvejen,Ãrhus C,8000.0,12.0,Store Torv,8200 Ãrhus N,Olof Palmes Alle 40,DK-8000 Aarhus C,Kystvejen 29,,,7103580.0,Regnskabsklasse B,,2017-11-08,2007-07-01,2017-11-15,,80069.0,Statsautoriseret revisor,,,20222670.0,30720377.0,20222670.0,Ãrsrapport,0.0,Niels BalshÃ¸j,Freddy Engel,Karsten Ries,Sydbank,Develco Products A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Ãrhus,,2015-07-01,2016-06-30,,,,Ãrhus,2017-06-30,2016-07-01,true,2017-11-08,Aarhus,,,Formand,,urn:ofk:oid:24745774,indberetninger-20180424,2.5095992000000003,30720377.0,,2018-03-27T20:29:47.656Z,2017-11-28T09:33:41.436Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BH-50-GD,2017-11-28T09:33:41.970Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34427845.0,53687148.0,,,,,,
30720377,2016-07-01,2016-07-01,c628,,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQ3L2U1LzAxLzc4NjQtNDg0OC1hNWZlLWQzNTY2ZDc2NTZjYg.pdf,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFjLzM0LzcwLzI5ODYtNGRmMS1hMmQ0LWIzZTAwNWZiNGE5Mw.xml,false,9540915.0,Aarhus C,8000.0,29.0,Kystvejen,Ãrhus C,8000.0,12.0,Store Torv,8200 Ãrhus N,Olof Palmes Alle 40,DK-8000 Aarhus C,Kystvejen 29,,,7103580.0,Regnskabsklasse B,,2017-11-08,2007-07-01,2017-11-15,,80069.0,Statsautoriseret revisor,,,20222670.0,30720377.0,20222670.0,Ãrsrapport,0.0,Niels BalshÃ¸j,Freddy Engel,Karsten Ries,Sydbank,Develco Products A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Ãrhus,,2015-07-01,2016-06-30,,,,Ãrhus,2017-06-30,2016-07-01,true,2017-11-08,Aarhus,,,Formand,,urn:ofk:oid:24745774,indberetninger-20180424,2.5095992000000003,30720377.0,,2018-03-27T20:29:47.656Z,2017-11-28T09:33:41.436Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BH-50-GD,2017-11-28T09:33:41.970Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72778.0,274824.0,,,,
30720377,2016-07-01,2016-07-01,c751,,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQ3L2U1LzAxLzc4NjQtNDg0OC1hNWZlLWQzNTY2ZDc2NTZjYg.pdf,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFjLzM0LzcwLzI5ODYtNGRmMS1hMmQ0LWIzZTAwNWZiNGE5Mw.xml,false,9540915.0,Aarhus C,8000.0,29.0,Kystvejen,Ãrhus C,8000.0,12.0,Store Torv,8200 Ãrhus N,Olof Palmes Alle 40,DK-8000 Aarhus C,Kystvejen 29,,,7103580.0,Regnskabsklasse B,,2017-11-08,2007-07-01,2017-11-15,,80069.0,Statsautoriseret revisor,,,20222670.0,30720377.0,20222670.0,Ãrsrapport,0.0,Niels BalshÃ¸j,Freddy Engel,Karsten Ries,Sydbank,Develco Products A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Ãrhus,,2015-07-01,2016-06-30,,,,Ãrhus,2017-06-30,2016-07-01,true,2017-11-08,Aarhus,,,Formand,,urn:ofk:oid:24745774,indberetninger-20180424,2.5095992000000003,30720377.0,,2018-03-27T20:29:47.656Z,2017-11-28T09:33:41.436Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BH-50-GD,2017-11-28T09:33:41.970Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66500.0,,,
30720377,2016-07-01,2017-06-30,c0,,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQ3L2U1LzAxLzc4NjQtNDg0OC1hNWZlLWQzNTY2ZDc2NTZjYg.pdf,http://regnskaber.virk.dk/77302703/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFjLzM0LzcwLzI5ODYtNGRmMS1hMmQ0LWIzZTAwNWZiNGE5Mw.xml,false,9540915.0,Aarhus C,8000.0,29.0,Kystvejen,Ãrhus C,8000.0,12.0,Store Torv,8200 Ãrhus N,Olof Palmes Alle 40,DK-8000 Aarhus C,Kystvejen 29,544000.0,0.0,7103580.0,Regnskabsklasse B,-530238.0,2017-11-08,2007-07-01,2017-11-15,7183648.0,80069.0,Statsautoriseret revisor,4263769.0,13715400.0,20222670.0,30720377.0,20222670.0,Ãrsrapport,0.0,Niels BalshÃ¸j,Freddy Engel,Karsten Ries,Sydbank,Develco Products A/S,BDO Statsautoriseret revisionsaktieselskab,2397998.0,178373.0,2397998.0,Ãrhus,1156396.0,2015-07-01,2016-06-30,34596.0,48358.0,2267983.0,Ãrhus,2017-06-30,2016-07-01,true,2017-11-08,Aarhus,141610.0,13762.0,Formand,2965763.0,urn:ofk:oid:24745774,indberetninger-20180424,2.5095992000000003,30720377.0,,2018-03-27T20:29:47.656Z,2017-11-28T09:33:41.436Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BH-50-GD,2017-11-28T09:33:41.970Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning,
