entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,Assets,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LiabilitiesAndEquity,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
30174445,2013-01-01,2013-12-31,ID_11,,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2RhL2UyLzc0LzhiNGItNDkwYi1iZjkxLWFkYzM4NzBmZTg2ZA.pdf,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzMxLzZhLzRjLzJjYTItNDkxNy05M2QwLTlhNDA4MzZjM2ZmYg.xml,"HÃ¸rsholm, 2970",Hovedgaden 28,Til kapitalejerne i SpeciallÃ¦ge Duun ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-06-30,2006-12-18,2015-07-02,0.0,30174445.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for SpeciallÃ¦ge Duun ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Preben Duun,SpeciallÃ¦ge Duun ApS,"WYRWIK, Statsautoriseret Revisionsanpartsselskab","Greve, den 30. juni 2015",-98400.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2014-12-31,2014-01-01,2015-06-30,HÃ¸rsholm,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5639724,indberetninger-20180424,2.5118417999999996,30174445.0,,2018-03-30T08:25:37.078Z,2015-07-02T15:01:28.781Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AF-00-NW,2015-07-02T15:01:28.860Z,,,,,,,,,,,
30174445,2013-01-01,2013-12-31,ID_13,,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2RhL2UyLzc0LzhiNGItNDkwYi1iZjkxLWFkYzM4NzBmZTg2ZA.pdf,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzMxLzZhLzRjLzJjYTItNDkxNy05M2QwLTlhNDA4MzZjM2ZmYg.xml,"HÃ¸rsholm, 2970",Hovedgaden 28,Til kapitalejerne i SpeciallÃ¦ge Duun ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-06-30,2006-12-18,2015-07-02,0.0,30174445.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for SpeciallÃ¦ge Duun ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Preben Duun,SpeciallÃ¦ge Duun ApS,"WYRWIK, Statsautoriseret Revisionsanpartsselskab","Greve, den 30. juni 2015",-250000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2014-12-31,2014-01-01,2015-06-30,HÃ¸rsholm,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5639724,indberetninger-20180424,2.5118417999999996,30174445.0,,2018-03-30T08:25:37.078Z,2015-07-02T15:01:28.781Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AF-00-NW,2015-07-02T15:01:28.860Z,,,,,,,,,,,
30174445,2013-01-01,2013-12-31,ID_15,,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2RhL2UyLzc0LzhiNGItNDkwYi1iZjkxLWFkYzM4NzBmZTg2ZA.pdf,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzMxLzZhLzRjLzJjYTItNDkxNy05M2QwLTlhNDA4MzZjM2ZmYg.xml,"HÃ¸rsholm, 2970",Hovedgaden 28,Til kapitalejerne i SpeciallÃ¦ge Duun ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-06-30,2006-12-18,2015-07-02,0.0,30174445.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for SpeciallÃ¦ge Duun ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Preben Duun,SpeciallÃ¦ge Duun ApS,"WYRWIK, Statsautoriseret Revisionsanpartsselskab","Greve, den 30. juni 2015",-333295.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2014-12-31,2014-01-01,2015-06-30,HÃ¸rsholm,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5639724,indberetninger-20180424,2.5118417999999996,30174445.0,,2018-03-30T08:25:37.078Z,2015-07-02T15:01:28.781Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AF-00-NW,2015-07-02T15:01:28.860Z,,,,,,,,,,,
30174445,2013-01-01,2013-12-31,ID_17,,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2RhL2UyLzc0LzhiNGItNDkwYi1iZjkxLWFkYzM4NzBmZTg2ZA.pdf,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzMxLzZhLzRjLzJjYTItNDkxNy05M2QwLTlhNDA4MzZjM2ZmYg.xml,"HÃ¸rsholm, 2970",Hovedgaden 28,Til kapitalejerne i SpeciallÃ¦ge Duun ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-06-30,2006-12-18,2015-07-02,0.0,30174445.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for SpeciallÃ¦ge Duun ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Preben Duun,SpeciallÃ¦ge Duun ApS,"WYRWIK, Statsautoriseret Revisionsanpartsselskab","Greve, den 30. juni 2015",-142417.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2014-12-31,2014-01-01,2015-06-30,HÃ¸rsholm,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5639724,indberetninger-20180424,2.5118417999999996,30174445.0,,2018-03-30T08:25:37.078Z,2015-07-02T15:01:28.781Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AF-00-NW,2015-07-02T15:01:28.860Z,,,,,,,,,,,
30174445,2013-01-01,2013-12-31,ID_19,,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2RhL2UyLzc0LzhiNGItNDkwYi1iZjkxLWFkYzM4NzBmZTg2ZA.pdf,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzMxLzZhLzRjLzJjYTItNDkxNy05M2QwLTlhNDA4MzZjM2ZmYg.xml,"HÃ¸rsholm, 2970",Hovedgaden 28,Til kapitalejerne i SpeciallÃ¦ge Duun ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-06-30,2006-12-18,2015-07-02,0.0,30174445.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for SpeciallÃ¦ge Duun ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Preben Duun,SpeciallÃ¦ge Duun ApS,"WYRWIK, Statsautoriseret Revisionsanpartsselskab","Greve, den 30. juni 2015",-824112.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2014-12-31,2014-01-01,2015-06-30,HÃ¸rsholm,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5639724,indberetninger-20180424,2.5118417999999996,30174445.0,,2018-03-30T08:25:37.078Z,2015-07-02T15:01:28.781Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AF-00-NW,2015-07-02T15:01:28.860Z,,,,,,,,,,,
30174445,2013-01-01,2013-12-31,ID_9,,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2RhL2UyLzc0LzhiNGItNDkwYi1iZjkxLWFkYzM4NzBmZTg2ZA.pdf,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzMxLzZhLzRjLzJjYTItNDkxNy05M2QwLTlhNDA4MzZjM2ZmYg.xml,"HÃ¸rsholm, 2970",Hovedgaden 28,Til kapitalejerne i SpeciallÃ¦ge Duun ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-06-30,2006-12-18,2015-07-02,0.0,30174445.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for SpeciallÃ¦ge Duun ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Preben Duun,SpeciallÃ¦ge Duun ApS,"WYRWIK, Statsautoriseret Revisionsanpartsselskab","Greve, den 30. juni 2015",824112.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2014-12-31,2014-01-01,2015-06-30,HÃ¸rsholm,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5639724,indberetninger-20180424,2.5118417999999996,30174445.0,,2018-03-30T08:25:37.078Z,2015-07-02T15:01:28.781Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AF-00-NW,2015-07-02T15:01:28.860Z,58250.0,692053.0,1291157.0,433295.0,20062.0,0.0,954087.0,540854.0,129975.0,,
30174445,2014-01-01,2014-12-31,ID_0,,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2RhL2UyLzc0LzhiNGItNDkwYi1iZjkxLWFkYzM4NzBmZTg2ZA.pdf,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzMxLzZhLzRjLzJjYTItNDkxNy05M2QwLTlhNDA4MzZjM2ZmYg.xml,"HÃ¸rsholm, 2970",Hovedgaden 28,Til kapitalejerne i SpeciallÃ¦ge Duun ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-06-30,2006-12-18,2015-07-02,0.0,30174445.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for SpeciallÃ¦ge Duun ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Preben Duun,SpeciallÃ¦ge Duun ApS,"WYRWIK, Statsautoriseret Revisionsanpartsselskab","Greve, den 30. juni 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2014-12-31,2014-01-01,2015-06-30,HÃ¸rsholm,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5639724,indberetninger-20180424,2.5118417999999996,30174445.0,,2018-03-30T08:25:37.078Z,2015-07-02T15:01:28.781Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AF-00-NW,2015-07-02T15:01:28.860Z,,,,,,,,,,,
30174445,2014-01-01,2014-12-31,ID_1,,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2RhL2UyLzc0LzhiNGItNDkwYi1iZjkxLWFkYzM4NzBmZTg2ZA.pdf,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzMxLzZhLzRjLzJjYTItNDkxNy05M2QwLTlhNDA4MzZjM2ZmYg.xml,"HÃ¸rsholm, 2970",Hovedgaden 28,Til kapitalejerne i SpeciallÃ¦ge Duun ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-06-30,2006-12-18,2015-07-02,0.0,30174445.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for SpeciallÃ¦ge Duun ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Preben Duun,SpeciallÃ¦ge Duun ApS,"WYRWIK, Statsautoriseret Revisionsanpartsselskab","Greve, den 30. juni 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2014-12-31,2014-01-01,2015-06-30,HÃ¸rsholm,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5639724,indberetninger-20180424,2.5118417999999996,30174445.0,,2018-03-30T08:25:37.078Z,2015-07-02T15:01:28.781Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AF-00-NW,2015-07-02T15:01:28.860Z,,,,,,,,,,,
30174445,2014-01-01,2014-12-31,ID_10,,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2RhL2UyLzc0LzhiNGItNDkwYi1iZjkxLWFkYzM4NzBmZTg2ZA.pdf,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzMxLzZhLzRjLzJjYTItNDkxNy05M2QwLTlhNDA4MzZjM2ZmYg.xml,"HÃ¸rsholm, 2970",Hovedgaden 28,Til kapitalejerne i SpeciallÃ¦ge Duun ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-06-30,2006-12-18,2015-07-02,0.0,30174445.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for SpeciallÃ¦ge Duun ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Preben Duun,SpeciallÃ¦ge Duun ApS,"WYRWIK, Statsautoriseret Revisionsanpartsselskab","Greve, den 30. juni 2015",-99800.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2014-12-31,2014-01-01,2015-06-30,HÃ¸rsholm,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5639724,indberetninger-20180424,2.5118417999999996,30174445.0,,2018-03-30T08:25:37.078Z,2015-07-02T15:01:28.781Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AF-00-NW,2015-07-02T15:01:28.860Z,,,,,,,,,,,
30174445,2014-01-01,2014-12-31,ID_12,,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzA4L2RhL2UyLzc0LzhiNGItNDkwYi1iZjkxLWFkYzM4NzBmZTg2ZA.pdf,http://regnskaber.virk.dk/54447103/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzMxLzZhLzRjLzJjYTItNDkxNy05M2QwLTlhNDA4MzZjM2ZmYg.xml,"HÃ¸rsholm, 2970",Hovedgaden 28,Til kapitalejerne i SpeciallÃ¦ge Duun ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014.",2015-06-30,2006-12-18,2015-07-02,0.0,30174445.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2014 - 31. december 2014 for SpeciallÃ¦ge Duun ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Preben Duun,SpeciallÃ¦ge Duun ApS,"WYRWIK, Statsautoriseret Revisionsanpartsselskab","Greve, den 30. juni 2015",0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"253, Greve",2014-12-31,2014-01-01,2015-06-30,HÃ¸rsholm,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:5639724,indberetninger-20180424,2.5118417999999996,30174445.0,,2018-03-30T08:25:37.078Z,2015-07-02T15:01:28.781Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AF-00-NW,2015-07-02T15:01:28.860Z,,,,,,,,,,,
