entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermInvestments,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherReserves,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividend,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables
26463904,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzQyLzE3LzUxLzMyZDEtNGQ5MS04MTIwLTlmMzMyMTRmYzMyMg.xhtml,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2VkL2Y1L2EwLzAwNDYtNGJmNi1iNDZlLTUzZTMwMWJhNzUyZA.pdf,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzA1L2Q3L2NiLzA4LzY4NDYtNDNjMy1iNWQyLTBlMTcwNjM4NDhjNQ.xml,true,Kastrup,2770.0,24.0,Grejsdalvej,3450  AllerÃ¸d,RÃ¸rmoseparken 7,Regnskabsklasse B,2016-05-10,2016-05-30,127733.0,-124186.0,26463904.0,893057.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben C. Jensen,Torben Cornelius Grum Jensen,KEEPONMOVING ApS,Steen Ingtrup,831.0,75872.0,Kastrup,2014-01-01,2014-12-31,843912.0,843912.0,-124186.0,2015-12-31,2015-01-01,3547.0,false,false,10827789.0,0.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22489112,indberetninger-20180424,2.595549,26463904.0,,2018-03-29T07:54:41.194Z,2016-05-30T12:24:26.043Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-42-NE,2016-05-30T12:24:26.219Z,,,,,,,,,,,,,,,,,,,
26463904,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzQyLzE3LzUxLzMyZDEtNGQ5MS04MTIwLTlmMzMyMTRmYzMyMg.xhtml,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2VkL2Y1L2EwLzAwNDYtNGJmNi1iNDZlLTUzZTMwMWJhNzUyZA.pdf,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzA1L2Q3L2NiLzA4LzY4NDYtNDNjMy1iNWQyLTBlMTcwNjM4NDhjNQ.xml,true,Kastrup,2770.0,24.0,Grejsdalvej,3450  AllerÃ¸d,RÃ¸rmoseparken 7,Regnskabsklasse B,2016-05-10,2016-05-30,,,26463904.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben C. Jensen,Torben Cornelius Grum Jensen,KEEPONMOVING ApS,Steen Ingtrup,,,Kastrup,2014-01-01,2014-12-31,99800.0,,,2015-12-31,2015-01-01,,false,false,10827789.0,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22489112,indberetninger-20180424,2.595549,26463904.0,,2018-03-29T07:54:41.194Z,2016-05-30T12:24:26.043Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-42-NE,2016-05-30T12:24:26.219Z,,,,,,,,,,,,,,,,,,,
26463904,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzQyLzE3LzUxLzMyZDEtNGQ5MS04MTIwLTlmMzMyMTRmYzMyMg.xhtml,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2VkL2Y1L2EwLzAwNDYtNGJmNi1iNDZlLTUzZTMwMWJhNzUyZA.pdf,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzA1L2Q3L2NiLzA4LzY4NDYtNDNjMy1iNWQyLTBlMTcwNjM4NDhjNQ.xml,true,Kastrup,2770.0,24.0,Grejsdalvej,3450  AllerÃ¸d,RÃ¸rmoseparken 7,Regnskabsklasse B,2016-05-10,2016-05-30,,,26463904.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben C. Jensen,Torben Cornelius Grum Jensen,KEEPONMOVING ApS,Steen Ingtrup,,,Kastrup,2014-01-01,2014-12-31,-860514.0,,,2015-12-31,2015-01-01,,false,false,10827789.0,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22489112,indberetninger-20180424,2.595549,26463904.0,,2018-03-29T07:54:41.194Z,2016-05-30T12:24:26.043Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-42-NE,2016-05-30T12:24:26.219Z,,,,,,,,,,,,,,,,,,,
26463904,2014-01-01,2014-12-31,c8,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzQyLzE3LzUxLzMyZDEtNGQ5MS04MTIwLTlmMzMyMTRmYzMyMg.xhtml,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2VkL2Y1L2EwLzAwNDYtNGJmNi1iNDZlLTUzZTMwMWJhNzUyZA.pdf,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzA1L2Q3L2NiLzA4LzY4NDYtNDNjMy1iNWQyLTBlMTcwNjM4NDhjNQ.xml,true,Kastrup,2770.0,24.0,Grejsdalvej,3450  AllerÃ¸d,RÃ¸rmoseparken 7,Regnskabsklasse B,2016-05-10,2016-05-30,,,26463904.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben C. Jensen,Torben Cornelius Grum Jensen,KEEPONMOVING ApS,Steen Ingtrup,,,Kastrup,2014-01-01,2014-12-31,1604626.0,,,2015-12-31,2015-01-01,,false,false,10827789.0,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22489112,indberetninger-20180424,2.595549,26463904.0,,2018-03-29T07:54:41.194Z,2016-05-30T12:24:26.043Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-42-NE,2016-05-30T12:24:26.219Z,,,,,,,,,,,,,,,,,,,
26463904,2014-12-31,2014-12-31,c10,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzQyLzE3LzUxLzMyZDEtNGQ5MS04MTIwLTlmMzMyMTRmYzMyMg.xhtml,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2VkL2Y1L2EwLzAwNDYtNGJmNi1iNDZlLTUzZTMwMWJhNzUyZA.pdf,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzA1L2Q3L2NiLzA4LzY4NDYtNDNjMy1iNWQyLTBlMTcwNjM4NDhjNQ.xml,true,Kastrup,2770.0,24.0,Grejsdalvej,3450  AllerÃ¸d,RÃ¸rmoseparken 7,Regnskabsklasse B,2016-05-10,2016-05-30,,,26463904.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben C. Jensen,Torben Cornelius Grum Jensen,KEEPONMOVING ApS,Steen Ingtrup,,,Kastrup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,10827789.0,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22489112,indberetninger-20180424,2.595549,26463904.0,,2018-03-29T07:54:41.194Z,2016-05-30T12:24:26.043Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-42-NE,2016-05-30T12:24:26.219Z,6595224.0,3855202.0,125000.0,3892690.0,6258187.0,6595224.0,337037.0,2702534.0,2702534.0,2702534.0,2638159.0,0.0,233037.0,99800.0,3495028.0,337037.0,37488.0,37488.0,4200.0
26463904,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzQyLzE3LzUxLzMyZDEtNGQ5MS04MTIwLTlmMzMyMTRmYzMyMg.xhtml,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2VkL2Y1L2EwLzAwNDYtNGJmNi1iNDZlLTUzZTMwMWJhNzUyZA.pdf,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzA1L2Q3L2NiLzA4LzY4NDYtNDNjMy1iNWQyLTBlMTcwNjM4NDhjNQ.xml,true,Kastrup,2770.0,24.0,Grejsdalvej,3450  AllerÃ¸d,RÃ¸rmoseparken 7,Regnskabsklasse B,2016-05-10,2016-05-30,104633.0,-102610.0,26463904.0,9629302.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben C. Jensen,Torben Cornelius Grum Jensen,KEEPONMOVING ApS,Steen Ingtrup,201228.0,25614.0,Kastrup,2014-01-01,2014-12-31,9351078.0,9351078.0,-102610.0,2015-12-31,2015-01-01,2023.0,false,false,10827789.0,0.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22489112,indberetninger-20180424,2.595549,26463904.0,,2018-03-29T07:54:41.194Z,2016-05-30T12:24:26.043Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-42-NE,2016-05-30T12:24:26.219Z,,,,,,,,,,,,,,,,,,,
26463904,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzQyLzE3LzUxLzMyZDEtNGQ5MS04MTIwLTlmMzMyMTRmYzMyMg.xhtml,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2VkL2Y1L2EwLzAwNDYtNGJmNi1iNDZlLTUzZTMwMWJhNzUyZA.pdf,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzA1L2Q3L2NiLzA4LzY4NDYtNDNjMy1iNWQyLTBlMTcwNjM4NDhjNQ.xml,true,Kastrup,2770.0,24.0,Grejsdalvej,3450  AllerÃ¸d,RÃ¸rmoseparken 7,Regnskabsklasse B,2016-05-10,2016-05-30,,,26463904.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben C. Jensen,Torben Cornelius Grum Jensen,KEEPONMOVING ApS,Steen Ingtrup,,,Kastrup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,10827789.0,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22489112,indberetninger-20180424,2.595549,26463904.0,,2018-03-29T07:54:41.194Z,2016-05-30T12:24:26.043Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-42-NE,2016-05-30T12:24:26.219Z,,,,,,,,,,,,,,,,,,,
26463904,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzQyLzE3LzUxLzMyZDEtNGQ5MS04MTIwLTlmMzMyMTRmYzMyMg.xhtml,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2VkL2Y1L2EwLzAwNDYtNGJmNi1iNDZlLTUzZTMwMWJhNzUyZA.pdf,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzA1L2Q3L2NiLzA4LzY4NDYtNDNjMy1iNWQyLTBlMTcwNjM4NDhjNQ.xml,true,Kastrup,2770.0,24.0,Grejsdalvej,3450  AllerÃ¸d,RÃ¸rmoseparken 7,Regnskabsklasse B,2016-05-10,2016-05-30,,,26463904.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben C. Jensen,Torben Cornelius Grum Jensen,KEEPONMOVING ApS,Steen Ingtrup,,,Kastrup,2014-01-01,2014-12-31,99800.0,,,2015-12-31,2015-01-01,,false,false,10827789.0,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22489112,indberetninger-20180424,2.595549,26463904.0,,2018-03-29T07:54:41.194Z,2016-05-30T12:24:26.043Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-42-NE,2016-05-30T12:24:26.219Z,,,,,,,,,,,,,,,,,,,
26463904,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzQyLzE3LzUxLzMyZDEtNGQ5MS04MTIwLTlmMzMyMTRmYzMyMg.xhtml,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2VkL2Y1L2EwLzAwNDYtNGJmNi1iNDZlLTUzZTMwMWJhNzUyZA.pdf,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzA1L2Q3L2NiLzA4LzY4NDYtNDNjMy1iNWQyLTBlMTcwNjM4NDhjNQ.xml,true,Kastrup,2770.0,24.0,Grejsdalvej,3450  AllerÃ¸d,RÃ¸rmoseparken 7,Regnskabsklasse B,2016-05-10,2016-05-30,,,26463904.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben C. Jensen,Torben Cornelius Grum Jensen,KEEPONMOVING ApS,Steen Ingtrup,,,Kastrup,2014-01-01,2014-12-31,-2638159.0,,,2015-12-31,2015-01-01,,false,false,10827789.0,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22489112,indberetninger-20180424,2.595549,26463904.0,,2018-03-29T07:54:41.194Z,2016-05-30T12:24:26.043Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-42-NE,2016-05-30T12:24:26.219Z,,,,,,,,,,,,,,,,,,,
26463904,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzL2I5LzQyLzE3LzUxLzMyZDEtNGQ5MS04MTIwLTlmMzMyMTRmYzMyMg.xhtml,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzg4L2VkL2Y1L2EwLzAwNDYtNGJmNi1iNDZlLTUzZTMwMWJhNzUyZA.pdf,http://regnskaber.virk.dk/40936462/ZG9rdW1lbnRsYWdlcjovLzAzLzA1L2Q3L2NiLzA4LzY4NDYtNDNjMy1iNWQyLTBlMTcwNjM4NDhjNQ.xml,true,Kastrup,2770.0,24.0,Grejsdalvej,3450  AllerÃ¸d,RÃ¸rmoseparken 7,Regnskabsklasse B,2016-05-10,2016-05-30,,,26463904.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Torben C. Jensen,Torben Cornelius Grum Jensen,KEEPONMOVING ApS,Steen Ingtrup,,,Kastrup,2014-01-01,2014-12-31,11889437.0,,,2015-12-31,2015-01-01,,false,false,10827789.0,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22489112,indberetninger-20180424,2.595549,26463904.0,,2018-03-29T07:54:41.194Z,2016-05-30T12:24:26.043Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AV-42-NE,2016-05-30T12:24:26.219Z,,,,,,,,,,,,,,,,,,,
