entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,NameAndSurnameOfMemberOfExecutiveBoard
32773621,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmL2UxLzc1LzJmYmQtNDVhNy1iYmMxLTAyZWExNjBmMjNiMg.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzkwL2Y1LzZhL2E0ZTItNDkxZC05N2E4LTMzZmY2OGI3Y2MxOA.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-30,2018-05-30,2010-01-11,2018-05-30,26659817.0,32773621.0,26659817.0,mne11481,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kronborg,Ivan Laurberg,Revisionsfirmaet Per Kronborg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",Frederiksberg,2016-01-01,2016-12-31,1902.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"147, Frederiksberg",2017-12-31,2017-01-01,false,2018-05-30,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25786002,indberetninger-20180424,2.5118417999999996,32773621.0,AWPva55x0wkEsASktobc,2018-06-11T15:16:46.374Z,2018-06-11T15:16:33.510Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-33-DL,2018-06-11T15:16:33.695Z,,,,,,,,,,,,,,,,,,,
32773621,2016-01-01,2016-12-31,ID_8,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmL2UxLzc1LzJmYmQtNDVhNy1iYmMxLTAyZWExNjBmMjNiMg.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzkwL2Y1LzZhL2E0ZTItNDkxZC05N2E4LTMzZmY2OGI3Y2MxOA.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-30,2018-05-30,2010-01-11,2018-05-30,26659817.0,32773621.0,26659817.0,mne11481,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kronborg,Ivan Laurberg,Revisionsfirmaet Per Kronborg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",Frederiksberg,2016-01-01,2016-12-31,-1902.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"147, Frederiksberg",2017-12-31,2017-01-01,false,2018-05-30,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25786002,indberetninger-20180424,2.5118417999999996,32773621.0,AWPva55x0wkEsASktobc,2018-06-11T15:16:46.374Z,2018-06-11T15:16:33.510Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-33-DL,2018-06-11T15:16:33.695Z,-1894.0,8.0,-1902.0,-1894.0,,,,,,,,,,,,,,,
32773621,2016-12-31,2016-12-31,ID_6,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmL2UxLzc1LzJmYmQtNDVhNy1iYmMxLTAyZWExNjBmMjNiMg.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzkwL2Y1LzZhL2E0ZTItNDkxZC05N2E4LTMzZmY2OGI3Y2MxOA.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-30,2018-05-30,2010-01-11,2018-05-30,26659817.0,32773621.0,26659817.0,mne11481,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kronborg,Ivan Laurberg,Revisionsfirmaet Per Kronborg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",Frederiksberg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"147, Frederiksberg",2017-12-31,2017-01-01,false,2018-05-30,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25786002,indberetninger-20180424,2.5118417999999996,32773621.0,AWPva55x0wkEsASktobc,2018-06-11T15:16:46.374Z,2018-06-11T15:16:33.510Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-33-DL,2018-06-11T15:16:33.695Z,,,,,177068.0,37692.0,125000.0,177068.0,78959.0,14376.0,177068.0,98109.0,14376.0,98109.0,-46041.0,98109.0,125000.0,125000.0,
32773621,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmL2UxLzc1LzJmYmQtNDVhNy1iYmMxLTAyZWExNjBmMjNiMg.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzkwL2Y1LzZhL2E0ZTItNDkxZC05N2E4LTMzZmY2OGI3Y2MxOA.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-30,2018-05-30,2010-01-11,2018-05-30,26659817.0,32773621.0,26659817.0,mne11481,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kronborg,Ivan Laurberg,Revisionsfirmaet Per Kronborg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",Frederiksberg,2016-01-01,2016-12-31,4089.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"147, Frederiksberg",2017-12-31,2017-01-01,false,2018-05-30,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25786002,indberetninger-20180424,2.5118417999999996,32773621.0,AWPva55x0wkEsASktobc,2018-06-11T15:16:46.374Z,2018-06-11T15:16:33.510Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-33-DL,2018-06-11T15:16:33.695Z,4089.0,0.0,4089.0,4089.0,,,,,,,,,,,,,,,
32773621,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmL2UxLzc1LzJmYmQtNDVhNy1iYmMxLTAyZWExNjBmMjNiMg.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzkwL2Y1LzZhL2E0ZTItNDkxZC05N2E4LTMzZmY2OGI3Y2MxOA.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-30,2018-05-30,2010-01-11,2018-05-30,26659817.0,32773621.0,26659817.0,mne11481,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kronborg,Ivan Laurberg,Revisionsfirmaet Per Kronborg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",Frederiksberg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"147, Frederiksberg",2017-12-31,2017-01-01,false,2018-05-30,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25786002,indberetninger-20180424,2.5118417999999996,32773621.0,AWPva55x0wkEsASktobc,2018-06-11T15:16:46.374Z,2018-06-11T15:16:33.510Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-33-DL,2018-06-11T15:16:33.695Z,,,,,,,,,,,,,,,,,,,
32773621,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmL2UxLzc1LzJmYmQtNDVhNy1iYmMxLTAyZWExNjBmMjNiMg.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzkwL2Y1LzZhL2E0ZTItNDkxZC05N2E4LTMzZmY2OGI3Y2MxOA.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-30,2018-05-30,2010-01-11,2018-05-30,26659817.0,32773621.0,26659817.0,mne11481,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kronborg,Ivan Laurberg,Revisionsfirmaet Per Kronborg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",Frederiksberg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"147, Frederiksberg",2017-12-31,2017-01-01,false,2018-05-30,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25786002,indberetninger-20180424,2.5118417999999996,32773621.0,AWPva55x0wkEsASktobc,2018-06-11T15:16:46.374Z,2018-06-11T15:16:33.510Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-33-DL,2018-06-11T15:16:33.695Z,,,,,,,,,,,,,,,,,,,
32773621,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmL2UxLzc1LzJmYmQtNDVhNy1iYmMxLTAyZWExNjBmMjNiMg.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzkwL2Y1LzZhL2E0ZTItNDkxZC05N2E4LTMzZmY2OGI3Y2MxOA.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-30,2018-05-30,2010-01-11,2018-05-30,26659817.0,32773621.0,26659817.0,mne11481,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kronborg,Ivan Laurberg,Revisionsfirmaet Per Kronborg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",Frederiksberg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"147, Frederiksberg",2017-12-31,2017-01-01,false,2018-05-30,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25786002,indberetninger-20180424,2.5118417999999996,32773621.0,AWPva55x0wkEsASktobc,2018-06-11T15:16:46.374Z,2018-06-11T15:16:33.510Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-33-DL,2018-06-11T15:16:33.695Z,,,,,,,,,,,,,,,,,,,
32773621,2017-01-01,2017-12-31,ID_4,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmL2UxLzc1LzJmYmQtNDVhNy1iYmMxLTAyZWExNjBmMjNiMg.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzkwL2Y1LzZhL2E0ZTItNDkxZC05N2E4LTMzZmY2OGI3Y2MxOA.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-30,2018-05-30,2010-01-11,2018-05-30,26659817.0,32773621.0,26659817.0,mne11481,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kronborg,Ivan Laurberg,Revisionsfirmaet Per Kronborg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",Frederiksberg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"147, Frederiksberg",2017-12-31,2017-01-01,false,2018-05-30,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25786002,indberetninger-20180424,2.5118417999999996,32773621.0,AWPva55x0wkEsASktobc,2018-06-11T15:16:46.374Z,2018-06-11T15:16:33.510Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-33-DL,2018-06-11T15:16:33.695Z,,,,,,,,,,,,,,,,,,,Ivan Laurberg
32773621,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmL2UxLzc1LzJmYmQtNDVhNy1iYmMxLTAyZWExNjBmMjNiMg.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzkwL2Y1LzZhL2E0ZTItNDkxZC05N2E4LTMzZmY2OGI3Y2MxOA.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-30,2018-05-30,2010-01-11,2018-05-30,26659817.0,32773621.0,26659817.0,mne11481,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kronborg,Ivan Laurberg,Revisionsfirmaet Per Kronborg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",Frederiksberg,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"147, Frederiksberg",2017-12-31,2017-01-01,false,2018-05-30,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25786002,indberetninger-20180424,2.5118417999999996,32773621.0,AWPva55x0wkEsASktobc,2018-06-11T15:16:46.374Z,2018-06-11T15:16:33.510Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-33-DL,2018-06-11T15:16:33.695Z,,,,,,,,,,,,,,,,,,,
32773621,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZmL2UxLzc1LzJmYmQtNDVhNy1iYmMxLTAyZWExNjBmMjNiMg.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzkwL2Y1LzZhL2E0ZTItNDkxZC05N2E4LTMzZmY2OGI3Y2MxOA.xml,true,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-05-30,2018-05-30,2010-01-11,2018-05-30,26659817.0,32773621.0,26659817.0,mne11481,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per Kronborg,Ivan Laurberg,Revisionsfirmaet Per Kronborg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab",Frederiksberg,2016-01-01,2016-12-31,-4089.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"147, Frederiksberg",2017-12-31,2017-01-01,false,2018-05-30,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25786002,indberetninger-20180424,2.5118417999999996,32773621.0,AWPva55x0wkEsASktobc,2018-06-11T15:16:46.374Z,2018-06-11T15:16:33.510Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AQ-33-DL,2018-06-11T15:16:33.695Z,,,,,,,,,,,,,,,,,,,
