entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
32773621,2014-01-01,2014-12-31,ID_11,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2Y5LzQxLzM0LzRiYmEtNGM1MS05NTYxLTgwNjhmMDI1OGFhYw.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzU3LzcwL2Q4LzNmYTEtNGY4NS04MzExLWY3ZTAyZTQ4ZDg1Yw.xml,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-07-09,2010-01-11,2016-07-09,32773621.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ivan Laurberg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab","Frederiksberg, den 09-07-2016",-6625.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2015-12-31,2015-01-01,2016-07-09,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22830682,indberetninger-20180424,2.5122464,32773621.0,,2018-03-28T16:16:26.484Z,2016-07-09T14:22:54.208Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-32-JS,2016-07-09T14:22:54.315Z,,,,,,,,,,,,,,,,,,,
32773621,2014-01-01,2014-12-31,ID_7,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2Y5LzQxLzM0LzRiYmEtNGM1MS05NTYxLTgwNjhmMDI1OGFhYw.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzU3LzcwL2Q4LzNmYTEtNGY4NS04MzExLWY3ZTAyZTQ4ZDg1Yw.xml,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-07-09,2010-01-11,2016-07-09,32773621.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ivan Laurberg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab","Frederiksberg, den 09-07-2016",6625.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2015-12-31,2015-01-01,2016-07-09,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22830682,indberetninger-20180424,2.5122464,32773621.0,,2018-03-28T16:16:26.484Z,2016-07-09T14:22:54.208Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-32-JS,2016-07-09T14:22:54.315Z,6625.0,6625.0,6625.0,,,,,,,,,,,,,,,,
32773621,2014-01-01,2014-12-31,ID_9,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2Y5LzQxLzM0LzRiYmEtNGM1MS05NTYxLTgwNjhmMDI1OGFhYw.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzU3LzcwL2Q4LzNmYTEtNGY4NS04MzExLWY3ZTAyZTQ4ZDg1Yw.xml,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-07-09,2010-01-11,2016-07-09,32773621.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ivan Laurberg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab","Frederiksberg, den 09-07-2016",-6625.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2015-12-31,2015-01-01,2016-07-09,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22830682,indberetninger-20180424,2.5122464,32773621.0,,2018-03-28T16:16:26.484Z,2016-07-09T14:22:54.208Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-32-JS,2016-07-09T14:22:54.315Z,,,,,,,,,,,,,,,,,,,
32773621,2014-12-31,2014-12-31,ID_13,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2Y5LzQxLzM0LzRiYmEtNGM1MS05NTYxLTgwNjhmMDI1OGFhYw.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzU3LzcwL2Q4LzNmYTEtNGY4NS04MzExLWY3ZTAyZTQ4ZDg1Yw.xml,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-07-09,2010-01-11,2016-07-09,32773621.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ivan Laurberg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab","Frederiksberg, den 09-07-2016",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2015-12-31,2015-01-01,2016-07-09,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22830682,indberetninger-20180424,2.5122464,32773621.0,,2018-03-28T16:16:26.484Z,2016-07-09T14:22:54.208Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-32-JS,2016-07-09T14:22:54.315Z,,,,149806.0,1150.0,125000.0,149806.0,79247.0,19376.0,149806.0,70559.0,19376.0,70559.0,-45753.0,70559.0,129280.0,125000.0,4280.0,
32773621,2015-01-01,2015-12-31,ID_0,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2Y5LzQxLzM0LzRiYmEtNGM1MS05NTYxLTgwNjhmMDI1OGFhYw.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzU3LzcwL2Q4LzNmYTEtNGY4NS04MzExLWY3ZTAyZTQ4ZDg1Yw.xml,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-07-09,2010-01-11,2016-07-09,32773621.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ivan Laurberg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab","Frederiksberg, den 09-07-2016",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2015-12-31,2015-01-01,2016-07-09,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22830682,indberetninger-20180424,2.5122464,32773621.0,,2018-03-28T16:16:26.484Z,2016-07-09T14:22:54.208Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-32-JS,2016-07-09T14:22:54.315Z,,,,,,,,,,,,,,,,,,,
32773621,2015-01-01,2015-12-31,ID_1,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2Y5LzQxLzM0LzRiYmEtNGM1MS05NTYxLTgwNjhmMDI1OGFhYw.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzU3LzcwL2Q4LzNmYTEtNGY4NS04MzExLWY3ZTAyZTQ4ZDg1Yw.xml,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-07-09,2010-01-11,2016-07-09,32773621.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ivan Laurberg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab","Frederiksberg, den 09-07-2016",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2015-12-31,2015-01-01,2016-07-09,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22830682,indberetninger-20180424,2.5122464,32773621.0,,2018-03-28T16:16:26.484Z,2016-07-09T14:22:54.208Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-32-JS,2016-07-09T14:22:54.315Z,,,,,,,,,,,,,,,,,,,
32773621,2015-01-01,2015-12-31,ID_10,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2Y5LzQxLzM0LzRiYmEtNGM1MS05NTYxLTgwNjhmMDI1OGFhYw.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzU3LzcwL2Q4LzNmYTEtNGY4NS04MzExLWY3ZTAyZTQ4ZDg1Yw.xml,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-07-09,2010-01-11,2016-07-09,32773621.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ivan Laurberg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab","Frederiksberg, den 09-07-2016",-1614.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2015-12-31,2015-01-01,2016-07-09,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22830682,indberetninger-20180424,2.5122464,32773621.0,,2018-03-28T16:16:26.484Z,2016-07-09T14:22:54.208Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-32-JS,2016-07-09T14:22:54.315Z,,,,,,,,,,,,,,,,,,,
32773621,2015-01-01,2015-12-31,ID_14,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2Y5LzQxLzM0LzRiYmEtNGM1MS05NTYxLTgwNjhmMDI1OGFhYw.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzU3LzcwL2Q4LzNmYTEtNGY4NS04MzExLWY3ZTAyZTQ4ZDg1Yw.xml,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-07-09,2010-01-11,2016-07-09,32773621.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ivan Laurberg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab","Frederiksberg, den 09-07-2016",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2015-12-31,2015-01-01,2016-07-09,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22830682,indberetninger-20180424,2.5122464,32773621.0,,2018-03-28T16:16:26.484Z,2016-07-09T14:22:54.208Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-32-JS,2016-07-09T14:22:54.315Z,,,,,,,,,,,,,,,,,,,
32773621,2015-01-01,2015-12-31,ID_15,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2Y5LzQxLzM0LzRiYmEtNGM1MS05NTYxLTgwNjhmMDI1OGFhYw.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzU3LzcwL2Q4LzNmYTEtNGY4NS04MzExLWY3ZTAyZTQ4ZDg1Yw.xml,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-07-09,2010-01-11,2016-07-09,32773621.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ivan Laurberg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab","Frederiksberg, den 09-07-2016",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2015-12-31,2015-01-01,2016-07-09,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22830682,indberetninger-20180424,2.5122464,32773621.0,,2018-03-28T16:16:26.484Z,2016-07-09T14:22:54.208Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-32-JS,2016-07-09T14:22:54.315Z,,,,,,,,,,,,,,,,,,,
32773621,2015-01-01,2015-12-31,ID_16,,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2Y5LzQxLzM0LzRiYmEtNGM1MS05NTYxLTgwNjhmMDI1OGFhYw.pdf,http://regnskaber.virk.dk/12637723/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzU3LzcwL2Q4LzNmYTEtNGY4NS04MzExLWY3ZTAyZTQ4ZDg1Yw.xml,"Kastrup, 2770","FuglebÃ¦kvej 3A, 1 sal",Til kapitalejerne i D-Mark ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-07-09,2010-01-11,2016-07-09,32773621.0,26659817.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for D-Mark ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ivan Laurberg,D-Mark ApS,"Revisionsfirmaet Per Kronborg, Registreret Revisionsanpartsselskab","Frederiksberg, den 09-07-2016",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2015-12-31,2015-01-01,2016-07-09,Kastrup,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22830682,indberetninger-20180424,2.5122464,32773621.0,,2018-03-28T16:16:26.484Z,2016-07-09T14:22:54.208Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-32-JS,2016-07-09T14:22:54.315Z,,,,,,,,,,,,,,,,,,,
