entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,GrossProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RestOfOtherFinanceExpenses,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,OtherShorttermPayables,PrepaymentsForGoods,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,NameAndSurnameOfMemberOfExecutiveBoard
31064562,2017-01-01,2017-12-31,ID_11,,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzAzLzc1LzMzL2JiYzgtNDQ2NS1iYzNhLWMxZTI4ZDI1MWYxNg.pdf,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzU2L2YxL2IxLzhjNTYtNDc4ZC04MDdiLTNiZTI4YTNiOWJiYg.xml,true,"BrÃ¸ndby, 2605",Krikebjerg Parkvej 12,Til kapitalejerne i AMT Classic ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-05-09,2019-05-09,2007-11-20,2019-05-09,34901694.0,31064562.0,34901694.0,mne9096,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for AMT Classic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Rasmussen,Morten Thomsen,ASSET,AMT Classic ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Morten Thomsen,2017-01-01,2017-12-31,-6572.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Hvidovre, 167",2018-12-31,2018-01-01,true,2019-05-09,Morten Thomsen,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27156908,indberetninger-20180424,2.5097342,31064562.0,AWrASdSCRYGX6_YTHvcx,2019-05-16T10:57:09.122Z,2019-05-16T10:57:04.547Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-50-MX,2019-05-16T10:57:04.712Z,,,,,,,,,,,,,,,,,,,,,,,,
31064562,2017-01-01,2017-12-31,ID_8,,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzAzLzc1LzMzL2JiYzgtNDQ2NS1iYzNhLWMxZTI4ZDI1MWYxNg.pdf,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzU2L2YxL2IxLzhjNTYtNDc4ZC04MDdiLTNiZTI4YTNiOWJiYg.xml,true,"BrÃ¸ndby, 2605",Krikebjerg Parkvej 12,Til kapitalejerne i AMT Classic ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-05-09,2019-05-09,2007-11-20,2019-05-09,34901694.0,31064562.0,34901694.0,mne9096,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for AMT Classic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Rasmussen,Morten Thomsen,ASSET,AMT Classic ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Morten Thomsen,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Hvidovre, 167",2018-12-31,2018-01-01,true,2019-05-09,Morten Thomsen,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27156908,indberetninger-20180424,2.5097342,31064562.0,AWrASdSCRYGX6_YTHvcx,2019-05-16T10:57:09.122Z,2019-05-16T10:57:04.547Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-50-MX,2019-05-16T10:57:04.712Z,1.0,,,,,,,,,,,,,,,,,,,,,,,
31064562,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzAzLzc1LzMzL2JiYzgtNDQ2NS1iYzNhLWMxZTI4ZDI1MWYxNg.pdf,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzU2L2YxL2IxLzhjNTYtNDc4ZC04MDdiLTNiZTI4YTNiOWJiYg.xml,true,"BrÃ¸ndby, 2605",Krikebjerg Parkvej 12,Til kapitalejerne i AMT Classic ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-05-09,2019-05-09,2007-11-20,2019-05-09,34901694.0,31064562.0,34901694.0,mne9096,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for AMT Classic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Rasmussen,Morten Thomsen,ASSET,AMT Classic ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Morten Thomsen,2017-01-01,2017-12-31,-6572.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Hvidovre, 167",2018-12-31,2018-01-01,true,2019-05-09,Morten Thomsen,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27156908,indberetninger-20180424,2.5097342,31064562.0,AWrASdSCRYGX6_YTHvcx,2019-05-16T10:57:09.122Z,2019-05-16T10:57:04.547Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-50-MX,2019-05-16T10:57:04.712Z,,-15278.0,-6572.0,-15278.0,1313.0,0.0,,,,,,,,,,,,,,,,,,
31064562,2017-12-31,2017-12-31,ID_5,,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzAzLzc1LzMzL2JiYzgtNDQ2NS1iYzNhLWMxZTI4ZDI1MWYxNg.pdf,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzU2L2YxL2IxLzhjNTYtNDc4ZC04MDdiLTNiZTI4YTNiOWJiYg.xml,true,"BrÃ¸ndby, 2605",Krikebjerg Parkvej 12,Til kapitalejerne i AMT Classic ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-05-09,2019-05-09,2007-11-20,2019-05-09,34901694.0,31064562.0,34901694.0,mne9096,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for AMT Classic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Rasmussen,Morten Thomsen,ASSET,AMT Classic ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Morten Thomsen,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Hvidovre, 167",2018-12-31,2018-01-01,true,2019-05-09,Morten Thomsen,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27156908,indberetninger-20180424,2.5097342,31064562.0,AWrASdSCRYGX6_YTHvcx,2019-05-16T10:57:09.122Z,2019-05-16T10:57:04.547Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-50-MX,2019-05-16T10:57:04.712Z,,,,,,,1239083.0,12132.0,250000.0,1239083.0,0.0,1123116.0,715988.0,1239083.0,115966.0,566788.0,33312.0,149200.0,873116.0,115966.0,0.0,82654.0,510963.0,
31064562,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzAzLzc1LzMzL2JiYzgtNDQ2NS1iYzNhLWMxZTI4ZDI1MWYxNg.pdf,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzU2L2YxL2IxLzhjNTYtNDc4ZC04MDdiLTNiZTI4YTNiOWJiYg.xml,true,"BrÃ¸ndby, 2605",Krikebjerg Parkvej 12,Til kapitalejerne i AMT Classic ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-05-09,2019-05-09,2007-11-20,2019-05-09,34901694.0,31064562.0,34901694.0,mne9096,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for AMT Classic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Rasmussen,Morten Thomsen,ASSET,AMT Classic ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Morten Thomsen,2017-01-01,2017-12-31,96238.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Hvidovre, 167",2018-12-31,2018-01-01,true,2019-05-09,Morten Thomsen,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27156908,indberetninger-20180424,2.5097342,31064562.0,AWrASdSCRYGX6_YTHvcx,2019-05-16T10:57:09.122Z,2019-05-16T10:57:04.547Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-50-MX,2019-05-16T10:57:04.712Z,,76551.0,65479.0,76551.0,11072.0,-30759.0,,,,,,,,,,,,,,,,,,
31064562,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzAzLzc1LzMzL2JiYzgtNDQ2NS1iYzNhLWMxZTI4ZDI1MWYxNg.pdf,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzU2L2YxL2IxLzhjNTYtNDc4ZC04MDdiLTNiZTI4YTNiOWJiYg.xml,true,"BrÃ¸ndby, 2605",Krikebjerg Parkvej 12,Til kapitalejerne i AMT Classic ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-05-09,2019-05-09,2007-11-20,2019-05-09,34901694.0,31064562.0,34901694.0,mne9096,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for AMT Classic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Rasmussen,Morten Thomsen,ASSET,AMT Classic ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Morten Thomsen,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Hvidovre, 167",2018-12-31,2018-01-01,true,2019-05-09,Morten Thomsen,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27156908,indberetninger-20180424,2.5097342,31064562.0,AWrASdSCRYGX6_YTHvcx,2019-05-16T10:57:09.122Z,2019-05-16T10:57:04.547Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-50-MX,2019-05-16T10:57:04.712Z,,,,,,,,,,,,,,,,,,,,,,,,
31064562,2018-01-01,2018-12-31,ID_10,,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzAzLzc1LzMzL2JiYzgtNDQ2NS1iYzNhLWMxZTI4ZDI1MWYxNg.pdf,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzU2L2YxL2IxLzhjNTYtNDc4ZC04MDdiLTNiZTI4YTNiOWJiYg.xml,true,"BrÃ¸ndby, 2605",Krikebjerg Parkvej 12,Til kapitalejerne i AMT Classic ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-05-09,2019-05-09,2007-11-20,2019-05-09,34901694.0,31064562.0,34901694.0,mne9096,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for AMT Classic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Rasmussen,Morten Thomsen,ASSET,AMT Classic ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Morten Thomsen,2017-01-01,2017-12-31,96238.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Hvidovre, 167",2018-12-31,2018-01-01,true,2019-05-09,Morten Thomsen,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27156908,indberetninger-20180424,2.5097342,31064562.0,AWrASdSCRYGX6_YTHvcx,2019-05-16T10:57:09.122Z,2019-05-16T10:57:04.547Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-50-MX,2019-05-16T10:57:04.712Z,,,,,,,,,,,,,,,,,,,,,,,,
31064562,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzAzLzc1LzMzL2JiYzgtNDQ2NS1iYzNhLWMxZTI4ZDI1MWYxNg.pdf,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzU2L2YxL2IxLzhjNTYtNDc4ZC04MDdiLTNiZTI4YTNiOWJiYg.xml,true,"BrÃ¸ndby, 2605",Krikebjerg Parkvej 12,Til kapitalejerne i AMT Classic ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-05-09,2019-05-09,2007-11-20,2019-05-09,34901694.0,31064562.0,34901694.0,mne9096,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for AMT Classic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Rasmussen,Morten Thomsen,ASSET,AMT Classic ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Morten Thomsen,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Hvidovre, 167",2018-12-31,2018-01-01,true,2019-05-09,Morten Thomsen,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27156908,indberetninger-20180424,2.5097342,31064562.0,AWrASdSCRYGX6_YTHvcx,2019-05-16T10:57:09.122Z,2019-05-16T10:57:04.547Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-50-MX,2019-05-16T10:57:04.712Z,,,,,,,,,,,,,,,,,,,,,,,,
31064562,2018-01-01,2018-12-31,ID_3,,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzAzLzc1LzMzL2JiYzgtNDQ2NS1iYzNhLWMxZTI4ZDI1MWYxNg.pdf,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzU2L2YxL2IxLzhjNTYtNDc4ZC04MDdiLTNiZTI4YTNiOWJiYg.xml,true,"BrÃ¸ndby, 2605",Krikebjerg Parkvej 12,Til kapitalejerne i AMT Classic ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-05-09,2019-05-09,2007-11-20,2019-05-09,34901694.0,31064562.0,34901694.0,mne9096,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for AMT Classic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Rasmussen,Morten Thomsen,ASSET,AMT Classic ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Morten Thomsen,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Hvidovre, 167",2018-12-31,2018-01-01,true,2019-05-09,Morten Thomsen,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27156908,indberetninger-20180424,2.5097342,31064562.0,AWrASdSCRYGX6_YTHvcx,2019-05-16T10:57:09.122Z,2019-05-16T10:57:04.547Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-50-MX,2019-05-16T10:57:04.712Z,,,,,,,,,,,,,,,,,,,,,,,,Morten Thomsen
31064562,2018-01-01,2018-12-31,ID_4,,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzAzLzc1LzMzL2JiYzgtNDQ2NS1iYzNhLWMxZTI4ZDI1MWYxNg.pdf,http://regnskaber.virk.dk/26546013/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzU2L2YxL2IxLzhjNTYtNDc4ZC04MDdiLTNiZTI4YTNiOWJiYg.xml,true,"BrÃ¸ndby, 2605",Krikebjerg Parkvej 12,Til kapitalejerne i AMT Classic ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-05-09,2019-05-09,2007-11-20,2019-05-09,34901694.0,31064562.0,34901694.0,mne9096,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for AMT Classic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Rasmussen,Morten Thomsen,ASSET,AMT Classic ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Morten Thomsen,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Hvidovre, 167",2018-12-31,2018-01-01,true,2019-05-09,Morten Thomsen,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27156908,indberetninger-20180424,2.5097342,31064562.0,AWrASdSCRYGX6_YTHvcx,2019-05-16T10:57:09.122Z,2019-05-16T10:57:04.547Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-50-MX,2019-05-16T10:57:04.712Z,,,,,,,,,,,,,,,,,,,,,,,,
