entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,DistributionCosts,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
31184045,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzUyLzM1L2VmL2I4ZTItNDhiZi04ZTFlLTU2MTc3ZTdmNDMyOQ.xhtml,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzRkLzliLzg4LzE4OTQtNDJjYi05NDgxLTliYWU3MGRhMmI2ZA.pdf,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzljLzk2LzhiL2NhL2NjMDMtNDUyNy1iZjU2LTFjZjE0MzkzZjViOQ.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,Tilst,8381.0,9.0,Mundelstrupvej,8410 Thorsager,Thorsgade 46,572862.0,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-02-22,2016-05-31,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive virksomhed indenfor reparation og forarbejdning af stÃ¥l, entreprenÃ¸rvirksomhed og dermed beslÃ¦gtet virksomhed</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",416813.0,1829620.0,31184045.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Kim E. Andersen,Kim Edward Andersen,KIM E. ANDERSEN ApS,Hanne Sand,30968.0,784.0,Mundelstrup,2014-01-01,2014-12-31,560397.0,809761.0,839945.0,2015-12-31,2015-01-01,2016-02-22,Thorsager,249364.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22612151,indberetninger-20180424,2.5955543999999997,31184045.0,,2018-03-28T23:52:11.519Z,2016-06-06T10:01:19.992Z,regnskab,0.0,,2015-12-31,2015-01-01,X15-AH-64-ME,2016-06-06T10:01:20.227Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31184045,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzUyLzM1L2VmL2I4ZTItNDhiZi04ZTFlLTU2MTc3ZTdmNDMyOQ.xhtml,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzRkLzliLzg4LzE4OTQtNDJjYi05NDgxLTliYWU3MGRhMmI2ZA.pdf,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzljLzk2LzhiL2NhL2NjMDMtNDUyNy1iZjU2LTFjZjE0MzkzZjViOQ.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,Tilst,8381.0,9.0,Mundelstrupvej,8410 Thorsager,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-02-22,2016-05-31,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive virksomhed indenfor reparation og forarbejdning af stÃ¥l, entreprenÃ¸rvirksomhed og dermed beslÃ¦gtet virksomhed</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,31184045.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Kim E. Andersen,Kim Edward Andersen,KIM E. ANDERSEN ApS,Hanne Sand,,,Mundelstrup,2014-01-01,2014-12-31,49200.0,,,2015-12-31,2015-01-01,2016-02-22,Thorsager,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22612151,indberetninger-20180424,2.5955543999999997,31184045.0,,2018-03-28T23:52:11.519Z,2016-06-06T10:01:19.992Z,regnskab,0.0,,2015-12-31,2015-01-01,X15-AH-64-ME,2016-06-06T10:01:20.227Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31184045,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzUyLzM1L2VmL2I4ZTItNDhiZi04ZTFlLTU2MTc3ZTdmNDMyOQ.xhtml,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzRkLzliLzg4LzE4OTQtNDJjYi05NDgxLTliYWU3MGRhMmI2ZA.pdf,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzljLzk2LzhiL2NhL2NjMDMtNDUyNy1iZjU2LTFjZjE0MzkzZjViOQ.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,Tilst,8381.0,9.0,Mundelstrupvej,8410 Thorsager,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-02-22,2016-05-31,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive virksomhed indenfor reparation og forarbejdning af stÃ¥l, entreprenÃ¸rvirksomhed og dermed beslÃ¦gtet virksomhed</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,31184045.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Kim E. Andersen,Kim Edward Andersen,KIM E. ANDERSEN ApS,Hanne Sand,,,Mundelstrup,2014-01-01,2014-12-31,511197.0,,,2015-12-31,2015-01-01,2016-02-22,Thorsager,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22612151,indberetninger-20180424,2.5955543999999997,31184045.0,,2018-03-28T23:52:11.519Z,2016-06-06T10:01:19.992Z,regnskab,0.0,,2015-12-31,2015-01-01,X15-AH-64-ME,2016-06-06T10:01:20.227Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31184045,2014-12-31,2014-12-31,c9,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzUyLzM1L2VmL2I4ZTItNDhiZi04ZTFlLTU2MTc3ZTdmNDMyOQ.xhtml,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzRkLzliLzg4LzE4OTQtNDJjYi05NDgxLTliYWU3MGRhMmI2ZA.pdf,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzljLzk2LzhiL2NhL2NjMDMtNDUyNy1iZjU2LTFjZjE0MzkzZjViOQ.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,Tilst,8381.0,9.0,Mundelstrupvej,8410 Thorsager,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-02-22,2016-05-31,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive virksomhed indenfor reparation og forarbejdning af stÃ¥l, entreprenÃ¸rvirksomhed og dermed beslÃ¦gtet virksomhed</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,31184045.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Kim E. Andersen,Kim Edward Andersen,KIM E. ANDERSEN ApS,Hanne Sand,,,Mundelstrup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,2016-02-22,Thorsager,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22612151,indberetninger-20180424,2.5955543999999997,31184045.0,,2018-03-28T23:52:11.519Z,2016-06-06T10:01:19.992Z,regnskab,0.0,,2015-12-31,2015-01-01,X15-AH-64-ME,2016-06-06T10:01:20.227Z,4597940.0,722713.0,50000.0,125000.0,3404080.0,43284.0,112000.0,3285478.0,80450.0,4597940.0,1253375.0,112000.0,1193860.0,694993.0,41624.0,1001410.0,1081860.0,49200.0,59087.0,59087.0,3111278.0,0.0,1253375.0,0.0,2681367.0,133441.0,424941.0,2546459.0,,,
31184045,2015-01-01,2015-01-01,c10,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzUyLzM1L2VmL2I4ZTItNDhiZi04ZTFlLTU2MTc3ZTdmNDMyOQ.xhtml,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzRkLzliLzg4LzE4OTQtNDJjYi05NDgxLTliYWU3MGRhMmI2ZA.pdf,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzljLzk2LzhiL2NhL2NjMDMtNDUyNy1iZjU2LTFjZjE0MzkzZjViOQ.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,Tilst,8381.0,9.0,Mundelstrupvej,8410 Thorsager,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-02-22,2016-05-31,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive virksomhed indenfor reparation og forarbejdning af stÃ¥l, entreprenÃ¸rvirksomhed og dermed beslÃ¦gtet virksomhed</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,31184045.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Kim E. Andersen,Kim Edward Andersen,KIM E. ANDERSEN ApS,Hanne Sand,,,Mundelstrup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,2016-02-22,Thorsager,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22612151,indberetninger-20180424,2.5955543999999997,31184045.0,,2018-03-28T23:52:11.519Z,2016-06-06T10:01:19.992Z,regnskab,0.0,,2015-12-31,2015-01-01,X15-AH-64-ME,2016-06-06T10:01:20.227Z,,,,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,
31184045,2015-01-01,2015-01-01,c11,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzUyLzM1L2VmL2I4ZTItNDhiZi04ZTFlLTU2MTc3ZTdmNDMyOQ.xhtml,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzRkLzliLzg4LzE4OTQtNDJjYi05NDgxLTliYWU3MGRhMmI2ZA.pdf,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzljLzk2LzhiL2NhL2NjMDMtNDUyNy1iZjU2LTFjZjE0MzkzZjViOQ.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,Tilst,8381.0,9.0,Mundelstrupvej,8410 Thorsager,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-02-22,2016-05-31,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive virksomhed indenfor reparation og forarbejdning af stÃ¥l, entreprenÃ¸rvirksomhed og dermed beslÃ¦gtet virksomhed</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,31184045.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Kim E. Andersen,Kim Edward Andersen,KIM E. ANDERSEN ApS,Hanne Sand,,,Mundelstrup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,2016-02-22,Thorsager,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22612151,indberetninger-20180424,2.5955543999999997,31184045.0,,2018-03-28T23:52:11.519Z,2016-06-06T10:01:19.992Z,regnskab,0.0,,2015-12-31,2015-01-01,X15-AH-64-ME,2016-06-06T10:01:20.227Z,,,,,,,,3111278.0,,,,,,,,,,,,,,,,,,,,,,,
31184045,2015-01-01,2015-01-01,c12,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzUyLzM1L2VmL2I4ZTItNDhiZi04ZTFlLTU2MTc3ZTdmNDMyOQ.xhtml,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzRkLzliLzg4LzE4OTQtNDJjYi05NDgxLTliYWU3MGRhMmI2ZA.pdf,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzljLzk2LzhiL2NhL2NjMDMtNDUyNy1iZjU2LTFjZjE0MzkzZjViOQ.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,Tilst,8381.0,9.0,Mundelstrupvej,8410 Thorsager,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-02-22,2016-05-31,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive virksomhed indenfor reparation og forarbejdning af stÃ¥l, entreprenÃ¸rvirksomhed og dermed beslÃ¦gtet virksomhed</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,31184045.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Kim E. Andersen,Kim Edward Andersen,KIM E. ANDERSEN ApS,Hanne Sand,,,Mundelstrup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,2016-02-22,Thorsager,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22612151,indberetninger-20180424,2.5955543999999997,31184045.0,,2018-03-28T23:52:11.519Z,2016-06-06T10:01:19.992Z,regnskab,0.0,,2015-12-31,2015-01-01,X15-AH-64-ME,2016-06-06T10:01:20.227Z,,,,,,,,49200.0,,,,,,,,,,,,,,,,,,,,,,,
31184045,2015-01-01,2015-01-01,c13,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzUyLzM1L2VmL2I4ZTItNDhiZi04ZTFlLTU2MTc3ZTdmNDMyOQ.xhtml,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzRkLzliLzg4LzE4OTQtNDJjYi05NDgxLTliYWU3MGRhMmI2ZA.pdf,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzljLzk2LzhiL2NhL2NjMDMtNDUyNy1iZjU2LTFjZjE0MzkzZjViOQ.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,Tilst,8381.0,9.0,Mundelstrupvej,8410 Thorsager,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-02-22,2016-05-31,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive virksomhed indenfor reparation og forarbejdning af stÃ¥l, entreprenÃ¸rvirksomhed og dermed beslÃ¦gtet virksomhed</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,31184045.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Kim E. Andersen,Kim Edward Andersen,KIM E. ANDERSEN ApS,Hanne Sand,,,Mundelstrup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,2016-02-22,Thorsager,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22612151,indberetninger-20180424,2.5955543999999997,31184045.0,,2018-03-28T23:52:11.519Z,2016-06-06T10:01:19.992Z,regnskab,0.0,,2015-12-31,2015-01-01,X15-AH-64-ME,2016-06-06T10:01:20.227Z,,,,,,,,3285478.0,,,,,,,,,,,,,,,,,,,,,,,
31184045,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzUyLzM1L2VmL2I4ZTItNDhiZi04ZTFlLTU2MTc3ZTdmNDMyOQ.xhtml,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzRkLzliLzg4LzE4OTQtNDJjYi05NDgxLTliYWU3MGRhMmI2ZA.pdf,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzljLzk2LzhiL2NhL2NjMDMtNDUyNy1iZjU2LTFjZjE0MzkzZjViOQ.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,Tilst,8381.0,9.0,Mundelstrupvej,8410 Thorsager,Thorsgade 46,722084.0,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-02-22,2016-05-31,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive virksomhed indenfor reparation og forarbejdning af stÃ¥l, entreprenÃ¸rvirksomhed og dermed beslÃ¦gtet virksomhed</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",359753.0,2424858.0,31184045.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Kim E. Andersen,Kim Edward Andersen,KIM E. ANDERSEN ApS,Hanne Sand,33666.0,1536.0,Mundelstrup,2014-01-01,2014-12-31,904806.0,1310891.0,1343021.0,2015-12-31,2015-01-01,2016-02-22,Thorsager,406085.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22612151,indberetninger-20180424,2.5955543999999997,31184045.0,,2018-03-28T23:52:11.519Z,2016-06-06T10:01:19.992Z,regnskab,0.0,,2015-12-31,2015-01-01,X15-AH-64-ME,2016-06-06T10:01:20.227Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49200.0,,
31184045,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzUyLzM1L2VmL2I4ZTItNDhiZi04ZTFlLTU2MTc3ZTdmNDMyOQ.xhtml,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzRkLzliLzg4LzE4OTQtNDJjYi05NDgxLTliYWU3MGRhMmI2ZA.pdf,http://regnskaber.virk.dk/54048113/ZG9rdW1lbnRsYWdlcjovLzAzLzljLzk2LzhiL2NhL2NjMDMtNDUyNy1iZjU2LTFjZjE0MzkzZjViOQ.xml,Danmark,DK,RÃ¸nde,46.0,Thorsgade,Tilst,8381.0,9.0,Mundelstrupvej,8410 Thorsager,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-02-22,2016-05-31,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive virksomhed indenfor reparation og forarbejdning af stÃ¥l, entreprenÃ¸rvirksomhed og dermed beslÃ¦gtet virksomhed</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,31184045.0,1003735822.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Kim E. Andersen,Kim Edward Andersen,KIM E. ANDERSEN ApS,Hanne Sand,,,Mundelstrup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,2016-02-22,Thorsager,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22612151,indberetninger-20180424,2.5955543999999997,31184045.0,,2018-03-28T23:52:11.519Z,2016-06-06T10:01:19.992Z,regnskab,0.0,,2015-12-31,2015-01-01,X15-AH-64-ME,2016-06-06T10:01:20.227Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98727558.0,Revisionsfirmaet Tommy Larsen v/Tommy Larsen
