entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,NameAndSurnameOfMemberOfExecutiveBoard
26335590,2014-01-01,2014-12-31,ID_11,,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzRiLzMxLzAwLzVlNDQtNDk1MS04NDYzLWUzNjUyYTU2MTYwNw.pdf,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzFmLzY3LzVlLzFkMWMtNGFkZi05MDg2LTEwMjRjZTY0Y2U1MQ.xml,"Herning, 7400",Ãstergade 12,Til kapitalejerne i OB Industrilak Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015.",2016-03-09,2001-11-20,2016-03-15,97 12 26 21,26335590.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015 for OB Industrilak Holding ApS.,"Vi har revideret Ã¥rsregnskabet for OB Industrilak Holding ApS for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Toft-Sandgaard,OB Industrilak Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 9. marts 2016",2014-01-01,2014-12-31,-99800.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-12-31,2015-01-01,2016-03-09,Herning,97 12 26 66,RevisionspÃ¥tegning,urn:ofk:oid:22130060,indberetninger-20180424,2.5122128,26335590.0,,2018-03-29T06:09:18.370Z,2016-03-19T08:10:49.411Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-59-JZ,2016-03-19T08:10:49.649Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26335590,2014-01-01,2014-12-31,ID_13,,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzRiLzMxLzAwLzVlNDQtNDk1MS04NDYzLWUzNjUyYTU2MTYwNw.pdf,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzFmLzY3LzVlLzFkMWMtNGFkZi05MDg2LTEwMjRjZTY0Y2U1MQ.xml,"Herning, 7400",Ãstergade 12,Til kapitalejerne i OB Industrilak Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015.",2016-03-09,2001-11-20,2016-03-15,97 12 26 21,26335590.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015 for OB Industrilak Holding ApS.,"Vi har revideret Ã¥rsregnskabet for OB Industrilak Holding ApS for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Toft-Sandgaard,OB Industrilak Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 9. marts 2016",2014-01-01,2014-12-31,195109.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-12-31,2015-01-01,2016-03-09,Herning,97 12 26 66,RevisionspÃ¥tegning,urn:ofk:oid:22130060,indberetninger-20180424,2.5122128,26335590.0,,2018-03-29T06:09:18.370Z,2016-03-19T08:10:49.411Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-59-JZ,2016-03-19T08:10:49.649Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26335590,2014-01-01,2014-12-31,ID_15,,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzRiLzMxLzAwLzVlNDQtNDk1MS04NDYzLWUzNjUyYTU2MTYwNw.pdf,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzFmLzY3LzVlLzFkMWMtNGFkZi05MDg2LTEwMjRjZTY0Y2U1MQ.xml,"Herning, 7400",Ãstergade 12,Til kapitalejerne i OB Industrilak Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015.",2016-03-09,2001-11-20,2016-03-15,97 12 26 21,26335590.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015 for OB Industrilak Holding ApS.,"Vi har revideret Ã¥rsregnskabet for OB Industrilak Holding ApS for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Toft-Sandgaard,OB Industrilak Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 9. marts 2016",2014-01-01,2014-12-31,95309.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-12-31,2015-01-01,2016-03-09,Herning,97 12 26 66,RevisionspÃ¥tegning,urn:ofk:oid:22130060,indberetninger-20180424,2.5122128,26335590.0,,2018-03-29T06:09:18.370Z,2016-03-19T08:10:49.411Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-59-JZ,2016-03-19T08:10:49.649Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26335590,2014-01-01,2014-12-31,ID_9,,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzRiLzMxLzAwLzVlNDQtNDk1MS04NDYzLWUzNjUyYTU2MTYwNw.pdf,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzFmLzY3LzVlLzFkMWMtNGFkZi05MDg2LTEwMjRjZTY0Y2U1MQ.xml,"Herning, 7400",Ãstergade 12,Til kapitalejerne i OB Industrilak Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015.",2016-03-09,2001-11-20,2016-03-15,97 12 26 21,26335590.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015 for OB Industrilak Holding ApS.,"Vi har revideret Ã¥rsregnskabet for OB Industrilak Holding ApS for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Toft-Sandgaard,OB Industrilak Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 9. marts 2016",2014-01-01,2014-12-31,-95309.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-12-31,2015-01-01,2016-03-09,Herning,97 12 26 66,RevisionspÃ¥tegning,urn:ofk:oid:22130060,indberetninger-20180424,2.5122128,26335590.0,,2018-03-29T06:09:18.370Z,2016-03-19T08:10:49.411Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-59-JZ,2016-03-19T08:10:49.649Z,-5726.0,-94209.0,674.0,0.0,4989.0,-95620.0,-5726.0,-311.0,,,,,,,,,,,,,,,,,,,,,,,
26335590,2014-12-31,2014-12-31,ID_17,,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzRiLzMxLzAwLzVlNDQtNDk1MS04NDYzLWUzNjUyYTU2MTYwNw.pdf,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzFmLzY3LzVlLzFkMWMtNGFkZi05MDg2LTEwMjRjZTY0Y2U1MQ.xml,"Herning, 7400",Ãstergade 12,Til kapitalejerne i OB Industrilak Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015.",2016-03-09,2001-11-20,2016-03-15,97 12 26 21,26335590.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015 for OB Industrilak Holding ApS.,"Vi har revideret Ã¥rsregnskabet for OB Industrilak Holding ApS for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Toft-Sandgaard,OB Industrilak Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 9. marts 2016",2014-01-01,2014-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-12-31,2015-01-01,2016-03-09,Herning,97 12 26 66,RevisionspÃ¥tegning,urn:ofk:oid:22130060,indberetninger-20180424,2.5122128,26335590.0,,2018-03-29T06:09:18.370Z,2016-03-19T08:10:49.411Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-59-JZ,2016-03-19T08:10:49.649Z,,,,,,,,,1197360.0,673.0,125000.0,166012.0,310.0,1121778.0,1197360.0,75582.0,1031348.0,1031348.0,1031348.0,3977.0,3750.0,99800.0,896978.0,3977.0,75582.0,0.0,71832.0,161362.0,160052.0,1000.0,
26335590,2015-01-01,2015-12-31,ID_0,,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzRiLzMxLzAwLzVlNDQtNDk1MS04NDYzLWUzNjUyYTU2MTYwNw.pdf,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzFmLzY3LzVlLzFkMWMtNGFkZi05MDg2LTEwMjRjZTY0Y2U1MQ.xml,"Herning, 7400",Ãstergade 12,Til kapitalejerne i OB Industrilak Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015.",2016-03-09,2001-11-20,2016-03-15,97 12 26 21,26335590.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015 for OB Industrilak Holding ApS.,"Vi har revideret Ã¥rsregnskabet for OB Industrilak Holding ApS for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Toft-Sandgaard,OB Industrilak Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 9. marts 2016",2014-01-01,2014-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-12-31,2015-01-01,2016-03-09,Herning,97 12 26 66,RevisionspÃ¥tegning,urn:ofk:oid:22130060,indberetninger-20180424,2.5122128,26335590.0,,2018-03-29T06:09:18.370Z,2016-03-19T08:10:49.411Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-59-JZ,2016-03-19T08:10:49.649Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26335590,2015-01-01,2015-12-31,ID_1,,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzRiLzMxLzAwLzVlNDQtNDk1MS04NDYzLWUzNjUyYTU2MTYwNw.pdf,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzFmLzY3LzVlLzFkMWMtNGFkZi05MDg2LTEwMjRjZTY0Y2U1MQ.xml,"Herning, 7400",Ãstergade 12,Til kapitalejerne i OB Industrilak Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015.",2016-03-09,2001-11-20,2016-03-15,97 12 26 21,26335590.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015 for OB Industrilak Holding ApS.,"Vi har revideret Ã¥rsregnskabet for OB Industrilak Holding ApS for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Toft-Sandgaard,OB Industrilak Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 9. marts 2016",2014-01-01,2014-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-12-31,2015-01-01,2016-03-09,Herning,97 12 26 66,RevisionspÃ¥tegning,urn:ofk:oid:22130060,indberetninger-20180424,2.5122128,26335590.0,,2018-03-29T06:09:18.370Z,2016-03-19T08:10:49.411Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-59-JZ,2016-03-19T08:10:49.649Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26335590,2015-01-01,2015-12-31,ID_10,,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzRiLzMxLzAwLzVlNDQtNDk1MS04NDYzLWUzNjUyYTU2MTYwNw.pdf,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzFmLzY3LzVlLzFkMWMtNGFkZi05MDg2LTEwMjRjZTY0Y2U1MQ.xml,"Herning, 7400",Ãstergade 12,Til kapitalejerne i OB Industrilak Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015.",2016-03-09,2001-11-20,2016-03-15,97 12 26 21,26335590.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015 for OB Industrilak Holding ApS.,"Vi har revideret Ã¥rsregnskabet for OB Industrilak Holding ApS for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Toft-Sandgaard,OB Industrilak Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 9. marts 2016",2014-01-01,2014-12-31,-101200.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-12-31,2015-01-01,2016-03-09,Herning,97 12 26 66,RevisionspÃ¥tegning,urn:ofk:oid:22130060,indberetninger-20180424,2.5122128,26335590.0,,2018-03-29T06:09:18.370Z,2016-03-19T08:10:49.411Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-59-JZ,2016-03-19T08:10:49.649Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26335590,2015-01-01,2015-12-31,ID_12,,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzRiLzMxLzAwLzVlNDQtNDk1MS04NDYzLWUzNjUyYTU2MTYwNw.pdf,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzFmLzY3LzVlLzFkMWMtNGFkZi05MDg2LTEwMjRjZTY0Y2U1MQ.xml,"Herning, 7400",Ãstergade 12,Til kapitalejerne i OB Industrilak Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015.",2016-03-09,2001-11-20,2016-03-15,97 12 26 21,26335590.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015 for OB Industrilak Holding ApS.,"Vi har revideret Ã¥rsregnskabet for OB Industrilak Holding ApS for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Toft-Sandgaard,OB Industrilak Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 9. marts 2016",2014-01-01,2014-12-31,18162.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-12-31,2015-01-01,2016-03-09,Herning,97 12 26 66,RevisionspÃ¥tegning,urn:ofk:oid:22130060,indberetninger-20180424,2.5122128,26335590.0,,2018-03-29T06:09:18.370Z,2016-03-19T08:10:49.411Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-59-JZ,2016-03-19T08:10:49.649Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26335590,2015-01-01,2015-12-31,ID_14,,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzRiLzMxLzAwLzVlNDQtNDk1MS04NDYzLWUzNjUyYTU2MTYwNw.pdf,http://regnskaber.virk.dk/09553362/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzFmLzY3LzVlLzFkMWMtNGFkZi05MDg2LTEwMjRjZTY0Y2U1MQ.xml,"Herning, 7400",Ãstergade 12,Til kapitalejerne i OB Industrilak Holding ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015.",2016-03-09,2001-11-20,2016-03-15,97 12 26 21,26335590.0,31626536.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015 for OB Industrilak Holding ApS.,"Vi har revideret Ã¥rsregnskabet for OB Industrilak Holding ApS for regnskabsÃ¥ret 1. januar 2015 - 31. december 2015, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Toft-Sandgaard,OB Industrilak Holding ApS,"ANKER HÃST, registreret revisionsaktieselskab","Herning, den 9. marts 2016",2014-01-01,2014-12-31,-83038.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Herning, 657",2015-12-31,2015-01-01,2016-03-09,Herning,97 12 26 66,RevisionspÃ¥tegning,urn:ofk:oid:22130060,indberetninger-20180424,2.5122128,26335590.0,,2018-03-29T06:09:18.370Z,2016-03-19T08:10:49.411Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AS-59-JZ,2016-03-19T08:10:49.649Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
