entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTradePayables
30496825,2011-01-01,2011-01-01,c476,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8vcGRmcy8zMDQ5NjgyNTtBcFM0MDg3NjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8veGJybHMvWC03Nzc3ODhFNC0yMDEzMDcwMV8wNzUxMTZfODY0.xml,2200  KÃ¸benhavn N,"c/o Carine S. Skovsgaard, Skt. Hans Gade 12, 1.th.",2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.,2013-06-25,2013-06-25,2013-06-25,Andre eksterne omkostninger omfatter omkostninger til administration m.v.,80000.0,30496825.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Uniq Events ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carine S. Skovsgaard,Carine S. Skovsgaard,Uniq Events ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-12-31,2012-01-01,2013-06-25,KÃ¸benhavn,urn:ofk:oid:18744882,indberetninger-20180424,2.5124211,30496825.0,,2018-04-01T13:17:12.031Z,2013-07-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-106.977,2013-07-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,
30496825,2011-01-01,2011-01-01,c494,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8vcGRmcy8zMDQ5NjgyNTtBcFM0MDg3NjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8veGJybHMvWC03Nzc3ODhFNC0yMDEzMDcwMV8wNzUxMTZfODY0.xml,2200  KÃ¸benhavn N,"c/o Carine S. Skovsgaard, Skt. Hans Gade 12, 1.th.",2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.,2013-06-25,2013-06-25,2013-06-25,Andre eksterne omkostninger omfatter omkostninger til administration m.v.,-32000.0,30496825.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Uniq Events ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carine S. Skovsgaard,Carine S. Skovsgaard,Uniq Events ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-12-31,2012-01-01,2013-06-25,KÃ¸benhavn,urn:ofk:oid:18744882,indberetninger-20180424,2.5124211,30496825.0,,2018-04-01T13:17:12.031Z,2013-07-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-106.977,2013-07-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,
30496825,2011-01-01,2011-12-31,c123,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8vcGRmcy8zMDQ5NjgyNTtBcFM0MDg3NjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8veGJybHMvWC03Nzc3ODhFNC0yMDEzMDcwMV8wNzUxMTZfODY0.xml,2200  KÃ¸benhavn N,"c/o Carine S. Skovsgaard, Skt. Hans Gade 12, 1.th.",2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.,2013-06-25,2013-06-25,2013-06-25,Andre eksterne omkostninger omfatter omkostninger til administration m.v.,,30496825.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Uniq Events ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carine S. Skovsgaard,Carine S. Skovsgaard,Uniq Events ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-12-31,2012-01-01,2013-06-25,KÃ¸benhavn,urn:ofk:oid:18744882,indberetninger-20180424,2.5124211,30496825.0,,2018-04-01T13:17:12.031Z,2013-07-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-106.977,2013-07-01T22:00:00.000Z,-17000.0,,,,,,,,,,,,,,,,,
30496825,2011-01-01,2011-12-31,c3,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8vcGRmcy8zMDQ5NjgyNTtBcFM0MDg3NjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8veGJybHMvWC03Nzc3ODhFNC0yMDEzMDcwMV8wNzUxMTZfODY0.xml,2200  KÃ¸benhavn N,"c/o Carine S. Skovsgaard, Skt. Hans Gade 12, 1.th.",2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.,2013-06-25,2013-06-25,2013-06-25,Andre eksterne omkostninger omfatter omkostninger til administration m.v.,,30496825.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Uniq Events ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carine S. Skovsgaard,Carine S. Skovsgaard,Uniq Events ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-12-31,2012-01-01,2013-06-25,KÃ¸benhavn,urn:ofk:oid:18744882,indberetninger-20180424,2.5124211,30496825.0,,2018-04-01T13:17:12.031Z,2013-07-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-106.977,2013-07-01T22:00:00.000Z,-17000.0,-19000.0,-19000.0,-19000.0,-2000.0,,,,,,,,,,,,,
30496825,2011-01-01,2011-12-31,c495,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8vcGRmcy8zMDQ5NjgyNTtBcFM0MDg3NjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8veGJybHMvWC03Nzc3ODhFNC0yMDEzMDcwMV8wNzUxMTZfODY0.xml,2200  KÃ¸benhavn N,"c/o Carine S. Skovsgaard, Skt. Hans Gade 12, 1.th.",2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.,2013-06-25,2013-06-25,2013-06-25,Andre eksterne omkostninger omfatter omkostninger til administration m.v.,,30496825.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Uniq Events ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carine S. Skovsgaard,Carine S. Skovsgaard,Uniq Events ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-12-31,2012-01-01,2013-06-25,KÃ¸benhavn,urn:ofk:oid:18744882,indberetninger-20180424,2.5124211,30496825.0,,2018-04-01T13:17:12.031Z,2013-07-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-106.977,2013-07-01T22:00:00.000Z,-17000.0,,,,,,,,,,,,,,,,,
30496825,2011-12-31,2011-12-31,c4,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8vcGRmcy8zMDQ5NjgyNTtBcFM0MDg3NjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8veGJybHMvWC03Nzc3ODhFNC0yMDEzMDcwMV8wNzUxMTZfODY0.xml,2200  KÃ¸benhavn N,"c/o Carine S. Skovsgaard, Skt. Hans Gade 12, 1.th.",2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.,2013-06-25,2013-06-25,2013-06-25,Andre eksterne omkostninger omfatter omkostninger til administration m.v.,31000.0,30496825.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Uniq Events ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carine S. Skovsgaard,Carine S. Skovsgaard,Uniq Events ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-12-31,2012-01-01,2013-06-25,KÃ¸benhavn,urn:ofk:oid:18744882,indberetninger-20180424,2.5124211,30496825.0,,2018-04-01T13:17:12.031Z,2013-07-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-106.977,2013-07-01T22:00:00.000Z,,,,,,88000.0,80000.0,88000.0,29000.0,88000.0,57000.0,1000.0,55000.0,-49000.0,57000.0,88000.0,4000.0,56000.0
30496825,2011-12-31,2011-12-31,c472,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8vcGRmcy8zMDQ5NjgyNTtBcFM0MDg3NjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8veGJybHMvWC03Nzc3ODhFNC0yMDEzMDcwMV8wNzUxMTZfODY0.xml,2200  KÃ¸benhavn N,"c/o Carine S. Skovsgaard, Skt. Hans Gade 12, 1.th.",2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.,2013-06-25,2013-06-25,2013-06-25,Andre eksterne omkostninger omfatter omkostninger til administration m.v.,80000.0,30496825.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Uniq Events ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carine S. Skovsgaard,Carine S. Skovsgaard,Uniq Events ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-12-31,2012-01-01,2013-06-25,KÃ¸benhavn,urn:ofk:oid:18744882,indberetninger-20180424,2.5124211,30496825.0,,2018-04-01T13:17:12.031Z,2013-07-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-106.977,2013-07-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,
30496825,2011-12-31,2011-12-31,c496,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8vcGRmcy8zMDQ5NjgyNTtBcFM0MDg3NjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8veGJybHMvWC03Nzc3ODhFNC0yMDEzMDcwMV8wNzUxMTZfODY0.xml,2200  KÃ¸benhavn N,"c/o Carine S. Skovsgaard, Skt. Hans Gade 12, 1.th.",2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.,2013-06-25,2013-06-25,2013-06-25,Andre eksterne omkostninger omfatter omkostninger til administration m.v.,-49000.0,30496825.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Uniq Events ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carine S. Skovsgaard,Carine S. Skovsgaard,Uniq Events ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-12-31,2012-01-01,2013-06-25,KÃ¸benhavn,urn:ofk:oid:18744882,indberetninger-20180424,2.5124211,30496825.0,,2018-04-01T13:17:12.031Z,2013-07-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-106.977,2013-07-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,
30496825,2012-01-01,2012-01-01,c199,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8vcGRmcy8zMDQ5NjgyNTtBcFM0MDg3NjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8veGJybHMvWC03Nzc3ODhFNC0yMDEzMDcwMV8wNzUxMTZfODY0.xml,2200  KÃ¸benhavn N,"c/o Carine S. Skovsgaard, Skt. Hans Gade 12, 1.th.",2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.,2013-06-25,2013-06-25,2013-06-25,Andre eksterne omkostninger omfatter omkostninger til administration m.v.,-49018.0,30496825.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Uniq Events ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carine S. Skovsgaard,Carine S. Skovsgaard,Uniq Events ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-12-31,2012-01-01,2013-06-25,KÃ¸benhavn,urn:ofk:oid:18744882,indberetninger-20180424,2.5124211,30496825.0,,2018-04-01T13:17:12.031Z,2013-07-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-106.977,2013-07-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,
30496825,2012-01-01,2012-01-01,c473,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8vcGRmcy8zMDQ5NjgyNTtBcFM0MDg3NjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/52869403/Y3ZyLmRrOi8veGJybHMvWC03Nzc3ODhFNC0yMDEzMDcwMV8wNzUxMTZfODY0.xml,2200  KÃ¸benhavn N,"c/o Carine S. Skovsgaard, Skt. Hans Gade 12, 1.th.",2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012 for opfyldt.,2013-06-25,2013-06-25,2013-06-25,Andre eksterne omkostninger omfatter omkostninger til administration m.v.,80000.0,30496825.0,34209936.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2012 for Uniq Events ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carine S. Skovsgaard,Carine S. Skovsgaard,Uniq Events ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn N,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2012-12-31,2012-01-01,2013-06-25,KÃ¸benhavn,urn:ofk:oid:18744882,indberetninger-20180424,2.5124211,30496825.0,,2018-04-01T13:17:12.031Z,2013-07-01T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-106.977,2013-07-01T22:00:00.000Z,,,,,,,,,,,,,,,,,,
