entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,ExchangeRateLoss,ExchangeRateProfit,GrossProfitLoss,InterestIncomeFromGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLoss,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,PlaceOfSignatureOfStatement,NameAndSurnameOfMemberOfSupervisoryBoard
31592453,2015-01-01,2015-01-01,c696,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2Q4LzY5LzY1LzBjMzYtNDBhMy05NjA2LWQ5NDQ4ZTEyNmVjNw.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzdhLzE2LzQ4LzhiMjAtNGIyYy1iNzk4LTNlMjU2ZjEyMjRlZA.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-29,2017-05-31,-21818.0,Statsaut. revisor,1864475.0,32895468.0,31592453.0,Ãrsrapport,Thomas Thomsen,Hylton James Gray,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-12-31,2016-01-01,2017-03-29,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:24064837,indberetninger-20180424,2.5124211,31592453.0,,2018-03-28T20:31:06.502Z,2017-06-01T23:15:35.284Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-07-XR,2017-06-01T23:15:35.747Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2015-01-01,2015-01-01,c717,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2Q4LzY5LzY1LzBjMzYtNDBhMy05NjA2LWQ5NDQ4ZTEyNmVjNw.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzdhLzE2LzQ4LzhiMjAtNGIyYy1iNzk4LTNlMjU2ZjEyMjRlZA.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-29,2017-05-31,-21818.0,Statsaut. revisor,-1694349.0,32895468.0,31592453.0,Ãrsrapport,Thomas Thomsen,Hylton James Gray,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-12-31,2016-01-01,2017-03-29,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:24064837,indberetninger-20180424,2.5124211,31592453.0,,2018-03-28T20:31:06.502Z,2017-06-01T23:15:35.284Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-07-XR,2017-06-01T23:15:35.747Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2015-01-01,2015-12-31,c54,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2Q4LzY5LzY1LzBjMzYtNDBhMy05NjA2LWQ5NDQ4ZTEyNmVjNw.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzdhLzE2LzQ4LzhiMjAtNGIyYy1iNzk4LTNlMjU2ZjEyMjRlZA.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-29,2017-05-31,-21818.0,Statsaut. revisor,,32895468.0,31592453.0,Ãrsrapport,Thomas Thomsen,Hylton James Gray,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-12-31,2016-01-01,2017-03-29,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:24064837,indberetninger-20180424,2.5124211,31592453.0,,2018-03-28T20:31:06.502Z,2017-06-01T23:15:35.284Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-07-XR,2017-06-01T23:15:35.747Z,12.0,20316.0,5555808.0,0.0,34868.0,5729302.0,114.0,36728.0,100219.0,34982.0,0.0,87941.0,153178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2015-01-01,2015-12-31,c69,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2Q4LzY5LzY1LzBjMzYtNDBhMy05NjA2LWQ5NDQ4ZTEyNmVjNw.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzdhLzE2LzQ4LzhiMjAtNGIyYy1iNzk4LTNlMjU2ZjEyMjRlZA.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-29,2017-05-31,-21818.0,Statsaut. revisor,,32895468.0,31592453.0,Ãrsrapport,Thomas Thomsen,Hylton James Gray,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-12-31,2016-01-01,2017-03-29,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:24064837,indberetninger-20180424,2.5124211,31592453.0,,2018-03-28T20:31:06.502Z,2017-06-01T23:15:35.284Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-07-XR,2017-06-01T23:15:35.747Z,,,,,,,,,,,,87941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2015-12-31,2015-12-31,c70,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2Q4LzY5LzY1LzBjMzYtNDBhMy05NjA2LWQ5NDQ4ZTEyNmVjNw.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzdhLzE2LzQ4LzhiMjAtNGIyYy1iNzk4LTNlMjU2ZjEyMjRlZA.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-29,2017-05-31,-21818.0,Statsaut. revisor,258067.0,32895468.0,31592453.0,Ãrsrapport,Thomas Thomsen,Hylton James Gray,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-12-31,2016-01-01,2017-03-29,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:24064837,indberetninger-20180424,2.5124211,31592453.0,,2018-03-28T20:31:06.502Z,2017-06-01T23:15:35.284Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-07-XR,2017-06-01T23:15:35.747Z,,,,,,,,,,,,,,7571864.0,315251.0,577721.0,1864475.0,7381347.0,19995.0,70504.0,7571864.0,7313797.0,120013.0,190517.0,120013.0,1387086.0,21922.0,70504.0,-1606408.0,7313797.0,2181801.0,7066096.0,87453.0,627882.0,3744910.0,5731123.0,,,,
31592453,2016-01-01,2016-01-01,c206,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2Q4LzY5LzY1LzBjMzYtNDBhMy05NjA2LWQ5NDQ4ZTEyNmVjNw.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzdhLzE2LzQ4LzhiMjAtNGIyYy1iNzk4LTNlMjU2ZjEyMjRlZA.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-29,2017-05-31,-21818.0,Statsaut. revisor,,32895468.0,31592453.0,Ãrsrapport,Thomas Thomsen,Hylton James Gray,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-12-31,2016-01-01,2017-03-29,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:24064837,indberetninger-20180424,2.5124211,31592453.0,,2018-03-28T20:31:06.502Z,2017-06-01T23:15:35.284Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-07-XR,2017-06-01T23:15:35.747Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-147678.0,218182.0,,
31592453,2016-01-01,2016-12-31,c1,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2Q4LzY5LzY1LzBjMzYtNDBhMy05NjA2LWQ5NDQ4ZTEyNmVjNw.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzdhLzE2LzQ4LzhiMjAtNGIyYy1iNzk4LTNlMjU2ZjEyMjRlZA.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-29,2017-05-31,-21818.0,Statsaut. revisor,,32895468.0,31592453.0,Ãrsrapport,Thomas Thomsen,Hylton James Gray,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-12-31,2016-01-01,2017-03-29,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:24064837,indberetninger-20180424,2.5124211,31592453.0,,2018-03-28T20:31:06.502Z,2017-06-01T23:15:35.284Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-07-XR,2017-06-01T23:15:35.747Z,12.0,21818.0,6610511.0,28834.0,0.0,4738246.0,374.0,35970.0,101495.0,374.0,10.0,-1995204.0,-1894083.0,,,,,,,,,,,,,,,,,,,,,,,,,,Holte,
31592453,2016-01-01,2016-12-31,c1967,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2Q4LzY5LzY1LzBjMzYtNDBhMy05NjA2LWQ5NDQ4ZTEyNmVjNw.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzdhLzE2LzQ4LzhiMjAtNGIyYy1iNzk4LTNlMjU2ZjEyMjRlZA.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-29,2017-05-31,-21818.0,Statsaut. revisor,,32895468.0,31592453.0,Ãrsrapport,Thomas Thomsen,Hylton James Gray,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-12-31,2016-01-01,2017-03-29,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:24064837,indberetninger-20180424,2.5124211,31592453.0,,2018-03-28T20:31:06.502Z,2017-06-01T23:15:35.284Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-07-XR,2017-06-01T23:15:35.747Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2016-01-01,2016-12-31,c207,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2Q4LzY5LzY1LzBjMzYtNDBhMy05NjA2LWQ5NDQ4ZTEyNmVjNw.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzdhLzE2LzQ4LzhiMjAtNGIyYy1iNzk4LTNlMjU2ZjEyMjRlZA.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-29,2017-05-31,-21818.0,Statsaut. revisor,,32895468.0,31592453.0,Ãrsrapport,Thomas Thomsen,Hylton James Gray,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-12-31,2016-01-01,2017-03-29,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:24064837,indberetninger-20180424,2.5124211,31592453.0,,2018-03-28T20:31:06.502Z,2017-06-01T23:15:35.284Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-07-XR,2017-06-01T23:15:35.747Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2016-01-01,2016-12-31,c68,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2Q4LzY5LzY1LzBjMzYtNDBhMy05NjA2LWQ5NDQ4ZTEyNmVjNw.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzdhLzE2LzQ4LzhiMjAtNGIyYy1iNzk4LTNlMjU2ZjEyMjRlZA.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-03-29,2017-05-31,-21818.0,Statsaut. revisor,,32895468.0,31592453.0,Ãrsrapport,Thomas Thomsen,Hylton James Gray,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-12-31,2016-01-01,2017-03-29,KÃ¸benhavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:24064837,indberetninger-20180424,2.5124211,31592453.0,,2018-03-28T20:31:06.502Z,2017-06-01T23:15:35.284Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-07-XR,2017-06-01T23:15:35.747Z,,,,,,,,,,,,-1995204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
