entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,ExchangeRateLoss,GrossProfitLoss,InterestIncomeFromGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLoss,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameAndSurnameOfMemberOfSupervisoryBoard
31592453,2016-01-01,2016-01-01,c696,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzg0LzAwL2ZhL2JkL2QxNTctNGFhYy1iMWU0LTdkMWZhZjgyYjQzMQ.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzFlLzE4LzcwL2VkODYtNDBkMC04YjFlLWQ2MmExZDQ0ZjJjNQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-02-01,2018-03-02,-21819.0,Statsaut. revisor,1864475.0,32895468.0,31592453.0,mne34079,Ãrsrapport,Thomas Thomsen,Jesper Nymann Edvardsen,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-01-01,2016-12-31,Holte,2017-12-31,2017-01-01,2018-02-01,SÃ¸borg,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:25422448,indberetninger-20180424,2.5097417999999996,31592453.0,AWM67xK6x8uVRSOdgUWY,2018-05-07T14:09:25.620Z,2018-05-07T14:08:55.154Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-84-US,2018-05-07T14:08:55.351Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2016-01-01,2016-01-01,c717,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzg0LzAwL2ZhL2JkL2QxNTctNGFhYy1iMWU0LTdkMWZhZjgyYjQzMQ.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzFlLzE4LzcwL2VkODYtNDBkMC04YjFlLWQ2MmExZDQ0ZjJjNQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-02-01,2018-03-02,-21819.0,Statsaut. revisor,-1606408.0,32895468.0,31592453.0,mne34079,Ãrsrapport,Thomas Thomsen,Jesper Nymann Edvardsen,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-01-01,2016-12-31,Holte,2017-12-31,2017-01-01,2018-02-01,SÃ¸borg,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:25422448,indberetninger-20180424,2.5097417999999996,31592453.0,AWM67xK6x8uVRSOdgUWY,2018-05-07T14:09:25.620Z,2018-05-07T14:08:55.154Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-84-US,2018-05-07T14:08:55.351Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2016-01-01,2016-12-31,c54,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzg0LzAwL2ZhL2JkL2QxNTctNGFhYy1iMWU0LTdkMWZhZjgyYjQzMQ.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzFlLzE4LzcwL2VkODYtNDBkMC04YjFlLWQ2MmExZDQ0ZjJjNQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-02-01,2018-03-02,-21819.0,Statsaut. revisor,,32895468.0,31592453.0,mne34079,Ãrsrapport,Thomas Thomsen,Jesper Nymann Edvardsen,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-01-01,2016-12-31,Holte,2017-12-31,2017-01-01,2018-02-01,SÃ¸borg,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:25422448,indberetninger-20180424,2.5097417999999996,31592453.0,AWM67xK6x8uVRSOdgUWY,2018-05-07T14:09:25.620Z,2018-05-07T14:08:55.154Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-84-US,2018-05-07T14:08:55.351Z,12.0,21818.0,6610511.0,28834.0,4738246.0,374.0,35970.0,101495.0,374.0,10.0,-1995204.0,-1894083.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2016-01-01,2016-12-31,c69,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzg0LzAwL2ZhL2JkL2QxNTctNGFhYy1iMWU0LTdkMWZhZjgyYjQzMQ.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzFlLzE4LzcwL2VkODYtNDBkMC04YjFlLWQ2MmExZDQ0ZjJjNQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-02-01,2018-03-02,-21819.0,Statsaut. revisor,,32895468.0,31592453.0,mne34079,Ãrsrapport,Thomas Thomsen,Jesper Nymann Edvardsen,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-01-01,2016-12-31,Holte,2017-12-31,2017-01-01,2018-02-01,SÃ¸borg,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:25422448,indberetninger-20180424,2.5097417999999996,31592453.0,AWM67xK6x8uVRSOdgUWY,2018-05-07T14:09:25.620Z,2018-05-07T14:08:55.154Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-84-US,2018-05-07T14:08:55.351Z,,,,,,,,,,,-1995204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2016-12-31,2016-12-31,c70,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzg0LzAwL2ZhL2JkL2QxNTctNGFhYy1iMWU0LTdkMWZhZjgyYjQzMQ.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzFlLzE4LzcwL2VkODYtNDBkMC04YjFlLWQ2MmExZDQ0ZjJjNQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-02-01,2018-03-02,-21819.0,Statsaut. revisor,-1737137.0,32895468.0,31592453.0,mne34079,Ãrsrapport,Thomas Thomsen,Jesper Nymann Edvardsen,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-01-01,2016-12-31,Holte,2017-12-31,2017-01-01,2018-02-01,SÃ¸borg,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:25422448,indberetninger-20180424,2.5097417999999996,31592453.0,AWM67xK6x8uVRSOdgUWY,2018-05-07T14:09:25.620Z,2018-05-07T14:08:55.154Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-84-US,2018-05-07T14:08:55.351Z,,,,,,,,,,,,,,7015080.0,39930.0,804781.0,1864475.0,6845132.0,18217.0,48686.0,7015080.0,8752217.0,121262.0,169948.0,121262.0,1459444.0,17371.0,48686.0,-3601612.0,8752217.0,2506241.0,6805202.0,50053.0,758857.0,4786532.0,5155923.0,,,
31592453,2017-01-01,2017-01-01,c206,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzg0LzAwL2ZhL2JkL2QxNTctNGFhYy1iMWU0LTdkMWZhZjgyYjQzMQ.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzFlLzE4LzcwL2VkODYtNDBkMC04YjFlLWQ2MmExZDQ0ZjJjNQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-02-01,2018-03-02,-21819.0,Statsaut. revisor,,32895468.0,31592453.0,mne34079,Ãrsrapport,Thomas Thomsen,Jesper Nymann Edvardsen,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-01-01,2016-12-31,Holte,2017-12-31,2017-01-01,2018-02-01,SÃ¸borg,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:25422448,indberetninger-20180424,2.5097417999999996,31592453.0,AWM67xK6x8uVRSOdgUWY,2018-05-07T14:09:25.620Z,2018-05-07T14:08:55.154Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-84-US,2018-05-07T14:08:55.351Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-169496.0,218182.0,
31592453,2017-01-01,2017-12-31,c1,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzg0LzAwL2ZhL2JkL2QxNTctNGFhYy1iMWU0LTdkMWZhZjgyYjQzMQ.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzFlLzE4LzcwL2VkODYtNDBkMC04YjFlLWQ2MmExZDQ0ZjJjNQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-02-01,2018-03-02,-21819.0,Statsaut. revisor,,32895468.0,31592453.0,mne34079,Ãrsrapport,Thomas Thomsen,Jesper Nymann Edvardsen,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-01-01,2016-12-31,Holte,2017-12-31,2017-01-01,2018-02-01,SÃ¸borg,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:25422448,indberetninger-20180424,2.5097417999999996,31592453.0,AWM67xK6x8uVRSOdgUWY,2018-05-07T14:09:25.620Z,2018-05-07T14:08:55.154Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-84-US,2018-05-07T14:08:55.351Z,10.0,21819.0,5602770.0,23867.0,5987006.0,0.0,48586.0,142948.0,0.0,11.0,219469.0,362417.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2017-01-01,2017-12-31,c1963,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzg0LzAwL2ZhL2JkL2QxNTctNGFhYy1iMWU0LTdkMWZhZjgyYjQzMQ.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzFlLzE4LzcwL2VkODYtNDBkMC04YjFlLWQ2MmExZDQ0ZjJjNQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-02-01,2018-03-02,-21819.0,Statsaut. revisor,,32895468.0,31592453.0,mne34079,Ãrsrapport,Thomas Thomsen,Jesper Nymann Edvardsen,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-01-01,2016-12-31,Holte,2017-12-31,2017-01-01,2018-02-01,SÃ¸borg,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:25422448,indberetninger-20180424,2.5097417999999996,31592453.0,AWM67xK6x8uVRSOdgUWY,2018-05-07T14:09:25.620Z,2018-05-07T14:08:55.154Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-84-US,2018-05-07T14:08:55.351Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2017-01-01,2017-12-31,c207,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzg0LzAwL2ZhL2JkL2QxNTctNGFhYy1iMWU0LTdkMWZhZjgyYjQzMQ.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzFlLzE4LzcwL2VkODYtNDBkMC04YjFlLWQ2MmExZDQ0ZjJjNQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-02-01,2018-03-02,-21819.0,Statsaut. revisor,,32895468.0,31592453.0,mne34079,Ãrsrapport,Thomas Thomsen,Jesper Nymann Edvardsen,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-01-01,2016-12-31,Holte,2017-12-31,2017-01-01,2018-02-01,SÃ¸borg,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:25422448,indberetninger-20180424,2.5097417999999996,31592453.0,AWM67xK6x8uVRSOdgUWY,2018-05-07T14:09:25.620Z,2018-05-07T14:08:55.154Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-84-US,2018-05-07T14:08:55.351Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31592453,2017-01-01,2017-12-31,c68,,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzg0LzAwL2ZhL2JkL2QxNTctNGFhYy1iMWU0LTdkMWZhZjgyYjQzMQ.pdf,http://regnskaber.virk.dk/35429513/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzFlLzE4LzcwL2VkODYtNDBkMC04YjFlLWQ2MmExZDQ0ZjJjNQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Holte,2840.0,"15, 3. sal",RÃ¸jelskÃ¦r,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-02-01,2018-03-02,-21819.0,Statsaut. revisor,,32895468.0,31592453.0,mne34079,Ãrsrapport,Thomas Thomsen,Jesper Nymann Edvardsen,Jesper Nymann Edvardsen,Beierholm,RÃ¶hlig Danmark ApS,Beierholm,Holte,2016-01-01,2016-12-31,Holte,2017-12-31,2017-01-01,2018-02-01,SÃ¸borg,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:25422448,indberetninger-20180424,2.5097417999999996,31592453.0,AWM67xK6x8uVRSOdgUWY,2018-05-07T14:09:25.620Z,2018-05-07T14:08:55.154Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-84-US,2018-05-07T14:08:55.351Z,,,,,,,,,,,219469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
