entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfOtherOperatingExpenses,DisclosureOfOtherOperatingIncome,EmployeeBenefitsExpense,ExtraordinaryProfitLossBeforeTax,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnExtraordinaryEvents,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividend,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8vcGRmcy8yODE0NTA5ODtBcFMzMzgzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8veGJybHMvWC01RjkyQTZCRi0yMDEzMDYwNl8xMDQ3MTVfNTgx.xml,"6715, Esbjerg N",LillebÃ¦ltsvej 41,"7100, Vejle","Porschevej 3, 1.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2004-12-01,2013-05-31,1020743.0,Registreret revisor,. Andre driftsomkostninger,. Andre driftsindtÃ¦gter,2418718.0,-1498621.0,-5014401.0,19553876.0,28145098.0,19553876.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Esbjerg Maskinstation ApS.,Ãrsrapport,Arne M. Jakobsen,Flemming Jensen,"LDM Revision, Registreret Revisionsanpartsselskab",Esbjerg Maskinstation ApS,"LDM Revision, Registreret Revisionsanpartsselskab",78842.0,-2523.0,-1117871.0,-1574940.0,"Esbjerg, 561",2012-12-31,2012-01-01,2013-03-11,Vejle,380750.0,urn:ofk:oid:16180182,indberetninger-20180424,2.5118437,28145098.0,,2018-04-01T21:36:05.088Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-76.539,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_14,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8vcGRmcy8yODE0NTA5ODtBcFMzMzgzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8veGJybHMvWC01RjkyQTZCRi0yMDEzMDYwNl8xMDQ3MTVfNTgx.xml,"6715, Esbjerg N",LillebÃ¦ltsvej 41,"7100, Vejle","Porschevej 3, 1.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2004-12-01,2013-05-31,,Registreret revisor,. Andre driftsomkostninger,. Andre driftsindtÃ¦gter,,,,19553876.0,28145098.0,19553876.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Esbjerg Maskinstation ApS.,Ãrsrapport,Arne M. Jakobsen,Flemming Jensen,"LDM Revision, Registreret Revisionsanpartsselskab",Esbjerg Maskinstation ApS,"LDM Revision, Registreret Revisionsanpartsselskab",,,96600.0,,"Esbjerg, 561",2012-12-31,2012-01-01,2013-03-11,Vejle,,urn:ofk:oid:16180182,indberetninger-20180424,2.5118437,28145098.0,,2018-04-01T21:36:05.088Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-76.539,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_16,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8vcGRmcy8yODE0NTA5ODtBcFMzMzgzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8veGJybHMvWC01RjkyQTZCRi0yMDEzMDYwNl8xMDQ3MTVfNTgx.xml,"6715, Esbjerg N",LillebÃ¦ltsvej 41,"7100, Vejle","Porschevej 3, 1.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2004-12-01,2013-05-31,,Registreret revisor,. Andre driftsomkostninger,. Andre driftsindtÃ¦gter,,,,19553876.0,28145098.0,19553876.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Esbjerg Maskinstation ApS.,Ãrsrapport,Arne M. Jakobsen,Flemming Jensen,"LDM Revision, Registreret Revisionsanpartsselskab",Esbjerg Maskinstation ApS,"LDM Revision, Registreret Revisionsanpartsselskab",,,1021271.0,,"Esbjerg, 561",2012-12-31,2012-01-01,2013-03-11,Vejle,,urn:ofk:oid:16180182,indberetninger-20180424,2.5118437,28145098.0,,2018-04-01T21:36:05.088Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-76.539,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_18,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8vcGRmcy8yODE0NTA5ODtBcFMzMzgzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8veGJybHMvWC01RjkyQTZCRi0yMDEzMDYwNl8xMDQ3MTVfNTgx.xml,"6715, Esbjerg N",LillebÃ¦ltsvej 41,"7100, Vejle","Porschevej 3, 1.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2004-12-01,2013-05-31,,Registreret revisor,. Andre driftsomkostninger,. Andre driftsindtÃ¦gter,,,,19553876.0,28145098.0,19553876.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Esbjerg Maskinstation ApS.,Ãrsrapport,Arne M. Jakobsen,Flemming Jensen,"LDM Revision, Registreret Revisionsanpartsselskab",Esbjerg Maskinstation ApS,"LDM Revision, Registreret Revisionsanpartsselskab",,,1117871.0,,"Esbjerg, 561",2012-12-31,2012-01-01,2013-03-11,Vejle,,urn:ofk:oid:16180182,indberetninger-20180424,2.5118437,28145098.0,,2018-04-01T21:36:05.088Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-76.539,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_20,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8vcGRmcy8yODE0NTA5ODtBcFMzMzgzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8veGJybHMvWC01RjkyQTZCRi0yMDEzMDYwNl8xMDQ3MTVfNTgx.xml,"6715, Esbjerg N",LillebÃ¦ltsvej 41,"7100, Vejle","Porschevej 3, 1.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2004-12-01,2013-05-31,,Registreret revisor,. Andre driftsomkostninger,. Andre driftsindtÃ¦gter,,,,19553876.0,28145098.0,19553876.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Esbjerg Maskinstation ApS.,Ãrsrapport,Arne M. Jakobsen,Flemming Jensen,"LDM Revision, Registreret Revisionsanpartsselskab",Esbjerg Maskinstation ApS,"LDM Revision, Registreret Revisionsanpartsselskab",,,,,"Esbjerg, 561",2012-12-31,2012-01-01,2013-03-11,Vejle,,urn:ofk:oid:16180182,indberetninger-20180424,2.5118437,28145098.0,,2018-04-01T21:36:05.088Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-76.539,2013-06-07T22:00:00.000Z,12501749.0,555.0,-130000.0,493778.0,0.0,-5123702.0,3214831.0,48000.0,48000.0,321309.0,8745140.0,-12501749.0,-6955947.0,-5443728.0,-5443728.0,321309.0,12007971.0,258219.0,11959971.0,-96600.0,-422100.0,-422100.0,-4993702.0,-775124.0,-1512219.0,-50000.0,171914.0,-308550.0,-540164.0,171914.0,,
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8vcGRmcy8yODE0NTA5ODtBcFMzMzgzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8veGJybHMvWC01RjkyQTZCRi0yMDEzMDYwNl8xMDQ3MTVfNTgx.xml,"6715, Esbjerg N",LillebÃ¦ltsvej 41,"7100, Vejle","Porschevej 3, 1.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2004-12-01,2013-05-31,,Registreret revisor,. Andre driftsomkostninger,. Andre driftsindtÃ¦gter,,,,19553876.0,28145098.0,19553876.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Esbjerg Maskinstation ApS.,Ãrsrapport,Arne M. Jakobsen,Flemming Jensen,"LDM Revision, Registreret Revisionsanpartsselskab",Esbjerg Maskinstation ApS,"LDM Revision, Registreret Revisionsanpartsselskab",,,,,"Esbjerg, 561",2012-12-31,2012-01-01,2013-03-11,Vejle,,urn:ofk:oid:16180182,indberetninger-20180424,2.5118437,28145098.0,,2018-04-01T21:36:05.088Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-76.539,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8vcGRmcy8yODE0NTA5ODtBcFMzMzgzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8veGJybHMvWC01RjkyQTZCRi0yMDEzMDYwNl8xMDQ3MTVfNTgx.xml,"6715, Esbjerg N",LillebÃ¦ltsvej 41,"7100, Vejle","Porschevej 3, 1.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2004-12-01,2013-05-31,,Registreret revisor,. Andre driftsomkostninger,. Andre driftsindtÃ¦gter,,,,19553876.0,28145098.0,19553876.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Esbjerg Maskinstation ApS.,Ãrsrapport,Arne M. Jakobsen,Flemming Jensen,"LDM Revision, Registreret Revisionsanpartsselskab",Esbjerg Maskinstation ApS,"LDM Revision, Registreret Revisionsanpartsselskab",,,,,"Esbjerg, 561",2012-12-31,2012-01-01,2013-03-11,Vejle,,urn:ofk:oid:16180182,indberetninger-20180424,2.5118437,28145098.0,,2018-04-01T21:36:05.088Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-76.539,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8vcGRmcy8yODE0NTA5ODtBcFMzMzgzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8veGJybHMvWC01RjkyQTZCRi0yMDEzMDYwNl8xMDQ3MTVfNTgx.xml,"6715, Esbjerg N",LillebÃ¦ltsvej 41,"7100, Vejle","Porschevej 3, 1.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2004-12-01,2013-05-31,,Registreret revisor,. Andre driftsomkostninger,. Andre driftsindtÃ¦gter,,,,19553876.0,28145098.0,19553876.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Esbjerg Maskinstation ApS.,Ãrsrapport,Arne M. Jakobsen,Flemming Jensen,"LDM Revision, Registreret Revisionsanpartsselskab",Esbjerg Maskinstation ApS,"LDM Revision, Registreret Revisionsanpartsselskab",,,,,"Esbjerg, 561",2012-12-31,2012-01-01,2013-03-11,Vejle,,urn:ofk:oid:16180182,indberetninger-20180424,2.5118437,28145098.0,,2018-04-01T21:36:05.088Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-76.539,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8vcGRmcy8yODE0NTA5ODtBcFMzMzgzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8veGJybHMvWC01RjkyQTZCRi0yMDEzMDYwNl8xMDQ3MTVfNTgx.xml,"6715, Esbjerg N",LillebÃ¦ltsvej 41,"7100, Vejle","Porschevej 3, 1.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2004-12-01,2013-05-31,973607.0,Registreret revisor,. Andre driftsomkostninger,. Andre driftsindtÃ¦gter,2440179.0,-823784.0,-4445464.0,19553876.0,28145098.0,19553876.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Esbjerg Maskinstation ApS.,Ãrsrapport,Arne M. Jakobsen,Flemming Jensen,"LDM Revision, Registreret Revisionsanpartsselskab",Esbjerg Maskinstation ApS,"LDM Revision, Registreret Revisionsanpartsselskab",208737.0,-843.0,-613359.0,-1031678.0,"Esbjerg, 561",2012-12-31,2012-01-01,2013-03-11,Vejle,210425.0,urn:ofk:oid:16180182,indberetninger-20180424,2.5118437,28145098.0,,2018-04-01T21:36:05.088Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-76.539,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8vcGRmcy8yODE0NTA5ODtBcFMzMzgzMDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/89054182/Y3ZyLmRrOi8veGJybHMvWC01RjkyQTZCRi0yMDEzMDYwNl8xMDQ3MTVfNTgx.xml,"6715, Esbjerg N",LillebÃ¦ltsvej 41,"7100, Vejle","Porschevej 3, 1.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2004-12-01,2013-05-31,,Registreret revisor,. Andre driftsomkostninger,. Andre driftsindtÃ¦gter,,,,19553876.0,28145098.0,19553876.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Esbjerg Maskinstation ApS.,Ãrsrapport,Arne M. Jakobsen,Flemming Jensen,"LDM Revision, Registreret Revisionsanpartsselskab",Esbjerg Maskinstation ApS,"LDM Revision, Registreret Revisionsanpartsselskab",,,96600.0,,"Esbjerg, 561",2012-12-31,2012-01-01,2013-03-11,Vejle,,urn:ofk:oid:16180182,indberetninger-20180424,2.5118437,28145098.0,,2018-04-01T21:36:05.088Z,2013-06-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-76.539,2013-06-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
