entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCostOfSales,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,EmailOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
26512565,2017-01-01,2017-01-01,c720,,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzY3Lzk3LzkzL2QyYmYtNDQwMC04MmNiLTBjYjM0ZjFmOTEwYQ.pdf,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2Lzk1LzUyLzI3L2QzM2QtNGVmNC05NGYwLTMxNTNiOWZkYmE2OA.xml,Danmark,Fredericia,7000.0,60.0,Fredericia,7000.0,23.0,Snaremosevej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-22,2019-03-22,2019-05-06,statsautoriseret revisor,Direkte omkostninger omfatter omkostninger til kÃ¸b af handelsvarer med fradrag af rabatter.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, lokaler og administration.",fredericia@brandtrevision.dk,125000.0,25492145.0,26512565.0,25492145.0,mne27866,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Black ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Pedersen,Anders Bitsch Christiansen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Black ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Fredericia,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,2019-03-22,Fredericia,76 34 40 05,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27130227,indberetninger-20180424,2.5097342,26512565.0,AWqxaRFsRYGX6_YTHo8u,2019-05-13T13:37:02.667Z,2019-05-13T13:36:53.764Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-21-TZ,2019-05-13T13:36:53.888Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26512565,2017-01-01,2017-01-01,c741,,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzY3Lzk3LzkzL2QyYmYtNDQwMC04MmNiLTBjYjM0ZjFmOTEwYQ.pdf,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2Lzk1LzUyLzI3L2QzM2QtNGVmNC05NGYwLTMxNTNiOWZkYmE2OA.xml,Danmark,Fredericia,7000.0,60.0,Fredericia,7000.0,23.0,Snaremosevej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-22,2019-03-22,2019-05-06,statsautoriseret revisor,Direkte omkostninger omfatter omkostninger til kÃ¸b af handelsvarer med fradrag af rabatter.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, lokaler og administration.",fredericia@brandtrevision.dk,490346.0,25492145.0,26512565.0,25492145.0,mne27866,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Black ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Pedersen,Anders Bitsch Christiansen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Black ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Fredericia,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,2019-03-22,Fredericia,76 34 40 05,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27130227,indberetninger-20180424,2.5097342,26512565.0,AWqxaRFsRYGX6_YTHo8u,2019-05-13T13:37:02.667Z,2019-05-13T13:36:53.764Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-21-TZ,2019-05-13T13:36:53.888Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26512565,2017-01-01,2017-12-31,c123,,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzY3Lzk3LzkzL2QyYmYtNDQwMC04MmNiLTBjYjM0ZjFmOTEwYQ.pdf,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2Lzk1LzUyLzI3L2QzM2QtNGVmNC05NGYwLTMxNTNiOWZkYmE2OA.xml,Danmark,Fredericia,7000.0,60.0,Fredericia,7000.0,23.0,Snaremosevej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-22,2019-03-22,2019-05-06,statsautoriseret revisor,Direkte omkostninger omfatter omkostninger til kÃ¸b af handelsvarer med fradrag af rabatter.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, lokaler og administration.",fredericia@brandtrevision.dk,,25492145.0,26512565.0,25492145.0,mne27866,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Black ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Pedersen,Anders Bitsch Christiansen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Black ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Fredericia,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,2019-03-22,Fredericia,76 34 40 05,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27130227,indberetninger-20180424,2.5097342,26512565.0,AWqxaRFsRYGX6_YTHo8u,2019-05-13T13:37:02.667Z,2019-05-13T13:36:53.764Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-21-TZ,2019-05-13T13:36:53.888Z,140466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26512565,2017-01-01,2017-12-31,c3,,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzY3Lzk3LzkzL2QyYmYtNDQwMC04MmNiLTBjYjM0ZjFmOTEwYQ.pdf,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2Lzk1LzUyLzI3L2QzM2QtNGVmNC05NGYwLTMxNTNiOWZkYmE2OA.xml,Danmark,Fredericia,7000.0,60.0,Fredericia,7000.0,23.0,Snaremosevej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-22,2019-03-22,2019-05-06,statsautoriseret revisor,Direkte omkostninger omfatter omkostninger til kÃ¸b af handelsvarer med fradrag af rabatter.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, lokaler og administration.",fredericia@brandtrevision.dk,,25492145.0,26512565.0,25492145.0,mne27866,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Black ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Pedersen,Anders Bitsch Christiansen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Black ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Fredericia,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,2019-03-22,Fredericia,76 34 40 05,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27130227,indberetninger-20180424,2.5097342,26512565.0,AWqxaRFsRYGX6_YTHo8u,2019-05-13T13:37:02.667Z,2019-05-13T13:36:53.764Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-21-TZ,2019-05-13T13:36:53.888Z,140466.0,4.0,14886.0,1339179.0,1577658.0,124443.0,2783.0,0.0,220810.0,223593.0,11739.0,80344.0,1202997.0,,,,,,,,,,,,,,,,,,,,,
26512565,2017-01-01,2017-12-31,c742,,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzY3Lzk3LzkzL2QyYmYtNDQwMC04MmNiLTBjYjM0ZjFmOTEwYQ.pdf,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2Lzk1LzUyLzI3L2QzM2QtNGVmNC05NGYwLTMxNTNiOWZkYmE2OA.xml,Danmark,Fredericia,7000.0,60.0,Fredericia,7000.0,23.0,Snaremosevej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-22,2019-03-22,2019-05-06,statsautoriseret revisor,Direkte omkostninger omfatter omkostninger til kÃ¸b af handelsvarer med fradrag af rabatter.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, lokaler og administration.",fredericia@brandtrevision.dk,,25492145.0,26512565.0,25492145.0,mne27866,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Black ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Pedersen,Anders Bitsch Christiansen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Black ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Fredericia,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,2019-03-22,Fredericia,76 34 40 05,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27130227,indberetninger-20180424,2.5097342,26512565.0,AWqxaRFsRYGX6_YTHo8u,2019-05-13T13:37:02.667Z,2019-05-13T13:36:53.764Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-21-TZ,2019-05-13T13:36:53.888Z,140466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26512565,2017-12-31,2017-12-31,c4,,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzY3Lzk3LzkzL2QyYmYtNDQwMC04MmNiLTBjYjM0ZjFmOTEwYQ.pdf,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2Lzk1LzUyLzI3L2QzM2QtNGVmNC05NGYwLTMxNTNiOWZkYmE2OA.xml,Danmark,Fredericia,7000.0,60.0,Fredericia,7000.0,23.0,Snaremosevej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-22,2019-03-22,2019-05-06,statsautoriseret revisor,Direkte omkostninger omfatter omkostninger til kÃ¸b af handelsvarer med fradrag af rabatter.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, lokaler og administration.",fredericia@brandtrevision.dk,755812.0,25492145.0,26512565.0,25492145.0,mne27866,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Black ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Pedersen,Anders Bitsch Christiansen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Black ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Fredericia,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,2019-03-22,Fredericia,76 34 40 05,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27130227,indberetninger-20180424,2.5097342,26512565.0,AWqxaRFsRYGX6_YTHo8u,2019-05-13T13:37:02.667Z,2019-05-13T13:36:53.764Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-21-TZ,2019-05-13T13:36:53.888Z,,,,,,,,,,,,,,1632907.0,10899.0,150000.0,125000.0,1602996.0,29911.0,1632907.0,877095.0,29911.0,413246.0,10000.0,29911.0,630812.0,877095.0,175828.0,1592097.0,409110.0,80344.0,207677.0,1022987.0,
26512565,2017-12-31,2017-12-31,c722,,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzY3Lzk3LzkzL2QyYmYtNDQwMC04MmNiLTBjYjM0ZjFmOTEwYQ.pdf,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2Lzk1LzUyLzI3L2QzM2QtNGVmNC05NGYwLTMxNTNiOWZkYmE2OA.xml,Danmark,Fredericia,7000.0,60.0,Fredericia,7000.0,23.0,Snaremosevej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-22,2019-03-22,2019-05-06,statsautoriseret revisor,Direkte omkostninger omfatter omkostninger til kÃ¸b af handelsvarer med fradrag af rabatter.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, lokaler og administration.",fredericia@brandtrevision.dk,125000.0,25492145.0,26512565.0,25492145.0,mne27866,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Black ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Pedersen,Anders Bitsch Christiansen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Black ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Fredericia,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,2019-03-22,Fredericia,76 34 40 05,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27130227,indberetninger-20180424,2.5097342,26512565.0,AWqxaRFsRYGX6_YTHo8u,2019-05-13T13:37:02.667Z,2019-05-13T13:36:53.764Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-21-TZ,2019-05-13T13:36:53.888Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26512565,2017-12-31,2017-12-31,c743,,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzY3Lzk3LzkzL2QyYmYtNDQwMC04MmNiLTBjYjM0ZjFmOTEwYQ.pdf,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2Lzk1LzUyLzI3L2QzM2QtNGVmNC05NGYwLTMxNTNiOWZkYmE2OA.xml,Danmark,Fredericia,7000.0,60.0,Fredericia,7000.0,23.0,Snaremosevej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-22,2019-03-22,2019-05-06,statsautoriseret revisor,Direkte omkostninger omfatter omkostninger til kÃ¸b af handelsvarer med fradrag af rabatter.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, lokaler og administration.",fredericia@brandtrevision.dk,630812.0,25492145.0,26512565.0,25492145.0,mne27866,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Black ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Pedersen,Anders Bitsch Christiansen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Black ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Fredericia,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,2019-03-22,Fredericia,76 34 40 05,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27130227,indberetninger-20180424,2.5097342,26512565.0,AWqxaRFsRYGX6_YTHo8u,2019-05-13T13:37:02.667Z,2019-05-13T13:36:53.764Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-21-TZ,2019-05-13T13:36:53.888Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26512565,2018-01-01,2018-01-01,c181,,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzY3Lzk3LzkzL2QyYmYtNDQwMC04MmNiLTBjYjM0ZjFmOTEwYQ.pdf,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2Lzk1LzUyLzI3L2QzM2QtNGVmNC05NGYwLTMxNTNiOWZkYmE2OA.xml,Danmark,Fredericia,7000.0,60.0,Fredericia,7000.0,23.0,Snaremosevej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-22,2019-03-22,2019-05-06,statsautoriseret revisor,Direkte omkostninger omfatter omkostninger til kÃ¸b af handelsvarer med fradrag af rabatter.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, lokaler og administration.",fredericia@brandtrevision.dk,125000.0,25492145.0,26512565.0,25492145.0,mne27866,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Black ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Pedersen,Anders Bitsch Christiansen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Black ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Fredericia,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,2019-03-22,Fredericia,76 34 40 05,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27130227,indberetninger-20180424,2.5097342,26512565.0,AWqxaRFsRYGX6_YTHo8u,2019-05-13T13:37:02.667Z,2019-05-13T13:36:53.764Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-21-TZ,2019-05-13T13:36:53.888Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26512565,2018-01-01,2018-01-01,c199,,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzY3Lzk3LzkzL2QyYmYtNDQwMC04MmNiLTBjYjM0ZjFmOTEwYQ.pdf,http://regnskaber.virk.dk/56521562/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2Lzk1LzUyLzI3L2QzM2QtNGVmNC05NGYwLTMxNTNiOWZkYmE2OA.xml,Danmark,Fredericia,7000.0,60.0,Fredericia,7000.0,23.0,Snaremosevej,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-03-22,2019-03-22,2019-05-06,statsautoriseret revisor,Direkte omkostninger omfatter omkostninger til kÃ¸b af handelsvarer med fradrag af rabatter.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, lokaler og administration.",fredericia@brandtrevision.dk,630812.0,25492145.0,26512565.0,25492145.0,mne27866,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Black ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Pedersen,Anders Bitsch Christiansen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Black ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Fredericia,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Fredericia,2018-12-31,2018-01-01,2019-03-22,Fredericia,76 34 40 05,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27130227,indberetninger-20180424,2.5097342,26512565.0,AWqxaRFsRYGX6_YTHo8u,2019-05-13T13:37:02.667Z,2019-05-13T13:36:53.764Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-21-TZ,2019-05-13T13:36:53.888Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
