entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,DividendIncomeRelatedToInvestments,ProfitLossRelatedToInvestments,GrossResult,IncomeFromInvestmentsInGroupEnterprises,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables
33080247,2014-10-01,2014-10-01,c176,,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzL2M0Lzg4L2Y4Lzc2LzBlYzctNGRhZC05MDM5LTNjNTQxMTczNmQyZQ.pdf,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzLzBhL2QyLzU3LzZmL2M1YmEtNGI3OC1hOTFmLTBhYWMzNzZkNWI0Yw.xml,360737.0,Danmark,Herning,7400.0,15.0,Industrivej Nord,Horsens,8700.0,43.0,Kyradservej,"7400, Herning","Industrivej Nord, 15",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2017-01-06,2017-01-06,2017-01-31,statsautoriseret revisor,15807776.0,33080247.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for ON2A4 Holding ApS.,Ãrsrapport,80000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Vinderslev,Troels Juhl Kristensen,Troels Juhl Kristensen,"Partner Revision, statsautoriseret revisionsaktieselskab",ON2A4 Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Horsens,2014-10-01,2015-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ON2A4 ApS,Horsens,2016-09-30,2015-10-01,100.0,2017-01-06,Herning,97 12 50 22,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23441942,indberetninger-20180424,2.5124211,33080247.0,,2018-03-27T13:29:47.248Z,2017-02-01T11:01:49.617Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-84-QU,2017-02-01T11:01:49.829Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080247,2014-10-01,2014-10-01,c715,,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzL2M0Lzg4L2Y4Lzc2LzBlYzctNGRhZC05MDM5LTNjNTQxMTczNmQyZQ.pdf,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzLzBhL2QyLzU3LzZmL2M1YmEtNGI3OC1hOTFmLTBhYWMzNzZkNWI0Yw.xml,,Danmark,Herning,7400.0,15.0,Industrivej Nord,Horsens,8700.0,43.0,Kyradservej,"7400, Herning","Industrivej Nord, 15",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2017-01-06,2017-01-06,2017-01-31,statsautoriseret revisor,15807776.0,33080247.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for ON2A4 Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Vinderslev,Troels Juhl Kristensen,Troels Juhl Kristensen,"Partner Revision, statsautoriseret revisionsaktieselskab",ON2A4 Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Horsens,2014-10-01,2015-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ON2A4 ApS,Horsens,2016-09-30,2015-10-01,100.0,2017-01-06,Herning,97 12 50 22,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23441942,indberetninger-20180424,2.5124211,33080247.0,,2018-03-27T13:29:47.248Z,2017-02-01T11:01:49.617Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-84-QU,2017-02-01T11:01:49.829Z,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080247,2014-10-01,2014-10-01,c730,,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzL2M0Lzg4L2Y4Lzc2LzBlYzctNGRhZC05MDM5LTNjNTQxMTczNmQyZQ.pdf,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzLzBhL2QyLzU3LzZmL2M1YmEtNGI3OC1hOTFmLTBhYWMzNzZkNWI0Yw.xml,,Danmark,Herning,7400.0,15.0,Industrivej Nord,Horsens,8700.0,43.0,Kyradservej,"7400, Herning","Industrivej Nord, 15",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2017-01-06,2017-01-06,2017-01-31,statsautoriseret revisor,15807776.0,33080247.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for ON2A4 Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Vinderslev,Troels Juhl Kristensen,Troels Juhl Kristensen,"Partner Revision, statsautoriseret revisionsaktieselskab",ON2A4 Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Horsens,2014-10-01,2015-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ON2A4 ApS,Horsens,2016-09-30,2015-10-01,100.0,2017-01-06,Herning,97 12 50 22,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23441942,indberetninger-20180424,2.5124211,33080247.0,,2018-03-27T13:29:47.248Z,2017-02-01T11:01:49.617Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-84-QU,2017-02-01T11:01:49.829Z,360737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080247,2014-10-01,2014-10-01,c736,,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzL2M0Lzg4L2Y4Lzc2LzBlYzctNGRhZC05MDM5LTNjNTQxMTczNmQyZQ.pdf,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzLzBhL2QyLzU3LzZmL2M1YmEtNGI3OC1hOTFmLTBhYWMzNzZkNWI0Yw.xml,,Danmark,Herning,7400.0,15.0,Industrivej Nord,Horsens,8700.0,43.0,Kyradservej,"7400, Herning","Industrivej Nord, 15",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2017-01-06,2017-01-06,2017-01-31,statsautoriseret revisor,15807776.0,33080247.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for ON2A4 Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Vinderslev,Troels Juhl Kristensen,Troels Juhl Kristensen,"Partner Revision, statsautoriseret revisionsaktieselskab",ON2A4 Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Horsens,2014-10-01,2015-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ON2A4 ApS,Horsens,2016-09-30,2015-10-01,100.0,2017-01-06,Herning,97 12 50 22,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23441942,indberetninger-20180424,2.5124211,33080247.0,,2018-03-27T13:29:47.248Z,2017-02-01T11:01:49.617Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-84-QU,2017-02-01T11:01:49.829Z,864046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080247,2014-10-01,2015-09-30,c123,,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzL2M0Lzg4L2Y4Lzc2LzBlYzctNGRhZC05MDM5LTNjNTQxMTczNmQyZQ.pdf,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzLzBhL2QyLzU3LzZmL2M1YmEtNGI3OC1hOTFmLTBhYWMzNzZkNWI0Yw.xml,,Danmark,Herning,7400.0,15.0,Industrivej Nord,Horsens,8700.0,43.0,Kyradservej,"7400, Herning","Industrivej Nord, 15",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2017-01-06,2017-01-06,2017-01-31,statsautoriseret revisor,15807776.0,33080247.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for ON2A4 Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Vinderslev,Troels Juhl Kristensen,Troels Juhl Kristensen,"Partner Revision, statsautoriseret revisionsaktieselskab",ON2A4 Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Horsens,2014-10-01,2015-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ON2A4 ApS,Horsens,2016-09-30,2015-10-01,100.0,2017-01-06,Herning,97 12 50 22,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23441942,indberetninger-20180424,2.5124211,33080247.0,,2018-03-27T13:29:47.248Z,2017-02-01T11:01:49.617Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-84-QU,2017-02-01T11:01:49.829Z,,445296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080247,2014-10-01,2015-09-30,c178,,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzL2M0Lzg4L2Y4Lzc2LzBlYzctNGRhZC05MDM5LTNjNTQxMTczNmQyZQ.pdf,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzLzBhL2QyLzU3LzZmL2M1YmEtNGI3OC1hOTFmLTBhYWMzNzZkNWI0Yw.xml,,Danmark,Herning,7400.0,15.0,Industrivej Nord,Horsens,8700.0,43.0,Kyradservej,"7400, Herning","Industrivej Nord, 15",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2017-01-06,2017-01-06,2017-01-31,statsautoriseret revisor,15807776.0,33080247.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for ON2A4 Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Vinderslev,Troels Juhl Kristensen,Troels Juhl Kristensen,"Partner Revision, statsautoriseret revisionsaktieselskab",ON2A4 Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Horsens,2014-10-01,2015-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ON2A4 ApS,Horsens,2016-09-30,2015-10-01,100.0,2017-01-06,Herning,97 12 50 22,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23441942,indberetninger-20180424,2.5124211,33080247.0,,2018-03-27T13:29:47.248Z,2017-02-01T11:01:49.617Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-84-QU,2017-02-01T11:01:49.829Z,,,-350000.0,529056.0,,,,,,,,,,,,,,,,,,,,,,,,,
33080247,2014-10-01,2015-09-30,c3,,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzL2M0Lzg4L2Y4Lzc2LzBlYzctNGRhZC05MDM5LTNjNTQxMTczNmQyZQ.pdf,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzLzBhL2QyLzU3LzZmL2M1YmEtNGI3OC1hOTFmLTBhYWMzNzZkNWI0Yw.xml,,Danmark,Herning,7400.0,15.0,Industrivej Nord,Horsens,8700.0,43.0,Kyradservej,"7400, Herning","Industrivej Nord, 15",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2017-01-06,2017-01-06,2017-01-31,statsautoriseret revisor,15807776.0,33080247.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for ON2A4 Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Vinderslev,Troels Juhl Kristensen,Troels Juhl Kristensen,"Partner Revision, statsautoriseret revisionsaktieselskab",ON2A4 Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Horsens,2014-10-01,2015-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ON2A4 ApS,Horsens,2016-09-30,2015-10-01,100.0,2017-01-06,Herning,97 12 50 22,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23441942,indberetninger-20180424,2.5124211,33080247.0,,2018-03-27T13:29:47.248Z,2017-02-01T11:01:49.617Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-84-QU,2017-02-01T11:01:49.829Z,,624352.0,,,-5694.0,529056.0,5694.0,2406.0,133406.0,654362.0,-5694.0,30010.0,,,,,,,,,,,,,,,,,
33080247,2014-10-01,2015-09-30,c469,,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzL2M0Lzg4L2Y4Lzc2LzBlYzctNGRhZC05MDM5LTNjNTQxMTczNmQyZQ.pdf,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzLzBhL2QyLzU3LzZmL2M1YmEtNGI3OC1hOTFmLTBhYWMzNzZkNWI0Yw.xml,,Danmark,Herning,7400.0,15.0,Industrivej Nord,Horsens,8700.0,43.0,Kyradservej,"7400, Herning","Industrivej Nord, 15",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2017-01-06,2017-01-06,2017-01-31,statsautoriseret revisor,15807776.0,33080247.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for ON2A4 Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Vinderslev,Troels Juhl Kristensen,Troels Juhl Kristensen,"Partner Revision, statsautoriseret revisionsaktieselskab",ON2A4 Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Horsens,2014-10-01,2015-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ON2A4 ApS,Horsens,2016-09-30,2015-10-01,100.0,2017-01-06,Herning,97 12 50 22,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23441942,indberetninger-20180424,2.5124211,33080247.0,,2018-03-27T13:29:47.248Z,2017-02-01T11:01:49.617Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-84-QU,2017-02-01T11:01:49.829Z,,179056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080247,2014-10-01,2015-09-30,c731,,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzL2M0Lzg4L2Y4Lzc2LzBlYzctNGRhZC05MDM5LTNjNTQxMTczNmQyZQ.pdf,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzLzBhL2QyLzU3LzZmL2M1YmEtNGI3OC1hOTFmLTBhYWMzNzZkNWI0Yw.xml,,Danmark,Herning,7400.0,15.0,Industrivej Nord,Horsens,8700.0,43.0,Kyradservej,"7400, Herning","Industrivej Nord, 15",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2017-01-06,2017-01-06,2017-01-31,statsautoriseret revisor,15807776.0,33080247.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for ON2A4 Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Vinderslev,Troels Juhl Kristensen,Troels Juhl Kristensen,"Partner Revision, statsautoriseret revisionsaktieselskab",ON2A4 Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Horsens,2014-10-01,2015-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ON2A4 ApS,Horsens,2016-09-30,2015-10-01,100.0,2017-01-06,Herning,97 12 50 22,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23441942,indberetninger-20180424,2.5124211,33080247.0,,2018-03-27T13:29:47.248Z,2017-02-01T11:01:49.617Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-84-QU,2017-02-01T11:01:49.829Z,,179056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080247,2014-10-01,2015-09-30,c737,,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzL2M0Lzg4L2Y4Lzc2LzBlYzctNGRhZC05MDM5LTNjNTQxMTczNmQyZQ.pdf,http://regnskaber.virk.dk/74208033/ZG9rdW1lbnRsYWdlcjovLzAzLzBhL2QyLzU3LzZmL2M1YmEtNGI3OC1hOTFmLTBhYWMzNzZkNWI0Yw.xml,,Danmark,Herning,7400.0,15.0,Industrivej Nord,Horsens,8700.0,43.0,Kyradservej,"7400, Herning","Industrivej Nord, 15",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2017-01-06,2017-01-06,2017-01-31,statsautoriseret revisor,15807776.0,33080247.0,15807776.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for ON2A4 Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Peter Vinderslev,Troels Juhl Kristensen,Troels Juhl Kristensen,"Partner Revision, statsautoriseret revisionsaktieselskab",ON2A4 Holding ApS,"Partner Revision, statsautoriseret revisionsaktieselskab",Horsens,2014-10-01,2015-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,ON2A4 ApS,Horsens,2016-09-30,2015-10-01,100.0,2017-01-06,Herning,97 12 50 22,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23441942,indberetninger-20180424,2.5124211,33080247.0,,2018-03-27T13:29:47.248Z,2017-02-01T11:01:49.617Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-84-QU,2017-02-01T11:01:49.829Z,,445296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
