entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialDistrictName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ExternalExpenses,ExtraordinaryProfitLossBeforeTax,GrossResult,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
24251721,2012-09-01,2013-08-31,c10,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8vcGRmcy8yNDI1MTcyMTtMRVYyMzA1ODE7MjAxMzA5MDE7MjAxNDA4MzE7UjtS.pdf,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8veGJybHMvWC05REMwNDM0Ny0yMDE0MTIxMV8wOTQzNDVfODUw.xml,8000 Ãrhus C,Aarhus C,8000.0,22.0,Ãboulevarden,8000 Aarhus C,"Ãboulevarden 22, 5.",Regnskabsklasse B,2014-12-10,2014-12-10,24251721.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elsebeth Due Kjeldsen,Danske Bank A/S,PUBLIC INVESTMENTS K/S II,Elsebeth Due Kjeldsen,Aarhus,2012-09-01,2013-08-31,879.0,2014-08-31,2013-09-01,Ingen bistand,urn:ofk:oid:20154898,indberetninger-20180424,2.5097342,24251721.0,,2018-04-01T04:43:28.520Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-08-31,2013-09-01,14-343.594,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
24251721,2012-09-01,2013-08-31,c4,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8vcGRmcy8yNDI1MTcyMTtMRVYyMzA1ODE7MjAxMzA5MDE7MjAxNDA4MzE7UjtS.pdf,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8veGJybHMvWC05REMwNDM0Ny0yMDE0MTIxMV8wOTQzNDVfODUw.xml,8000 Ãrhus C,Aarhus C,8000.0,22.0,Ãboulevarden,8000 Aarhus C,"Ãboulevarden 22, 5.",Regnskabsklasse B,2014-12-10,2014-12-10,24251721.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elsebeth Due Kjeldsen,Danske Bank A/S,PUBLIC INVESTMENTS K/S II,Elsebeth Due Kjeldsen,Aarhus,2012-09-01,2013-08-31,879.0,2014-08-31,2013-09-01,Ingen bistand,urn:ofk:oid:20154898,indberetninger-20180424,2.5097342,24251721.0,,2018-04-01T04:43:28.520Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-08-31,2013-09-01,14-343.594,2014-12-11T23:00:00.000Z,66402.0,879.0,1084.0,205.0,879.0,1084.0,67486.0,,,,,,,,,,,,,,,,
24251721,2012-09-01,2013-08-31,c6,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8vcGRmcy8yNDI1MTcyMTtMRVYyMzA1ODE7MjAxMzA5MDE7MjAxNDA4MzE7UjtS.pdf,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8veGJybHMvWC05REMwNDM0Ny0yMDE0MTIxMV8wOTQzNDVfODUw.xml,8000 Ãrhus C,Aarhus C,8000.0,22.0,Ãboulevarden,8000 Aarhus C,"Ãboulevarden 22, 5.",Regnskabsklasse B,2014-12-10,2014-12-10,24251721.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elsebeth Due Kjeldsen,Danske Bank A/S,PUBLIC INVESTMENTS K/S II,Elsebeth Due Kjeldsen,Aarhus,2012-09-01,2013-08-31,0.0,2014-08-31,2013-09-01,Ingen bistand,urn:ofk:oid:20154898,indberetninger-20180424,2.5097342,24251721.0,,2018-04-01T04:43:28.520Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-08-31,2013-09-01,14-343.594,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
24251721,2012-09-01,2013-08-31,c8,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8vcGRmcy8yNDI1MTcyMTtMRVYyMzA1ODE7MjAxMzA5MDE7MjAxNDA4MzE7UjtS.pdf,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8veGJybHMvWC05REMwNDM0Ny0yMDE0MTIxMV8wOTQzNDVfODUw.xml,8000 Ãrhus C,Aarhus C,8000.0,22.0,Ãboulevarden,8000 Aarhus C,"Ãboulevarden 22, 5.",Regnskabsklasse B,2014-12-10,2014-12-10,24251721.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elsebeth Due Kjeldsen,Danske Bank A/S,PUBLIC INVESTMENTS K/S II,Elsebeth Due Kjeldsen,Aarhus,2012-09-01,2013-08-31,0.0,2014-08-31,2013-09-01,Ingen bistand,urn:ofk:oid:20154898,indberetninger-20180424,2.5097342,24251721.0,,2018-04-01T04:43:28.520Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-08-31,2013-09-01,14-343.594,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
24251721,2013-08-31,2013-08-31,c12,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8vcGRmcy8yNDI1MTcyMTtMRVYyMzA1ODE7MjAxMzA5MDE7MjAxNDA4MzE7UjtS.pdf,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8veGJybHMvWC05REMwNDM0Ny0yMDE0MTIxMV8wOTQzNDVfODUw.xml,8000 Ãrhus C,Aarhus C,8000.0,22.0,Ãboulevarden,8000 Aarhus C,"Ãboulevarden 22, 5.",Regnskabsklasse B,2014-12-10,2014-12-10,24251721.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elsebeth Due Kjeldsen,Danske Bank A/S,PUBLIC INVESTMENTS K/S II,Elsebeth Due Kjeldsen,Aarhus,2012-09-01,2013-08-31,,2014-08-31,2013-09-01,Ingen bistand,urn:ofk:oid:20154898,indberetninger-20180424,2.5097342,24251721.0,,2018-04-01T04:43:28.520Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-08-31,2013-09-01,14-343.594,2014-12-11T23:00:00.000Z,,,,,,,,311130.0,69163.0,1051720.0,69273.0,279710.0,241857.0,311130.0,31420.0,241857.0,31420.0,110.0,241857.0,-772010.0,31420.0,110.0,
24251721,2013-09-01,2014-08-31,c0,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8vcGRmcy8yNDI1MTcyMTtMRVYyMzA1ODE7MjAxMzA5MDE7MjAxNDA4MzE7UjtS.pdf,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8veGJybHMvWC05REMwNDM0Ny0yMDE0MTIxMV8wOTQzNDVfODUw.xml,8000 Ãrhus C,Aarhus C,8000.0,22.0,Ãboulevarden,8000 Aarhus C,"Ãboulevarden 22, 5.",Regnskabsklasse B,2014-12-10,2014-12-10,24251721.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elsebeth Due Kjeldsen,Danske Bank A/S,PUBLIC INVESTMENTS K/S II,Elsebeth Due Kjeldsen,Aarhus,2012-09-01,2013-08-31,105.0,2014-08-31,2013-09-01,Ingen bistand,urn:ofk:oid:20154898,indberetninger-20180424,2.5097342,24251721.0,,2018-04-01T04:43:28.520Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-08-31,2013-09-01,14-343.594,2014-12-11T23:00:00.000Z,68287.0,105.0,324.0,219.0,105.0,324.0,68611.0,,,,,,,,,,,,,,,,
24251721,2013-09-01,2014-08-31,c1,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8vcGRmcy8yNDI1MTcyMTtMRVYyMzA1ODE7MjAxMzA5MDE7MjAxNDA4MzE7UjtS.pdf,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8veGJybHMvWC05REMwNDM0Ny0yMDE0MTIxMV8wOTQzNDVfODUw.xml,8000 Ãrhus C,Aarhus C,8000.0,22.0,Ãboulevarden,8000 Aarhus C,"Ãboulevarden 22, 5.",Regnskabsklasse B,2014-12-10,2014-12-10,24251721.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elsebeth Due Kjeldsen,Danske Bank A/S,PUBLIC INVESTMENTS K/S II,Elsebeth Due Kjeldsen,Aarhus,2012-09-01,2013-08-31,,2014-08-31,2013-09-01,Ingen bistand,urn:ofk:oid:20154898,indberetninger-20180424,2.5097342,24251721.0,,2018-04-01T04:43:28.520Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-08-31,2013-09-01,14-343.594,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,Henrik KjÃ¦r Nielsen
24251721,2013-09-01,2014-08-31,c2,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8vcGRmcy8yNDI1MTcyMTtMRVYyMzA1ODE7MjAxMzA5MDE7MjAxNDA4MzE7UjtS.pdf,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8veGJybHMvWC05REMwNDM0Ny0yMDE0MTIxMV8wOTQzNDVfODUw.xml,8000 Ãrhus C,Aarhus C,8000.0,22.0,Ãboulevarden,8000 Aarhus C,"Ãboulevarden 22, 5.",Regnskabsklasse B,2014-12-10,2014-12-10,24251721.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elsebeth Due Kjeldsen,Danske Bank A/S,PUBLIC INVESTMENTS K/S II,Elsebeth Due Kjeldsen,Aarhus,2012-09-01,2013-08-31,,2014-08-31,2013-09-01,Ingen bistand,urn:ofk:oid:20154898,indberetninger-20180424,2.5097342,24251721.0,,2018-04-01T04:43:28.520Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-08-31,2013-09-01,14-343.594,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,Kristian Evendorf HÃ¸y
24251721,2013-09-01,2014-08-31,c3,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8vcGRmcy8yNDI1MTcyMTtMRVYyMzA1ODE7MjAxMzA5MDE7MjAxNDA4MzE7UjtS.pdf,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8veGJybHMvWC05REMwNDM0Ny0yMDE0MTIxMV8wOTQzNDVfODUw.xml,8000 Ãrhus C,Aarhus C,8000.0,22.0,Ãboulevarden,8000 Aarhus C,"Ãboulevarden 22, 5.",Regnskabsklasse B,2014-12-10,2014-12-10,24251721.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elsebeth Due Kjeldsen,Danske Bank A/S,PUBLIC INVESTMENTS K/S II,Elsebeth Due Kjeldsen,Aarhus,2012-09-01,2013-08-31,,2014-08-31,2013-09-01,Ingen bistand,urn:ofk:oid:20154898,indberetninger-20180424,2.5097342,24251721.0,,2018-04-01T04:43:28.520Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-08-31,2013-09-01,14-343.594,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,Keld SÃ¸gaard Poulsen
24251721,2013-09-01,2014-08-31,c5,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8vcGRmcy8yNDI1MTcyMTtMRVYyMzA1ODE7MjAxMzA5MDE7MjAxNDA4MzE7UjtS.pdf,http://regnskaber.virk.dk/12715242/Y3ZyLmRrOi8veGJybHMvWC05REMwNDM0Ny0yMDE0MTIxMV8wOTQzNDVfODUw.xml,8000 Ãrhus C,Aarhus C,8000.0,22.0,Ãboulevarden,8000 Aarhus C,"Ãboulevarden 22, 5.",Regnskabsklasse B,2014-12-10,2014-12-10,24251721.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elsebeth Due Kjeldsen,Danske Bank A/S,PUBLIC INVESTMENTS K/S II,Elsebeth Due Kjeldsen,Aarhus,2012-09-01,2013-08-31,0.0,2014-08-31,2013-09-01,Ingen bistand,urn:ofk:oid:20154898,indberetninger-20180424,2.5097342,24251721.0,,2018-04-01T04:43:28.520Z,2014-12-11T23:00:00.000Z,regnskab,0.0,,2014-08-31,2013-09-01,14-343.594,2014-12-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
