entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfSupervisoryBoard
26063191,2013-01-01,2013-12-31,c5,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzc4L2YzLzNiL2IzYTktNGI0Yi04YzczLWExOWNjNDJhYWRmMw.xhtml,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzYxL2E2LzQ0L2E0NzUtNGQxYS04MDUyLTFmOTdmZjU2ZmI2ZQ.pdf,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzL2FhL2Q5L2QzLzJkLzVmNzgtNGQ1Mi1iMGM0LTRiZWU5MDlkNGFkYw.xml,HÃ¸jbjerg,8270.0,81.0,Teglbakken,8000 Ãrhus C,HÃ¸egh-Guldbergs Gade 67,Regnskabsklasse B,2015-06-09,2015-06-11,-62016.0,315601.0,-259512.0,-12612.0,26063191.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Gholamhossein Bahojb-Khoshnoudi,Gholamhossein Bahojb-Khoshnoudi,Nordea Bank,BREAK A/S,Michael FrÃ¦mohs,6685.0,Ãrhus,2013-01-01,2013-12-31,-243512.0,-259512.0,-266197.0,2014-12-31,2014-01-01,0.0,-16000.0,Ingen bistand,urn:ofk:oid:5505482,indberetninger-20180424,2.5927877,26063191.0,,2018-03-30T18:06:15.728Z,2015-06-11T11:38:17.546Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-42-DK,2015-06-11T11:38:17.326Z,,,,,,,,,,,,,,,,,,,
26063191,2013-01-01,2013-12-31,c7,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzc4L2YzLzNiL2IzYTktNGI0Yi04YzczLWExOWNjNDJhYWRmMw.xhtml,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzYxL2E2LzQ0L2E0NzUtNGQxYS04MDUyLTFmOTdmZjU2ZmI2ZQ.pdf,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzL2FhL2Q5L2QzLzJkLzVmNzgtNGQ1Mi1iMGM0LTRiZWU5MDlkNGFkYw.xml,HÃ¸jbjerg,8270.0,81.0,Teglbakken,8000 Ãrhus C,HÃ¸egh-Guldbergs Gade 67,Regnskabsklasse B,2015-06-09,2015-06-11,,,,,26063191.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Gholamhossein Bahojb-Khoshnoudi,Gholamhossein Bahojb-Khoshnoudi,Nordea Bank,BREAK A/S,Michael FrÃ¦mohs,,Ãrhus,2013-01-01,2013-12-31,96600.0,,,2014-12-31,2014-01-01,,,Ingen bistand,urn:ofk:oid:5505482,indberetninger-20180424,2.5927877,26063191.0,,2018-03-30T18:06:15.728Z,2015-06-11T11:38:17.546Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-42-DK,2015-06-11T11:38:17.326Z,,,,,,,,,,,,,,,,,,,
26063191,2013-01-01,2013-12-31,c9,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzc4L2YzLzNiL2IzYTktNGI0Yi04YzczLWExOWNjNDJhYWRmMw.xhtml,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzYxL2E2LzQ0L2E0NzUtNGQxYS04MDUyLTFmOTdmZjU2ZmI2ZQ.pdf,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzL2FhL2Q5L2QzLzJkLzVmNzgtNGQ1Mi1iMGM0LTRiZWU5MDlkNGFkYw.xml,HÃ¸jbjerg,8270.0,81.0,Teglbakken,8000 Ãrhus C,HÃ¸egh-Guldbergs Gade 67,Regnskabsklasse B,2015-06-09,2015-06-11,,,,,26063191.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Gholamhossein Bahojb-Khoshnoudi,Gholamhossein Bahojb-Khoshnoudi,Nordea Bank,BREAK A/S,Michael FrÃ¦mohs,,Ãrhus,2013-01-01,2013-12-31,-340112.0,,,2014-12-31,2014-01-01,,,Ingen bistand,urn:ofk:oid:5505482,indberetninger-20180424,2.5927877,26063191.0,,2018-03-30T18:06:15.728Z,2015-06-11T11:38:17.546Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-42-DK,2015-06-11T11:38:17.326Z,,,,,,,,,,,,,,,,,,,
26063191,2013-12-31,2013-12-31,c11,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzc4L2YzLzNiL2IzYTktNGI0Yi04YzczLWExOWNjNDJhYWRmMw.xhtml,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzYxL2E2LzQ0L2E0NzUtNGQxYS04MDUyLTFmOTdmZjU2ZmI2ZQ.pdf,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzL2FhL2Q5L2QzLzJkLzVmNzgtNGQ1Mi1iMGM0LTRiZWU5MDlkNGFkYw.xml,HÃ¸jbjerg,8270.0,81.0,Teglbakken,8000 Ãrhus C,HÃ¸egh-Guldbergs Gade 67,Regnskabsklasse B,2015-06-09,2015-06-11,,,,,26063191.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Gholamhossein Bahojb-Khoshnoudi,Gholamhossein Bahojb-Khoshnoudi,Nordea Bank,BREAK A/S,Michael FrÃ¦mohs,,Ãrhus,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,,Ingen bistand,urn:ofk:oid:5505482,indberetninger-20180424,2.5927877,26063191.0,,2018-03-30T18:06:15.728Z,2015-06-11T11:38:17.546Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-42-DK,2015-06-11T11:38:17.326Z,1159658.0,1141110.0,1159658.0,16000.0,971623.0,0.0,1159658.0,188035.0,0.0,0.0,0.0,184160.0,2548.0,0.0,188035.0,18548.0,0.0,3875.0,
26063191,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzc4L2YzLzNiL2IzYTktNGI0Yi04YzczLWExOWNjNDJhYWRmMw.xhtml,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzYxL2E2LzQ0L2E0NzUtNGQxYS04MDUyLTFmOTdmZjU2ZmI2ZQ.pdf,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzL2FhL2Q5L2QzLzJkLzVmNzgtNGQ1Mi1iMGM0LTRiZWU5MDlkNGFkYw.xml,HÃ¸jbjerg,8270.0,81.0,Teglbakken,8000 Ãrhus C,HÃ¸egh-Guldbergs Gade 67,Regnskabsklasse B,2015-06-09,2015-06-11,6600.0,0.0,-164793.0,-158087.0,26063191.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Gholamhossein Bahojb-Khoshnoudi,Gholamhossein Bahojb-Khoshnoudi,Nordea Bank,BREAK A/S,Michael FrÃ¦mohs,0.0,Ãrhus,2013-01-01,2013-12-31,-124793.0,-164793.0,-164687.0,2014-12-31,2014-01-01,106.0,-40000.0,Ingen bistand,urn:ofk:oid:5505482,indberetninger-20180424,2.5927877,26063191.0,,2018-03-30T18:06:15.728Z,2015-06-11T11:38:17.546Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-42-DK,2015-06-11T11:38:17.326Z,,,,,,,,,,,,,,,,,,,
26063191,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzc4L2YzLzNiL2IzYTktNGI0Yi04YzczLWExOWNjNDJhYWRmMw.xhtml,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzYxL2E2LzQ0L2E0NzUtNGQxYS04MDUyLTFmOTdmZjU2ZmI2ZQ.pdf,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzL2FhL2Q5L2QzLzJkLzVmNzgtNGQ1Mi1iMGM0LTRiZWU5MDlkNGFkYw.xml,HÃ¸jbjerg,8270.0,81.0,Teglbakken,8000 Ãrhus C,HÃ¸egh-Guldbergs Gade 67,Regnskabsklasse B,2015-06-09,2015-06-11,,,,,26063191.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Gholamhossein Bahojb-Khoshnoudi,Gholamhossein Bahojb-Khoshnoudi,Nordea Bank,BREAK A/S,Michael FrÃ¦mohs,,Ãrhus,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,,Ingen bistand,urn:ofk:oid:5505482,indberetninger-20180424,2.5927877,26063191.0,,2018-03-30T18:06:15.728Z,2015-06-11T11:38:17.546Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-42-DK,2015-06-11T11:38:17.326Z,,,,,,,,,,,,,,,,,,,
26063191,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzc4L2YzLzNiL2IzYTktNGI0Yi04YzczLWExOWNjNDJhYWRmMw.xhtml,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzYxL2E2LzQ0L2E0NzUtNGQxYS04MDUyLTFmOTdmZjU2ZmI2ZQ.pdf,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzL2FhL2Q5L2QzLzJkLzVmNzgtNGQ1Mi1iMGM0LTRiZWU5MDlkNGFkYw.xml,HÃ¸jbjerg,8270.0,81.0,Teglbakken,8000 Ãrhus C,HÃ¸egh-Guldbergs Gade 67,Regnskabsklasse B,2015-06-09,2015-06-11,,,,,26063191.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Gholamhossein Bahojb-Khoshnoudi,Gholamhossein Bahojb-Khoshnoudi,Nordea Bank,BREAK A/S,Michael FrÃ¦mohs,,Ãrhus,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,,Ingen bistand,urn:ofk:oid:5505482,indberetninger-20180424,2.5927877,26063191.0,,2018-03-30T18:06:15.728Z,2015-06-11T11:38:17.546Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-42-DK,2015-06-11T11:38:17.326Z,,,,,,,,,,,,,,,,,,,Gholamhossein Bahojb-Khoshnoudi
26063191,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzc4L2YzLzNiL2IzYTktNGI0Yi04YzczLWExOWNjNDJhYWRmMw.xhtml,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzYxL2E2LzQ0L2E0NzUtNGQxYS04MDUyLTFmOTdmZjU2ZmI2ZQ.pdf,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzL2FhL2Q5L2QzLzJkLzVmNzgtNGQ1Mi1iMGM0LTRiZWU5MDlkNGFkYw.xml,HÃ¸jbjerg,8270.0,81.0,Teglbakken,8000 Ãrhus C,HÃ¸egh-Guldbergs Gade 67,Regnskabsklasse B,2015-06-09,2015-06-11,,,,,26063191.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Gholamhossein Bahojb-Khoshnoudi,Gholamhossein Bahojb-Khoshnoudi,Nordea Bank,BREAK A/S,Michael FrÃ¦mohs,,Ãrhus,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,,Ingen bistand,urn:ofk:oid:5505482,indberetninger-20180424,2.5927877,26063191.0,,2018-03-30T18:06:15.728Z,2015-06-11T11:38:17.546Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-42-DK,2015-06-11T11:38:17.326Z,,,,,,,,,,,,,,,,,,,Aydin Bahojb-Khoshnoudi
26063191,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzc4L2YzLzNiL2IzYTktNGI0Yi04YzczLWExOWNjNDJhYWRmMw.xhtml,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzYxL2E2LzQ0L2E0NzUtNGQxYS04MDUyLTFmOTdmZjU2ZmI2ZQ.pdf,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzL2FhL2Q5L2QzLzJkLzVmNzgtNGQ1Mi1iMGM0LTRiZWU5MDlkNGFkYw.xml,HÃ¸jbjerg,8270.0,81.0,Teglbakken,8000 Ãrhus C,HÃ¸egh-Guldbergs Gade 67,Regnskabsklasse B,2015-06-09,2015-06-11,,,,,26063191.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Gholamhossein Bahojb-Khoshnoudi,Gholamhossein Bahojb-Khoshnoudi,Nordea Bank,BREAK A/S,Michael FrÃ¦mohs,,Ãrhus,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,,Ingen bistand,urn:ofk:oid:5505482,indberetninger-20180424,2.5927877,26063191.0,,2018-03-30T18:06:15.728Z,2015-06-11T11:38:17.546Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-42-DK,2015-06-11T11:38:17.326Z,,,,,,,,,,,,,,,,,,,Zakiyeh Pourkazem
26063191,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzc4L2YzLzNiL2IzYTktNGI0Yi04YzczLWExOWNjNDJhYWRmMw.xhtml,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzYxL2E2LzQ0L2E0NzUtNGQxYS04MDUyLTFmOTdmZjU2ZmI2ZQ.pdf,http://regnskaber.virk.dk/19136062/ZG9rdW1lbnRsYWdlcjovLzAzL2FhL2Q5L2QzLzJkLzVmNzgtNGQ1Mi1iMGM0LTRiZWU5MDlkNGFkYw.xml,HÃ¸jbjerg,8270.0,81.0,Teglbakken,8000 Ãrhus C,HÃ¸egh-Guldbergs Gade 67,Regnskabsklasse B,2015-06-09,2015-06-11,,,,,26063191.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Gholamhossein Bahojb-Khoshnoudi,Gholamhossein Bahojb-Khoshnoudi,Nordea Bank,BREAK A/S,Michael FrÃ¦mohs,,Ãrhus,2013-01-01,2013-12-31,96600.0,,,2014-12-31,2014-01-01,,,Ingen bistand,urn:ofk:oid:5505482,indberetninger-20180424,2.5927877,26063191.0,,2018-03-30T18:06:15.728Z,2015-06-11T11:38:17.546Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-42-DK,2015-06-11T11:38:17.326Z,,,,,,,,,,,,,,,,,,,
