entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialDistrictName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherReserves,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividend,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables
42612715,2013-07-01,2014-06-30,c3,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2VjL2RmLzhmL2U3NjktNDA5Ny1hODJkLWE1OGZiMmQ0ZjU1Zg.xhtml,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzcwLzRmL2UwLzFkYmMtNGUxMC05NGZlLWYyOGJiOTgzZDRhNg.pdf,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzAwL2U4LzgxLzljNjEtNDhhNy05MWJmLWViZjY1OTU2ODkyZQ.xml,GrenÃ¥,Grenaa,8500.0,17.0,Jasminvej,8660 Skanderborg,GodthÃ¥bsvej 23 - 25,Til ledelsen i Jetho Invest ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-28,2015-11-03,Registreret Revisor,23388.0,-23388.0,42612715.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Dorthe Kristiansen,Jens Thomsen,Jens Hardy Trasborg Thomsen,Samvirkende Revisorer Skanderborg ApS,Danske Bank,JETHO INVEST ApS,Samvirkende Revisorer Skanderborg ApS,1209.0,732507.0,GrenÃ¥,2013-07-01,2014-06-30,533520.0,707910.0,-23388.0,2015-06-30,2014-07-01,2015-09-28,Skanderborg,174390.0,21313005.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21587899,indberetninger-20180424,2.5954075,42612715,,2018-03-30T11:50:57.799Z,2015-11-03T20:47:41.764Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-05-ZX,2015-11-03T20:47:41.900Z,,,,,,,,,,,,,,,,,,
42612715,2013-07-01,2014-06-30,c5,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2VjL2RmLzhmL2U3NjktNDA5Ny1hODJkLWE1OGZiMmQ0ZjU1Zg.xhtml,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzcwLzRmL2UwLzFkYmMtNGUxMC05NGZlLWYyOGJiOTgzZDRhNg.pdf,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzAwL2U4LzgxLzljNjEtNDhhNy05MWJmLWViZjY1OTU2ODkyZQ.xml,GrenÃ¥,Grenaa,8500.0,17.0,Jasminvej,8660 Skanderborg,GodthÃ¥bsvej 23 - 25,Til ledelsen i Jetho Invest ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-28,2015-11-03,Registreret Revisor,,,42612715.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Dorthe Kristiansen,Jens Thomsen,Jens Hardy Trasborg Thomsen,Samvirkende Revisorer Skanderborg ApS,Danske Bank,JETHO INVEST ApS,Samvirkende Revisorer Skanderborg ApS,,,GrenÃ¥,2013-07-01,2014-06-30,98000.0,,,2015-06-30,2014-07-01,2015-09-28,Skanderborg,,21313005.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21587899,indberetninger-20180424,2.5954075,42612715,,2018-03-30T11:50:57.799Z,2015-11-03T20:47:41.764Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-05-ZX,2015-11-03T20:47:41.900Z,,,,,,,,,,,,,,,,,,
42612715,2013-07-01,2014-06-30,c7,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2VjL2RmLzhmL2U3NjktNDA5Ny1hODJkLWE1OGZiMmQ0ZjU1Zg.xhtml,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzcwLzRmL2UwLzFkYmMtNGUxMC05NGZlLWYyOGJiOTgzZDRhNg.pdf,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzAwL2U4LzgxLzljNjEtNDhhNy05MWJmLWViZjY1OTU2ODkyZQ.xml,GrenÃ¥,Grenaa,8500.0,17.0,Jasminvej,8660 Skanderborg,GodthÃ¥bsvej 23 - 25,Til ledelsen i Jetho Invest ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-28,2015-11-03,Registreret Revisor,,,42612715.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Dorthe Kristiansen,Jens Thomsen,Jens Hardy Trasborg Thomsen,Samvirkende Revisorer Skanderborg ApS,Danske Bank,JETHO INVEST ApS,Samvirkende Revisorer Skanderborg ApS,,,GrenÃ¥,2013-07-01,2014-06-30,435520.0,,,2015-06-30,2014-07-01,2015-09-28,Skanderborg,,21313005.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21587899,indberetninger-20180424,2.5954075,42612715,,2018-03-30T11:50:57.799Z,2015-11-03T20:47:41.764Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-05-ZX,2015-11-03T20:47:41.900Z,,,,,,,,,,,,,,,,,,
42612715,2014-06-30,2014-06-30,c9,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2VjL2RmLzhmL2U3NjktNDA5Ny1hODJkLWE1OGZiMmQ0ZjU1Zg.xhtml,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzcwLzRmL2UwLzFkYmMtNGUxMC05NGZlLWYyOGJiOTgzZDRhNg.pdf,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzAwL2U4LzgxLzljNjEtNDhhNy05MWJmLWViZjY1OTU2ODkyZQ.xml,GrenÃ¥,Grenaa,8500.0,17.0,Jasminvej,8660 Skanderborg,GodthÃ¥bsvej 23 - 25,Til ledelsen i Jetho Invest ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-28,2015-11-03,Registreret Revisor,,,42612715.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Dorthe Kristiansen,Jens Thomsen,Jens Hardy Trasborg Thomsen,Samvirkende Revisorer Skanderborg ApS,Danske Bank,JETHO INVEST ApS,Samvirkende Revisorer Skanderborg ApS,,,GrenÃ¥,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-09-28,Skanderborg,,21313005.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21587899,indberetninger-20180424,2.5954075,42612715,,2018-03-30T11:50:57.799Z,2015-11-03T20:47:41.764Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-05-ZX,2015-11-03T20:47:41.900Z,2923150.0,1303787.0,200000.0,2923150.0,2706610.0,2923150.0,216540.0,2071090.0,1617854.0,25056.0,1509.0,98000.0,435520.0,1617854.0,216540.0,1509.0,83374.0,10110.0
42612715,2014-07-01,2015-06-30,c0,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2VjL2RmLzhmL2U3NjktNDA5Ny1hODJkLWE1OGZiMmQ0ZjU1Zg.xhtml,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzcwLzRmL2UwLzFkYmMtNGUxMC05NGZlLWYyOGJiOTgzZDRhNg.pdf,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzAwL2U4LzgxLzljNjEtNDhhNy05MWJmLWViZjY1OTU2ODkyZQ.xml,GrenÃ¥,Grenaa,8500.0,17.0,Jasminvej,8660 Skanderborg,GodthÃ¥bsvej 23 - 25,Til ledelsen i Jetho Invest ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-28,2015-11-03,Registreret Revisor,31487.0,-31487.0,42612715.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Dorthe Kristiansen,Jens Thomsen,Jens Hardy Trasborg Thomsen,Samvirkende Revisorer Skanderborg ApS,Danske Bank,JETHO INVEST ApS,Samvirkende Revisorer Skanderborg ApS,798.0,611541.0,GrenÃ¥,2013-07-01,2014-06-30,443050.0,579256.0,-31487.0,2015-06-30,2014-07-01,2015-09-28,Skanderborg,136206.0,21313005.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21587899,indberetninger-20180424,2.5954075,42612715,,2018-03-30T11:50:57.799Z,2015-11-03T20:47:41.764Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-05-ZX,2015-11-03T20:47:41.900Z,,,,,,,,,,,,,,,,,,
42612715,2014-07-01,2015-06-30,c1,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2VjL2RmLzhmL2U3NjktNDA5Ny1hODJkLWE1OGZiMmQ0ZjU1Zg.xhtml,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzcwLzRmL2UwLzFkYmMtNGUxMC05NGZlLWYyOGJiOTgzZDRhNg.pdf,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzAwL2U4LzgxLzljNjEtNDhhNy05MWJmLWViZjY1OTU2ODkyZQ.xml,GrenÃ¥,Grenaa,8500.0,17.0,Jasminvej,8660 Skanderborg,GodthÃ¥bsvej 23 - 25,Til ledelsen i Jetho Invest ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-28,2015-11-03,Registreret Revisor,,,42612715.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Dorthe Kristiansen,Jens Thomsen,Jens Hardy Trasborg Thomsen,Samvirkende Revisorer Skanderborg ApS,Danske Bank,JETHO INVEST ApS,Samvirkende Revisorer Skanderborg ApS,,,GrenÃ¥,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-09-28,Skanderborg,,21313005.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21587899,indberetninger-20180424,2.5954075,42612715,,2018-03-30T11:50:57.799Z,2015-11-03T20:47:41.764Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-05-ZX,2015-11-03T20:47:41.900Z,,,,,,,,,,,,,,,,,,
42612715,2014-07-01,2015-06-30,c2,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2VjL2RmLzhmL2U3NjktNDA5Ny1hODJkLWE1OGZiMmQ0ZjU1Zg.xhtml,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzcwLzRmL2UwLzFkYmMtNGUxMC05NGZlLWYyOGJiOTgzZDRhNg.pdf,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzAwL2U4LzgxLzljNjEtNDhhNy05MWJmLWViZjY1OTU2ODkyZQ.xml,GrenÃ¥,Grenaa,8500.0,17.0,Jasminvej,8660 Skanderborg,GodthÃ¥bsvej 23 - 25,Til ledelsen i Jetho Invest ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-28,2015-11-03,Registreret Revisor,,,42612715.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Dorthe Kristiansen,Jens Thomsen,Jens Hardy Trasborg Thomsen,Samvirkende Revisorer Skanderborg ApS,Danske Bank,JETHO INVEST ApS,Samvirkende Revisorer Skanderborg ApS,,,GrenÃ¥,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-09-28,Skanderborg,,21313005.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21587899,indberetninger-20180424,2.5954075,42612715,,2018-03-30T11:50:57.799Z,2015-11-03T20:47:41.764Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-05-ZX,2015-11-03T20:47:41.900Z,,,,,,,,,,,,,,,,,,
42612715,2014-07-01,2015-06-30,c4,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2VjL2RmLzhmL2U3NjktNDA5Ny1hODJkLWE1OGZiMmQ0ZjU1Zg.xhtml,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzcwLzRmL2UwLzFkYmMtNGUxMC05NGZlLWYyOGJiOTgzZDRhNg.pdf,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzAwL2U4LzgxLzljNjEtNDhhNy05MWJmLWViZjY1OTU2ODkyZQ.xml,GrenÃ¥,Grenaa,8500.0,17.0,Jasminvej,8660 Skanderborg,GodthÃ¥bsvej 23 - 25,Til ledelsen i Jetho Invest ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-28,2015-11-03,Registreret Revisor,,,42612715.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Dorthe Kristiansen,Jens Thomsen,Jens Hardy Trasborg Thomsen,Samvirkende Revisorer Skanderborg ApS,Danske Bank,JETHO INVEST ApS,Samvirkende Revisorer Skanderborg ApS,,,GrenÃ¥,2013-07-01,2014-06-30,100000.0,,,2015-06-30,2014-07-01,2015-09-28,Skanderborg,,21313005.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21587899,indberetninger-20180424,2.5954075,42612715,,2018-03-30T11:50:57.799Z,2015-11-03T20:47:41.764Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-05-ZX,2015-11-03T20:47:41.900Z,,,,,,,,,,,,,,,,,,
42612715,2014-07-01,2015-06-30,c6,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2VjL2RmLzhmL2U3NjktNDA5Ny1hODJkLWE1OGZiMmQ0ZjU1Zg.xhtml,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzcwLzRmL2UwLzFkYmMtNGUxMC05NGZlLWYyOGJiOTgzZDRhNg.pdf,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzAwL2U4LzgxLzljNjEtNDhhNy05MWJmLWViZjY1OTU2ODkyZQ.xml,GrenÃ¥,Grenaa,8500.0,17.0,Jasminvej,8660 Skanderborg,GodthÃ¥bsvej 23 - 25,Til ledelsen i Jetho Invest ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-28,2015-11-03,Registreret Revisor,,,42612715.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Dorthe Kristiansen,Jens Thomsen,Jens Hardy Trasborg Thomsen,Samvirkende Revisorer Skanderborg ApS,Danske Bank,JETHO INVEST ApS,Samvirkende Revisorer Skanderborg ApS,,,GrenÃ¥,2013-07-01,2014-06-30,343050.0,,,2015-06-30,2014-07-01,2015-09-28,Skanderborg,,21313005.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21587899,indberetninger-20180424,2.5954075,42612715,,2018-03-30T11:50:57.799Z,2015-11-03T20:47:41.764Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-05-ZX,2015-11-03T20:47:41.900Z,,,,,,,,,,,,,,,,,,
42612715,2015-06-30,2015-06-30,c8,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2VjL2RmLzhmL2U3NjktNDA5Ny1hODJkLWE1OGZiMmQ0ZjU1Zg.xhtml,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzcwLzRmL2UwLzFkYmMtNGUxMC05NGZlLWYyOGJiOTgzZDRhNg.pdf,http://regnskaber.virk.dk/51721624/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzAwL2U4LzgxLzljNjEtNDhhNy05MWJmLWViZjY1OTU2ODkyZQ.xml,GrenÃ¥,Grenaa,8500.0,17.0,Jasminvej,8660 Skanderborg,GodthÃ¥bsvej 23 - 25,Til ledelsen i Jetho Invest ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-09-28,2015-11-03,Registreret Revisor,,,42612715.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Dorthe Kristiansen,Jens Thomsen,Jens Hardy Trasborg Thomsen,Samvirkende Revisorer Skanderborg ApS,Danske Bank,JETHO INVEST ApS,Samvirkende Revisorer Skanderborg ApS,,,GrenÃ¥,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-09-28,Skanderborg,,21313005.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21587899,indberetninger-20180424,2.5954075,42612715,,2018-03-30T11:50:57.799Z,2015-11-03T20:47:41.764Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AH-05-ZX,2015-11-03T20:47:41.900Z,3254827.0,1564311.0,200000.0,3254827.0,3049660.0,3254827.0,205167.0,2506610.0,1686317.0,3790.0,4199.0,100000.0,343050.0,1686317.0,205167.0,4199.0,91377.0,10000.0
