entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DividendPaid,EmployeeBenefitsExpense,FaxNumberOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToOtherCreditInstitutions,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,NumberOfEmployees,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradeReceivables,NameOfAuditFirm,TypeOfAuditorAssistance,NameAndSurnameOfMemberOfSupervisoryBoard
32473180,2015-01-01,2015-12-31,c175,,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzRkL2QzLzRiLzcxMWMtNDVkNC04MzVkLWU2ODFiOThiY2M0OA.pdf,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzUwLzk5LzI4L2YxOGUtNGQwMy05NGUxLTdjNWM4NTZlY2I2Nw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5000.0,1.0,Flakhaven,5000 Odense C,Hunderupvej 59,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejerne i Advokatfirmaet Helbing A/S,9650.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",608415.0,2017-01-18,2009-10-01,2017-02-09,-103912.0,Statsautoriseret revisor,-1970700.0,-3436459.0,66125167.0,6159708.0,20222670.0,32473180.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Advokatfirmaet Helbing A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Haagensen,Sten MÃ¸ller,Sten MÃ¸ller,Danske Bank,Advokatfirmaet Helbing A/S,BDO Statsautoriseret revisionsaktieselskab,-30852.0,299.0,Odense,114566.0,2015-01-01,2015-12-31,1970719.0,2588784.0,2619337.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2016-12-31,2016-01-01,true,2017-01-18,Odense,68979.0,-618065.0,66125112.0,3252914.0,urn:ofk:oid:23482475,indberetninger-20180424,2.5118406,32473180.0,,2018-03-27T15:42:27.513Z,2017-02-14T13:12:44.909Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-57-EV,2017-02-14T13:12:45.099Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32473180,2015-01-01,2015-12-31,c178,,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzRkL2QzLzRiLzcxMWMtNDVkNC04MzVkLWU2ODFiOThiY2M0OA.pdf,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzUwLzk5LzI4L2YxOGUtNGQwMy05NGUxLTdjNWM4NTZlY2I2Nw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5000.0,1.0,Flakhaven,5000 Odense C,Hunderupvej 59,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejerne i Advokatfirmaet Helbing A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-18,2009-10-01,2017-02-09,,Statsautoriseret revisor,-1970700.0,,66125167.0,,20222670.0,32473180.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Advokatfirmaet Helbing A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Haagensen,Sten MÃ¸ller,Sten MÃ¸ller,Danske Bank,Advokatfirmaet Helbing A/S,BDO Statsautoriseret revisionsaktieselskab,,,Odense,,2015-01-01,2015-12-31,1970700.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2016-12-31,2016-01-01,true,2017-01-18,Odense,,,66125112.0,,urn:ofk:oid:23482475,indberetninger-20180424,2.5118406,32473180.0,,2018-03-27T15:42:27.513Z,2017-02-14T13:12:44.909Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-57-EV,2017-02-14T13:12:45.099Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32473180,2015-01-01,2015-12-31,c196,,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzRkL2QzLzRiLzcxMWMtNDVkNC04MzVkLWU2ODFiOThiY2M0OA.pdf,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzUwLzk5LzI4L2YxOGUtNGQwMy05NGUxLTdjNWM4NTZlY2I2Nw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5000.0,1.0,Flakhaven,5000 Odense C,Hunderupvej 59,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejerne i Advokatfirmaet Helbing A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-18,2009-10-01,2017-02-09,,Statsautoriseret revisor,-1970700.0,,66125167.0,,20222670.0,32473180.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Advokatfirmaet Helbing A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Haagensen,Sten MÃ¸ller,Sten MÃ¸ller,Danske Bank,Advokatfirmaet Helbing A/S,BDO Statsautoriseret revisionsaktieselskab,,,Odense,,2015-01-01,2015-12-31,19.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2016-12-31,2016-01-01,true,2017-01-18,Odense,,,66125112.0,,urn:ofk:oid:23482475,indberetninger-20180424,2.5118406,32473180.0,,2018-03-27T15:42:27.513Z,2017-02-14T13:12:44.909Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-57-EV,2017-02-14T13:12:45.099Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32473180,2015-12-31,2015-12-31,c172,,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzRkL2QzLzRiLzcxMWMtNDVkNC04MzVkLWU2ODFiOThiY2M0OA.pdf,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzUwLzk5LzI4L2YxOGUtNGQwMy05NGUxLTdjNWM4NTZlY2I2Nw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5000.0,1.0,Flakhaven,5000 Odense C,Hunderupvej 59,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejerne i Advokatfirmaet Helbing A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-18,2009-10-01,2017-02-09,,Statsautoriseret revisor,-1970700.0,,66125167.0,,20222670.0,32473180.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Advokatfirmaet Helbing A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Haagensen,Sten MÃ¸ller,Sten MÃ¸ller,Danske Bank,Advokatfirmaet Helbing A/S,BDO Statsautoriseret revisionsaktieselskab,,,Odense,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2016-12-31,2016-01-01,true,2017-01-18,Odense,,,66125112.0,,urn:ofk:oid:23482475,indberetninger-20180424,2.5118406,32473180.0,,2018-03-27T15:42:27.513Z,2017-02-14T13:12:44.909Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-57-EV,2017-02-14T13:12:45.099Z,10308212.0,1660489.0,501000.0,91597.0,2978785.0,225092.0,1842507.0,10308212.0,7274558.0,334261.0,334261.0,2067599.0,7.0,6811330.0,6094246.0,2067599.0,1970700.0,54869.0,54869.0,507085.0,0.0,6940297.0,85352.0,6580124.0,43615.0,394281.0,,,
32473180,2016-01-01,2016-01-01,c227,,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzRkL2QzLzRiLzcxMWMtNDVkNC04MzVkLWU2ODFiOThiY2M0OA.pdf,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzUwLzk5LzI4L2YxOGUtNGQwMy05NGUxLTdjNWM4NTZlY2I2Nw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5000.0,1.0,Flakhaven,5000 Odense C,Hunderupvej 59,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejerne i Advokatfirmaet Helbing A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-18,2009-10-01,2017-02-09,,Statsautoriseret revisor,-1970700.0,,66125167.0,,20222670.0,32473180.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Advokatfirmaet Helbing A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Haagensen,Sten MÃ¸ller,Sten MÃ¸ller,Danske Bank,Advokatfirmaet Helbing A/S,BDO Statsautoriseret revisionsaktieselskab,,,Odense,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2016-12-31,2016-01-01,true,2017-01-18,Odense,,,66125112.0,,urn:ofk:oid:23482475,indberetninger-20180424,2.5118406,32473180.0,,2018-03-27T15:42:27.513Z,2017-02-14T13:12:44.909Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-57-EV,2017-02-14T13:12:45.099Z,,,,,501000.0,,,,,,,,,,,,,,,,,,,,,,,,
32473180,2016-01-01,2016-01-01,c254,,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzRkL2QzLzRiLzcxMWMtNDVkNC04MzVkLWU2ODFiOThiY2M0OA.pdf,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzUwLzk5LzI4L2YxOGUtNGQwMy05NGUxLTdjNWM4NTZlY2I2Nw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5000.0,1.0,Flakhaven,5000 Odense C,Hunderupvej 59,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejerne i Advokatfirmaet Helbing A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-18,2009-10-01,2017-02-09,,Statsautoriseret revisor,-1970700.0,,66125167.0,,20222670.0,32473180.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Advokatfirmaet Helbing A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Haagensen,Sten MÃ¸ller,Sten MÃ¸ller,Danske Bank,Advokatfirmaet Helbing A/S,BDO Statsautoriseret revisionsaktieselskab,,,Odense,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2016-12-31,2016-01-01,true,2017-01-18,Odense,,,66125112.0,,urn:ofk:oid:23482475,indberetninger-20180424,2.5118406,32473180.0,,2018-03-27T15:42:27.513Z,2017-02-14T13:12:44.909Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-57-EV,2017-02-14T13:12:45.099Z,,,,,507085.0,,,,,,,,,,,,,,,,,,,,,,,,
32473180,2016-01-01,2016-01-01,c258,,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzRkL2QzLzRiLzcxMWMtNDVkNC04MzVkLWU2ODFiOThiY2M0OA.pdf,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzUwLzk5LzI4L2YxOGUtNGQwMy05NGUxLTdjNWM4NTZlY2I2Nw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5000.0,1.0,Flakhaven,5000 Odense C,Hunderupvej 59,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejerne i Advokatfirmaet Helbing A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-18,2009-10-01,2017-02-09,,Statsautoriseret revisor,-1970700.0,,66125167.0,,20222670.0,32473180.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Advokatfirmaet Helbing A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Haagensen,Sten MÃ¸ller,Sten MÃ¸ller,Danske Bank,Advokatfirmaet Helbing A/S,BDO Statsautoriseret revisionsaktieselskab,,,Odense,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2016-12-31,2016-01-01,true,2017-01-18,Odense,,,66125112.0,,urn:ofk:oid:23482475,indberetninger-20180424,2.5118406,32473180.0,,2018-03-27T15:42:27.513Z,2017-02-14T13:12:44.909Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-57-EV,2017-02-14T13:12:45.099Z,,,,,1970700.0,,,,,,,,,,,,,,,,,,,,,,,,
32473180,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzRkL2QzLzRiLzcxMWMtNDVkNC04MzVkLWU2ODFiOThiY2M0OA.pdf,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzUwLzk5LzI4L2YxOGUtNGQwMy05NGUxLTdjNWM4NTZlY2I2Nw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5000.0,1.0,Flakhaven,5000 Odense C,Hunderupvej 59,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejerne i Advokatfirmaet Helbing A/S,-3990.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",467720.0,2017-01-18,2009-10-01,2017-02-09,-98789.0,Statsautoriseret revisor,-1970700.0,-4110227.0,66125167.0,6295355.0,20222670.0,32473180.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Advokatfirmaet Helbing A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Haagensen,Sten MÃ¸ller,Sten MÃ¸ller,Danske Bank,Advokatfirmaet Helbing A/S,BDO Statsautoriseret revisionsaktieselskab,-19187.0,1592.0,Odense,127917.0,2015-01-01,2015-12-31,1605014.0,2068744.0,2086339.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2016-12-31,2016-01-01,true,2017-01-18,Odense,73008.0,-463730.0,66125112.0,3909302.0,urn:ofk:oid:23482475,indberetninger-20180424,2.5118406,32473180.0,,2018-03-27T15:42:27.513Z,2017-02-14T13:12:44.909Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-57-EV,2017-02-14T13:12:45.099Z,,,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning,
32473180,2016-01-01,2016-12-31,c177,,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzRkL2QzLzRiLzcxMWMtNDVkNC04MzVkLWU2ODFiOThiY2M0OA.pdf,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzUwLzk5LzI4L2YxOGUtNGQwMy05NGUxLTdjNWM4NTZlY2I2Nw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5000.0,1.0,Flakhaven,5000 Odense C,Hunderupvej 59,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejerne i Advokatfirmaet Helbing A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-18,2009-10-01,2017-02-09,,Statsautoriseret revisor,-1970700.0,,66125167.0,,20222670.0,32473180.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Advokatfirmaet Helbing A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Haagensen,Sten MÃ¸ller,Sten MÃ¸ller,Danske Bank,Advokatfirmaet Helbing A/S,BDO Statsautoriseret revisionsaktieselskab,,,Odense,,2015-01-01,2015-12-31,1605000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2016-12-31,2016-01-01,true,2017-01-18,Odense,,,66125112.0,,urn:ofk:oid:23482475,indberetninger-20180424,2.5118406,32473180.0,,2018-03-27T15:42:27.513Z,2017-02-14T13:12:44.909Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-57-EV,2017-02-14T13:12:45.099Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32473180,2016-01-01,2016-12-31,c195,,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzRkL2QzLzRiLzcxMWMtNDVkNC04MzVkLWU2ODFiOThiY2M0OA.pdf,http://regnskaber.virk.dk/08137423/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzUwLzk5LzI4L2YxOGUtNGQwMy05NGUxLTdjNWM4NTZlY2I2Nw.xml,true,Odense C,5000.0,1.0,FÃ¦lledvej,Odense C,5000.0,1.0,Flakhaven,5000 Odense C,Hunderupvej 59,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejerne i Advokatfirmaet Helbing A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-01-18,2009-10-01,2017-02-09,,Statsautoriseret revisor,-1970700.0,,66125167.0,,20222670.0,32473180.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Advokatfirmaet Helbing A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Haagensen,Sten MÃ¸ller,Sten MÃ¸ller,Danske Bank,Advokatfirmaet Helbing A/S,BDO Statsautoriseret revisionsaktieselskab,,,Odense,,2015-01-01,2015-12-31,14.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense,2016-12-31,2016-01-01,true,2017-01-18,Odense,,,66125112.0,,urn:ofk:oid:23482475,indberetninger-20180424,2.5118406,32473180.0,,2018-03-27T15:42:27.513Z,2017-02-14T13:12:44.909Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AC-57-EV,2017-02-14T13:12:45.099Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
