entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,IncomeFromInvestmentsInGroupEnterprises,OtherExternalExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToOtherCreditInstitutions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
53659810,2015-01-01,2015-12-31,ID_11,,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2IyLzNmLzk3L2E4ODAtNGZhMi1hYzY5LTIzNTdmMzM3M2QzOA.pdf,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzg3L2YzL2Q3Lzk0N2MtNGFjZS1hZTdmLWZjMGQ0YjQ1MmQzZg.xml,true,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Geokon Holding A/S,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-23,2017-05-23,1979-10-05,2017-05-23,ek@geokon.dk,13254192.0,53659810.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Geokon Holding A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anne Kirsbo,Revisionsfirmaet Gutfelt A/S,Geokon Holding A/S,Revisionsfirmaet Gutfelt A/S,RÃ¸dovre,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-05-23,Kastrup,36 72 30 11,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23931441,indberetninger-20180424,2.5124266,53659810.0,,2018-03-28T06:59:44.149Z,2017-05-24T07:41:49.567Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-95-NY,2017-05-24T07:41:50.283Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53659810,2015-01-01,2015-12-31,ID_12,,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2IyLzNmLzk3L2E4ODAtNGZhMi1hYzY5LTIzNTdmMzM3M2QzOA.pdf,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzg3L2YzL2Q3Lzk0N2MtNGFjZS1hZTdmLWZjMGQ0YjQ1MmQzZg.xml,true,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Geokon Holding A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-23,2017-05-23,1979-10-05,2017-05-23,ek@geokon.dk,13254192.0,53659810.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Geokon Holding A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anne Kirsbo,Revisionsfirmaet Gutfelt A/S,Geokon Holding A/S,Revisionsfirmaet Gutfelt A/S,RÃ¸dovre,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-05-23,Kastrup,36 72 30 11,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23931441,indberetninger-20180424,2.5124266,53659810.0,,2018-03-28T06:59:44.149Z,2017-05-24T07:41:49.567Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-95-NY,2017-05-24T07:41:50.283Z,85896.0,303940.0,362263.0,2015821.0,591153.0,675006.0,2463644.0,2569941.0,-27573.0,953416.0,106297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53659810,2015-01-01,2015-12-31,ID_13,,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2IyLzNmLzk3L2E4ODAtNGZhMi1hYzY5LTIzNTdmMzM3M2QzOA.pdf,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzg3L2YzL2Q3Lzk0N2MtNGFjZS1hZTdmLWZjMGQ0YjQ1MmQzZg.xml,true,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Geokon Holding A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-23,2017-05-23,1979-10-05,2017-05-23,ek@geokon.dk,13254192.0,53659810.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Geokon Holding A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anne Kirsbo,Revisionsfirmaet Gutfelt A/S,Geokon Holding A/S,Revisionsfirmaet Gutfelt A/S,RÃ¸dovre,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-05-23,Kastrup,36 72 30 11,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23931441,indberetninger-20180424,2.5124266,53659810.0,,2018-03-28T06:59:44.149Z,2017-05-24T07:41:49.567Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-95-NY,2017-05-24T07:41:50.283Z,,,,,,,-99800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53659810,2015-01-01,2015-12-31,ID_15,,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2IyLzNmLzk3L2E4ODAtNGZhMi1hYzY5LTIzNTdmMzM3M2QzOA.pdf,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzg3L2YzL2Q3Lzk0N2MtNGFjZS1hZTdmLWZjMGQ0YjQ1MmQzZg.xml,true,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Geokon Holding A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-23,2017-05-23,1979-10-05,2017-05-23,ek@geokon.dk,13254192.0,53659810.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Geokon Holding A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anne Kirsbo,Revisionsfirmaet Gutfelt A/S,Geokon Holding A/S,Revisionsfirmaet Gutfelt A/S,RÃ¸dovre,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-05-23,Kastrup,36 72 30 11,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23931441,indberetninger-20180424,2.5124266,53659810.0,,2018-03-28T06:59:44.149Z,2017-05-24T07:41:49.567Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-95-NY,2017-05-24T07:41:50.283Z,,,,,,,-2015821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53659810,2015-01-01,2015-12-31,ID_17,,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2IyLzNmLzk3L2E4ODAtNGZhMi1hYzY5LTIzNTdmMzM3M2QzOA.pdf,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzg3L2YzL2Q3Lzk0N2MtNGFjZS1hZTdmLWZjMGQ0YjQ1MmQzZg.xml,true,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Geokon Holding A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-23,2017-05-23,1979-10-05,2017-05-23,ek@geokon.dk,13254192.0,53659810.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Geokon Holding A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anne Kirsbo,Revisionsfirmaet Gutfelt A/S,Geokon Holding A/S,Revisionsfirmaet Gutfelt A/S,RÃ¸dovre,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-05-23,Kastrup,36 72 30 11,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23931441,indberetninger-20180424,2.5124266,53659810.0,,2018-03-28T06:59:44.149Z,2017-05-24T07:41:49.567Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-95-NY,2017-05-24T07:41:50.283Z,,,,,,,-348023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53659810,2015-12-31,2015-12-31,ID_9,,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2IyLzNmLzk3L2E4ODAtNGZhMi1hYzY5LTIzNTdmMzM3M2QzOA.pdf,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzg3L2YzL2Q3Lzk0N2MtNGFjZS1hZTdmLWZjMGQ0YjQ1MmQzZg.xml,true,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Geokon Holding A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-23,2017-05-23,1979-10-05,2017-05-23,ek@geokon.dk,13254192.0,53659810.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Geokon Holding A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anne Kirsbo,Revisionsfirmaet Gutfelt A/S,Geokon Holding A/S,Revisionsfirmaet Gutfelt A/S,RÃ¸dovre,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-05-23,Kastrup,36 72 30 11,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23931441,indberetninger-20180424,2.5124266,53659810.0,,2018-03-28T06:59:44.149Z,2017-05-24T07:41:49.567Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-95-NY,2017-05-24T07:41:50.283Z,,,,,,,,,,,,19139011.0,68939.0,500000.0,77343.0,16538542.0,9867197.0,19139011.0,2600469.0,3010000.0,8871970.0,4438039.0,2010000.0,-1000000.0,19061668.0,4233931.0,200000.0,590469.0,8404.0,322501.0,10189698.0,99800.0,2938039.0,13000703.0,590469.0,8404.0,,,
53659810,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2IyLzNmLzk3L2E4ODAtNGZhMi1hYzY5LTIzNTdmMzM3M2QzOA.pdf,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzg3L2YzL2Q3Lzk0N2MtNGFjZS1hZTdmLWZjMGQ0YjQ1MmQzZg.xml,true,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Geokon Holding A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-23,2017-05-23,1979-10-05,2017-05-23,ek@geokon.dk,13254192.0,53659810.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Geokon Holding A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anne Kirsbo,Revisionsfirmaet Gutfelt A/S,Geokon Holding A/S,Revisionsfirmaet Gutfelt A/S,RÃ¸dovre,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-05-23,Kastrup,36 72 30 11,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23931441,indberetninger-20180424,2.5124266,53659810.0,,2018-03-28T06:59:44.149Z,2017-05-24T07:41:49.567Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-95-NY,2017-05-24T07:41:50.283Z,85896.0,303904.0,546938.0,955034.0,431262.0,525664.0,1309448.0,1411713.0,157138.0,978200.0,102265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53659810,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2IyLzNmLzk3L2E4ODAtNGZhMi1hYzY5LTIzNTdmMzM3M2QzOA.pdf,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzg3L2YzL2Q3Lzk0N2MtNGFjZS1hZTdmLWZjMGQ0YjQ1MmQzZg.xml,true,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Geokon Holding A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-23,2017-05-23,1979-10-05,2017-05-23,ek@geokon.dk,13254192.0,53659810.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Geokon Holding A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anne Kirsbo,Revisionsfirmaet Gutfelt A/S,Geokon Holding A/S,Revisionsfirmaet Gutfelt A/S,RÃ¸dovre,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-05-23,Kastrup,36 72 30 11,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23931441,indberetninger-20180424,2.5124266,53659810.0,,2018-03-28T06:59:44.149Z,2017-05-24T07:41:49.567Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-95-NY,2017-05-24T07:41:50.283Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53659810,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2IyLzNmLzk3L2E4ODAtNGZhMi1hYzY5LTIzNTdmMzM3M2QzOA.pdf,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzg3L2YzL2Q3Lzk0N2MtNGFjZS1hZTdmLWZjMGQ0YjQ1MmQzZg.xml,true,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Geokon Holding A/S,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-23,2017-05-23,1979-10-05,2017-05-23,ek@geokon.dk,13254192.0,53659810.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Geokon Holding A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anne Kirsbo,Revisionsfirmaet Gutfelt A/S,Geokon Holding A/S,Revisionsfirmaet Gutfelt A/S,RÃ¸dovre,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-05-23,Kastrup,36 72 30 11,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23931441,indberetninger-20180424,2.5124266,53659810.0,,2018-03-28T06:59:44.149Z,2017-05-24T07:41:49.567Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-95-NY,2017-05-24T07:41:50.283Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53659810,2016-01-01,2016-12-31,ID_14,,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzLzM3L2IyLzNmLzk3L2E4ODAtNGZhMi1hYzY5LTIzNTdmMzM3M2QzOA.pdf,http://regnskaber.virk.dk/01895635/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzg3L2YzL2Q3Lzk0N2MtNGFjZS1hZTdmLWZjMGQ0YjQ1MmQzZg.xml,true,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Geokon Holding A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",2017-05-23,2017-05-23,1979-10-05,2017-05-23,ek@geokon.dk,13254192.0,53659810.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Geokon Holding A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Anne Kirsbo,Revisionsfirmaet Gutfelt A/S,Geokon Holding A/S,Revisionsfirmaet Gutfelt A/S,RÃ¸dovre,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,false,2017-05-23,Kastrup,36 72 30 11,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23931441,indberetninger-20180424,2.5124266,53659810.0,,2018-03-28T06:59:44.149Z,2017-05-24T07:41:49.567Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-95-NY,2017-05-24T07:41:50.283Z,,,,,,,-955034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
