entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DividendPaid,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDeferredIncome,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradeReceivables,NameOfAuditFirm
24984001,2013-01-01,2013-12-31,c1,,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzFkLzM3LzQ0L2E3OTUtNGQ4OC05OTFiLWEyYmJlZWU5MGZlYg.pdf,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzJlL2FkLzU4L2YxNGItNDUwZi1hNzQwLWRkN2U5MDJmNWZmNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1620.0,8.0,Vesterbrogade,1260  KÃ¸benhavn K,Bredgade 25 D,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Jensen & Kompagni ApS,-1000.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,-72000.0,2015-04-21,1999-10-15,2015-04-23,Statsautoriseret revisor,-98400.0,24984001.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Jensen & Kompagni ApS.,69000.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Lasse Jensen,Lasse Jensen,Nordea Bank Danmark A/S,Jensen & Kompagni ApS,BDO Statsautoriseret revisionsaktieselskab,-1000.0,1000.0,KÃ¸benhavn,211000.0,284000.0,215000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2014-12-31,2014-01-01,2015-04-21,KÃ¸benhavn,-73000.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5151549,indberetninger-20180424,2.5118417999999996,24984001,,2018-03-30T12:01:53.786Z,2015-04-23T10:58:01.208Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-97-SP,2015-04-23T10:58:01.255Z,,,,,,,,,,,,,,,,,,,,,
24984001,2013-01-01,2013-12-31,c30,,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzFkLzM3LzQ0L2E3OTUtNGQ4OC05OTFiLWEyYmJlZWU5MGZlYg.pdf,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzJlL2FkLzU4L2YxNGItNDUwZi1hNzQwLWRkN2U5MDJmNWZmNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1620.0,8.0,Vesterbrogade,1260  KÃ¸benhavn K,Bredgade 25 D,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Jensen & Kompagni ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2015-04-21,1999-10-15,2015-04-23,Statsautoriseret revisor,-98400.0,24984001.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Jensen & Kompagni ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Lasse Jensen,Lasse Jensen,Nordea Bank Danmark A/S,Jensen & Kompagni ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,113000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2014-12-31,2014-01-01,2015-04-21,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5151549,indberetninger-20180424,2.5118417999999996,24984001,,2018-03-30T12:01:53.786Z,2015-04-23T10:58:01.208Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-97-SP,2015-04-23T10:58:01.255Z,,,,,,,,,,,,,,,,,,,,,
24984001,2013-01-01,2013-12-31,c6,,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzFkLzM3LzQ0L2E3OTUtNGQ4OC05OTFiLWEyYmJlZWU5MGZlYg.pdf,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzJlL2FkLzU4L2YxNGItNDUwZi1hNzQwLWRkN2U5MDJmNWZmNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1620.0,8.0,Vesterbrogade,1260  KÃ¸benhavn K,Bredgade 25 D,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Jensen & Kompagni ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2015-04-21,1999-10-15,2015-04-23,Statsautoriseret revisor,-98400.0,24984001.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Jensen & Kompagni ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Lasse Jensen,Lasse Jensen,Nordea Bank Danmark A/S,Jensen & Kompagni ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,98000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2014-12-31,2014-01-01,2015-04-21,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5151549,indberetninger-20180424,2.5118417999999996,24984001,,2018-03-30T12:01:53.786Z,2015-04-23T10:58:01.208Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-97-SP,2015-04-23T10:58:01.255Z,,,,,,,,,,,,,,,,,,,,,
24984001,2013-12-31,2013-12-31,c4,,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzFkLzM3LzQ0L2E3OTUtNGQ4OC05OTFiLWEyYmJlZWU5MGZlYg.pdf,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzJlL2FkLzU4L2YxNGItNDUwZi1hNzQwLWRkN2U5MDJmNWZmNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1620.0,8.0,Vesterbrogade,1260  KÃ¸benhavn K,Bredgade 25 D,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Jensen & Kompagni ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2015-04-21,1999-10-15,2015-04-23,Statsautoriseret revisor,-98400.0,24984001.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Jensen & Kompagni ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Lasse Jensen,Lasse Jensen,Nordea Bank Danmark A/S,Jensen & Kompagni ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2014-12-31,2014-01-01,2015-04-21,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5151549,indberetninger-20180424,2.5118417999999996,24984001,,2018-03-30T12:01:53.786Z,2015-04-23T10:58:01.208Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-97-SP,2015-04-23T10:58:01.255Z,1023000.0,209000.0,266000.0,1023000.0,3000.0,3000.0,678000.0,1023000.0,345000.0,793000.0,311000.0,15000.0,98000.0,314000.0,3000.0,793000.0,345000.0,21000.0,31000.0,0.0,
24984001,2014-01-01,2014-01-01,c137,,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzFkLzM3LzQ0L2E3OTUtNGQ4OC05OTFiLWEyYmJlZWU5MGZlYg.pdf,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzJlL2FkLzU4L2YxNGItNDUwZi1hNzQwLWRkN2U5MDJmNWZmNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1620.0,8.0,Vesterbrogade,1260  KÃ¸benhavn K,Bredgade 25 D,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Jensen & Kompagni ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2015-04-21,1999-10-15,2015-04-23,Statsautoriseret revisor,-98400.0,24984001.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Jensen & Kompagni ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Lasse Jensen,Lasse Jensen,Nordea Bank Danmark A/S,Jensen & Kompagni ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2014-12-31,2014-01-01,2015-04-21,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5151549,indberetninger-20180424,2.5118417999999996,24984001,,2018-03-30T12:01:53.786Z,2015-04-23T10:58:01.208Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-97-SP,2015-04-23T10:58:01.255Z,,,,,,,266000.0,,,,,,,,,,,,,,
24984001,2014-01-01,2014-01-01,c158,,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzFkLzM3LzQ0L2E3OTUtNGQ4OC05OTFiLWEyYmJlZWU5MGZlYg.pdf,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzJlL2FkLzU4L2YxNGItNDUwZi1hNzQwLWRkN2U5MDJmNWZmNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1620.0,8.0,Vesterbrogade,1260  KÃ¸benhavn K,Bredgade 25 D,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Jensen & Kompagni ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2015-04-21,1999-10-15,2015-04-23,Statsautoriseret revisor,-98400.0,24984001.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Jensen & Kompagni ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Lasse Jensen,Lasse Jensen,Nordea Bank Danmark A/S,Jensen & Kompagni ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2014-12-31,2014-01-01,2015-04-21,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5151549,indberetninger-20180424,2.5118417999999996,24984001,,2018-03-30T12:01:53.786Z,2015-04-23T10:58:01.208Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-97-SP,2015-04-23T10:58:01.255Z,,,,,,,314102.0,,,,,,,,,,,,,,
24984001,2014-01-01,2014-01-01,c161,,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzFkLzM3LzQ0L2E3OTUtNGQ4OC05OTFiLWEyYmJlZWU5MGZlYg.pdf,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzJlL2FkLzU4L2YxNGItNDUwZi1hNzQwLWRkN2U5MDJmNWZmNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1620.0,8.0,Vesterbrogade,1260  KÃ¸benhavn K,Bredgade 25 D,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Jensen & Kompagni ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2015-04-21,1999-10-15,2015-04-23,Statsautoriseret revisor,-98400.0,24984001.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Jensen & Kompagni ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Lasse Jensen,Lasse Jensen,Nordea Bank Danmark A/S,Jensen & Kompagni ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2014-12-31,2014-01-01,2015-04-21,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5151549,indberetninger-20180424,2.5118417999999996,24984001,,2018-03-30T12:01:53.786Z,2015-04-23T10:58:01.208Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-97-SP,2015-04-23T10:58:01.255Z,,,,,,,98400.0,,,,,,,,,,,,,,
24984001,2014-01-01,2014-12-31,c0,,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzFkLzM3LzQ0L2E3OTUtNGQ4OC05OTFiLWEyYmJlZWU5MGZlYg.pdf,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzJlL2FkLzU4L2YxNGItNDUwZi1hNzQwLWRkN2U5MDJmNWZmNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1620.0,8.0,Vesterbrogade,1260  KÃ¸benhavn K,Bredgade 25 D,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Jensen & Kompagni ApS,-2549.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,-50322.0,2015-04-21,1999-10-15,2015-04-23,Statsautoriseret revisor,-98400.0,24984001.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Jensen & Kompagni ApS.,106900.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Lasse Jensen,Lasse Jensen,Nordea Bank Danmark A/S,Jensen & Kompagni ApS,BDO Statsautoriseret revisionsaktieselskab,-1398.0,105.0,KÃ¸benhavn,154210.0,207081.0,101474.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2014-12-31,2014-01-01,2015-04-21,KÃ¸benhavn,-52871.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5151549,indberetninger-20180424,2.5118417999999996,24984001,,2018-03-30T12:01:53.786Z,2015-04-23T10:58:01.208Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-97-SP,2015-04-23T10:58:01.255Z,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab
24984001,2014-01-01,2014-12-31,c159,,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzFkLzM3LzQ0L2E3OTUtNGQ4OC05OTFiLWEyYmJlZWU5MGZlYg.pdf,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzJlL2FkLzU4L2YxNGItNDUwZi1hNzQwLWRkN2U5MDJmNWZmNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1620.0,8.0,Vesterbrogade,1260  KÃ¸benhavn K,Bredgade 25 D,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Jensen & Kompagni ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2015-04-21,1999-10-15,2015-04-23,Statsautoriseret revisor,-98400.0,24984001.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Jensen & Kompagni ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Lasse Jensen,Lasse Jensen,Nordea Bank Danmark A/S,Jensen & Kompagni ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,54410.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2014-12-31,2014-01-01,2015-04-21,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5151549,indberetninger-20180424,2.5118417999999996,24984001,,2018-03-30T12:01:53.786Z,2015-04-23T10:58:01.208Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-97-SP,2015-04-23T10:58:01.255Z,,,,,,,,,,,,,,,,,,,,,
24984001,2014-01-01,2014-12-31,c162,,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzFkLzM3LzQ0L2E3OTUtNGQ4OC05OTFiLWEyYmJlZWU5MGZlYg.pdf,http://regnskaber.virk.dk/10048942/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzJlL2FkLzU4L2YxNGItNDUwZi1hNzQwLWRkN2U5MDJmNWZmNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn V,1620.0,8.0,Vesterbrogade,1260  KÃ¸benhavn K,Bredgade 25 D,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Jensen & Kompagni ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2015-04-21,1999-10-15,2015-04-23,Statsautoriseret revisor,-98400.0,24984001.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for Jensen & Kompagni ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper Buch,Lasse Jensen,Lasse Jensen,Nordea Bank Danmark A/S,Jensen & Kompagni ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,99800.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2014-12-31,2014-01-01,2015-04-21,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5151549,indberetninger-20180424,2.5118417999999996,24984001,,2018-03-30T12:01:53.786Z,2015-04-23T10:58:01.208Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-97-SP,2015-04-23T10:58:01.255Z,,,,,,,,,,,,,,,,,,,,,
