entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,EmailOfReportingEntity,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpenseOnOrdinaryActivities,AcquiredIntangibleAssets,Assets,CashAndCashEquivalents,CompletedDevelopmentProjects,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DevelopmentProjectsInProgress,Equity,FixturesFittingsToolsAndEquipment,IntangibleAssets,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermEquityLoan,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,NoncurrentDeferredTaxAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,OtherStatutoryReserves,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDeferredIncome,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTaxReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
26194210,2015-01-01,2015-12-31,ID_12,,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzBkL2EwLzM3LzY2NGEtNDM1OS05MDM4LTU1NmIyZTdhZGFmNg.pdf,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzNmL2FlL2EzL2ZhZWYtNDgxOS1iNjkzLTMwMWM4ZWE0MTlkOA.xml,true,"2800, Kongens Lyngby",Firskovvej 32,Til kapitalejeren i FDM travel A/S,87.0,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-27,2017-03-27,2017-04-06,adm@fdm-travel.dk,www.fdm-travel.dk,33963556.0,26194210.0,33963556.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for FDM travel A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne Illum,Deloitte Statsautoriseret Revisionspartnerselskab,FDM travel A/S,Allan Munk co. FDM,Kgs. Lyngby,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Lyngby-TÃ¥rbÃ¦k, 173",2016-12-31,2016-01-01,false,2017-03-27,Kgs. Lyngby,45270707.0,Administrerende direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23741583,indberetninger-20180424,2.5124211,26194210.0,,2018-03-27T14:36:48.398Z,2017-04-20T11:52:10.003Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-54-NR,2017-04-20T11:52:10.196Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26194210,2015-01-01,2015-12-31,ID_13,,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzBkL2EwLzM3LzY2NGEtNDM1OS05MDM4LTU1NmIyZTdhZGFmNg.pdf,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzNmL2FlL2EzL2ZhZWYtNDgxOS1iNjkzLTMwMWM4ZWE0MTlkOA.xml,true,"2800, Kongens Lyngby",Firskovvej 32,Til kapitalejeren i FDM travel A/S,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-27,2017-03-27,2017-04-06,adm@fdm-travel.dk,www.fdm-travel.dk,33963556.0,26194210.0,33963556.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for FDM travel A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne Illum,Deloitte Statsautoriseret Revisionspartnerselskab,FDM travel A/S,Allan Munk co. FDM,Kgs. Lyngby,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Lyngby-TÃ¥rbÃ¦k, 173",2016-12-31,2016-01-01,false,2017-03-27,Kgs. Lyngby,45270707.0,Administrerende direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23741583,indberetninger-20180424,2.5124211,26194210.0,,2018-03-27T14:36:48.398Z,2017-04-20T11:52:10.003Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-54-NR,2017-04-20T11:52:10.196Z,4071000.0,40535000.0,44180000.0,470235000.0,886000.0,2056000.0,572000.0,744000.0,-426000.0,514415000.0,172000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26194210,2015-01-01,2015-12-31,ID_15,,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzBkL2EwLzM3LzY2NGEtNDM1OS05MDM4LTU1NmIyZTdhZGFmNg.pdf,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzNmL2FlL2EzL2ZhZWYtNDgxOS1iNjkzLTMwMWM4ZWE0MTlkOA.xml,true,"2800, Kongens Lyngby",Firskovvej 32,Til kapitalejeren i FDM travel A/S,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-27,2017-03-27,2017-04-06,adm@fdm-travel.dk,www.fdm-travel.dk,33963556.0,26194210.0,33963556.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for FDM travel A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne Illum,Deloitte Statsautoriseret Revisionspartnerselskab,FDM travel A/S,Allan Munk co. FDM,Kgs. Lyngby,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Lyngby-TÃ¥rbÃ¦k, 173",2016-12-31,2016-01-01,false,2017-03-27,Kgs. Lyngby,45270707.0,Administrerende direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23741583,indberetninger-20180424,2.5124211,26194210.0,,2018-03-27T14:36:48.398Z,2017-04-20T11:52:10.003Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-54-NR,2017-04-20T11:52:10.196Z,,,,,,,-572000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26194210,2015-12-31,2015-12-31,ID_10,,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzBkL2EwLzM3LzY2NGEtNDM1OS05MDM4LTU1NmIyZTdhZGFmNg.pdf,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzNmL2FlL2EzL2ZhZWYtNDgxOS1iNjkzLTMwMWM4ZWE0MTlkOA.xml,true,"2800, Kongens Lyngby",Firskovvej 32,Til kapitalejeren i FDM travel A/S,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-27,2017-03-27,2017-04-06,adm@fdm-travel.dk,www.fdm-travel.dk,33963556.0,26194210.0,33963556.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for FDM travel A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne Illum,Deloitte Statsautoriseret Revisionspartnerselskab,FDM travel A/S,Allan Munk co. FDM,Kgs. Lyngby,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Lyngby-TÃ¥rbÃ¦k, 173",2016-12-31,2016-01-01,false,2017-03-27,Kgs. Lyngby,45270707.0,Administrerende direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23741583,indberetninger-20180424,2.5124211,26194210.0,,2018-03-27T14:36:48.398Z,2017-04-20T11:52:10.003Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-54-NR,2017-04-20T11:52:10.196Z,,,,,,,,,,,,87000.0,119625000.0,5340000.0,15512000.0,12000000.0,96978000.0,145000.0,0.0,11632000.0,195000.0,15599000.0,630000.0,119625000.0,107993000.0,15000000.0,6223000.0,15000000.0,22647000.0,5921000.0,302000.0,46129000.0,15269000.0,6501000.0,0.0,825000.0,-368000.0,3575000.0,46129000.0,92993000.0,10984000.0,45509000.0,294000.0,301000.0,63165000.0,38268000.0,,,
26194210,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzBkL2EwLzM3LzY2NGEtNDM1OS05MDM4LTU1NmIyZTdhZGFmNg.pdf,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzNmL2FlL2EzL2ZhZWYtNDgxOS1iNjkzLTMwMWM4ZWE0MTlkOA.xml,true,"2800, Kongens Lyngby",Firskovvej 32,Til kapitalejeren i FDM travel A/S,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-27,2017-03-27,2017-04-06,adm@fdm-travel.dk,www.fdm-travel.dk,33963556.0,26194210.0,33963556.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for FDM travel A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne Illum,Deloitte Statsautoriseret Revisionspartnerselskab,FDM travel A/S,Allan Munk co. FDM,Kgs. Lyngby,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Lyngby-TÃ¥rbÃ¦k, 173",2016-12-31,2016-01-01,false,2017-03-27,Kgs. Lyngby,45270707.0,Administrerende direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23741583,indberetninger-20180424,2.5124211,26194210.0,,2018-03-27T14:36:48.398Z,2017-04-20T11:52:10.003Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-54-NR,2017-04-20T11:52:10.196Z,4668000.0,41564000.0,49140000.0,432017000.0,868000.0,1977000.0,3403000.0,4017000.0,2908000.0,481157000.0,614000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26194210,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzBkL2EwLzM3LzY2NGEtNDM1OS05MDM4LTU1NmIyZTdhZGFmNg.pdf,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzNmL2FlL2EzL2ZhZWYtNDgxOS1iNjkzLTMwMWM4ZWE0MTlkOA.xml,true,"2800, Kongens Lyngby",Firskovvej 32,Til kapitalejeren i FDM travel A/S,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-27,2017-03-27,2017-04-06,adm@fdm-travel.dk,www.fdm-travel.dk,33963556.0,26194210.0,33963556.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for FDM travel A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne Illum,Deloitte Statsautoriseret Revisionspartnerselskab,FDM travel A/S,Allan Munk co. FDM,Kgs. Lyngby,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Lyngby-TÃ¥rbÃ¦k, 173",2016-12-31,2016-01-01,false,2017-03-27,Kgs. Lyngby,45270707.0,Administrerende direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23741583,indberetninger-20180424,2.5124211,26194210.0,,2018-03-27T14:36:48.398Z,2017-04-20T11:52:10.003Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-54-NR,2017-04-20T11:52:10.196Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26194210,2016-01-01,2016-12-31,ID_11,,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzBkL2EwLzM3LzY2NGEtNDM1OS05MDM4LTU1NmIyZTdhZGFmNg.pdf,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzNmL2FlL2EzL2ZhZWYtNDgxOS1iNjkzLTMwMWM4ZWE0MTlkOA.xml,true,"2800, Kongens Lyngby",Firskovvej 32,Til kapitalejeren i FDM travel A/S,87.0,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-27,2017-03-27,2017-04-06,adm@fdm-travel.dk,www.fdm-travel.dk,33963556.0,26194210.0,33963556.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for FDM travel A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne Illum,Deloitte Statsautoriseret Revisionspartnerselskab,FDM travel A/S,Allan Munk co. FDM,Kgs. Lyngby,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Lyngby-TÃ¥rbÃ¦k, 173",2016-12-31,2016-01-01,false,2017-03-27,Kgs. Lyngby,45270707.0,Administrerende direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23741583,indberetninger-20180424,2.5124211,26194210.0,,2018-03-27T14:36:48.398Z,2017-04-20T11:52:10.003Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-54-NR,2017-04-20T11:52:10.196Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26194210,2016-01-01,2016-12-31,ID_14,,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzBkL2EwLzM3LzY2NGEtNDM1OS05MDM4LTU1NmIyZTdhZGFmNg.pdf,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzNmL2FlL2EzL2ZhZWYtNDgxOS1iNjkzLTMwMWM4ZWE0MTlkOA.xml,true,"2800, Kongens Lyngby",Firskovvej 32,Til kapitalejeren i FDM travel A/S,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-27,2017-03-27,2017-04-06,adm@fdm-travel.dk,www.fdm-travel.dk,33963556.0,26194210.0,33963556.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for FDM travel A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne Illum,Deloitte Statsautoriseret Revisionspartnerselskab,FDM travel A/S,Allan Munk co. FDM,Kgs. Lyngby,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Lyngby-TÃ¥rbÃ¦k, 173",2016-12-31,2016-01-01,false,2017-03-27,Kgs. Lyngby,45270707.0,Administrerende direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23741583,indberetninger-20180424,2.5124211,26194210.0,,2018-03-27T14:36:48.398Z,2017-04-20T11:52:10.003Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-54-NR,2017-04-20T11:52:10.196Z,,,,,,,-3403000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26194210,2016-01-01,2016-12-31,ID_2,,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzBkL2EwLzM3LzY2NGEtNDM1OS05MDM4LTU1NmIyZTdhZGFmNg.pdf,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzNmL2FlL2EzL2ZhZWYtNDgxOS1iNjkzLTMwMWM4ZWE0MTlkOA.xml,true,"2800, Kongens Lyngby",Firskovvej 32,Til kapitalejeren i FDM travel A/S,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-27,2017-03-27,2017-04-06,adm@fdm-travel.dk,www.fdm-travel.dk,33963556.0,26194210.0,33963556.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for FDM travel A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne Illum,Deloitte Statsautoriseret Revisionspartnerselskab,FDM travel A/S,Allan Munk co. FDM,Kgs. Lyngby,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Lyngby-TÃ¥rbÃ¦k, 173",2016-12-31,2016-01-01,false,2017-03-27,Kgs. Lyngby,45270707.0,Administrerende direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23741583,indberetninger-20180424,2.5124211,26194210.0,,2018-03-27T14:36:48.398Z,2017-04-20T11:52:10.003Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-54-NR,2017-04-20T11:52:10.196Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26194210,2016-01-01,2016-12-31,ID_3,,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzBkL2EwLzM3LzY2NGEtNDM1OS05MDM4LTU1NmIyZTdhZGFmNg.pdf,http://regnskaber.virk.dk/01249162/ZG9rdW1lbnRsYWdlcjovLzAzLzZhLzNmL2FlL2EzL2ZhZWYtNDgxOS1iNjkzLTMwMWM4ZWE0MTlkOA.xml,true,"2800, Kongens Lyngby",Firskovvej 32,Til kapitalejeren i FDM travel A/S,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-27,2017-03-27,2017-04-06,adm@fdm-travel.dk,www.fdm-travel.dk,33963556.0,26194210.0,33963556.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for FDM travel A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne Illum,Deloitte Statsautoriseret Revisionspartnerselskab,FDM travel A/S,Allan Munk co. FDM,Kgs. Lyngby,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Lyngby-TÃ¥rbÃ¦k, 173",2016-12-31,2016-01-01,false,2017-03-27,Kgs. Lyngby,45270707.0,Administrerende direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23741583,indberetninger-20180424,2.5124211,26194210.0,,2018-03-27T14:36:48.398Z,2017-04-20T11:52:10.003Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-54-NR,2017-04-20T11:52:10.196Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anders Iversen,,
