entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,IncomeFromOtherLongtermInvestmentsAndReceivables,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpenseOnOrdinaryActivities,Dividend,DividendPaid,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables
33240686,2015-05-01,2015-05-01,c470,,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2U5L2E0Lzg5Lzc2ODgtNGJjYy05MTliLTE3ZjBlNDMzMTMwZg.pdf,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzLzRmLzdkLzVjLzE5LzNkZTEtNDE3MC1hODczLTlhZmNmYTEzZTM3YQ.xml,HÃ¸jbjerg,8270.0,9.0,Polluxvej,8270 HÃ¸jbjerg,Polluxvej 9,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2016-12-23,2010-10-05,2017-01-02,100000.0,33240686.0,33240686.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj - 30. september 2016 for Nejsum Invest ApS.,Ãrsrapport,Lasse Nejsum,Lasse Nejsum,Nejsum Invest ApS,Lasse Nejsum,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2016-05-01,Ingen bistand,urn:ofk:oid:23371920,indberetninger-20180424,2.5121725,33240686,,2018-03-27T10:42:21.167Z,2017-01-07T15:55:42.112Z,regnskab,0.0,,2016-09-30,2016-05-01,X17-AA-42-PZ,2017-01-07T15:55:42.229Z,,,,,,,,,,,,,,,,,,,,,,,,,
33240686,2015-05-01,2015-05-01,c494,,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2U5L2E0Lzg5Lzc2ODgtNGJjYy05MTliLTE3ZjBlNDMzMTMwZg.pdf,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzLzRmLzdkLzVjLzE5LzNkZTEtNDE3MC1hODczLTlhZmNmYTEzZTM3YQ.xml,HÃ¸jbjerg,8270.0,9.0,Polluxvej,8270 HÃ¸jbjerg,Polluxvej 9,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2016-12-23,2010-10-05,2017-01-02,2224530.0,33240686.0,33240686.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj - 30. september 2016 for Nejsum Invest ApS.,Ãrsrapport,Lasse Nejsum,Lasse Nejsum,Nejsum Invest ApS,Lasse Nejsum,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2016-05-01,Ingen bistand,urn:ofk:oid:23371920,indberetninger-20180424,2.5121725,33240686,,2018-03-27T10:42:21.167Z,2017-01-07T15:55:42.112Z,regnskab,0.0,,2016-09-30,2016-05-01,X17-AA-42-PZ,2017-01-07T15:55:42.229Z,,,,,,,,,,,,,,,,,,,,,,,,,
33240686,2015-05-01,2015-05-01,c497,,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2U5L2E0Lzg5Lzc2ODgtNGJjYy05MTliLTE3ZjBlNDMzMTMwZg.pdf,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzLzRmLzdkLzVjLzE5LzNkZTEtNDE3MC1hODczLTlhZmNmYTEzZTM3YQ.xml,HÃ¸jbjerg,8270.0,9.0,Polluxvej,8270 HÃ¸jbjerg,Polluxvej 9,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2016-12-23,2010-10-05,2017-01-02,100000.0,33240686.0,33240686.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj - 30. september 2016 for Nejsum Invest ApS.,Ãrsrapport,Lasse Nejsum,Lasse Nejsum,Nejsum Invest ApS,Lasse Nejsum,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2016-05-01,Ingen bistand,urn:ofk:oid:23371920,indberetninger-20180424,2.5121725,33240686,,2018-03-27T10:42:21.167Z,2017-01-07T15:55:42.112Z,regnskab,0.0,,2016-09-30,2016-05-01,X17-AA-42-PZ,2017-01-07T15:55:42.229Z,,,,,,,,,,,,,,,,,,,,,,,,,
33240686,2015-05-01,2016-04-30,c109,,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2U5L2E0Lzg5Lzc2ODgtNGJjYy05MTliLTE3ZjBlNDMzMTMwZg.pdf,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzLzRmLzdkLzVjLzE5LzNkZTEtNDE3MC1hODczLTlhZmNmYTEzZTM3YQ.xml,HÃ¸jbjerg,8270.0,9.0,Polluxvej,8270 HÃ¸jbjerg,Polluxvej 9,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2016-12-23,2010-10-05,2017-01-02,,33240686.0,33240686.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj - 30. september 2016 for Nejsum Invest ApS.,Ãrsrapport,Lasse Nejsum,Lasse Nejsum,Nejsum Invest ApS,Lasse Nejsum,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2016-05-01,Ingen bistand,urn:ofk:oid:23371920,indberetninger-20180424,2.5121725,33240686,,2018-03-27T10:42:21.167Z,2017-01-07T15:55:42.112Z,regnskab,0.0,,2016-09-30,2016-05-01,X17-AA-42-PZ,2017-01-07T15:55:42.229Z,101200.0,,,,,,,,,,,,,,,,,,,,,,,,
33240686,2015-05-01,2016-04-30,c123,,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2U5L2E0Lzg5Lzc2ODgtNGJjYy05MTliLTE3ZjBlNDMzMTMwZg.pdf,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzLzRmLzdkLzVjLzE5LzNkZTEtNDE3MC1hODczLTlhZmNmYTEzZTM3YQ.xml,HÃ¸jbjerg,8270.0,9.0,Polluxvej,8270 HÃ¸jbjerg,Polluxvej 9,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2016-12-23,2010-10-05,2017-01-02,,33240686.0,33240686.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj - 30. september 2016 for Nejsum Invest ApS.,Ãrsrapport,Lasse Nejsum,Lasse Nejsum,Nejsum Invest ApS,Lasse Nejsum,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2016-05-01,Ingen bistand,urn:ofk:oid:23371920,indberetninger-20180424,2.5121725,33240686,,2018-03-27T10:42:21.167Z,2017-01-07T15:55:42.112Z,regnskab,0.0,,2016-09-30,2016-05-01,X17-AA-42-PZ,2017-01-07T15:55:42.229Z,-56642.0,,,,,,,,,,,,,,,,,,,,,,,,
33240686,2015-05-01,2016-04-30,c3,,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2U5L2E0Lzg5Lzc2ODgtNGJjYy05MTliLTE3ZjBlNDMzMTMwZg.pdf,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzLzRmLzdkLzVjLzE5LzNkZTEtNDE3MC1hODczLTlhZmNmYTEzZTM3YQ.xml,HÃ¸jbjerg,8270.0,9.0,Polluxvej,8270 HÃ¸jbjerg,Polluxvej 9,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2016-12-23,2010-10-05,2017-01-02,,33240686.0,33240686.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj - 30. september 2016 for Nejsum Invest ApS.,Ãrsrapport,Lasse Nejsum,Lasse Nejsum,Nejsum Invest ApS,Lasse Nejsum,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2016-05-01,Ingen bistand,urn:ofk:oid:23371920,indberetninger-20180424,2.5121725,33240686,,2018-03-27T10:42:21.167Z,2017-01-07T15:55:42.112Z,regnskab,0.0,,2016-09-30,2016-05-01,X17-AA-42-PZ,2017-01-07T15:55:42.229Z,44558.0,0.0,57120.0,57120.0,12562.0,,,,,,,,,,,,,,,,,,,,
33240686,2015-05-01,2016-04-30,c495,,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2U5L2E0Lzg5Lzc2ODgtNGJjYy05MTliLTE3ZjBlNDMzMTMwZg.pdf,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzLzRmLzdkLzVjLzE5LzNkZTEtNDE3MC1hODczLTlhZmNmYTEzZTM3YQ.xml,HÃ¸jbjerg,8270.0,9.0,Polluxvej,8270 HÃ¸jbjerg,Polluxvej 9,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2016-12-23,2010-10-05,2017-01-02,,33240686.0,33240686.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj - 30. september 2016 for Nejsum Invest ApS.,Ãrsrapport,Lasse Nejsum,Lasse Nejsum,Nejsum Invest ApS,Lasse Nejsum,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2016-05-01,Ingen bistand,urn:ofk:oid:23371920,indberetninger-20180424,2.5121725,33240686,,2018-03-27T10:42:21.167Z,2017-01-07T15:55:42.112Z,regnskab,0.0,,2016-09-30,2016-05-01,X17-AA-42-PZ,2017-01-07T15:55:42.229Z,-56642.0,,,,,,,,,,,,,,,,,,,,,,,,
33240686,2015-05-01,2016-04-30,c498,,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2U5L2E0Lzg5Lzc2ODgtNGJjYy05MTliLTE3ZjBlNDMzMTMwZg.pdf,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzLzRmLzdkLzVjLzE5LzNkZTEtNDE3MC1hODczLTlhZmNmYTEzZTM3YQ.xml,HÃ¸jbjerg,8270.0,9.0,Polluxvej,8270 HÃ¸jbjerg,Polluxvej 9,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2016-12-23,2010-10-05,2017-01-02,,33240686.0,33240686.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj - 30. september 2016 for Nejsum Invest ApS.,Ãrsrapport,Lasse Nejsum,Lasse Nejsum,Nejsum Invest ApS,Lasse Nejsum,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2016-05-01,Ingen bistand,urn:ofk:oid:23371920,indberetninger-20180424,2.5121725,33240686,,2018-03-27T10:42:21.167Z,2017-01-07T15:55:42.112Z,regnskab,0.0,,2016-09-30,2016-05-01,X17-AA-42-PZ,2017-01-07T15:55:42.229Z,,,,,,101200.0,100000.0,,,,,,,,,,,,,,,,,,
33240686,2016-04-30,2016-04-30,c4,,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2U5L2E0Lzg5Lzc2ODgtNGJjYy05MTliLTE3ZjBlNDMzMTMwZg.pdf,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzLzRmLzdkLzVjLzE5LzNkZTEtNDE3MC1hODczLTlhZmNmYTEzZTM3YQ.xml,HÃ¸jbjerg,8270.0,9.0,Polluxvej,8270 HÃ¸jbjerg,Polluxvej 9,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2016-12-23,2010-10-05,2017-01-02,2369088.0,33240686.0,33240686.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj - 30. september 2016 for Nejsum Invest ApS.,Ãrsrapport,Lasse Nejsum,Lasse Nejsum,Nejsum Invest ApS,Lasse Nejsum,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2016-05-01,Ingen bistand,urn:ofk:oid:23371920,indberetninger-20180424,2.5121725,33240686,,2018-03-27T10:42:21.167Z,2017-01-07T15:55:42.112Z,regnskab,0.0,,2016-09-30,2016-05-01,X17-AA-42-PZ,2017-01-07T15:55:42.229Z,,,,,,,,2379800.0,89218.0,100000.0,454818.0,2379800.0,10712.0,1924982.0,1924982.0,1924982.0,365600.0,583.0,0.0,101200.0,2167888.0,365600.0,10712.0,0.0,10129.0
33240686,2016-04-30,2016-04-30,c472,,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2U5L2E0Lzg5Lzc2ODgtNGJjYy05MTliLTE3ZjBlNDMzMTMwZg.pdf,http://regnskaber.virk.dk/68604233/ZG9rdW1lbnRsYWdlcjovLzAzLzRmLzdkLzVjLzE5LzNkZTEtNDE3MC1hODczLTlhZmNmYTEzZTM3YQ.xml,HÃ¸jbjerg,8270.0,9.0,Polluxvej,8270 HÃ¸jbjerg,Polluxvej 9,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj - 30. september 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2016-12-23,2010-10-05,2017-01-02,100000.0,33240686.0,33240686.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj - 30. september 2016 for Nejsum Invest ApS.,Ãrsrapport,Lasse Nejsum,Lasse Nejsum,Nejsum Invest ApS,Lasse Nejsum,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2016-09-30,2016-05-01,Ingen bistand,urn:ofk:oid:23371920,indberetninger-20180424,2.5121725,33240686,,2018-03-27T10:42:21.167Z,2017-01-07T15:55:42.112Z,regnskab,0.0,,2016-09-30,2016-05-01,X17-AA-42-PZ,2017-01-07T15:55:42.229Z,,,,,,,,,,,,,,,,,,,,,,,,,
