entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForCurrentTaxOfPriorPeriod,AverageNumberOfEmployees,ClassOfReportingEntity,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,DisposalsOfPropertyPlantAndEquipment,EmailOfReportingEntity,EmployeeBenefitsExpense,ExtraordinaryDividendPaid,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxPayablesToGroupEnterprises,ShorttermTradePayables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance,AdditionsToInvestments,DisposalsOfInvestments,DisposalsOfInvestmentsByDivisionAndSaleOfOtherCompany,RevaluationsOfInvestmentsOfTheYear
35475702,2016-05-01,2017-04-30,c174,,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzFhL2YyLzkwL2UwMjItNDkwYS1hYmExLTRkYzEzOGE5YTcwMg.pdf,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzgxLzAxL2I0LzdjNDctNGRhYi1iMjVhLTVlYjY0NDg1ZTZmMg.xml,true,41940.0,Aalborg,9000.0,51.0,Visionsvej,NÃ¸rresundby,9400.0,4.0,Torvet,9310 Vodskov,c/o Zoltan Kuscsik,DK-9000 Aalborg,Visionsvej 51,0.0,2.0,Regnskabsklasse B,80850.0,2018-09-25,2013-09-10,2018-10-02,0.0,5813.0,Statsautoriseret revisor,0.0,zoltan.kuscsik@solution57.com,708723.0,-105800.0,1078249.0,20222670.0,35475702.0,20222670.0,mne28629,8338.0,Ãrsrapport,John Damkier,ZoltÃ¡n Kuscsik,ZoltÃ¡n Kuscsik,Nordjyske Bank,ZK Research ApS,BDO Statsautoriseret revisionsaktieselskab,54725.0,2901.0,316.0,Aalborg,30000.0,2016-05-01,2017-04-30,294429.0,375279.0,369526.0,Aalborg,2018-04-30,2017-05-01,true,2018-09-25,Aalborg,14770.0,80850.0,609228.0,urn:ofk:oid:26175318,indberetninger-20180424,2.5118417999999996,35475702.0,AWY-3f6D5OzuYdPkE8oo,2018-10-04T11:38:01.237Z,2018-10-04T11:37:06.599Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-90-YR,2018-10-04T11:37:07.182Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35475702,2016-05-01,2017-04-30,c179,,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzFhL2YyLzkwL2UwMjItNDkwYS1hYmExLTRkYzEzOGE5YTcwMg.pdf,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzgxLzAxL2I0LzdjNDctNGRhYi1iMjVhLTVlYjY0NDg1ZTZmMg.xml,true,41940.0,Aalborg,9000.0,51.0,Visionsvej,NÃ¸rresundby,9400.0,4.0,Torvet,9310 Vodskov,c/o Zoltan Kuscsik,DK-9000 Aalborg,Visionsvej 51,,,Regnskabsklasse B,,2018-09-25,2013-09-10,2018-10-02,,5813.0,Statsautoriseret revisor,0.0,zoltan.kuscsik@solution57.com,,-105800.0,,20222670.0,35475702.0,20222670.0,mne28629,,Ãrsrapport,John Damkier,ZoltÃ¡n Kuscsik,ZoltÃ¡n Kuscsik,Nordjyske Bank,ZK Research ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-05-01,2017-04-30,103400.0,,,Aalborg,2018-04-30,2017-05-01,true,2018-09-25,Aalborg,,,,urn:ofk:oid:26175318,indberetninger-20180424,2.5118417999999996,35475702.0,AWY-3f6D5OzuYdPkE8oo,2018-10-04T11:38:01.237Z,2018-10-04T11:37:06.599Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-90-YR,2018-10-04T11:37:07.182Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35475702,2016-05-01,2017-04-30,c185,,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzFhL2YyLzkwL2UwMjItNDkwYS1hYmExLTRkYzEzOGE5YTcwMg.pdf,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzgxLzAxL2I0LzdjNDctNGRhYi1iMjVhLTVlYjY0NDg1ZTZmMg.xml,true,41940.0,Aalborg,9000.0,51.0,Visionsvej,NÃ¸rresundby,9400.0,4.0,Torvet,9310 Vodskov,c/o Zoltan Kuscsik,DK-9000 Aalborg,Visionsvej 51,,,Regnskabsklasse B,,2018-09-25,2013-09-10,2018-10-02,,5813.0,Statsautoriseret revisor,0.0,zoltan.kuscsik@solution57.com,,-105800.0,,20222670.0,35475702.0,20222670.0,mne28629,,Ãrsrapport,John Damkier,ZoltÃ¡n Kuscsik,ZoltÃ¡n Kuscsik,Nordjyske Bank,ZK Research ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-05-01,2017-04-30,8338.0,,,Aalborg,2018-04-30,2017-05-01,true,2018-09-25,Aalborg,,,,urn:ofk:oid:26175318,indberetninger-20180424,2.5118417999999996,35475702.0,AWY-3f6D5OzuYdPkE8oo,2018-10-04T11:38:01.237Z,2018-10-04T11:37:06.599Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-90-YR,2018-10-04T11:37:07.182Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35475702,2016-05-01,2017-04-30,c195,,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzFhL2YyLzkwL2UwMjItNDkwYS1hYmExLTRkYzEzOGE5YTcwMg.pdf,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzgxLzAxL2I0LzdjNDctNGRhYi1iMjVhLTVlYjY0NDg1ZTZmMg.xml,true,41940.0,Aalborg,9000.0,51.0,Visionsvej,NÃ¸rresundby,9400.0,4.0,Torvet,9310 Vodskov,c/o Zoltan Kuscsik,DK-9000 Aalborg,Visionsvej 51,,,Regnskabsklasse B,,2018-09-25,2013-09-10,2018-10-02,,5813.0,Statsautoriseret revisor,0.0,zoltan.kuscsik@solution57.com,,-105800.0,,20222670.0,35475702.0,20222670.0,mne28629,,Ãrsrapport,John Damkier,ZoltÃ¡n Kuscsik,ZoltÃ¡n Kuscsik,Nordjyske Bank,ZK Research ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-05-01,2017-04-30,182691.0,,,Aalborg,2018-04-30,2017-05-01,true,2018-09-25,Aalborg,,,,urn:ofk:oid:26175318,indberetninger-20180424,2.5118417999999996,35475702.0,AWY-3f6D5OzuYdPkE8oo,2018-10-04T11:38:01.237Z,2018-10-04T11:37:06.599Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-90-YR,2018-10-04T11:37:07.182Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35475702,2017-04-30,2017-04-30,c172,,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzFhL2YyLzkwL2UwMjItNDkwYS1hYmExLTRkYzEzOGE5YTcwMg.pdf,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzgxLzAxL2I0LzdjNDctNGRhYi1iMjVhLTVlYjY0NDg1ZTZmMg.xml,true,41940.0,Aalborg,9000.0,51.0,Visionsvej,NÃ¸rresundby,9400.0,4.0,Torvet,9310 Vodskov,c/o Zoltan Kuscsik,DK-9000 Aalborg,Visionsvej 51,,,Regnskabsklasse B,,2018-09-25,2013-09-10,2018-10-02,,5813.0,Statsautoriseret revisor,0.0,zoltan.kuscsik@solution57.com,,-105800.0,,20222670.0,35475702.0,20222670.0,mne28629,,Ãrsrapport,John Damkier,ZoltÃ¡n Kuscsik,ZoltÃ¡n Kuscsik,Nordjyske Bank,ZK Research ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-05-01,2017-04-30,,,,Aalborg,2018-04-30,2017-05-01,true,2018-09-25,Aalborg,,,,urn:ofk:oid:26175318,indberetninger-20180424,2.5118417999999996,35475702.0,AWY-3f6D5OzuYdPkE8oo,2018-10-04T11:38:01.237Z,2018-10-04T11:37:06.599Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-90-YR,2018-10-04T11:37:07.182Z,424171.0,131597.0,134018.0,80000.0,20619.0,283695.0,0.0,424171.0,140476.0,137937.0,109187.0,0.0,137937.0,28750.0,34239.0,0.0,0.0,0.0,0.0,69187.0,134508.0,140476.0,16810.0,577.0,154637.0,80850.0,0.0,8000.0,,,,,,,,,,
35475702,2017-05-01,2017-05-01,c226,,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzFhL2YyLzkwL2UwMjItNDkwYS1hYmExLTRkYzEzOGE5YTcwMg.pdf,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzgxLzAxL2I0LzdjNDctNGRhYi1iMjVhLTVlYjY0NDg1ZTZmMg.xml,true,41940.0,Aalborg,9000.0,51.0,Visionsvej,NÃ¸rresundby,9400.0,4.0,Torvet,9310 Vodskov,c/o Zoltan Kuscsik,DK-9000 Aalborg,Visionsvej 51,,,Regnskabsklasse B,,2018-09-25,2013-09-10,2018-10-02,,5813.0,Statsautoriseret revisor,0.0,zoltan.kuscsik@solution57.com,,-105800.0,,20222670.0,35475702.0,20222670.0,mne28629,,Ãrsrapport,John Damkier,ZoltÃ¡n Kuscsik,ZoltÃ¡n Kuscsik,Nordjyske Bank,ZK Research ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-05-01,2017-04-30,,,,Aalborg,2018-04-30,2017-05-01,true,2018-09-25,Aalborg,,,,urn:ofk:oid:26175318,indberetninger-20180424,2.5118417999999996,35475702.0,AWY-3f6D5OzuYdPkE8oo,2018-10-04T11:38:01.237Z,2018-10-04T11:37:06.599Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-90-YR,2018-10-04T11:37:07.182Z,,,,,,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35475702,2017-05-01,2017-05-01,c235,,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzFhL2YyLzkwL2UwMjItNDkwYS1hYmExLTRkYzEzOGE5YTcwMg.pdf,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzgxLzAxL2I0LzdjNDctNGRhYi1iMjVhLTVlYjY0NDg1ZTZmMg.xml,true,41940.0,Aalborg,9000.0,51.0,Visionsvej,NÃ¸rresundby,9400.0,4.0,Torvet,9310 Vodskov,c/o Zoltan Kuscsik,DK-9000 Aalborg,Visionsvej 51,,,Regnskabsklasse B,,2018-09-25,2013-09-10,2018-10-02,,5813.0,Statsautoriseret revisor,0.0,zoltan.kuscsik@solution57.com,,-105800.0,,20222670.0,35475702.0,20222670.0,mne28629,,Ãrsrapport,John Damkier,ZoltÃ¡n Kuscsik,ZoltÃ¡n Kuscsik,Nordjyske Bank,ZK Research ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-05-01,2017-04-30,,,,Aalborg,2018-04-30,2017-05-01,true,2018-09-25,Aalborg,,,,urn:ofk:oid:26175318,indberetninger-20180424,2.5118417999999996,35475702.0,AWY-3f6D5OzuYdPkE8oo,2018-10-04T11:38:01.237Z,2018-10-04T11:37:06.599Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-90-YR,2018-10-04T11:37:07.182Z,,,,,,69187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35475702,2017-05-01,2017-05-01,c253,,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzFhL2YyLzkwL2UwMjItNDkwYS1hYmExLTRkYzEzOGE5YTcwMg.pdf,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzgxLzAxL2I0LzdjNDctNGRhYi1iMjVhLTVlYjY0NDg1ZTZmMg.xml,true,41940.0,Aalborg,9000.0,51.0,Visionsvej,NÃ¸rresundby,9400.0,4.0,Torvet,9310 Vodskov,c/o Zoltan Kuscsik,DK-9000 Aalborg,Visionsvej 51,,,Regnskabsklasse B,,2018-09-25,2013-09-10,2018-10-02,,5813.0,Statsautoriseret revisor,0.0,zoltan.kuscsik@solution57.com,,-105800.0,,20222670.0,35475702.0,20222670.0,mne28629,,Ãrsrapport,John Damkier,ZoltÃ¡n Kuscsik,ZoltÃ¡n Kuscsik,Nordjyske Bank,ZK Research ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-05-01,2017-04-30,,,,Aalborg,2018-04-30,2017-05-01,true,2018-09-25,Aalborg,,,,urn:ofk:oid:26175318,indberetninger-20180424,2.5118417999999996,35475702.0,AWY-3f6D5OzuYdPkE8oo,2018-10-04T11:38:01.237Z,2018-10-04T11:37:06.599Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-90-YR,2018-10-04T11:37:07.182Z,,,,,,134508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35475702,2017-05-01,2017-05-01,c257,,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzFhL2YyLzkwL2UwMjItNDkwYS1hYmExLTRkYzEzOGE5YTcwMg.pdf,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzgxLzAxL2I0LzdjNDctNGRhYi1iMjVhLTVlYjY0NDg1ZTZmMg.xml,true,41940.0,Aalborg,9000.0,51.0,Visionsvej,NÃ¸rresundby,9400.0,4.0,Torvet,9310 Vodskov,c/o Zoltan Kuscsik,DK-9000 Aalborg,Visionsvej 51,,,Regnskabsklasse B,,2018-09-25,2013-09-10,2018-10-02,,5813.0,Statsautoriseret revisor,0.0,zoltan.kuscsik@solution57.com,,-105800.0,,20222670.0,35475702.0,20222670.0,mne28629,,Ãrsrapport,John Damkier,ZoltÃ¡n Kuscsik,ZoltÃ¡n Kuscsik,Nordjyske Bank,ZK Research ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-05-01,2017-04-30,,,,Aalborg,2018-04-30,2017-05-01,true,2018-09-25,Aalborg,,,,urn:ofk:oid:26175318,indberetninger-20180424,2.5118417999999996,35475702.0,AWY-3f6D5OzuYdPkE8oo,2018-10-04T11:38:01.237Z,2018-10-04T11:37:06.599Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-90-YR,2018-10-04T11:37:07.182Z,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35475702,2017-05-01,2017-05-01,c456,,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzFhL2YyLzkwL2UwMjItNDkwYS1hYmExLTRkYzEzOGE5YTcwMg.pdf,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzgxLzAxL2I0LzdjNDctNGRhYi1iMjVhLTVlYjY0NDg1ZTZmMg.xml,true,41940.0,Aalborg,9000.0,51.0,Visionsvej,NÃ¸rresundby,9400.0,4.0,Torvet,9310 Vodskov,c/o Zoltan Kuscsik,DK-9000 Aalborg,Visionsvej 51,,,Regnskabsklasse B,,2018-09-25,2013-09-10,2018-10-02,,5813.0,Statsautoriseret revisor,0.0,zoltan.kuscsik@solution57.com,,-105800.0,,20222670.0,35475702.0,20222670.0,mne28629,,Ãrsrapport,John Damkier,ZoltÃ¡n Kuscsik,ZoltÃ¡n Kuscsik,Nordjyske Bank,ZK Research ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-05-01,2017-04-30,,,,Aalborg,2018-04-30,2017-05-01,true,2018-09-25,Aalborg,,,,urn:ofk:oid:26175318,indberetninger-20180424,2.5118417999999996,35475702.0,AWY-3f6D5OzuYdPkE8oo,2018-10-04T11:38:01.237Z,2018-10-04T11:37:06.599Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-90-YR,2018-10-04T11:37:07.182Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
35475702,2017-05-01,2017-05-01,c564,,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzFhL2YyLzkwL2UwMjItNDkwYS1hYmExLTRkYzEzOGE5YTcwMg.pdf,http://regnskaber.virk.dk/20757453/ZG9rdW1lbnRsYWdlcjovLzAzLzM5LzgxLzAxL2I0LzdjNDctNGRhYi1iMjVhLTVlYjY0NDg1ZTZmMg.xml,true,41940.0,Aalborg,9000.0,51.0,Visionsvej,NÃ¸rresundby,9400.0,4.0,Torvet,9310 Vodskov,c/o Zoltan Kuscsik,DK-9000 Aalborg,Visionsvej 51,,,Regnskabsklasse B,,2018-09-25,2013-09-10,2018-10-02,,5813.0,Statsautoriseret revisor,0.0,zoltan.kuscsik@solution57.com,,-105800.0,,20222670.0,35475702.0,20222670.0,mne28629,,Ãrsrapport,John Damkier,ZoltÃ¡n Kuscsik,ZoltÃ¡n Kuscsik,Nordjyske Bank,ZK Research ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,2016-05-01,2017-04-30,,,,Aalborg,2018-04-30,2017-05-01,true,2018-09-25,Aalborg,,,,urn:ofk:oid:26175318,indberetninger-20180424,2.5118417999999996,35475702.0,AWY-3f6D5OzuYdPkE8oo,2018-10-04T11:38:01.237Z,2018-10-04T11:37:06.599Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-90-YR,2018-10-04T11:37:07.182Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
