entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,Assets,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LiabilitiesAndEquity,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,NameAndSurnameOfMemberOfExecutiveBoard
27432425,2014-10-01,2015-09-30,ID_0,,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2ZhLzRiL2Y2L2YzMTktNGE2NS1iZDExLTU2OWM3NWI1ZGE0Zg.pdf,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2JmLzUzLzg1LzhjYzQtNGNiZC05MzBkLTJjMTdmYzM4ZTQxMQ.xml,"Silkeborg, 8600",Toldbodgade 13,Til den daglige ledelse i J. Dalgas Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.","Direktionen anser fortsat, at betingelserne for at undlade revision for opfyldte.",2015-11-02,2003-11-12,2015-12-14,0.0,27432425.0,91259850.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015 for J. Dalgas Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Palmisano Dalgas,Sparekassen Kronjylland,J. Dalgas Holding ApS,Revision 1,0.0,2015-09-30,2014-10-01,2015-11-02,Silkeborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21782238,indberetninger-20180424,2.509595,27432425.0,,2018-03-30T22:00:11.308Z,2015-12-14T13:20:30.347Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AL-73-TM,2015-12-14T13:20:30.488Z,
27432425,2014-10-01,2015-09-30,ID_1,,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2ZhLzRiL2Y2L2YzMTktNGE2NS1iZDExLTU2OWM3NWI1ZGE0Zg.pdf,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2JmLzUzLzg1LzhjYzQtNGNiZC05MzBkLTJjMTdmYzM4ZTQxMQ.xml,"Silkeborg, 8600",Toldbodgade 13,Til den daglige ledelse i J. Dalgas Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.","Direktionen anser fortsat, at betingelserne for at undlade revision for opfyldte.",2015-11-02,2003-11-12,2015-12-14,0.0,27432425.0,91259850.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015 for J. Dalgas Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Palmisano Dalgas,Sparekassen Kronjylland,J. Dalgas Holding ApS,Revision 1,0.0,2015-09-30,2014-10-01,2015-11-02,Silkeborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21782238,indberetninger-20180424,2.509595,27432425.0,,2018-03-30T22:00:11.308Z,2015-12-14T13:20:30.347Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AL-73-TM,2015-12-14T13:20:30.488Z,
27432425,2014-10-01,2015-09-30,ID_2,,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2ZhLzRiL2Y2L2YzMTktNGE2NS1iZDExLTU2OWM3NWI1ZGE0Zg.pdf,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2JmLzUzLzg1LzhjYzQtNGNiZC05MzBkLTJjMTdmYzM4ZTQxMQ.xml,"Silkeborg, 8600",Toldbodgade 13,Til den daglige ledelse i J. Dalgas Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.","Direktionen anser fortsat, at betingelserne for at undlade revision for opfyldte.",2015-11-02,2003-11-12,2015-12-14,0.0,27432425.0,91259850.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015 for J. Dalgas Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Palmisano Dalgas,Sparekassen Kronjylland,J. Dalgas Holding ApS,Revision 1,0.0,2015-09-30,2014-10-01,2015-11-02,Silkeborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21782238,indberetninger-20180424,2.509595,27432425.0,,2018-03-30T22:00:11.308Z,2015-12-14T13:20:30.347Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AL-73-TM,2015-12-14T13:20:30.488Z,Jan Palmisano Dalgas
27432425,2014-10-01,2015-09-30,ID_3,,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2ZhLzRiL2Y2L2YzMTktNGE2NS1iZDExLTU2OWM3NWI1ZGE0Zg.pdf,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2JmLzUzLzg1LzhjYzQtNGNiZC05MzBkLTJjMTdmYzM4ZTQxMQ.xml,"Silkeborg, 8600",Toldbodgade 13,Til den daglige ledelse i J. Dalgas Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.","Direktionen anser fortsat, at betingelserne for at undlade revision for opfyldte.",2015-11-02,2003-11-12,2015-12-14,0.0,27432425.0,91259850.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015 for J. Dalgas Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Palmisano Dalgas,Sparekassen Kronjylland,J. Dalgas Holding ApS,Revision 1,0.0,2015-09-30,2014-10-01,2015-11-02,Silkeborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21782238,indberetninger-20180424,2.509595,27432425.0,,2018-03-30T22:00:11.308Z,2015-12-14T13:20:30.347Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AL-73-TM,2015-12-14T13:20:30.488Z,
27432425,2014-10-01,2015-09-30,ID_4,,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2ZhLzRiL2Y2L2YzMTktNGE2NS1iZDExLTU2OWM3NWI1ZGE0Zg.pdf,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2JmLzUzLzg1LzhjYzQtNGNiZC05MzBkLTJjMTdmYzM4ZTQxMQ.xml,"Silkeborg, 8600",Toldbodgade 13,Til den daglige ledelse i J. Dalgas Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.","Direktionen anser fortsat, at betingelserne for at undlade revision for opfyldte.",2015-11-02,2003-11-12,2015-12-14,0.0,27432425.0,91259850.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015 for J. Dalgas Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Palmisano Dalgas,Sparekassen Kronjylland,J. Dalgas Holding ApS,Revision 1,0.0,2015-09-30,2014-10-01,2015-11-02,Silkeborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21782238,indberetninger-20180424,2.509595,27432425.0,,2018-03-30T22:00:11.308Z,2015-12-14T13:20:30.347Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AL-73-TM,2015-12-14T13:20:30.488Z,
27432425,2014-10-01,2015-09-30,ID_5,,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2ZhLzRiL2Y2L2YzMTktNGE2NS1iZDExLTU2OWM3NWI1ZGE0Zg.pdf,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2JmLzUzLzg1LzhjYzQtNGNiZC05MzBkLTJjMTdmYzM4ZTQxMQ.xml,"Silkeborg, 8600",Toldbodgade 13,Til den daglige ledelse i J. Dalgas Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.","Direktionen anser fortsat, at betingelserne for at undlade revision for opfyldte.",2015-11-02,2003-11-12,2015-12-14,0.0,27432425.0,91259850.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015 for J. Dalgas Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Palmisano Dalgas,Sparekassen Kronjylland,J. Dalgas Holding ApS,Revision 1,0.0,2015-09-30,2014-10-01,2015-11-02,Silkeborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21782238,indberetninger-20180424,2.509595,27432425.0,,2018-03-30T22:00:11.308Z,2015-12-14T13:20:30.347Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AL-73-TM,2015-12-14T13:20:30.488Z,
27432425,2014-10-01,2015-09-30,ID_6,,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2ZhLzRiL2Y2L2YzMTktNGE2NS1iZDExLTU2OWM3NWI1ZGE0Zg.pdf,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2JmLzUzLzg1LzhjYzQtNGNiZC05MzBkLTJjMTdmYzM4ZTQxMQ.xml,"Silkeborg, 8600",Toldbodgade 13,Til den daglige ledelse i J. Dalgas Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.","Direktionen anser fortsat, at betingelserne for at undlade revision for opfyldte.",2015-11-02,2003-11-12,2015-12-14,0.0,27432425.0,91259850.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015 for J. Dalgas Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Palmisano Dalgas,Sparekassen Kronjylland,J. Dalgas Holding ApS,Revision 1,0.0,2015-09-30,2014-10-01,2015-11-02,Silkeborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21782238,indberetninger-20180424,2.509595,27432425.0,,2018-03-30T22:00:11.308Z,2015-12-14T13:20:30.347Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AL-73-TM,2015-12-14T13:20:30.488Z,
27432425,2014-10-01,2015-09-30,ID_7,,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2ZhLzRiL2Y2L2YzMTktNGE2NS1iZDExLTU2OWM3NWI1ZGE0Zg.pdf,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2JmLzUzLzg1LzhjYzQtNGNiZC05MzBkLTJjMTdmYzM4ZTQxMQ.xml,"Silkeborg, 8600",Toldbodgade 13,Til den daglige ledelse i J. Dalgas Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.","Direktionen anser fortsat, at betingelserne for at undlade revision for opfyldte.",2015-11-02,2003-11-12,2015-12-14,0.0,27432425.0,91259850.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015 for J. Dalgas Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Palmisano Dalgas,Sparekassen Kronjylland,J. Dalgas Holding ApS,Revision 1,0.0,2015-09-30,2014-10-01,2015-11-02,Silkeborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21782238,indberetninger-20180424,2.509595,27432425.0,,2018-03-30T22:00:11.308Z,2015-12-14T13:20:30.347Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AL-73-TM,2015-12-14T13:20:30.488Z,
27432425,2014-10-01,2015-09-30,ID_8,,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2ZhLzRiL2Y2L2YzMTktNGE2NS1iZDExLTU2OWM3NWI1ZGE0Zg.pdf,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2JmLzUzLzg1LzhjYzQtNGNiZC05MzBkLTJjMTdmYzM4ZTQxMQ.xml,"Silkeborg, 8600",Toldbodgade 13,Til den daglige ledelse i J. Dalgas Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.","Direktionen anser fortsat, at betingelserne for at undlade revision for opfyldte.",2015-11-02,2003-11-12,2015-12-14,0.0,27432425.0,91259850.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015 for J. Dalgas Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Palmisano Dalgas,Sparekassen Kronjylland,J. Dalgas Holding ApS,Revision 1,0.0,2015-09-30,2014-10-01,2015-11-02,Silkeborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21782238,indberetninger-20180424,2.509595,27432425.0,,2018-03-30T22:00:11.308Z,2015-12-14T13:20:30.347Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AL-73-TM,2015-12-14T13:20:30.488Z,
27432425,2014-10-01,2015-09-30,ID_9,,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2ZhLzRiL2Y2L2YzMTktNGE2NS1iZDExLTU2OWM3NWI1ZGE0Zg.pdf,http://regnskaber.virk.dk/52423472/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2JmLzUzLzg1LzhjYzQtNGNiZC05MzBkLTJjMTdmYzM4ZTQxMQ.xml,"Silkeborg, 8600",Toldbodgade 13,Til den daglige ledelse i J. Dalgas Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.","Direktionen anser fortsat, at betingelserne for at undlade revision for opfyldte.",2015-11-02,2003-11-12,2015-12-14,0.0,27432425.0,91259850.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015 for J. Dalgas Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Palmisano Dalgas,Sparekassen Kronjylland,J. Dalgas Holding ApS,Revision 1,0.0,2015-09-30,2014-10-01,2015-11-02,Silkeborg,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21782238,indberetninger-20180424,2.509595,27432425.0,,2018-03-30T22:00:11.308Z,2015-12-14T13:20:30.347Z,regnskab,0.0,,2015-09-30,2014-10-01,X15-AL-73-TM,2015-12-14T13:20:30.488Z,
