entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfLawFirmPostcodeAndTown,AddressOfLawFirmStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8vcGRmcy8yNzY5MTA1NjtBcFMzMjgyNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDQwNF8xNTQ0NTlfODY5.xml,"5690, Tommerup",Tallerupvej 39,"Odense S, 5260",GrÃ¸nvej 65,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Steeltec Nordica ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2004-04-06,2013-04-02,6615 2561,10092159.0,27691056.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Steeltec Nordica ApS.,"Vi har revideret Ã¥rsregnskabet for Steeltec Nordica ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Steen Jens Hansen,Steen Jens Hansen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Ret&RÃ¥d Fyn A/S,Steeltec Nordica ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",96600.0,2012-12-31,2012-01-01,2013-03-20,Bellinge,6615 2548,DirektÃ¸r,urn:ofk:oid:15508428,indberetninger-20180424,2.5095785,27691056.0,,2018-04-01T13:09:10.710Z,2013-04-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-71.906,2013-04-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8vcGRmcy8yNzY5MTA1NjtBcFMzMjgyNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDQwNF8xNTQ0NTlfODY5.xml,"5690, Tommerup",Tallerupvej 39,"Odense S, 5260",GrÃ¸nvej 65,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Steeltec Nordica ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2004-04-06,2013-04-02,6615 2561,10092159.0,27691056.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Steeltec Nordica ApS.,"Vi har revideret Ã¥rsregnskabet for Steeltec Nordica ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Steen Jens Hansen,Steen Jens Hansen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Ret&RÃ¥d Fyn A/S,Steeltec Nordica ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",254675.0,2012-12-31,2012-01-01,2013-03-20,Bellinge,6615 2548,DirektÃ¸r,urn:ofk:oid:15508428,indberetninger-20180424,2.5095785,27691056.0,,2018-04-01T13:09:10.710Z,2013-04-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-71.906,2013-04-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_15,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8vcGRmcy8yNzY5MTA1NjtBcFMzMjgyNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDQwNF8xNTQ0NTlfODY5.xml,"5690, Tommerup",Tallerupvej 39,"Odense S, 5260",GrÃ¸nvej 65,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Steeltec Nordica ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2004-04-06,2013-04-02,6615 2561,10092159.0,27691056.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Steeltec Nordica ApS.,"Vi har revideret Ã¥rsregnskabet for Steeltec Nordica ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Steen Jens Hansen,Steen Jens Hansen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Ret&RÃ¥d Fyn A/S,Steeltec Nordica ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",351275.0,2012-12-31,2012-01-01,2013-03-20,Bellinge,6615 2548,DirektÃ¸r,urn:ofk:oid:15508428,indberetninger-20180424,2.5095785,27691056.0,,2018-04-01T13:09:10.710Z,2013-04-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-71.906,2013-04-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_9,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8vcGRmcy8yNzY5MTA1NjtBcFMzMjgyNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDQwNF8xNTQ0NTlfODY5.xml,"5690, Tommerup",Tallerupvej 39,"Odense S, 5260",GrÃ¸nvej 65,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Steeltec Nordica ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2004-04-06,2013-04-02,6615 2561,10092159.0,27691056.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Steeltec Nordica ApS.,"Vi har revideret Ã¥rsregnskabet for Steeltec Nordica ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Steen Jens Hansen,Steen Jens Hansen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Ret&RÃ¥d Fyn A/S,Steeltec Nordica ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",-351275.0,2012-12-31,2012-01-01,2013-03-20,Bellinge,6615 2548,DirektÃ¸r,urn:ofk:oid:15508428,indberetninger-20180424,2.5095785,27691056.0,,2018-04-01T13:09:10.710Z,2013-04-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-71.906,2013-04-04T22:00:00.000Z,6250.0,-338400.0,0.0,-23120.0,-355270.0,6250.0,3995.0,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_17,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8vcGRmcy8yNzY5MTA1NjtBcFMzMjgyNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDQwNF8xNTQ0NTlfODY5.xml,"5690, Tommerup",Tallerupvej 39,"Odense S, 5260",GrÃ¸nvej 65,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Steeltec Nordica ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2004-04-06,2013-04-02,6615 2561,10092159.0,27691056.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Steeltec Nordica ApS.,"Vi har revideret Ã¥rsregnskabet for Steeltec Nordica ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Steen Jens Hansen,Steen Jens Hansen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Ret&RÃ¥d Fyn A/S,Steeltec Nordica ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-03-20,Bellinge,6615 2548,DirektÃ¸r,urn:ofk:oid:15508428,indberetninger-20180424,2.5095785,27691056.0,,2018-04-01T13:09:10.710Z,2013-04-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-71.906,2013-04-04T22:00:00.000Z,,,,,,,,3628635.0,16087.0,-125000.0,2530271.0,-3539593.0,-3628635.0,-89042.0,1098364.0,583364.0,1098364.0,515000.0,-3000.0,-96600.0,-3317993.0,-89042.0,2514184.0,2514184.0,-86042.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8vcGRmcy8yNzY5MTA1NjtBcFMzMjgyNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDQwNF8xNTQ0NTlfODY5.xml,"5690, Tommerup",Tallerupvej 39,"Odense S, 5260",GrÃ¸nvej 65,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Steeltec Nordica ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2004-04-06,2013-04-02,6615 2561,10092159.0,27691056.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Steeltec Nordica ApS.,"Vi har revideret Ã¥rsregnskabet for Steeltec Nordica ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Steen Jens Hansen,Steen Jens Hansen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Ret&RÃ¥d Fyn A/S,Steeltec Nordica ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-03-20,Bellinge,6615 2548,DirektÃ¸r,urn:ofk:oid:15508428,indberetninger-20180424,2.5095785,27691056.0,,2018-04-01T13:09:10.710Z,2013-04-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-71.906,2013-04-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8vcGRmcy8yNzY5MTA1NjtBcFMzMjgyNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDQwNF8xNTQ0NTlfODY5.xml,"5690, Tommerup",Tallerupvej 39,"Odense S, 5260",GrÃ¸nvej 65,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Steeltec Nordica ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2004-04-06,2013-04-02,6615 2561,10092159.0,27691056.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Steeltec Nordica ApS.,"Vi har revideret Ã¥rsregnskabet for Steeltec Nordica ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Steen Jens Hansen,Steen Jens Hansen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Ret&RÃ¥d Fyn A/S,Steeltec Nordica ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",,2012-12-31,2012-01-01,2013-03-20,Bellinge,6615 2548,DirektÃ¸r,urn:ofk:oid:15508428,indberetninger-20180424,2.5095785,27691056.0,,2018-04-01T13:09:10.710Z,2013-04-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-71.906,2013-04-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8vcGRmcy8yNzY5MTA1NjtBcFMzMjgyNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDQwNF8xNTQ0NTlfODY5.xml,"5690, Tommerup",Tallerupvej 39,"Odense S, 5260",GrÃ¸nvej 65,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Steeltec Nordica ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2004-04-06,2013-04-02,6615 2561,10092159.0,27691056.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Steeltec Nordica ApS.,"Vi har revideret Ã¥rsregnskabet for Steeltec Nordica ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Steen Jens Hansen,Steen Jens Hansen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Ret&RÃ¥d Fyn A/S,Steeltec Nordica ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",400000.0,2012-12-31,2012-01-01,2013-03-20,Bellinge,6615 2548,DirektÃ¸r,urn:ofk:oid:15508428,indberetninger-20180424,2.5095785,27691056.0,,2018-04-01T13:09:10.710Z,2013-04-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-71.906,2013-04-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8vcGRmcy8yNzY5MTA1NjtBcFMzMjgyNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDQwNF8xNTQ0NTlfODY5.xml,"5690, Tommerup",Tallerupvej 39,"Odense S, 5260",GrÃ¸nvej 65,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Steeltec Nordica ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2004-04-06,2013-04-02,6615 2561,10092159.0,27691056.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Steeltec Nordica ApS.,"Vi har revideret Ã¥rsregnskabet for Steeltec Nordica ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Steen Jens Hansen,Steen Jens Hansen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Ret&RÃ¥d Fyn A/S,Steeltec Nordica ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",18286.0,2012-12-31,2012-01-01,2013-03-20,Bellinge,6615 2548,DirektÃ¸r,urn:ofk:oid:15508428,indberetninger-20180424,2.5095785,27691056.0,,2018-04-01T13:09:10.710Z,2013-04-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-71.906,2013-04-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_14,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8vcGRmcy8yNzY5MTA1NjtBcFMzMjgyNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/65019672/Y3ZyLmRrOi8veGJybHMvWC1EMzdBMjhDRC0yMDEzMDQwNF8xNTQ0NTlfODY5.xml,"5690, Tommerup",Tallerupvej 39,"Odense S, 5260",GrÃ¸nvej 65,"Odense SV, 5250",Lindholmvej 1A,Til kapitalejerne i Steeltec Nordica ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2004-04-06,2013-04-02,6615 2561,10092159.0,27691056.0,10092159.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for Steeltec Nordica ApS.,"Vi har revideret Ã¥rsregnskabet for Steeltec Nordica ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Chresten Clemmensen,Steen Jens Hansen,Steen Jens Hansen,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",Ret&RÃ¥d Fyn A/S,Steeltec Nordica ApS,"Revisionsfirmaet Leif Vesterlund ApS, Registreret Revisionsanpartsselskab",418286.0,2012-12-31,2012-01-01,2013-03-20,Bellinge,6615 2548,DirektÃ¸r,urn:ofk:oid:15508428,indberetninger-20180424,2.5095785,27691056.0,,2018-04-01T13:09:10.710Z,2013-04-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-71.906,2013-04-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
