entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,TypeOfBasisForModifiedOpinionOnAuditedFinancialStatements,TypeOfModifiedOpinionOnAuditedFinancialStatements,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,OtherFinanceExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
31750733,2016-01-01,2016-12-31,ID_12,,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2U1LzQ2LzUwLzE0MjgtNDM0Yy1iYjU2LWFlODdmMmJlYTYwNw.pdf,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzQ4LzgxL2M2L2I0M2ItNDI0ZS1hYzdmLWIyOTVjNjAzODQyOA.xml,true,"2605, BrÃ¸ndby","Park Alle 350A, 2.",Til kapitalejerne i Meyer & Munk A/S,3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-27,2018-06-27,2008-09-04,2018-06-28,29198535.0,31750733.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Meyer & Munk A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Torben Svensson,CR Statsautoriseret Revisionsaktieselskab,Meyer & Munk A/S,CR Statsautoriseret Revisionsaktieselskab,Holte,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-27,BrÃ¸ndby,Bestyrelsesmedlem,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:25935231,indberetninger-20180424,2.5124211,31750733.0,AWRGxtlx0wkEsASkuKD7,2018-06-28T14:23:51.915Z,2018-06-28T14:23:12.966Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-47-DQ,2018-06-28T14:23:13.098Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31750733,2016-01-01,2016-12-31,ID_13,,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2U1LzQ2LzUwLzE0MjgtNDM0Yy1iYjU2LWFlODdmMmJlYTYwNw.pdf,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzQ4LzgxL2M2L2I0M2ItNDI0ZS1hYzdmLWIyOTVjNjAzODQyOA.xml,true,"2605, BrÃ¸ndby","Park Alle 350A, 2.",Til kapitalejerne i Meyer & Munk A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-27,2018-06-27,2008-09-04,2018-06-28,29198535.0,31750733.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Meyer & Munk A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Torben Svensson,CR Statsautoriseret Revisionsaktieselskab,Meyer & Munk A/S,CR Statsautoriseret Revisionsaktieselskab,Holte,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-27,BrÃ¸ndby,Bestyrelsesmedlem,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:25935231,indberetninger-20180424,2.5124211,31750733.0,AWRGxtlx0wkEsASkuKD7,2018-06-28T14:23:51.915Z,2018-06-28T14:23:12.966Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-47-DQ,2018-06-28T14:23:13.098Z,16159.0,1284938.0,749047.0,119244.0,-671206.0,-671294.0,-552050.0,-88.0,,,,,,,,,,,,,,,,,,,,,,,
31750733,2016-01-01,2016-12-31,ID_15,,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2U1LzQ2LzUwLzE0MjgtNDM0Yy1iYjU2LWFlODdmMmJlYTYwNw.pdf,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzQ4LzgxL2M2L2I0M2ItNDI0ZS1hYzdmLWIyOTVjNjAzODQyOA.xml,true,"2605, BrÃ¸ndby","Park Alle 350A, 2.",Til kapitalejerne i Meyer & Munk A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-27,2018-06-27,2008-09-04,2018-06-28,29198535.0,31750733.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Meyer & Munk A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Torben Svensson,CR Statsautoriseret Revisionsaktieselskab,Meyer & Munk A/S,CR Statsautoriseret Revisionsaktieselskab,Holte,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-27,BrÃ¸ndby,Bestyrelsesmedlem,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:25935231,indberetninger-20180424,2.5124211,31750733.0,AWRGxtlx0wkEsASkuKD7,2018-06-28T14:23:51.915Z,2018-06-28T14:23:12.966Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-47-DQ,2018-06-28T14:23:13.098Z,,,,,671206.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31750733,2016-12-31,2016-12-31,ID_10,,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2U1LzQ2LzUwLzE0MjgtNDM0Yy1iYjU2LWFlODdmMmJlYTYwNw.pdf,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzQ4LzgxL2M2L2I0M2ItNDI0ZS1hYzdmLWIyOTVjNjAzODQyOA.xml,true,"2605, BrÃ¸ndby","Park Alle 350A, 2.",Til kapitalejerne i Meyer & Munk A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-27,2018-06-27,2008-09-04,2018-06-28,29198535.0,31750733.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Meyer & Munk A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Torben Svensson,CR Statsautoriseret Revisionsaktieselskab,Meyer & Munk A/S,CR Statsautoriseret Revisionsaktieselskab,Holte,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-27,BrÃ¸ndby,Bestyrelsesmedlem,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:25935231,indberetninger-20180424,2.5124211,31750733.0,AWRGxtlx0wkEsASkuKD7,2018-06-28T14:23:51.915Z,2018-06-28T14:23:12.966Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-47-DQ,2018-06-28T14:23:13.098Z,,,,,,,,,581496.0,282331.0,501000.0,512381.0,7036.0,69115.0,-1092446.0,581496.0,1673942.0,69115.0,69115.0,700691.0,-1593446.0,1673942.0,773703.0,50625.0,230050.0,16088.0,148924.0,206926.0,,,
31750733,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2U1LzQ2LzUwLzE0MjgtNDM0Yy1iYjU2LWFlODdmMmJlYTYwNw.pdf,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzQ4LzgxL2M2L2I0M2ItNDI0ZS1hYzdmLWIyOTVjNjAzODQyOA.xml,true,"2605, BrÃ¸ndby","Park Alle 350A, 2.",Til kapitalejerne i Meyer & Munk A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-27,2018-06-27,2008-09-04,2018-06-28,29198535.0,31750733.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Meyer & Munk A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Torben Svensson,CR Statsautoriseret Revisionsaktieselskab,Meyer & Munk A/S,CR Statsautoriseret Revisionsaktieselskab,Holte,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-27,BrÃ¸ndby,Bestyrelsesmedlem,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:25935231,indberetninger-20180424,2.5124211,31750733.0,AWRGxtlx0wkEsASkuKD7,2018-06-28T14:23:51.915Z,2018-06-28T14:23:12.966Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-47-DQ,2018-06-28T14:23:13.098Z,0.0,779806.0,1189165.0,60622.0,348737.0,348737.0,409358.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
31750733,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2U1LzQ2LzUwLzE0MjgtNDM0Yy1iYjU2LWFlODdmMmJlYTYwNw.pdf,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzQ4LzgxL2M2L2I0M2ItNDI0ZS1hYzdmLWIyOTVjNjAzODQyOA.xml,true,"2605, BrÃ¸ndby","Park Alle 350A, 2.",Til kapitalejerne i Meyer & Munk A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-27,2018-06-27,2008-09-04,2018-06-28,29198535.0,31750733.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Meyer & Munk A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Torben Svensson,CR Statsautoriseret Revisionsaktieselskab,Meyer & Munk A/S,CR Statsautoriseret Revisionsaktieselskab,Holte,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-27,BrÃ¸ndby,Bestyrelsesmedlem,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:25935231,indberetninger-20180424,2.5124211,31750733.0,AWRGxtlx0wkEsASkuKD7,2018-06-28T14:23:51.915Z,2018-06-28T14:23:12.966Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-47-DQ,2018-06-28T14:23:13.098Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31750733,2017-01-01,2017-12-31,ID_11,,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2U1LzQ2LzUwLzE0MjgtNDM0Yy1iYjU2LWFlODdmMmJlYTYwNw.pdf,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzQ4LzgxL2M2L2I0M2ItNDI0ZS1hYzdmLWIyOTVjNjAzODQyOA.xml,true,"2605, BrÃ¸ndby","Park Alle 350A, 2.",Til kapitalejerne i Meyer & Munk A/S,3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-27,2018-06-27,2008-09-04,2018-06-28,29198535.0,31750733.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Meyer & Munk A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Torben Svensson,CR Statsautoriseret Revisionsaktieselskab,Meyer & Munk A/S,CR Statsautoriseret Revisionsaktieselskab,Holte,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-27,BrÃ¸ndby,Bestyrelsesmedlem,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:25935231,indberetninger-20180424,2.5124211,31750733.0,AWRGxtlx0wkEsASkuKD7,2018-06-28T14:23:51.915Z,2018-06-28T14:23:12.966Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-47-DQ,2018-06-28T14:23:13.098Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31750733,2017-01-01,2017-12-31,ID_14,,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2U1LzQ2LzUwLzE0MjgtNDM0Yy1iYjU2LWFlODdmMmJlYTYwNw.pdf,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzQ4LzgxL2M2L2I0M2ItNDI0ZS1hYzdmLWIyOTVjNjAzODQyOA.xml,true,"2605, BrÃ¸ndby","Park Alle 350A, 2.",Til kapitalejerne i Meyer & Munk A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-27,2018-06-27,2008-09-04,2018-06-28,29198535.0,31750733.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Meyer & Munk A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Torben Svensson,CR Statsautoriseret Revisionsaktieselskab,Meyer & Munk A/S,CR Statsautoriseret Revisionsaktieselskab,Holte,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-27,BrÃ¸ndby,Bestyrelsesmedlem,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:25935231,indberetninger-20180424,2.5124211,31750733.0,AWRGxtlx0wkEsASkuKD7,2018-06-28T14:23:51.915Z,2018-06-28T14:23:12.966Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-47-DQ,2018-06-28T14:23:13.098Z,,,,,-348737.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31750733,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2U1LzQ2LzUwLzE0MjgtNDM0Yy1iYjU2LWFlODdmMmJlYTYwNw.pdf,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzQ4LzgxL2M2L2I0M2ItNDI0ZS1hYzdmLWIyOTVjNjAzODQyOA.xml,true,"2605, BrÃ¸ndby","Park Alle 350A, 2.",Til kapitalejerne i Meyer & Munk A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-27,2018-06-27,2008-09-04,2018-06-28,29198535.0,31750733.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Meyer & Munk A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Torben Svensson,CR Statsautoriseret Revisionsaktieselskab,Meyer & Munk A/S,CR Statsautoriseret Revisionsaktieselskab,Holte,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-27,BrÃ¸ndby,Bestyrelsesmedlem,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:25935231,indberetninger-20180424,2.5124211,31750733.0,AWRGxtlx0wkEsASkuKD7,2018-06-28T14:23:51.915Z,2018-06-28T14:23:12.966Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-47-DQ,2018-06-28T14:23:13.098Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31750733,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2U1LzQ2LzUwLzE0MjgtNDM0Yy1iYjU2LWFlODdmMmJlYTYwNw.pdf,http://regnskaber.virk.dk/33705713/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzQ4LzgxL2M2L2I0M2ItNDI0ZS1hYzdmLWIyOTVjNjAzODQyOA.xml,true,"2605, BrÃ¸ndby","Park Alle 350A, 2.",Til kapitalejerne i Meyer & Munk A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-06-27,2018-06-27,2008-09-04,2018-06-28,29198535.0,31750733.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Meyer & Munk A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Torben Svensson,CR Statsautoriseret Revisionsaktieselskab,Meyer & Munk A/S,CR Statsautoriseret Revisionsaktieselskab,Holte,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-27,BrÃ¸ndby,Bestyrelsesmedlem,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:25935231,indberetninger-20180424,2.5124211,31750733.0,AWRGxtlx0wkEsASkuKD7,2018-06-28T14:23:51.915Z,2018-06-28T14:23:12.966Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-47-DQ,2018-06-28T14:23:13.098Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
