entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherReserves,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermReceivables,ShorttermTradePayables,DividendPaid,Revaluations,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
25664345,2014-07-01,2015-06-30,c3,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2U0LzA3LzI3L2Q3YTEtNGQ2My1hYjc0LTdmNTM4MzQzMzkyNA.xhtml,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q2LzI3LzZlL2JiNDctNDkzZi1hNzY3LTkzYjE2NWYwMzMxMg.pdf,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JjLzI5L2I3L2Y2MDItNDZjMy05YzkyLTRjYTgzYmE4MWQxYQ.xml,true,Danmark,DK,HjÃ¸rring,9800.0,5.0,LÃ¦sÃ¸vej,HjÃ¸rring,9800.0,235.0,Frederikshavnsvej,9800 HjÃ¸rring,LÃ¦sÃ¸vej 5,Til ledelsen i TE Christiansen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-17,2016-10-20,statsaut. revisor,-3125.0,25664345.0,1008783795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tage Kielsgaard Rasmussen,Jan Iver Christiansen,Jan Iver Christiansen,TE CHRISTIANSEN ApS,Poul-Erik Haagensen,10561.0,HjÃ¸rring,2014-07-01,2015-06-30,-10803.0,-13686.0,-3125.0,2016-06-30,2015-07-01,false,false,2016-10-17,HjÃ¸rring,-2883.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23077910,indberetninger-20180424,2.5954075,25664345.0,,2018-03-28T17:46:17.631Z,2016-10-21T06:38:47.539Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-65-XT,2016-10-21T06:38:47.708Z,,,,,,,,,,,,,,,,,,,,,
25664345,2014-07-01,2015-06-30,c5,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2U0LzA3LzI3L2Q3YTEtNGQ2My1hYjc0LTdmNTM4MzQzMzkyNA.xhtml,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q2LzI3LzZlL2JiNDctNDkzZi1hNzY3LTkzYjE2NWYwMzMxMg.pdf,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JjLzI5L2I3L2Y2MDItNDZjMy05YzkyLTRjYTgzYmE4MWQxYQ.xml,true,Danmark,DK,HjÃ¸rring,9800.0,5.0,LÃ¦sÃ¸vej,HjÃ¸rring,9800.0,235.0,Frederikshavnsvej,9800 HjÃ¸rring,LÃ¦sÃ¸vej 5,Til ledelsen i TE Christiansen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-17,2016-10-20,statsaut. revisor,,25664345.0,1008783795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tage Kielsgaard Rasmussen,Jan Iver Christiansen,Jan Iver Christiansen,TE CHRISTIANSEN ApS,Poul-Erik Haagensen,,HjÃ¸rring,2014-07-01,2015-06-30,-10803.0,,,2016-06-30,2015-07-01,false,false,2016-10-17,HjÃ¸rring,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23077910,indberetninger-20180424,2.5954075,25664345.0,,2018-03-28T17:46:17.631Z,2016-10-21T06:38:47.539Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-65-XT,2016-10-21T06:38:47.708Z,,,,,,,,,,,,,,,,,,,,,
25664345,2015-06-30,2015-06-30,c7,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2U0LzA3LzI3L2Q3YTEtNGQ2My1hYjc0LTdmNTM4MzQzMzkyNA.xhtml,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q2LzI3LzZlL2JiNDctNDkzZi1hNzY3LTkzYjE2NWYwMzMxMg.pdf,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JjLzI5L2I3L2Y2MDItNDZjMy05YzkyLTRjYTgzYmE4MWQxYQ.xml,true,Danmark,DK,HjÃ¸rring,9800.0,5.0,LÃ¦sÃ¸vej,HjÃ¸rring,9800.0,235.0,Frederikshavnsvej,9800 HjÃ¸rring,LÃ¦sÃ¸vej 5,Til ledelsen i TE Christiansen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-17,2016-10-20,statsaut. revisor,,25664345.0,1008783795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tage Kielsgaard Rasmussen,Jan Iver Christiansen,Jan Iver Christiansen,TE CHRISTIANSEN ApS,Poul-Erik Haagensen,,HjÃ¸rring,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-10-17,HjÃ¸rring,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23077910,indberetninger-20180424,2.5954075,25664345.0,,2018-03-28T17:46:17.631Z,2016-10-21T06:38:47.539Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-65-XT,2016-10-21T06:38:47.708Z,422774.0,100000.0,4885.0,4885.0,144539.0,422774.0,278235.0,417889.0,417889.0,417889.0,68779.0,271985.0,-24240.0,278235.0,3125.0,4885.0,3125.0,,,,
25664345,2015-07-01,2015-07-01,c10,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2U0LzA3LzI3L2Q3YTEtNGQ2My1hYjc0LTdmNTM4MzQzMzkyNA.xhtml,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q2LzI3LzZlL2JiNDctNDkzZi1hNzY3LTkzYjE2NWYwMzMxMg.pdf,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JjLzI5L2I3L2Y2MDItNDZjMy05YzkyLTRjYTgzYmE4MWQxYQ.xml,true,Danmark,DK,HjÃ¸rring,9800.0,5.0,LÃ¦sÃ¸vej,HjÃ¸rring,9800.0,235.0,Frederikshavnsvej,9800 HjÃ¸rring,LÃ¦sÃ¸vej 5,Til ledelsen i TE Christiansen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-17,2016-10-20,statsaut. revisor,,25664345.0,1008783795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tage Kielsgaard Rasmussen,Jan Iver Christiansen,Jan Iver Christiansen,TE CHRISTIANSEN ApS,Poul-Erik Haagensen,,HjÃ¸rring,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-10-17,HjÃ¸rring,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23077910,indberetninger-20180424,2.5954075,25664345.0,,2018-03-28T17:46:17.631Z,2016-10-21T06:38:47.539Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-65-XT,2016-10-21T06:38:47.708Z,,,,,-24240.0,,,,,,,,,,,,,,,,
25664345,2015-07-01,2015-07-01,c11,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2U0LzA3LzI3L2Q3YTEtNGQ2My1hYjc0LTdmNTM4MzQzMzkyNA.xhtml,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q2LzI3LzZlL2JiNDctNDkzZi1hNzY3LTkzYjE2NWYwMzMxMg.pdf,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JjLzI5L2I3L2Y2MDItNDZjMy05YzkyLTRjYTgzYmE4MWQxYQ.xml,true,Danmark,DK,HjÃ¸rring,9800.0,5.0,LÃ¦sÃ¸vej,HjÃ¸rring,9800.0,235.0,Frederikshavnsvej,9800 HjÃ¸rring,LÃ¦sÃ¸vej 5,Til ledelsen i TE Christiansen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-17,2016-10-20,statsaut. revisor,,25664345.0,1008783795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tage Kielsgaard Rasmussen,Jan Iver Christiansen,Jan Iver Christiansen,TE CHRISTIANSEN ApS,Poul-Erik Haagensen,,HjÃ¸rring,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-10-17,HjÃ¸rring,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23077910,indberetninger-20180424,2.5954075,25664345.0,,2018-03-28T17:46:17.631Z,2016-10-21T06:38:47.539Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-65-XT,2016-10-21T06:38:47.708Z,,,,,144539.0,,,,,,,,,,,,,,,,
25664345,2015-07-01,2015-07-01,c8,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2U0LzA3LzI3L2Q3YTEtNGQ2My1hYjc0LTdmNTM4MzQzMzkyNA.xhtml,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q2LzI3LzZlL2JiNDctNDkzZi1hNzY3LTkzYjE2NWYwMzMxMg.pdf,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JjLzI5L2I3L2Y2MDItNDZjMy05YzkyLTRjYTgzYmE4MWQxYQ.xml,true,Danmark,DK,HjÃ¸rring,9800.0,5.0,LÃ¦sÃ¸vej,HjÃ¸rring,9800.0,235.0,Frederikshavnsvej,9800 HjÃ¸rring,LÃ¦sÃ¸vej 5,Til ledelsen i TE Christiansen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-17,2016-10-20,statsaut. revisor,,25664345.0,1008783795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tage Kielsgaard Rasmussen,Jan Iver Christiansen,Jan Iver Christiansen,TE CHRISTIANSEN ApS,Poul-Erik Haagensen,,HjÃ¸rring,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-10-17,HjÃ¸rring,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23077910,indberetninger-20180424,2.5954075,25664345.0,,2018-03-28T17:46:17.631Z,2016-10-21T06:38:47.539Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-65-XT,2016-10-21T06:38:47.708Z,,,,,100000.0,,,,,,,,,,,,,,,,
25664345,2015-07-01,2015-07-01,c9,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2U0LzA3LzI3L2Q3YTEtNGQ2My1hYjc0LTdmNTM4MzQzMzkyNA.xhtml,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q2LzI3LzZlL2JiNDctNDkzZi1hNzY3LTkzYjE2NWYwMzMxMg.pdf,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JjLzI5L2I3L2Y2MDItNDZjMy05YzkyLTRjYTgzYmE4MWQxYQ.xml,true,Danmark,DK,HjÃ¸rring,9800.0,5.0,LÃ¦sÃ¸vej,HjÃ¸rring,9800.0,235.0,Frederikshavnsvej,9800 HjÃ¸rring,LÃ¦sÃ¸vej 5,Til ledelsen i TE Christiansen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-17,2016-10-20,statsaut. revisor,,25664345.0,1008783795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tage Kielsgaard Rasmussen,Jan Iver Christiansen,Jan Iver Christiansen,TE CHRISTIANSEN ApS,Poul-Erik Haagensen,,HjÃ¸rring,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-10-17,HjÃ¸rring,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23077910,indberetninger-20180424,2.5954075,25664345.0,,2018-03-28T17:46:17.631Z,2016-10-21T06:38:47.539Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-65-XT,2016-10-21T06:38:47.708Z,,,,,68779.0,,,,,,,,,,,,,,,,
25664345,2015-07-01,2016-06-30,c0,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2U0LzA3LzI3L2Q3YTEtNGQ2My1hYjc0LTdmNTM4MzQzMzkyNA.xhtml,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q2LzI3LzZlL2JiNDctNDkzZi1hNzY3LTkzYjE2NWYwMzMxMg.pdf,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JjLzI5L2I3L2Y2MDItNDZjMy05YzkyLTRjYTgzYmE4MWQxYQ.xml,true,Danmark,DK,HjÃ¸rring,9800.0,5.0,LÃ¦sÃ¸vej,HjÃ¸rring,9800.0,235.0,Frederikshavnsvej,9800 HjÃ¸rring,LÃ¦sÃ¸vej 5,Til ledelsen i TE Christiansen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-17,2016-10-20,statsaut. revisor,-3125.0,25664345.0,1008783795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tage Kielsgaard Rasmussen,Jan Iver Christiansen,Jan Iver Christiansen,TE CHRISTIANSEN ApS,Poul-Erik Haagensen,10988.0,HjÃ¸rring,2014-07-01,2015-06-30,-11008.0,-14113.0,-3125.0,2016-06-30,2015-07-01,false,false,2016-10-17,HjÃ¸rring,-3105.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23077910,indberetninger-20180424,2.5954075,25664345.0,,2018-03-28T17:46:17.631Z,2016-10-21T06:38:47.539Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-65-XT,2016-10-21T06:38:47.708Z,,,,,,,,,,,,,,,,,,0.0,24543.0,,
25664345,2015-07-01,2016-06-30,c1,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2U0LzA3LzI3L2Q3YTEtNGQ2My1hYjc0LTdmNTM4MzQzMzkyNA.xhtml,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q2LzI3LzZlL2JiNDctNDkzZi1hNzY3LTkzYjE2NWYwMzMxMg.pdf,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JjLzI5L2I3L2Y2MDItNDZjMy05YzkyLTRjYTgzYmE4MWQxYQ.xml,true,Danmark,DK,HjÃ¸rring,9800.0,5.0,LÃ¦sÃ¸vej,HjÃ¸rring,9800.0,235.0,Frederikshavnsvej,9800 HjÃ¸rring,LÃ¦sÃ¸vej 5,Til ledelsen i TE Christiansen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-17,2016-10-20,statsaut. revisor,,25664345.0,1008783795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tage Kielsgaard Rasmussen,Jan Iver Christiansen,Jan Iver Christiansen,TE CHRISTIANSEN ApS,Poul-Erik Haagensen,,HjÃ¸rring,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-10-17,HjÃ¸rring,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23077910,indberetninger-20180424,2.5954075,25664345.0,,2018-03-28T17:46:17.631Z,2016-10-21T06:38:47.539Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-65-XT,2016-10-21T06:38:47.708Z,,,,,,,,,,,,,,,,,,,,15137371.0,REVISIONSFIRMAET TAGE KIELSGAARD RASMUSSEN STATSAUTORISERET REVISIONSANPARTSSELSKAB
25664345,2015-07-01,2016-06-30,c12,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2U0LzA3LzI3L2Q3YTEtNGQ2My1hYjc0LTdmNTM4MzQzMzkyNA.xhtml,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q2LzI3LzZlL2JiNDctNDkzZi1hNzY3LTkzYjE2NWYwMzMxMg.pdf,http://regnskaber.virk.dk/54346652/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2JjLzI5L2I3L2Y2MDItNDZjMy05YzkyLTRjYTgzYmE4MWQxYQ.xml,true,Danmark,DK,HjÃ¸rring,9800.0,5.0,LÃ¦sÃ¸vej,HjÃ¸rring,9800.0,235.0,Frederikshavnsvej,9800 HjÃ¸rring,LÃ¦sÃ¸vej 5,Til ledelsen i TE Christiansen ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-17,2016-10-20,statsaut. revisor,,25664345.0,1008783795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tage Kielsgaard Rasmussen,Jan Iver Christiansen,Jan Iver Christiansen,TE CHRISTIANSEN ApS,Poul-Erik Haagensen,,HjÃ¸rring,2014-07-01,2015-06-30,0.0,,,2016-06-30,2015-07-01,false,false,2016-10-17,HjÃ¸rring,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23077910,indberetninger-20180424,2.5954075,25664345.0,,2018-03-28T17:46:17.631Z,2016-10-21T06:38:47.539Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-65-XT,2016-10-21T06:38:47.708Z,,,,,,,,,,,,,,,,,,0.0,0.0,,
