entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialDistrictName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfAnyUnusualMatters,DisclosureOfCashAndCashEquivalents,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,EmailOfReportingEntity,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradeReceivables
33581637,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzBjL2Y2LzM2Lzk4LzA4MzQtNGI2Mi1iZDA0LWRjNTk1YmI0MDAxNQ.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2JhL2RiLzIxL2YyM2QtNDgyNC1hY2UzLTVhYjBlZWJhZTEzZA.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzJmLzgyLzJlL2UzNmEtNGY3NC1iYzcxLTI2OWY1Yzg2NDFlYQ.xml,true,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 5,179027.0,Regnskabsklasse B,2016-04-18,2016-04-18,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">IndenstÃ¥ende i Handelsbanken.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",Flemming.Wittrock@cybercom.com,75078.0,33581637.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,6244.0,1342.0,Hellerup,2014-01-01,2014-12-31,-6078.0,-108851.0,-103949.0,2015-12-31,2015-01-01,false,false,-102773.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22241192,indberetninger-20180424,2.5949402000000004,33581637.0,,2018-03-28T19:26:49.125Z,2016-04-18T09:34:53.917Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-19-MZ,2016-04-18T09:34:54.099Z,,,,,,,,,,,,,,,,,,
33581637,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzBjL2Y2LzM2Lzk4LzA4MzQtNGI2Mi1iZDA0LWRjNTk1YmI0MDAxNQ.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2JhL2RiLzIxL2YyM2QtNDgyNC1hY2UzLTVhYjBlZWJhZTEzZA.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzJmLzgyLzJlL2UzNmEtNGY3NC1iYzcxLTI2OWY1Yzg2NDFlYQ.xml,true,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 5,,Regnskabsklasse B,2016-04-18,2016-04-18,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">IndenstÃ¥ende i Handelsbanken.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",Flemming.Wittrock@cybercom.com,,33581637.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2014-01-01,2014-12-31,0.0,,,2015-12-31,2015-01-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22241192,indberetninger-20180424,2.5949402000000004,33581637.0,,2018-03-28T19:26:49.125Z,2016-04-18T09:34:53.917Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-19-MZ,2016-04-18T09:34:54.099Z,,,,,,,,,,,,,,,,,,
33581637,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzBjL2Y2LzM2Lzk4LzA4MzQtNGI2Mi1iZDA0LWRjNTk1YmI0MDAxNQ.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2JhL2RiLzIxL2YyM2QtNDgyNC1hY2UzLTVhYjBlZWJhZTEzZA.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzJmLzgyLzJlL2UzNmEtNGY3NC1iYzcxLTI2OWY1Yzg2NDFlYQ.xml,true,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 5,,Regnskabsklasse B,2016-04-18,2016-04-18,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">IndenstÃ¥ende i Handelsbanken.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",Flemming.Wittrock@cybercom.com,,33581637.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2014-01-01,2014-12-31,-6078.0,,,2015-12-31,2015-01-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22241192,indberetninger-20180424,2.5949402000000004,33581637.0,,2018-03-28T19:26:49.125Z,2016-04-18T09:34:53.917Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-19-MZ,2016-04-18T09:34:54.099Z,,,,,,,,,,,,,,,,,,
33581637,2014-12-31,2014-12-31,c8,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzBjL2Y2LzM2Lzk4LzA4MzQtNGI2Mi1iZDA0LWRjNTk1YmI0MDAxNQ.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2JhL2RiLzIxL2YyM2QtNDgyNC1hY2UzLTVhYjBlZWJhZTEzZA.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzJmLzgyLzJlL2UzNmEtNGY3NC1iYzcxLTI2OWY1Yzg2NDFlYQ.xml,true,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 5,,Regnskabsklasse B,2016-04-18,2016-04-18,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">IndenstÃ¥ende i Handelsbanken.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",Flemming.Wittrock@cybercom.com,,33581637.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22241192,indberetninger-20180424,2.5949402000000004,33581637.0,,2018-03-28T19:26:49.125Z,2016-04-18T09:34:53.917Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-19-MZ,2016-04-18T09:34:54.099Z,1500484.0,765467.0,80000.0,1399484.0,107431.0,1050465.0,101000.0,1500484.0,450019.0,101000.0,373697.0,101000.0,970465.0,450019.0,76322.0,634017.0,232798.0,293788.0
33581637,2015-01-01,2015-01-01,c10,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzBjL2Y2LzM2Lzk4LzA4MzQtNGI2Mi1iZDA0LWRjNTk1YmI0MDAxNQ.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2JhL2RiLzIxL2YyM2QtNDgyNC1hY2UzLTVhYjBlZWJhZTEzZA.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzJmLzgyLzJlL2UzNmEtNGY3NC1iYzcxLTI2OWY1Yzg2NDFlYQ.xml,true,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 5,,Regnskabsklasse B,2016-04-18,2016-04-18,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">IndenstÃ¥ende i Handelsbanken.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",Flemming.Wittrock@cybercom.com,,33581637.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22241192,indberetninger-20180424,2.5949402000000004,33581637.0,,2018-03-28T19:26:49.125Z,2016-04-18T09:34:53.917Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-19-MZ,2016-04-18T09:34:54.099Z,,,,,,970465.0,,,,,,,,,,,,
33581637,2015-01-01,2015-01-01,c11,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzBjL2Y2LzM2Lzk4LzA4MzQtNGI2Mi1iZDA0LWRjNTk1YmI0MDAxNQ.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2JhL2RiLzIxL2YyM2QtNDgyNC1hY2UzLTVhYjBlZWJhZTEzZA.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzJmLzgyLzJlL2UzNmEtNGY3NC1iYzcxLTI2OWY1Yzg2NDFlYQ.xml,true,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 5,,Regnskabsklasse B,2016-04-18,2016-04-18,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">IndenstÃ¥ende i Handelsbanken.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",Flemming.Wittrock@cybercom.com,,33581637.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22241192,indberetninger-20180424,2.5949402000000004,33581637.0,,2018-03-28T19:26:49.125Z,2016-04-18T09:34:53.917Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-19-MZ,2016-04-18T09:34:54.099Z,,,,,,1050465.0,,,,,,,,,,,,
33581637,2015-01-01,2015-01-01,c9,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzBjL2Y2LzM2Lzk4LzA4MzQtNGI2Mi1iZDA0LWRjNTk1YmI0MDAxNQ.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2JhL2RiLzIxL2YyM2QtNDgyNC1hY2UzLTVhYjBlZWJhZTEzZA.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzJmLzgyLzJlL2UzNmEtNGY3NC1iYzcxLTI2OWY1Yzg2NDFlYQ.xml,true,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 5,,Regnskabsklasse B,2016-04-18,2016-04-18,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">IndenstÃ¥ende i Handelsbanken.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",Flemming.Wittrock@cybercom.com,,33581637.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22241192,indberetninger-20180424,2.5949402000000004,33581637.0,,2018-03-28T19:26:49.125Z,2016-04-18T09:34:53.917Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-19-MZ,2016-04-18T09:34:54.099Z,,,,,,80000.0,,,,,,,,,,,,
33581637,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzBjL2Y2LzM2Lzk4LzA4MzQtNGI2Mi1iZDA0LWRjNTk1YmI0MDAxNQ.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2JhL2RiLzIxL2YyM2QtNDgyNC1hY2UzLTVhYjBlZWJhZTEzZA.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzJmLzgyLzJlL2UzNmEtNGY3NC1iYzcxLTI2OWY1Yzg2NDFlYQ.xml,true,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 5,185383.0,Regnskabsklasse B,2016-04-18,2016-04-18,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">IndenstÃ¥ende i Handelsbanken.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",Flemming.Wittrock@cybercom.com,725852.0,33581637.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,6056.0,634.0,Hellerup,2014-01-01,2014-12-31,403213.0,535047.0,540469.0,2015-12-31,2015-01-01,false,false,131834.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22241192,indberetninger-20180424,2.5949402000000004,33581637.0,,2018-03-28T19:26:49.125Z,2016-04-18T09:34:53.917Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-19-MZ,2016-04-18T09:34:54.099Z,,,,,,,,,,,,,,,,,,
33581637,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzBjL2Y2LzM2Lzk4LzA4MzQtNGI2Mi1iZDA0LWRjNTk1YmI0MDAxNQ.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2JhL2RiLzIxL2YyM2QtNDgyNC1hY2UzLTVhYjBlZWJhZTEzZA.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzJmLzgyLzJlL2UzNmEtNGY3NC1iYzcxLTI2OWY1Yzg2NDFlYQ.xml,true,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 5,,Regnskabsklasse B,2016-04-18,2016-04-18,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">IndenstÃ¥ende i Handelsbanken.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",Flemming.Wittrock@cybercom.com,,33581637.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22241192,indberetninger-20180424,2.5949402000000004,33581637.0,,2018-03-28T19:26:49.125Z,2016-04-18T09:34:53.917Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-19-MZ,2016-04-18T09:34:54.099Z,,,,,,,,,,,,,,,,,,
33581637,2015-01-01,2015-12-31,c12,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzBjL2Y2LzM2Lzk4LzA4MzQtNGI2Mi1iZDA0LWRjNTk1YmI0MDAxNQ.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzYxL2JhL2RiLzIxL2YyM2QtNDgyNC1hY2UzLTVhYjBlZWJhZTEzZA.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzVhLzJmLzgyLzJlL2UzNmEtNGY3NC1iYzcxLTI2OWY1Yzg2NDFlYQ.xml,true,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 5,,Regnskabsklasse B,2016-04-18,2016-04-18,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">IndenstÃ¥ende i Handelsbanken.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",Flemming.Wittrock@cybercom.com,,33581637.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2014-01-01,2014-12-31,403213.0,,,2015-12-31,2015-01-01,false,false,,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22241192,indberetninger-20180424,2.5949402000000004,33581637.0,,2018-03-28T19:26:49.125Z,2016-04-18T09:34:53.917Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-19-MZ,2016-04-18T09:34:54.099Z,,,,,,,,,,,,,,,,,,
