entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdministrativeExpenses,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfAnyUncertaintyConnectedWithRecognitionOrMeasurement,DisclosureOfAnyUnusualMatters,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,EmailOfReportingEntity,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ProposedDividend,Provisions,ProvisionsForDeferredTax,ReportingPeriodEndDate,ReportingPeriodStartDate,ShorttermTaxPayables,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradeReceivables,NameOfAuditFirm
33581637,2013-01-01,2013-12-31,c3,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzL2U0L2UyLzI2L2ZjLzYwMTItNGI0ZS1iOTdjLTE5YzNmMTQ5ZDEzNg.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzYxLzI1LzRlL2VjNjEtNDQ1Yy04Nzg5LTExY2ExZjg5ZWUwZg.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2FjLzQ0LzIwL2Q4NGItNDAxNS05MmM2LTUwNjg4NzY3YzNhOA.xml,Danmark,DK,Nysted,4880.0,10.0,Jernbanegade,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 10,Til kapitalejerne i Wittrock Consult ApS,274237.0,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-07,2015-05-07,Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usikkerhed ved indregning og mÃ¥ling i regnskabet.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",schelde.wittrock@hotmail.com,-429464.0,-153755.0,33863705.0,33581637.0,1017603643.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,1586.0,114.0,Hellerup,2013-01-01,2013-12-31,-430673.0,-429464.0,-427992.0,0.0,0.0,0.0,2014-12-31,2014-01-01,0.0,2015-05-07,Nysted,1209.0,28583867.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5205224,indberetninger-20180424,2.5927877,33581637,,2018-03-30T08:51:50.857Z,2015-05-07T06:33:42.231Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-42-VD,2015-05-07T06:33:42.294Z,,,,,,,,,,,,,,,,,,,
33581637,2013-01-01,2013-12-31,c5,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzL2U0L2UyLzI2L2ZjLzYwMTItNGI0ZS1iOTdjLTE5YzNmMTQ5ZDEzNg.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzYxLzI1LzRlL2VjNjEtNDQ1Yy04Nzg5LTExY2ExZjg5ZWUwZg.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2FjLzQ0LzIwL2Q4NGItNDAxNS05MmM2LTUwNjg4NzY3YzNhOA.xml,Danmark,DK,Nysted,4880.0,10.0,Jernbanegade,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 10,Til kapitalejerne i Wittrock Consult ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-07,2015-05-07,Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usikkerhed ved indregning og mÃ¥ling i regnskabet.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",schelde.wittrock@hotmail.com,,,33863705.0,33581637.0,1017603643.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2013-01-01,2013-12-31,0.0,,,0.0,0.0,0.0,2014-12-31,2014-01-01,0.0,2015-05-07,Nysted,,28583867.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5205224,indberetninger-20180424,2.5927877,33581637,,2018-03-30T08:51:50.857Z,2015-05-07T06:33:42.231Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-42-VD,2015-05-07T06:33:42.294Z,,,,,,,,,,,,,,,,,,,
33581637,2013-01-01,2013-12-31,c7,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzL2U0L2UyLzI2L2ZjLzYwMTItNGI0ZS1iOTdjLTE5YzNmMTQ5ZDEzNg.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzYxLzI1LzRlL2VjNjEtNDQ1Yy04Nzg5LTExY2ExZjg5ZWUwZg.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2FjLzQ0LzIwL2Q4NGItNDAxNS05MmM2LTUwNjg4NzY3YzNhOA.xml,Danmark,DK,Nysted,4880.0,10.0,Jernbanegade,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 10,Til kapitalejerne i Wittrock Consult ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-07,2015-05-07,Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usikkerhed ved indregning og mÃ¥ling i regnskabet.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",schelde.wittrock@hotmail.com,,,33863705.0,33581637.0,1017603643.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2013-01-01,2013-12-31,-430673.0,,,0.0,0.0,0.0,2014-12-31,2014-01-01,0.0,2015-05-07,Nysted,,28583867.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5205224,indberetninger-20180424,2.5927877,33581637,,2018-03-30T08:51:50.857Z,2015-05-07T06:33:42.231Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-42-VD,2015-05-07T06:33:42.294Z,,,,,,,,,,,,,,,,,,,
33581637,2013-12-31,2013-12-31,c9,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzL2U0L2UyLzI2L2ZjLzYwMTItNGI0ZS1iOTdjLTE5YzNmMTQ5ZDEzNg.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzYxLzI1LzRlL2VjNjEtNDQ1Yy04Nzg5LTExY2ExZjg5ZWUwZg.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2FjLzQ0LzIwL2Q4NGItNDAxNS05MmM2LTUwNjg4NzY3YzNhOA.xml,Danmark,DK,Nysted,4880.0,10.0,Jernbanegade,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 10,Til kapitalejerne i Wittrock Consult ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-07,2015-05-07,Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usikkerhed ved indregning og mÃ¥ling i regnskabet.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",schelde.wittrock@hotmail.com,,,33863705.0,33581637.0,1017603643.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2013-01-01,2013-12-31,,,,0.0,0.0,0.0,2014-12-31,2014-01-01,0.0,2015-05-07,Nysted,,28583867.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5205224,indberetninger-20180424,2.5927877,33581637,,2018-03-30T08:51:50.857Z,2015-05-07T06:33:42.231Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-42-VD,2015-05-07T06:33:42.294Z,1473136.0,1217622.0,80000.0,1331736.0,0.0,1056542.0,141400.0,1473136.0,416594.0,141400.0,342412.0,141400.0,976542.0,416594.0,74182.0,114114.0,114114.0,0.0,
33581637,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzL2U0L2UyLzI2L2ZjLzYwMTItNGI0ZS1iOTdjLTE5YzNmMTQ5ZDEzNg.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzYxLzI1LzRlL2VjNjEtNDQ1Yy04Nzg5LTExY2ExZjg5ZWUwZg.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2FjLzQ0LzIwL2Q4NGItNDAxNS05MmM2LTUwNjg4NzY3YzNhOA.xml,Danmark,DK,Nysted,4880.0,10.0,Jernbanegade,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 10,Til kapitalejerne i Wittrock Consult ApS,179027.0,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-07,2015-05-07,Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usikkerhed ved indregning og mÃ¥ling i regnskabet.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",schelde.wittrock@hotmail.com,-108851.0,75078.0,33863705.0,33581637.0,1017603643.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,6244.0,1342.0,Hellerup,2013-01-01,2013-12-31,-6078.0,-108851.0,-103949.0,0.0,0.0,0.0,2014-12-31,2014-01-01,0.0,2015-05-07,Nysted,-102773.0,28583867.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5205224,indberetninger-20180424,2.5927877,33581637,,2018-03-30T08:51:50.857Z,2015-05-07T06:33:42.231Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-42-VD,2015-05-07T06:33:42.294Z,,,,,,,,,,,,,,,,,,,
33581637,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzL2U0L2UyLzI2L2ZjLzYwMTItNGI0ZS1iOTdjLTE5YzNmMTQ5ZDEzNg.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzYxLzI1LzRlL2VjNjEtNDQ1Yy04Nzg5LTExY2ExZjg5ZWUwZg.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2FjLzQ0LzIwL2Q4NGItNDAxNS05MmM2LTUwNjg4NzY3YzNhOA.xml,Danmark,DK,Nysted,4880.0,10.0,Jernbanegade,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 10,Til kapitalejerne i Wittrock Consult ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-07,2015-05-07,Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usikkerhed ved indregning og mÃ¥ling i regnskabet.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",schelde.wittrock@hotmail.com,,,33863705.0,33581637.0,1017603643.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2013-01-01,2013-12-31,,,,0.0,0.0,0.0,2014-12-31,2014-01-01,0.0,2015-05-07,Nysted,,28583867.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5205224,indberetninger-20180424,2.5927877,33581637,,2018-03-30T08:51:50.857Z,2015-05-07T06:33:42.231Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-42-VD,2015-05-07T06:33:42.294Z,,,,,,,,,,,,,,,,,,,CBP CONSULT ApS
33581637,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzL2U0L2UyLzI2L2ZjLzYwMTItNGI0ZS1iOTdjLTE5YzNmMTQ5ZDEzNg.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzYxLzI1LzRlL2VjNjEtNDQ1Yy04Nzg5LTExY2ExZjg5ZWUwZg.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2FjLzQ0LzIwL2Q4NGItNDAxNS05MmM2LTUwNjg4NzY3YzNhOA.xml,Danmark,DK,Nysted,4880.0,10.0,Jernbanegade,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 10,Til kapitalejerne i Wittrock Consult ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-07,2015-05-07,Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usikkerhed ved indregning og mÃ¥ling i regnskabet.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",schelde.wittrock@hotmail.com,,,33863705.0,33581637.0,1017603643.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2013-01-01,2013-12-31,,,,0.0,0.0,0.0,2014-12-31,2014-01-01,0.0,2015-05-07,Nysted,,28583867.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5205224,indberetninger-20180424,2.5927877,33581637,,2018-03-30T08:51:50.857Z,2015-05-07T06:33:42.231Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-42-VD,2015-05-07T06:33:42.294Z,,,,,,,,,,,,,,,,,,,
33581637,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzL2U0L2UyLzI2L2ZjLzYwMTItNGI0ZS1iOTdjLTE5YzNmMTQ5ZDEzNg.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzYxLzI1LzRlL2VjNjEtNDQ1Yy04Nzg5LTExY2ExZjg5ZWUwZg.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2FjLzQ0LzIwL2Q4NGItNDAxNS05MmM2LTUwNjg4NzY3YzNhOA.xml,Danmark,DK,Nysted,4880.0,10.0,Jernbanegade,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 10,Til kapitalejerne i Wittrock Consult ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-07,2015-05-07,Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usikkerhed ved indregning og mÃ¥ling i regnskabet.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",schelde.wittrock@hotmail.com,,,33863705.0,33581637.0,1017603643.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2013-01-01,2013-12-31,0.0,,,0.0,0.0,0.0,2014-12-31,2014-01-01,0.0,2015-05-07,Nysted,,28583867.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5205224,indberetninger-20180424,2.5927877,33581637,,2018-03-30T08:51:50.857Z,2015-05-07T06:33:42.231Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-42-VD,2015-05-07T06:33:42.294Z,,,,,,,,,,,,,,,,,,,
33581637,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzL2U0L2UyLzI2L2ZjLzYwMTItNGI0ZS1iOTdjLTE5YzNmMTQ5ZDEzNg.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzYxLzI1LzRlL2VjNjEtNDQ1Yy04Nzg5LTExY2ExZjg5ZWUwZg.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2FjLzQ0LzIwL2Q4NGItNDAxNS05MmM2LTUwNjg4NzY3YzNhOA.xml,Danmark,DK,Nysted,4880.0,10.0,Jernbanegade,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 10,Til kapitalejerne i Wittrock Consult ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-07,2015-05-07,Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usikkerhed ved indregning og mÃ¥ling i regnskabet.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",schelde.wittrock@hotmail.com,,,33863705.0,33581637.0,1017603643.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2013-01-01,2013-12-31,-6078.0,,,0.0,0.0,0.0,2014-12-31,2014-01-01,0.0,2015-05-07,Nysted,,28583867.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5205224,indberetninger-20180424,2.5927877,33581637,,2018-03-30T08:51:50.857Z,2015-05-07T06:33:42.231Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-42-VD,2015-05-07T06:33:42.294Z,,,,,,,,,,,,,,,,,,,
33581637,2014-12-31,2014-12-31,c8,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzL2U0L2UyLzI2L2ZjLzYwMTItNGI0ZS1iOTdjLTE5YzNmMTQ5ZDEzNg.xhtml,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzI2LzYxLzI1LzRlL2VjNjEtNDQ1Yy04Nzg5LTExY2ExZjg5ZWUwZg.pdf,http://regnskaber.virk.dk/73618533/ZG9rdW1lbnRsYWdlcjovLzAzLzkwL2FjLzQ0LzIwL2Q4NGItNDAxNS05MmM2LTUwNjg4NzY3YzNhOA.xml,Danmark,DK,Nysted,4880.0,10.0,Jernbanegade,Lyngby,Hellerup,2900.0,"69, 2 tv",Bernstorffsvej,4880 Nysted,Jernbanegade 10,Til kapitalejerne i Wittrock Consult ApS,,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-05-07,2015-05-07,Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usikkerhed ved indregning og mÃ¥ling i regnskabet.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen form for sikkerhed og aktiverne er ikke pantsat.</p>",schelde.wittrock@hotmail.com,,,33863705.0,33581637.0,1017603643.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Pedersen,Jesper Pedersen,Flemming Wittrock,Handelsbanken,WITTROCK CONSULT ApS,CBP Consult ApS,,,Hellerup,2013-01-01,2013-12-31,,,,0.0,0.0,0.0,2014-12-31,2014-01-01,0.0,2015-05-07,Nysted,,28583867.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5205224,indberetninger-20180424,2.5927877,33581637,,2018-03-30T08:51:50.857Z,2015-05-07T06:33:42.231Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-42-VD,2015-05-07T06:33:42.294Z,1500484.0,765467.0,80000.0,1399484.0,107431.0,1050465.0,101000.0,1500484.0,450019.0,101000.0,373697.0,101000.0,970465.0,450019.0,76322.0,634017.0,232798.0,293788.0,
