entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,FinanceExpensesArisingFromGroupEnterprises,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,RestOfOtherFinanceExpenses,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CostExceedsIncomeForTheFinancialYearLongtermReceivables,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,NoncurrentAssets,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
25511964,2015-10-01,2016-09-30,ID_10,,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzRiLzZhLzRiLzhkMjgtNGY0Yi1hMmY1LTBmZWEwYzA4ZDJjYg.pdf,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzL2M2L2QwLzlmLzRjL2RmNTMtNDNhZC1iZmZjLTM3M2Y3NzA0MzA5OQ.xml,true,"BrÃ¸ndby, 2605",Park AllÃ© 350A 2.,Til kapitalejerne i Investeringsselskabet HJ ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-20,2017-12-20,2000-06-30,2018-02-14,29198535.0,25511964.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Investeringsselskabet HJ ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Henrik JÃ¸rgensen,CR Statsautoriseret Revisionsaktieselskab,Jyske Bank,Investeringsselskabet HJ ApS,CR Statsautoriseret Revisionsaktieselskab,Kastrup,2015-10-01,2016-09-30,-103400.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"TÃ¥rnby, 185",2017-09-30,2016-10-01,false,2017-12-20,BrÃ¸ndby,RevisionspÃ¥tegning,urn:ofk:oid:25057003,indberetninger-20180424,2.5118406,25511964.0,,2018-04-03T20:51:56.299Z,2018-02-14T11:40:43.987Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AD-59-MD,2018-02-14T11:40:44.189Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25511964,2015-10-01,2016-09-30,ID_12,,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzRiLzZhLzRiLzhkMjgtNGY0Yi1hMmY1LTBmZWEwYzA4ZDJjYg.pdf,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzL2M2L2QwLzlmLzRjL2RmNTMtNDNhZC1iZmZjLTM3M2Y3NzA0MzA5OQ.xml,true,"BrÃ¸ndby, 2605",Park AllÃ© 350A 2.,Til kapitalejerne i Investeringsselskabet HJ ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-20,2017-12-20,2000-06-30,2018-02-14,29198535.0,25511964.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Investeringsselskabet HJ ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Henrik JÃ¸rgensen,CR Statsautoriseret Revisionsaktieselskab,Jyske Bank,Investeringsselskabet HJ ApS,CR Statsautoriseret Revisionsaktieselskab,Kastrup,2015-10-01,2016-09-30,4219400.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"TÃ¥rnby, 185",2017-09-30,2016-10-01,false,2017-12-20,BrÃ¸ndby,RevisionspÃ¥tegning,urn:ofk:oid:25057003,indberetninger-20180424,2.5118406,25511964.0,,2018-04-03T20:51:56.299Z,2018-02-14T11:40:43.987Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AD-59-MD,2018-02-14T11:40:44.189Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25511964,2015-10-01,2016-09-30,ID_7,,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzRiLzZhLzRiLzhkMjgtNGY0Yi1hMmY1LTBmZWEwYzA4ZDJjYg.pdf,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzL2M2L2QwLzlmLzRjL2RmNTMtNDNhZC1iZmZjLTM3M2Y3NzA0MzA5OQ.xml,true,"BrÃ¸ndby, 2605",Park AllÃ© 350A 2.,Til kapitalejerne i Investeringsselskabet HJ ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-20,2017-12-20,2000-06-30,2018-02-14,29198535.0,25511964.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Investeringsselskabet HJ ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Henrik JÃ¸rgensen,CR Statsautoriseret Revisionsaktieselskab,Jyske Bank,Investeringsselskabet HJ ApS,CR Statsautoriseret Revisionsaktieselskab,Kastrup,2015-10-01,2016-09-30,488043.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"TÃ¥rnby, 185",2017-09-30,2016-10-01,false,2017-12-20,BrÃ¸ndby,RevisionspÃ¥tegning,urn:ofk:oid:25057003,indberetninger-20180424,2.5118406,25511964.0,,2018-04-03T20:51:56.299Z,2018-02-14T11:40:43.987Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AD-59-MD,2018-02-14T11:40:44.189Z,195447.0,-14974.0,480601.0,383.0,224813.0,489564.0,5812.0,1521.0,,,,,,,,,,,,,,,,,,,,,,,,,
25511964,2015-10-01,2016-09-30,ID_8,,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzRiLzZhLzRiLzhkMjgtNGY0Yi1hMmY1LTBmZWEwYzA4ZDJjYg.pdf,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzL2M2L2QwLzlmLzRjL2RmNTMtNDNhZC1iZmZjLTM3M2Y3NzA0MzA5OQ.xml,true,"BrÃ¸ndby, 2605",Park AllÃ© 350A 2.,Til kapitalejerne i Investeringsselskabet HJ ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-20,2017-12-20,2000-06-30,2018-02-14,29198535.0,25511964.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Investeringsselskabet HJ ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Henrik JÃ¸rgensen,CR Statsautoriseret Revisionsaktieselskab,Jyske Bank,Investeringsselskabet HJ ApS,CR Statsautoriseret Revisionsaktieselskab,Kastrup,2015-10-01,2016-09-30,-4604043.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"TÃ¥rnby, 185",2017-09-30,2016-10-01,false,2017-12-20,BrÃ¸ndby,RevisionspÃ¥tegning,urn:ofk:oid:25057003,indberetninger-20180424,2.5118406,25511964.0,,2018-04-03T20:51:56.299Z,2018-02-14T11:40:43.987Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AD-59-MD,2018-02-14T11:40:44.189Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25511964,2016-09-30,2016-09-30,ID_6,,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzRiLzZhLzRiLzhkMjgtNGY0Yi1hMmY1LTBmZWEwYzA4ZDJjYg.pdf,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzL2M2L2QwLzlmLzRjL2RmNTMtNDNhZC1iZmZjLTM3M2Y3NzA0MzA5OQ.xml,true,"BrÃ¸ndby, 2605",Park AllÃ© 350A 2.,Til kapitalejerne i Investeringsselskabet HJ ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-20,2017-12-20,2000-06-30,2018-02-14,29198535.0,25511964.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Investeringsselskabet HJ ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Henrik JÃ¸rgensen,CR Statsautoriseret Revisionsaktieselskab,Jyske Bank,Investeringsselskabet HJ ApS,CR Statsautoriseret Revisionsaktieselskab,Kastrup,2015-10-01,2016-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"TÃ¥rnby, 185",2017-09-30,2016-10-01,false,2017-12-20,BrÃ¸ndby,RevisionspÃ¥tegning,urn:ofk:oid:25057003,indberetninger-20180424,2.5118406,25511964.0,,2018-04-03T20:51:56.299Z,2018-02-14T11:40:43.987Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AD-59-MD,2018-02-14T11:40:44.189Z,,,,,,,,,12528672.0,9017.0,200000.0,23698.0,2326269.0,7814102.0,12528672.0,4714569.0,10202403.0,10178705.0,618.0,618.0,10202403.0,937.0,103400.0,748133.0,6762569.0,4713951.0,4552129.0,150572.0,2317251.0,2274904.0,41410.0,11250.0,
25511964,2016-10-01,2017-09-30,ID_0,,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzRiLzZhLzRiLzhkMjgtNGY0Yi1hMmY1LTBmZWEwYzA4ZDJjYg.pdf,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzL2M2L2QwLzlmLzRjL2RmNTMtNDNhZC1iZmZjLTM3M2Y3NzA0MzA5OQ.xml,true,"BrÃ¸ndby, 2605",Park AllÃ© 350A 2.,Til kapitalejerne i Investeringsselskabet HJ ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-20,2017-12-20,2000-06-30,2018-02-14,29198535.0,25511964.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Investeringsselskabet HJ ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Henrik JÃ¸rgensen,CR Statsautoriseret Revisionsaktieselskab,Jyske Bank,Investeringsselskabet HJ ApS,CR Statsautoriseret Revisionsaktieselskab,Kastrup,2015-10-01,2016-09-30,226818.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"TÃ¥rnby, 185",2017-09-30,2016-10-01,false,2017-12-20,BrÃ¸ndby,RevisionspÃ¥tegning,urn:ofk:oid:25057003,indberetninger-20180424,2.5118406,25511964.0,,2018-04-03T20:51:56.299Z,2018-02-14T11:40:43.987Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AD-59-MD,2018-02-14T11:40:44.189Z,186217.0,-13278.0,221028.0,0.0,213019.0,228446.0,6107.0,1628.0,,,,,,,,,,,,,,,,,,,,,,,,,
25511964,2016-10-01,2017-09-30,ID_1,,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzRiLzZhLzRiLzhkMjgtNGY0Yi1hMmY1LTBmZWEwYzA4ZDJjYg.pdf,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzL2M2L2QwLzlmLzRjL2RmNTMtNDNhZC1iZmZjLTM3M2Y3NzA0MzA5OQ.xml,true,"BrÃ¸ndby, 2605",Park AllÃ© 350A 2.,Til kapitalejerne i Investeringsselskabet HJ ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-20,2017-12-20,2000-06-30,2018-02-14,29198535.0,25511964.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Investeringsselskabet HJ ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Henrik JÃ¸rgensen,CR Statsautoriseret Revisionsaktieselskab,Jyske Bank,Investeringsselskabet HJ ApS,CR Statsautoriseret Revisionsaktieselskab,Kastrup,2015-10-01,2016-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"TÃ¥rnby, 185",2017-09-30,2016-10-01,false,2017-12-20,BrÃ¸ndby,RevisionspÃ¥tegning,urn:ofk:oid:25057003,indberetninger-20180424,2.5118406,25511964.0,,2018-04-03T20:51:56.299Z,2018-02-14T11:40:43.987Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AD-59-MD,2018-02-14T11:40:44.189Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25511964,2016-10-01,2017-09-30,ID_11,,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzRiLzZhLzRiLzhkMjgtNGY0Yi1hMmY1LTBmZWEwYzA4ZDJjYg.pdf,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzL2M2L2QwLzlmLzRjL2RmNTMtNDNhZC1iZmZjLTM3M2Y3NzA0MzA5OQ.xml,true,"BrÃ¸ndby, 2605",Park AllÃ© 350A 2.,Til kapitalejerne i Investeringsselskabet HJ ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-20,2017-12-20,2000-06-30,2018-02-14,29198535.0,25511964.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Investeringsselskabet HJ ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Henrik JÃ¸rgensen,CR Statsautoriseret Revisionsaktieselskab,Jyske Bank,Investeringsselskabet HJ ApS,CR Statsautoriseret Revisionsaktieselskab,Kastrup,2015-10-01,2016-09-30,-221028.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"TÃ¥rnby, 185",2017-09-30,2016-10-01,false,2017-12-20,BrÃ¸ndby,RevisionspÃ¥tegning,urn:ofk:oid:25057003,indberetninger-20180424,2.5118406,25511964.0,,2018-04-03T20:51:56.299Z,2018-02-14T11:40:43.987Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AD-59-MD,2018-02-14T11:40:44.189Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25511964,2016-10-01,2017-09-30,ID_13,,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzRiLzZhLzRiLzhkMjgtNGY0Yi1hMmY1LTBmZWEwYzA4ZDJjYg.pdf,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzL2M2L2QwLzlmLzRjL2RmNTMtNDNhZC1iZmZjLTM3M2Y3NzA0MzA5OQ.xml,true,"BrÃ¸ndby, 2605",Park AllÃ© 350A 2.,Til kapitalejerne i Investeringsselskabet HJ ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-20,2017-12-20,2000-06-30,2018-02-14,29198535.0,25511964.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Investeringsselskabet HJ ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Henrik JÃ¸rgensen,CR Statsautoriseret Revisionsaktieselskab,Jyske Bank,Investeringsselskabet HJ ApS,CR Statsautoriseret Revisionsaktieselskab,Kastrup,2015-10-01,2016-09-30,100010.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"TÃ¥rnby, 185",2017-09-30,2016-10-01,false,2017-12-20,BrÃ¸ndby,RevisionspÃ¥tegning,urn:ofk:oid:25057003,indberetninger-20180424,2.5118406,25511964.0,,2018-04-03T20:51:56.299Z,2018-02-14T11:40:43.987Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AD-59-MD,2018-02-14T11:40:44.189Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25511964,2016-10-01,2017-09-30,ID_2,,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzLzBiLzRiLzZhLzRiLzhkMjgtNGY0Yi1hMmY1LTBmZWEwYzA4ZDJjYg.pdf,http://regnskaber.virk.dk/46911552/ZG9rdW1lbnRsYWdlcjovLzAzL2M2L2QwLzlmLzRjL2RmNTMtNDNhZC1iZmZjLTM3M2Y3NzA0MzA5OQ.xml,true,"BrÃ¸ndby, 2605",Park AllÃ© 350A 2.,Til kapitalejerne i Investeringsselskabet HJ ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2017-12-20,2017-12-20,2000-06-30,2018-02-14,29198535.0,25511964.0,29198535.0,mne12275,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Investeringsselskabet HJ ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Rasmussen,Henrik JÃ¸rgensen,CR Statsautoriseret Revisionsaktieselskab,Jyske Bank,Investeringsselskabet HJ ApS,CR Statsautoriseret Revisionsaktieselskab,Kastrup,2015-10-01,2016-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"TÃ¥rnby, 185",2017-09-30,2016-10-01,false,2017-12-20,BrÃ¸ndby,RevisionspÃ¥tegning,urn:ofk:oid:25057003,indberetninger-20180424,2.5118406,25511964.0,,2018-04-03T20:51:56.299Z,2018-02-14T11:40:43.987Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AD-59-MD,2018-02-14T11:40:44.189Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
