entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InterestIncomeFromGroupEnterprises,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,NumberOfEmployees,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm,TypeOfAuditorAssistance
33506147,2015-01-01,2015-12-31,c347,,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzRiLzcwL2MwL2M1ZDQtNDUwNi1iZDM5LThmMzAxZDU4YzJiZg.pdf,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2QxL2ZiL2UzL2M1MTYtNDVjMS1iMDRlLWYwZDZkNzViNGU5Yw.xml,true,Randers C,8900.0,"4, 2., Box 4002",Thors Bakke,8900 Randers C,"c/o BDO, Thors Bakke 4, 2.",DK-8900 Randers C,"Thors Bakke 4, 2., Box 4002",Til kapitalejeren i Ejendomsselskabet Hedeager 40 Ãrhus ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",266373.0,2017-05-22,2011-02-25,2017-05-23,-420079.0,420079.0,Statsautoriseret revisor,1491721.0,20222670.0,33506147.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Ejendomsselskabet Hedeager 40 Ãrhus ApS.,Ãrsrapport,518454.0,7120572.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren Rasborg,Kasper Kragelund,Kasper Holch Kragelund,Ejendomsselskabet Hedeager 40 Ãrhus ApS,BDO Statsautoriseret revisionsaktieselskab,-470969.0,518454.0,0.0,Randers,2015-01-01,2015-12-31,852754.0,1119127.0,1071642.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2016-12-31,2016-01-01,true,2017-05-22,Randers,-266373.0,urn:ofk:oid:23938701,indberetninger-20180424,2.5124266,33506147.0,,2018-03-28T07:40:29.922Z,2017-05-24T13:01:00.753Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-01-ZM,2017-05-24T13:01:01.003Z,,,,,,,,,,,,,,,,,,,,,,,,,,
33506147,2015-01-01,2015-12-31,c368,,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzRiLzcwL2MwL2M1ZDQtNDUwNi1iZDM5LThmMzAxZDU4YzJiZg.pdf,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2QxL2ZiL2UzL2M1MTYtNDVjMS1iMDRlLWYwZDZkNzViNGU5Yw.xml,true,Randers C,8900.0,"4, 2., Box 4002",Thors Bakke,8900 Randers C,"c/o BDO, Thors Bakke 4, 2.",DK-8900 Randers C,"Thors Bakke 4, 2., Box 4002",Til kapitalejeren i Ejendomsselskabet Hedeager 40 Ãrhus ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-05-22,2011-02-25,2017-05-23,,420079.0,Statsautoriseret revisor,,20222670.0,33506147.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Ejendomsselskabet Hedeager 40 Ãrhus ApS.,Ãrsrapport,,7120572.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren Rasborg,Kasper Kragelund,Kasper Holch Kragelund,Ejendomsselskabet Hedeager 40 Ãrhus ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Randers,2015-01-01,2015-12-31,852754.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2016-12-31,2016-01-01,true,2017-05-22,Randers,,urn:ofk:oid:23938701,indberetninger-20180424,2.5124266,33506147.0,,2018-03-28T07:40:29.922Z,2017-05-24T13:01:00.753Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-01-ZM,2017-05-24T13:01:01.003Z,,,,,,,,,,,,,,,,,,,,,,,,,,
33506147,2015-12-31,2015-12-31,c398,,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzRiLzcwL2MwL2M1ZDQtNDUwNi1iZDM5LThmMzAxZDU4YzJiZg.pdf,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2QxL2ZiL2UzL2M1MTYtNDVjMS1iMDRlLWYwZDZkNzViNGU5Yw.xml,true,Randers C,8900.0,"4, 2., Box 4002",Thors Bakke,8900 Randers C,"c/o BDO, Thors Bakke 4, 2.",DK-8900 Randers C,"Thors Bakke 4, 2., Box 4002",Til kapitalejeren i Ejendomsselskabet Hedeager 40 Ãrhus ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-05-22,2011-02-25,2017-05-23,,420079.0,Statsautoriseret revisor,,20222670.0,33506147.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Ejendomsselskabet Hedeager 40 Ãrhus ApS.,Ãrsrapport,,7120572.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren Rasborg,Kasper Kragelund,Kasper Holch Kragelund,Ejendomsselskabet Hedeager 40 Ãrhus ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Randers,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2016-12-31,2016-01-01,true,2017-05-22,Randers,,urn:ofk:oid:23938701,indberetninger-20180424,2.5124266,33506147.0,,2018-03-28T07:40:29.922Z,2017-05-24T13:01:00.753Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-01-ZM,2017-05-24T13:01:01.003Z,24479169.0,192528.0,80000.0,10418125.0,10469715.0,24479169.0,14019686.0,12235546.0,12235546.0,10469715.0,1.0,606918.0,550397.0,10469715.0,41358.0,41358.0,10338125.0,1784140.0,910849.0,13816926.0,13266529.0,266373.0,,,,
33506147,2016-01-01,2016-01-01,c401,,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzRiLzcwL2MwL2M1ZDQtNDUwNi1iZDM5LThmMzAxZDU4YzJiZg.pdf,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2QxL2ZiL2UzL2M1MTYtNDVjMS1iMDRlLWYwZDZkNzViNGU5Yw.xml,true,Randers C,8900.0,"4, 2., Box 4002",Thors Bakke,8900 Randers C,"c/o BDO, Thors Bakke 4, 2.",DK-8900 Randers C,"Thors Bakke 4, 2., Box 4002",Til kapitalejeren i Ejendomsselskabet Hedeager 40 Ãrhus ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-05-22,2011-02-25,2017-05-23,,420079.0,Statsautoriseret revisor,,20222670.0,33506147.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Ejendomsselskabet Hedeager 40 Ãrhus ApS.,Ãrsrapport,,7120572.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren Rasborg,Kasper Kragelund,Kasper Holch Kragelund,Ejendomsselskabet Hedeager 40 Ãrhus ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Randers,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2016-12-31,2016-01-01,true,2017-05-22,Randers,,urn:ofk:oid:23938701,indberetninger-20180424,2.5124266,33506147.0,,2018-03-28T07:40:29.922Z,2017-05-24T13:01:00.753Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-01-ZM,2017-05-24T13:01:01.003Z,,,,80000.0,,,,,,,,,,,,,,,,,,,,,,
33506147,2016-01-01,2016-01-01,c428,,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzRiLzcwL2MwL2M1ZDQtNDUwNi1iZDM5LThmMzAxZDU4YzJiZg.pdf,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2QxL2ZiL2UzL2M1MTYtNDVjMS1iMDRlLWYwZDZkNzViNGU5Yw.xml,true,Randers C,8900.0,"4, 2., Box 4002",Thors Bakke,8900 Randers C,"c/o BDO, Thors Bakke 4, 2.",DK-8900 Randers C,"Thors Bakke 4, 2., Box 4002",Til kapitalejeren i Ejendomsselskabet Hedeager 40 Ãrhus ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-05-22,2011-02-25,2017-05-23,,420079.0,Statsautoriseret revisor,,20222670.0,33506147.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Ejendomsselskabet Hedeager 40 Ãrhus ApS.,Ãrsrapport,,7120572.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren Rasborg,Kasper Kragelund,Kasper Holch Kragelund,Ejendomsselskabet Hedeager 40 Ãrhus ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Randers,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2016-12-31,2016-01-01,true,2017-05-22,Randers,,urn:ofk:oid:23938701,indberetninger-20180424,2.5124266,33506147.0,,2018-03-28T07:40:29.922Z,2017-05-24T13:01:00.753Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-01-ZM,2017-05-24T13:01:01.003Z,,,,10338124.0,,,,,,,,,,,,,,,,,,,,,,
33506147,2016-01-01,2016-01-01,c616,,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzRiLzcwL2MwL2M1ZDQtNDUwNi1iZDM5LThmMzAxZDU4YzJiZg.pdf,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2QxL2ZiL2UzL2M1MTYtNDVjMS1iMDRlLWYwZDZkNzViNGU5Yw.xml,true,Randers C,8900.0,"4, 2., Box 4002",Thors Bakke,8900 Randers C,"c/o BDO, Thors Bakke 4, 2.",DK-8900 Randers C,"Thors Bakke 4, 2., Box 4002",Til kapitalejeren i Ejendomsselskabet Hedeager 40 Ãrhus ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-05-22,2011-02-25,2017-05-23,,420079.0,Statsautoriseret revisor,,20222670.0,33506147.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Ejendomsselskabet Hedeager 40 Ãrhus ApS.,Ãrsrapport,,7120572.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren Rasborg,Kasper Kragelund,Kasper Holch Kragelund,Ejendomsselskabet Hedeager 40 Ãrhus ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Randers,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2016-12-31,2016-01-01,true,2017-05-22,Randers,,urn:ofk:oid:23938701,indberetninger-20180424,2.5124266,33506147.0,,2018-03-28T07:40:29.922Z,2017-05-24T13:01:00.753Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-01-ZM,2017-05-24T13:01:01.003Z,,,,,,,,,,,,,,,,,,,,,,,1851337.0,12321052.0,,
33506147,2016-01-01,2016-12-31,c0,,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzRiLzcwL2MwL2M1ZDQtNDUwNi1iZDM5LThmMzAxZDU4YzJiZg.pdf,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2QxL2ZiL2UzL2M1MTYtNDVjMS1iMDRlLWYwZDZkNzViNGU5Yw.xml,true,Randers C,8900.0,"4, 2., Box 4002",Thors Bakke,8900 Randers C,"c/o BDO, Thors Bakke 4, 2.",DK-8900 Randers C,"Thors Bakke 4, 2., Box 4002",Til kapitalejeren i Ejendomsselskabet Hedeager 40 Ãrhus ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",251482.0,2017-05-22,2011-02-25,2017-05-23,-420079.0,420079.0,Statsautoriseret revisor,1511104.0,20222670.0,33506147.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Ejendomsselskabet Hedeager 40 Ãrhus ApS.,Ãrsrapport,529329.0,7120572.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren Rasborg,Kasper Kragelund,Kasper Holch Kragelund,Ejendomsselskabet Hedeager 40 Ãrhus ApS,BDO Statsautoriseret revisionsaktieselskab,-477192.0,529557.0,228.0,Randers,2015-01-01,2015-12-31,891908.0,1143390.0,1091025.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2016-12-31,2016-01-01,true,2017-05-22,Randers,-251482.0,urn:ofk:oid:23938701,indberetninger-20180424,2.5124266,33506147.0,,2018-03-28T07:40:29.922Z,2017-05-24T13:01:00.753Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-01-ZM,2017-05-24T13:01:01.003Z,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning
33506147,2016-01-01,2016-12-31,c2,,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzRiLzcwL2MwL2M1ZDQtNDUwNi1iZDM5LThmMzAxZDU4YzJiZg.pdf,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2QxL2ZiL2UzL2M1MTYtNDVjMS1iMDRlLWYwZDZkNzViNGU5Yw.xml,true,Randers C,8900.0,"4, 2., Box 4002",Thors Bakke,8900 Randers C,"c/o BDO, Thors Bakke 4, 2.",DK-8900 Randers C,"Thors Bakke 4, 2., Box 4002",Til kapitalejeren i Ejendomsselskabet Hedeager 40 Ãrhus ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-05-22,2011-02-25,2017-05-23,,420079.0,Statsautoriseret revisor,,20222670.0,33506147.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Ejendomsselskabet Hedeager 40 Ãrhus ApS.,Ãrsrapport,,7120572.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren Rasborg,Kasper Kragelund,Kasper Holch Kragelund,Ejendomsselskabet Hedeager 40 Ãrhus ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Randers,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2016-12-31,2016-01-01,true,2017-05-22,Randers,,urn:ofk:oid:23938701,indberetninger-20180424,2.5124266,33506147.0,,2018-03-28T07:40:29.922Z,2017-05-24T13:01:00.753Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-01-ZM,2017-05-24T13:01:01.003Z,,,,,,,,,,,,,,,,,,,,,,,,,,
33506147,2016-01-01,2016-12-31,c367,,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzRiLzcwL2MwL2M1ZDQtNDUwNi1iZDM5LThmMzAxZDU4YzJiZg.pdf,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2QxL2ZiL2UzL2M1MTYtNDVjMS1iMDRlLWYwZDZkNzViNGU5Yw.xml,true,Randers C,8900.0,"4, 2., Box 4002",Thors Bakke,8900 Randers C,"c/o BDO, Thors Bakke 4, 2.",DK-8900 Randers C,"Thors Bakke 4, 2., Box 4002",Til kapitalejeren i Ejendomsselskabet Hedeager 40 Ãrhus ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-05-22,2011-02-25,2017-05-23,,420079.0,Statsautoriseret revisor,,20222670.0,33506147.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Ejendomsselskabet Hedeager 40 Ãrhus ApS.,Ãrsrapport,,7120572.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren Rasborg,Kasper Kragelund,Kasper Holch Kragelund,Ejendomsselskabet Hedeager 40 Ãrhus ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Randers,2015-01-01,2015-12-31,891908.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2016-12-31,2016-01-01,true,2017-05-22,Randers,,urn:ofk:oid:23938701,indberetninger-20180424,2.5124266,33506147.0,,2018-03-28T07:40:29.922Z,2017-05-24T13:01:00.753Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-01-ZM,2017-05-24T13:01:01.003Z,,,,,,,,,,,,,,,,,,,,,,,,,,
33506147,2016-01-01,2016-12-31,c42,,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzRiLzcwL2MwL2M1ZDQtNDUwNi1iZDM5LThmMzAxZDU4YzJiZg.pdf,http://regnskaber.virk.dk/74160533/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2QxL2ZiL2UzL2M1MTYtNDVjMS1iMDRlLWYwZDZkNzViNGU5Yw.xml,true,Randers C,8900.0,"4, 2., Box 4002",Thors Bakke,8900 Randers C,"c/o BDO, Thors Bakke 4, 2.",DK-8900 Randers C,"Thors Bakke 4, 2., Box 4002",Til kapitalejeren i Ejendomsselskabet Hedeager 40 Ãrhus ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-05-22,2011-02-25,2017-05-23,,420079.0,Statsautoriseret revisor,,20222670.0,33506147.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Ejendomsselskabet Hedeager 40 Ãrhus ApS.,Ãrsrapport,,7120572.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren Rasborg,Kasper Kragelund,Kasper Holch Kragelund,Ejendomsselskabet Hedeager 40 Ãrhus ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Randers,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2016-12-31,2016-01-01,true,2017-05-22,Randers,,urn:ofk:oid:23938701,indberetninger-20180424,2.5124266,33506147.0,,2018-03-28T07:40:29.922Z,2017-05-24T13:01:00.753Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-01-ZM,2017-05-24T13:01:01.003Z,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
