entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables
33157983,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzIzLzNjLzNmLzE0YjYtNDMyMS04YzA2LTUwOTk2MGZkYzYwMA.xhtml,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzM4Lzk5L2NmLzhhLzY5ZTItNDgxZC04MTI5LThmYjM2MWY1ZjdlZQ.pdf,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzczLzc2L2E3LzhmZTAtNDkxNi1iODg1LTBkNzgwYTBkOWY4YQ.xml,true,KÃ¸benhavn Ã,2100.0,17.0,Middelfartgade,2610 RÃ¸dovre,EgegÃ¥rdsvej 39C,Regnskabsklasse B,2018-05-04,2018-06-17,54278.0,884.0,104794.0,33157983.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Bastian MÃ¸ller,Bastian Jon Khamseh MÃ¸ller,FIXIE FACTORY ApS,JÃ¸rgen joost,68390.0,KÃ¸benavn,2016-01-01,2016-12-31,-18758.0,-18758.0,49632.0,2017-12-31,2017-01-01,true,false,0.0,false,false,Ingen bistand,urn:ofk:oid:25843973,indberetninger-20180424,2.5955422,33157983,AWQMlRB60wkEsASkt0Ki,2018-06-17T07:11:26.516Z,2018-06-17T07:10:51.298Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-68-CD,2018-06-17T07:10:51.451Z,,,,,,,,,,,,,,,,,,
33157983,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzIzLzNjLzNmLzE0YjYtNDMyMS04YzA2LTUwOTk2MGZkYzYwMA.xhtml,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzM4Lzk5L2NmLzhhLzY5ZTItNDgxZC04MTI5LThmYjM2MWY1ZjdlZQ.pdf,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzczLzc2L2E3LzhmZTAtNDkxNi1iODg1LTBkNzgwYTBkOWY4YQ.xml,true,KÃ¸benhavn Ã,2100.0,17.0,Middelfartgade,2610 RÃ¸dovre,EgegÃ¥rdsvej 39C,Regnskabsklasse B,2018-05-04,2018-06-17,,,,33157983.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Bastian MÃ¸ller,Bastian Jon Khamseh MÃ¸ller,FIXIE FACTORY ApS,JÃ¸rgen joost,,KÃ¸benavn,2016-01-01,2016-12-31,-18758.0,,,2017-12-31,2017-01-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:25843973,indberetninger-20180424,2.5955422,33157983,AWQMlRB60wkEsASkt0Ki,2018-06-17T07:11:26.516Z,2018-06-17T07:10:51.298Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-68-CD,2018-06-17T07:10:51.451Z,,,,,,,,,,,,,,,,,,
33157983,2016-12-31,2016-12-31,c6,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzIzLzNjLzNmLzE0YjYtNDMyMS04YzA2LTUwOTk2MGZkYzYwMA.xhtml,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzM4Lzk5L2NmLzhhLzY5ZTItNDgxZC04MTI5LThmYjM2MWY1ZjdlZQ.pdf,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzczLzc2L2E3LzhmZTAtNDkxNi1iODg1LTBkNzgwYTBkOWY4YQ.xml,true,KÃ¸benhavn Ã,2100.0,17.0,Middelfartgade,2610 RÃ¸dovre,EgegÃ¥rdsvej 39C,Regnskabsklasse B,2018-05-04,2018-06-17,,,,33157983.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Bastian MÃ¸ller,Bastian Jon Khamseh MÃ¸ller,FIXIE FACTORY ApS,JÃ¸rgen joost,,KÃ¸benavn,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:25843973,indberetninger-20180424,2.5955422,33157983,AWQMlRB60wkEsASkt0Ki,2018-06-17T07:11:26.516Z,2018-06-17T07:10:51.298Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-68-CD,2018-06-17T07:10:51.451Z,145255.0,6970.0,80000.0,37764.0,-839163.0,107491.0,145255.0,984418.0,107491.0,50000.0,6673.0,107491.0,-919163.0,765050.0,984418.0,30794.0,169368.0,24121.0
33157983,2017-01-01,2017-01-01,c10,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzIzLzNjLzNmLzE0YjYtNDMyMS04YzA2LTUwOTk2MGZkYzYwMA.xhtml,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzM4Lzk5L2NmLzhhLzY5ZTItNDgxZC04MTI5LThmYjM2MWY1ZjdlZQ.pdf,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzczLzc2L2E3LzhmZTAtNDkxNi1iODg1LTBkNzgwYTBkOWY4YQ.xml,true,KÃ¸benhavn Ã,2100.0,17.0,Middelfartgade,2610 RÃ¸dovre,EgegÃ¥rdsvej 39C,Regnskabsklasse B,2018-05-04,2018-06-17,,,,33157983.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Bastian MÃ¸ller,Bastian Jon Khamseh MÃ¸ller,FIXIE FACTORY ApS,JÃ¸rgen joost,,KÃ¸benavn,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:25843973,indberetninger-20180424,2.5955422,33157983,AWQMlRB60wkEsASkt0Ki,2018-06-17T07:11:26.516Z,2018-06-17T07:10:51.298Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-68-CD,2018-06-17T07:10:51.451Z,,,,,-839163.0,,,,,,,,,,,,,
33157983,2017-01-01,2017-01-01,c7,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzIzLzNjLzNmLzE0YjYtNDMyMS04YzA2LTUwOTk2MGZkYzYwMA.xhtml,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzM4Lzk5L2NmLzhhLzY5ZTItNDgxZC04MTI5LThmYjM2MWY1ZjdlZQ.pdf,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzczLzc2L2E3LzhmZTAtNDkxNi1iODg1LTBkNzgwYTBkOWY4YQ.xml,true,KÃ¸benhavn Ã,2100.0,17.0,Middelfartgade,2610 RÃ¸dovre,EgegÃ¥rdsvej 39C,Regnskabsklasse B,2018-05-04,2018-06-17,,,,33157983.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Bastian MÃ¸ller,Bastian Jon Khamseh MÃ¸ller,FIXIE FACTORY ApS,JÃ¸rgen joost,,KÃ¸benavn,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:25843973,indberetninger-20180424,2.5955422,33157983,AWQMlRB60wkEsASkt0Ki,2018-06-17T07:11:26.516Z,2018-06-17T07:10:51.298Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-68-CD,2018-06-17T07:10:51.451Z,,,,,80000.0,,,,,,,,,,,,,
33157983,2017-01-01,2017-01-01,c8,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzIzLzNjLzNmLzE0YjYtNDMyMS04YzA2LTUwOTk2MGZkYzYwMA.xhtml,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzM4Lzk5L2NmLzhhLzY5ZTItNDgxZC04MTI5LThmYjM2MWY1ZjdlZQ.pdf,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzczLzc2L2E3LzhmZTAtNDkxNi1iODg1LTBkNzgwYTBkOWY4YQ.xml,true,KÃ¸benhavn Ã,2100.0,17.0,Middelfartgade,2610 RÃ¸dovre,EgegÃ¥rdsvej 39C,Regnskabsklasse B,2018-05-04,2018-06-17,,,,33157983.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Bastian MÃ¸ller,Bastian Jon Khamseh MÃ¸ller,FIXIE FACTORY ApS,JÃ¸rgen joost,,KÃ¸benavn,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:25843973,indberetninger-20180424,2.5955422,33157983,AWQMlRB60wkEsASkt0Ki,2018-06-17T07:11:26.516Z,2018-06-17T07:10:51.298Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-68-CD,2018-06-17T07:10:51.451Z,,,,,-919163.0,,,,,,,,,,,,,
33157983,2017-01-01,2017-01-01,c9,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzIzLzNjLzNmLzE0YjYtNDMyMS04YzA2LTUwOTk2MGZkYzYwMA.xhtml,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzM4Lzk5L2NmLzhhLzY5ZTItNDgxZC04MTI5LThmYjM2MWY1ZjdlZQ.pdf,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzczLzc2L2E3LzhmZTAtNDkxNi1iODg1LTBkNzgwYTBkOWY4YQ.xml,true,KÃ¸benhavn Ã,2100.0,17.0,Middelfartgade,2610 RÃ¸dovre,EgegÃ¥rdsvej 39C,Regnskabsklasse B,2018-05-04,2018-06-17,,,,33157983.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Bastian MÃ¸ller,Bastian Jon Khamseh MÃ¸ller,FIXIE FACTORY ApS,JÃ¸rgen joost,,KÃ¸benavn,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:25843973,indberetninger-20180424,2.5955422,33157983,AWQMlRB60wkEsASkt0Ki,2018-06-17T07:11:26.516Z,2018-06-17T07:10:51.298Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-68-CD,2018-06-17T07:10:51.451Z,,,,,0.0,,,,,,,,,,,,,
33157983,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzIzLzNjLzNmLzE0YjYtNDMyMS04YzA2LTUwOTk2MGZkYzYwMA.xhtml,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzM4Lzk5L2NmLzhhLzY5ZTItNDgxZC04MTI5LThmYjM2MWY1ZjdlZQ.pdf,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzczLzc2L2E3LzhmZTAtNDkxNi1iODg1LTBkNzgwYTBkOWY4YQ.xml,true,KÃ¸benhavn Ã,2100.0,17.0,Middelfartgade,2610 RÃ¸dovre,EgegÃ¥rdsvej 39C,Regnskabsklasse B,2018-05-04,2018-06-17,54278.0,0.0,183345.0,33157983.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Bastian MÃ¸ller,Bastian Jon Khamseh MÃ¸ller,FIXIE FACTORY ApS,JÃ¸rgen joost,39879.0,KÃ¸benavn,2016-01-01,2016-12-31,100994.0,89188.0,129067.0,2017-12-31,2017-01-01,true,false,-11806.0,false,false,Ingen bistand,urn:ofk:oid:25843973,indberetninger-20180424,2.5955422,33157983,AWQMlRB60wkEsASkt0Ki,2018-06-17T07:11:26.516Z,2018-06-17T07:10:51.298Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-68-CD,2018-06-17T07:10:51.451Z,,,,,,,,,,,,,,,,,,
33157983,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzIzLzNjLzNmLzE0YjYtNDMyMS04YzA2LTUwOTk2MGZkYzYwMA.xhtml,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzM4Lzk5L2NmLzhhLzY5ZTItNDgxZC04MTI5LThmYjM2MWY1ZjdlZQ.pdf,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzczLzc2L2E3LzhmZTAtNDkxNi1iODg1LTBkNzgwYTBkOWY4YQ.xml,true,KÃ¸benhavn Ã,2100.0,17.0,Middelfartgade,2610 RÃ¸dovre,EgegÃ¥rdsvej 39C,Regnskabsklasse B,2018-05-04,2018-06-17,,,,33157983.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Bastian MÃ¸ller,Bastian Jon Khamseh MÃ¸ller,FIXIE FACTORY ApS,JÃ¸rgen joost,,KÃ¸benavn,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:25843973,indberetninger-20180424,2.5955422,33157983,AWQMlRB60wkEsASkt0Ki,2018-06-17T07:11:26.516Z,2018-06-17T07:10:51.298Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-68-CD,2018-06-17T07:10:51.451Z,,,,,,,,,,,,,,,,,,
33157983,2017-01-01,2017-12-31,c11,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzQ2LzIzLzNjLzNmLzE0YjYtNDMyMS04YzA2LTUwOTk2MGZkYzYwMA.xhtml,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzLzM4Lzk5L2NmLzhhLzY5ZTItNDgxZC04MTI5LThmYjM2MWY1ZjdlZQ.pdf,http://regnskaber.virk.dk/38975133/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzczLzc2L2E3LzhmZTAtNDkxNi1iODg1LTBkNzgwYTBkOWY4YQ.xml,true,KÃ¸benhavn Ã,2100.0,17.0,Middelfartgade,2610 RÃ¸dovre,EgegÃ¥rdsvej 39C,Regnskabsklasse B,2018-05-04,2018-06-17,,,,33157983.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Bastian MÃ¸ller,Bastian Jon Khamseh MÃ¸ller,FIXIE FACTORY ApS,JÃ¸rgen joost,,KÃ¸benavn,2016-01-01,2016-12-31,100994.0,,,2017-12-31,2017-01-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:25843973,indberetninger-20180424,2.5955422,33157983,AWQMlRB60wkEsASkt0Ki,2018-06-17T07:11:26.516Z,2018-06-17T07:10:51.298Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-68-CD,2018-06-17T07:10:51.451Z,,,,,,,,,,,,,,,,,,
