entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherPayables,OtherShorttermReceivables,PayablesToGroupEnterprises,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradeReceivables,TaxPayables,TradePayables,NameOfAuditFirm
36917091,2017-01-01,2017-12-31,ctx11,,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzAyLzAyLzIwLzcwL2ViNGYtNGViYi1hYTMzLTYyYzJlYzdiYzIxNA.pdf,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzkxL2ZhLzM1LzViMjctNDFjNC05MWJiLWY4ZGZjY2MwYzE2YQ.xml,2100 KÃ¸benhavn Ã,RosenvÃ¦ngets AllÃ© 19,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2019-05-28,2019-05-28,-121188.0,statsautoriseret revisor,-2279788.0,2754411.0,34213798.0,36917091.0,33883889.0,mne10047,Ãrsrapport,Daniel Lipski,Daniel Lipski,Yogaudstyr ApS,XBRL Takeoff ApS,-54742.0,11912.0,2017-01-01,2017-12-31,241970.0,310605.0,353435.0,Hjemstedskommune: KÃ¸benhavn,2018-12-31,2018-01-01,2019-05-28,KÃ¸benhavn,-68635.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27417390,indberetninger-20180424,2.5118406,36917091.0,AWsoBUanRYGX6_YTIdkE,2019-06-05T14:22:55.538Z,2019-06-05T14:22:42.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-TA,2019-06-05T14:22:42.461Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36917091,2017-01-01,2017-12-31,ctx13,,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzAyLzAyLzIwLzcwL2ViNGYtNGViYi1hYTMzLTYyYzJlYzdiYzIxNA.pdf,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzkxL2ZhLzM1LzViMjctNDFjNC05MWJiLWY4ZGZjY2MwYzE2YQ.xml,2100 KÃ¸benhavn Ã,RosenvÃ¦ngets AllÃ© 19,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2019-05-28,2019-05-28,,statsautoriseret revisor,,,34213798.0,36917091.0,33883889.0,mne10047,Ãrsrapport,Daniel Lipski,Daniel Lipski,Yogaudstyr ApS,XBRL Takeoff ApS,,,2017-01-01,2017-12-31,189070.0,,,Hjemstedskommune: KÃ¸benhavn,2018-12-31,2018-01-01,2019-05-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27417390,indberetninger-20180424,2.5118406,36917091.0,AWsoBUanRYGX6_YTIdkE,2019-06-05T14:22:55.538Z,2019-06-05T14:22:42.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-TA,2019-06-05T14:22:42.461Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36917091,2017-12-31,2017-12-31,ctx15,,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzAyLzAyLzIwLzcwL2ViNGYtNGViYi1hYTMzLTYyYzJlYzdiYzIxNA.pdf,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzkxL2ZhLzM1LzViMjctNDFjNC05MWJiLWY4ZGZjY2MwYzE2YQ.xml,2100 KÃ¸benhavn Ã,RosenvÃ¦ngets AllÃ© 19,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2019-05-28,2019-05-28,,statsautoriseret revisor,,,34213798.0,36917091.0,33883889.0,mne10047,Ãrsrapport,Daniel Lipski,Daniel Lipski,Yogaudstyr ApS,XBRL Takeoff ApS,,,2017-01-01,2017-12-31,,,,Hjemstedskommune: KÃ¸benhavn,2018-12-31,2018-01-01,2019-05-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27417390,indberetninger-20180424,2.5118406,36917091.0,AWsoBUanRYGX6_YTIdkE,2019-06-05T14:22:55.538Z,2019-06-05T14:22:42.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-TA,2019-06-05T14:22:42.461Z,5957048.0,3999068.0,50000.0,5509493.0,6659.0,4267506.0,37200.0,410355.0,410355.0,941019.0,5957048.0,1573635.0,941019.0,447555.0,1053502.0,45003.0,9375.0,37200.0,52900.0,115907.0,115907.0,4164606.0,1573635.0,569406.0,315119.0,202625.0,93588.0,417170.0,
36917091,2018-01-01,2018-12-31,ctx1,,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzAyLzAyLzIwLzcwL2ViNGYtNGViYi1hYTMzLTYyYzJlYzdiYzIxNA.pdf,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzkxL2ZhLzM1LzViMjctNDFjNC05MWJiLWY4ZGZjY2MwYzE2YQ.xml,2100 KÃ¸benhavn Ã,RosenvÃ¦ngets AllÃ© 19,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2019-05-28,2019-05-28,-121188.0,statsautoriseret revisor,-1930742.0,2660675.0,34213798.0,36917091.0,33883889.0,mne10047,Ãrsrapport,Daniel Lipski,Daniel Lipski,Yogaudstyr ApS,XBRL Takeoff ApS,-15732.0,46398.0,2017-01-01,2017-12-31,498471.0,639411.0,608745.0,Hjemstedskommune: KÃ¸benhavn,2018-12-31,2018-01-01,2019-05-28,KÃ¸benhavn,-140940.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27417390,indberetninger-20180424,2.5118406,36917091.0,AWsoBUanRYGX6_YTIdkE,2019-06-05T14:22:55.538Z,2019-06-05T14:22:42.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-TA,2019-06-05T14:22:42.461Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36917091,2018-01-01,2018-12-31,ctx10,,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzAyLzAyLzIwLzcwL2ViNGYtNGViYi1hYTMzLTYyYzJlYzdiYzIxNA.pdf,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzkxL2ZhLzM1LzViMjctNDFjNC05MWJiLWY4ZGZjY2MwYzE2YQ.xml,2100 KÃ¸benhavn Ã,RosenvÃ¦ngets AllÃ© 19,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2019-05-28,2019-05-28,,statsautoriseret revisor,,,34213798.0,36917091.0,33883889.0,mne10047,Ãrsrapport,Daniel Lipski,Daniel Lipski,Yogaudstyr ApS,XBRL Takeoff ApS,,,2017-01-01,2017-12-31,,,,Hjemstedskommune: KÃ¸benhavn,2018-12-31,2018-01-01,2019-05-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27417390,indberetninger-20180424,2.5118406,36917091.0,AWsoBUanRYGX6_YTIdkE,2019-06-05T14:22:55.538Z,2019-06-05T14:22:42.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-TA,2019-06-05T14:22:42.461Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36917091,2018-01-01,2018-12-31,ctx12,,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzAyLzAyLzIwLzcwL2ViNGYtNGViYi1hYTMzLTYyYzJlYzdiYzIxNA.pdf,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzkxL2ZhLzM1LzViMjctNDFjNC05MWJiLWY4ZGZjY2MwYzE2YQ.xml,2100 KÃ¸benhavn Ã,RosenvÃ¦ngets AllÃ© 19,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2019-05-28,2019-05-28,,statsautoriseret revisor,,,34213798.0,36917091.0,33883889.0,mne10047,Ãrsrapport,Daniel Lipski,Daniel Lipski,Yogaudstyr ApS,XBRL Takeoff ApS,,,2017-01-01,2017-12-31,-701529.0,,,Hjemstedskommune: KÃ¸benhavn,2018-12-31,2018-01-01,2019-05-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27417390,indberetninger-20180424,2.5118406,36917091.0,AWsoBUanRYGX6_YTIdkE,2019-06-05T14:22:55.538Z,2019-06-05T14:22:42.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-TA,2019-06-05T14:22:42.461Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36917091,2018-01-01,2018-12-31,ctx2,,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzAyLzAyLzIwLzcwL2ViNGYtNGViYi1hYTMzLTYyYzJlYzdiYzIxNA.pdf,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzkxL2ZhLzM1LzViMjctNDFjNC05MWJiLWY4ZGZjY2MwYzE2YQ.xml,2100 KÃ¸benhavn Ã,RosenvÃ¦ngets AllÃ© 19,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2019-05-28,2019-05-28,,statsautoriseret revisor,,,34213798.0,36917091.0,33883889.0,mne10047,Ãrsrapport,Daniel Lipski,Daniel Lipski,Yogaudstyr ApS,XBRL Takeoff ApS,,,2017-01-01,2017-12-31,,,,Hjemstedskommune: KÃ¸benhavn,2018-12-31,2018-01-01,2019-05-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27417390,indberetninger-20180424,2.5118406,36917091.0,AWsoBUanRYGX6_YTIdkE,2019-06-05T14:22:55.538Z,2019-06-05T14:22:42.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-TA,2019-06-05T14:22:42.461Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36917091,2018-01-01,2018-12-31,ctx3,,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzAyLzAyLzIwLzcwL2ViNGYtNGViYi1hYTMzLTYyYzJlYzdiYzIxNA.pdf,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzkxL2ZhLzM1LzViMjctNDFjNC05MWJiLWY4ZGZjY2MwYzE2YQ.xml,2100 KÃ¸benhavn Ã,RosenvÃ¦ngets AllÃ© 19,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2019-05-28,2019-05-28,,statsautoriseret revisor,,,34213798.0,36917091.0,33883889.0,mne10047,Ãrsrapport,Daniel Lipski,Daniel Lipski,Yogaudstyr ApS,XBRL Takeoff ApS,,,2017-01-01,2017-12-31,,,,Hjemstedskommune: KÃ¸benhavn,2018-12-31,2018-01-01,2019-05-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27417390,indberetninger-20180424,2.5118406,36917091.0,AWsoBUanRYGX6_YTIdkE,2019-06-05T14:22:55.538Z,2019-06-05T14:22:42.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-TA,2019-06-05T14:22:42.461Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36917091,2018-01-01,2018-12-31,ctx5,,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzAyLzAyLzIwLzcwL2ViNGYtNGViYi1hYTMzLTYyYzJlYzdiYzIxNA.pdf,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzkxL2ZhLzM1LzViMjctNDFjNC05MWJiLWY4ZGZjY2MwYzE2YQ.xml,2100 KÃ¸benhavn Ã,RosenvÃ¦ngets AllÃ© 19,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2019-05-28,2019-05-28,,statsautoriseret revisor,,,34213798.0,36917091.0,33883889.0,mne10047,Ãrsrapport,Daniel Lipski,Daniel Lipski,Yogaudstyr ApS,XBRL Takeoff ApS,,,2017-01-01,2017-12-31,,,,Hjemstedskommune: KÃ¸benhavn,2018-12-31,2018-01-01,2019-05-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27417390,indberetninger-20180424,2.5118406,36917091.0,AWsoBUanRYGX6_YTIdkE,2019-06-05T14:22:55.538Z,2019-06-05T14:22:42.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-TA,2019-06-05T14:22:42.461Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisor Revision
36917091,2018-01-01,2018-12-31,ctx6,,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzAyLzAyLzIwLzcwL2ViNGYtNGViYi1hYTMzLTYyYzJlYzdiYzIxNA.pdf,http://regnskaber.virk.dk/19071963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzkxL2ZhLzM1LzViMjctNDFjNC05MWJiLWY4ZGZjY2MwYzE2YQ.xml,2100 KÃ¸benhavn Ã,RosenvÃ¦ngets AllÃ© 19,2670 Greve,Ole Larsensvej 1,Regnskabsklasse B,2019-05-28,2019-05-28,,statsautoriseret revisor,,,34213798.0,36917091.0,33883889.0,mne10047,Ãrsrapport,Daniel Lipski,Daniel Lipski,Yogaudstyr ApS,XBRL Takeoff ApS,,,2017-01-01,2017-12-31,,,,Hjemstedskommune: KÃ¸benhavn,2018-12-31,2018-01-01,2019-05-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27417390,indberetninger-20180424,2.5118406,36917091.0,AWsoBUanRYGX6_YTIdkE,2019-06-05T14:22:55.538Z,2019-06-05T14:22:42.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-TA,2019-06-05T14:22:42.461Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisor Revision
