entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfAccountingPolicies,EmailOfReportingEntity,EmployeeBenefitsExpense,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,ImpairmentOfFinancialAssets,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherShorttermPayables,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementByExecutiveAndSupervisoryBoards,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermTaxPayables,NoncurrentAssets,PlantAndMachinery,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradeReceivables
10283442,2016-04-02,2017-04-01,c3,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzQ2LzEwLzYyLzQ1YTgtNDVlZi1iOTA0LTQyYzM3NmY2NDc5ZA.xhtml,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzVkLzkyL2RlLzhlNDItNDU4YS1iOTQxLTBkZDQ3NGVjNDE3Nw.pdf,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2JhL2ZkL2NiL2NmMTgtNGVjZC04YzRkLTc0NjdkZmMxZmY3YQ.xml,true,Danmark,DK,Horsens,8700.0,1.0,Jessensgade,LÃ¸sning,8723.0,1.0,TrÃ¦lasten,8723 LÃ¸sning,TrÃ¦lasten 1,Regnskabsklasse B,2018-09-06,2018-09-06,0.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">PengestrÃ¸mmen er overskuelig.</p>",loesningtraelast@hotmail.com,0.0,0.0,38763.0,10283442.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomhedens resultat er tilfredsstillende. Fremover forventes lavere aktivitet.</p>",Elias Meldgaard,Elias Meldgaard,Elias Meldgaard,Danske Bank,LÃSNING TRÃLASTHANDEL ApS,LÃSNING TRÃLASTHANDEL ApS,0.0,0.0,20994.0,LÃ¸sning,2016-04-02,2017-04-01,38763.0,38763.0,38763.0,2018-04-01,2017-04-02,38763.0,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">virksomhedens resultat er tilfredsstillende. Der forventes mindre aktivitet fremover.</p>",0.0,31790011.0,false,false,direktÃ¸r,direktÃ¸r,Ingen bistand,urn:ofk:oid:26690822,indberetninger-20180424,2.5953817000000003,10283442.0,AWjxA8pxet7j816D4Gl2,2019-02-15T11:56:57.083Z,2019-02-15T11:56:23.135Z,regnskab,0.0,,2018-04-01,2017-04-02,X18-EJ-54-BL,2019-02-15T11:56:23.541Z,,,,,,,,,,,,,,,,,,,,,,,,,
10283442,2016-04-02,2017-04-01,c5,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzQ2LzEwLzYyLzQ1YTgtNDVlZi1iOTA0LTQyYzM3NmY2NDc5ZA.xhtml,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzVkLzkyL2RlLzhlNDItNDU4YS1iOTQxLTBkZDQ3NGVjNDE3Nw.pdf,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2JhL2ZkL2NiL2NmMTgtNGVjZC04YzRkLTc0NjdkZmMxZmY3YQ.xml,true,Danmark,DK,Horsens,8700.0,1.0,Jessensgade,LÃ¸sning,8723.0,1.0,TrÃ¦lasten,8723 LÃ¸sning,TrÃ¦lasten 1,Regnskabsklasse B,2018-09-06,2018-09-06,,"<p xmlns=""http://www.w3.org/1999/xhtml"">PengestrÃ¸mmen er overskuelig.</p>",loesningtraelast@hotmail.com,,,,10283442.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomhedens resultat er tilfredsstillende. Fremover forventes lavere aktivitet.</p>",Elias Meldgaard,Elias Meldgaard,Elias Meldgaard,Danske Bank,LÃSNING TRÃLASTHANDEL ApS,LÃSNING TRÃLASTHANDEL ApS,,,20994.0,LÃ¸sning,2016-04-02,2017-04-01,0.0,,,2018-04-01,2017-04-02,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">virksomhedens resultat er tilfredsstillende. Der forventes mindre aktivitet fremover.</p>",,31790011.0,false,false,direktÃ¸r,direktÃ¸r,Ingen bistand,urn:ofk:oid:26690822,indberetninger-20180424,2.5953817000000003,10283442.0,AWjxA8pxet7j816D4Gl2,2019-02-15T11:56:57.083Z,2019-02-15T11:56:23.135Z,regnskab,0.0,,2018-04-01,2017-04-02,X18-EJ-54-BL,2019-02-15T11:56:23.541Z,,,,,,,,,,,,,,,,,,,,,,,,,
10283442,2016-04-02,2017-04-01,c7,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzQ2LzEwLzYyLzQ1YTgtNDVlZi1iOTA0LTQyYzM3NmY2NDc5ZA.xhtml,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzVkLzkyL2RlLzhlNDItNDU4YS1iOTQxLTBkZDQ3NGVjNDE3Nw.pdf,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2JhL2ZkL2NiL2NmMTgtNGVjZC04YzRkLTc0NjdkZmMxZmY3YQ.xml,true,Danmark,DK,Horsens,8700.0,1.0,Jessensgade,LÃ¸sning,8723.0,1.0,TrÃ¦lasten,8723 LÃ¸sning,TrÃ¦lasten 1,Regnskabsklasse B,2018-09-06,2018-09-06,,"<p xmlns=""http://www.w3.org/1999/xhtml"">PengestrÃ¸mmen er overskuelig.</p>",loesningtraelast@hotmail.com,,,,10283442.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomhedens resultat er tilfredsstillende. Fremover forventes lavere aktivitet.</p>",Elias Meldgaard,Elias Meldgaard,Elias Meldgaard,Danske Bank,LÃSNING TRÃLASTHANDEL ApS,LÃSNING TRÃLASTHANDEL ApS,,,20994.0,LÃ¸sning,2016-04-02,2017-04-01,38763.0,,,2018-04-01,2017-04-02,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">virksomhedens resultat er tilfredsstillende. Der forventes mindre aktivitet fremover.</p>",,31790011.0,false,false,direktÃ¸r,direktÃ¸r,Ingen bistand,urn:ofk:oid:26690822,indberetninger-20180424,2.5953817000000003,10283442.0,AWjxA8pxet7j816D4Gl2,2019-02-15T11:56:57.083Z,2019-02-15T11:56:23.135Z,regnskab,0.0,,2018-04-01,2017-04-02,X18-EJ-54-BL,2019-02-15T11:56:23.541Z,,,,,,,,,,,,,,,,,,,,,,,,,
10283442,2017-04-01,2017-04-01,c9,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzQ2LzEwLzYyLzQ1YTgtNDVlZi1iOTA0LTQyYzM3NmY2NDc5ZA.xhtml,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzVkLzkyL2RlLzhlNDItNDU4YS1iOTQxLTBkZDQ3NGVjNDE3Nw.pdf,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2JhL2ZkL2NiL2NmMTgtNGVjZC04YzRkLTc0NjdkZmMxZmY3YQ.xml,true,Danmark,DK,Horsens,8700.0,1.0,Jessensgade,LÃ¸sning,8723.0,1.0,TrÃ¦lasten,8723 LÃ¸sning,TrÃ¦lasten 1,Regnskabsklasse B,2018-09-06,2018-09-06,,"<p xmlns=""http://www.w3.org/1999/xhtml"">PengestrÃ¸mmen er overskuelig.</p>",loesningtraelast@hotmail.com,,,,10283442.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomhedens resultat er tilfredsstillende. Fremover forventes lavere aktivitet.</p>",Elias Meldgaard,Elias Meldgaard,Elias Meldgaard,Danske Bank,LÃSNING TRÃLASTHANDEL ApS,LÃSNING TRÃLASTHANDEL ApS,,,20994.0,LÃ¸sning,2016-04-02,2017-04-01,,,,2018-04-01,2017-04-02,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">virksomhedens resultat er tilfredsstillende. Der forventes mindre aktivitet fremover.</p>",,31790011.0,false,false,direktÃ¸r,direktÃ¸r,Ingen bistand,urn:ofk:oid:26690822,indberetninger-20180424,2.5953817000000003,10283442.0,AWjxA8pxet7j816D4Gl2,2019-02-15T11:56:57.083Z,2019-02-15T11:56:23.135Z,regnskab,0.0,,2018-04-01,2017-04-02,X18-EJ-54-BL,2019-02-15T11:56:23.541Z,350980.0,251206.0,200000.0,319480.0,249892.0,0.0,0.0,0.0,0.0,0.0,350980.0,101088.0,0.0,0.0,0.0,0.0,31500.0,31500.0,31500.0,0.0,49892.0,101088.0,80094.0,68274.0,68274.0
10283442,2017-04-02,2018-04-01,c0,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzQ2LzEwLzYyLzQ1YTgtNDVlZi1iOTA0LTQyYzM3NmY2NDc5ZA.xhtml,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzVkLzkyL2RlLzhlNDItNDU4YS1iOTQxLTBkZDQ3NGVjNDE3Nw.pdf,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2JhL2ZkL2NiL2NmMTgtNGVjZC04YzRkLTc0NjdkZmMxZmY3YQ.xml,true,Danmark,DK,Horsens,8700.0,1.0,Jessensgade,LÃ¸sning,8723.0,1.0,TrÃ¦lasten,8723 LÃ¸sning,TrÃ¦lasten 1,Regnskabsklasse B,2018-09-06,2018-09-06,0.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">PengestrÃ¸mmen er overskuelig.</p>",loesningtraelast@hotmail.com,0.0,6639.0,26140.0,10283442.0,0.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomhedens resultat er tilfredsstillende. Fremover forventes lavere aktivitet.</p>",Elias Meldgaard,Elias Meldgaard,Elias Meldgaard,Danske Bank,LÃSNING TRÃLASTHANDEL ApS,LÃSNING TRÃLASTHANDEL ApS,0.0,0.0,20994.0,LÃ¸sning,2016-04-02,2017-04-01,26140.0,26140.0,26140.0,2018-04-01,2017-04-02,32779.0,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">virksomhedens resultat er tilfredsstillende. Der forventes mindre aktivitet fremover.</p>",0.0,31790011.0,false,false,direktÃ¸r,direktÃ¸r,Ingen bistand,urn:ofk:oid:26690822,indberetninger-20180424,2.5953817000000003,10283442.0,AWjxA8pxet7j816D4Gl2,2019-02-15T11:56:57.083Z,2019-02-15T11:56:23.135Z,regnskab,0.0,,2018-04-01,2017-04-02,X18-EJ-54-BL,2019-02-15T11:56:23.541Z,,,,,,,,,,,,,,,,,,,,,,,,,
10283442,2017-04-02,2018-04-01,c1,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzQ2LzEwLzYyLzQ1YTgtNDVlZi1iOTA0LTQyYzM3NmY2NDc5ZA.xhtml,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzVkLzkyL2RlLzhlNDItNDU4YS1iOTQxLTBkZDQ3NGVjNDE3Nw.pdf,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2JhL2ZkL2NiL2NmMTgtNGVjZC04YzRkLTc0NjdkZmMxZmY3YQ.xml,true,Danmark,DK,Horsens,8700.0,1.0,Jessensgade,LÃ¸sning,8723.0,1.0,TrÃ¦lasten,8723 LÃ¸sning,TrÃ¦lasten 1,Regnskabsklasse B,2018-09-06,2018-09-06,,"<p xmlns=""http://www.w3.org/1999/xhtml"">PengestrÃ¸mmen er overskuelig.</p>",loesningtraelast@hotmail.com,,,,10283442.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomhedens resultat er tilfredsstillende. Fremover forventes lavere aktivitet.</p>",Elias Meldgaard,Elias Meldgaard,Elias Meldgaard,Danske Bank,LÃSNING TRÃLASTHANDEL ApS,LÃSNING TRÃLASTHANDEL ApS,,,20994.0,LÃ¸sning,2016-04-02,2017-04-01,,,,2018-04-01,2017-04-02,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">virksomhedens resultat er tilfredsstillende. Der forventes mindre aktivitet fremover.</p>",,31790011.0,false,false,direktÃ¸r,direktÃ¸r,Ingen bistand,urn:ofk:oid:26690822,indberetninger-20180424,2.5953817000000003,10283442.0,AWjxA8pxet7j816D4Gl2,2019-02-15T11:56:57.083Z,2019-02-15T11:56:23.135Z,regnskab,0.0,,2018-04-01,2017-04-02,X18-EJ-54-BL,2019-02-15T11:56:23.541Z,,,,,,,,,,,,,,,,,,,,,,,,,
10283442,2017-04-02,2018-04-01,c2,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzQ2LzEwLzYyLzQ1YTgtNDVlZi1iOTA0LTQyYzM3NmY2NDc5ZA.xhtml,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzVkLzkyL2RlLzhlNDItNDU4YS1iOTQxLTBkZDQ3NGVjNDE3Nw.pdf,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2JhL2ZkL2NiL2NmMTgtNGVjZC04YzRkLTc0NjdkZmMxZmY3YQ.xml,true,Danmark,DK,Horsens,8700.0,1.0,Jessensgade,LÃ¸sning,8723.0,1.0,TrÃ¦lasten,8723 LÃ¸sning,TrÃ¦lasten 1,Regnskabsklasse B,2018-09-06,2018-09-06,,"<p xmlns=""http://www.w3.org/1999/xhtml"">PengestrÃ¸mmen er overskuelig.</p>",loesningtraelast@hotmail.com,,,,10283442.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomhedens resultat er tilfredsstillende. Fremover forventes lavere aktivitet.</p>",Elias Meldgaard,Elias Meldgaard,Elias Meldgaard,Danske Bank,LÃSNING TRÃLASTHANDEL ApS,LÃSNING TRÃLASTHANDEL ApS,,,20994.0,LÃ¸sning,2016-04-02,2017-04-01,,,,2018-04-01,2017-04-02,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">virksomhedens resultat er tilfredsstillende. Der forventes mindre aktivitet fremover.</p>",,31790011.0,false,false,direktÃ¸r,direktÃ¸r,Ingen bistand,urn:ofk:oid:26690822,indberetninger-20180424,2.5953817000000003,10283442.0,AWjxA8pxet7j816D4Gl2,2019-02-15T11:56:57.083Z,2019-02-15T11:56:23.135Z,regnskab,0.0,,2018-04-01,2017-04-02,X18-EJ-54-BL,2019-02-15T11:56:23.541Z,,,,,,,,,,,,,,,,,,,,,,,,,
10283442,2017-04-02,2018-04-01,c4,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzQ2LzEwLzYyLzQ1YTgtNDVlZi1iOTA0LTQyYzM3NmY2NDc5ZA.xhtml,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzVkLzkyL2RlLzhlNDItNDU4YS1iOTQxLTBkZDQ3NGVjNDE3Nw.pdf,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2JhL2ZkL2NiL2NmMTgtNGVjZC04YzRkLTc0NjdkZmMxZmY3YQ.xml,true,Danmark,DK,Horsens,8700.0,1.0,Jessensgade,LÃ¸sning,8723.0,1.0,TrÃ¦lasten,8723 LÃ¸sning,TrÃ¦lasten 1,Regnskabsklasse B,2018-09-06,2018-09-06,,"<p xmlns=""http://www.w3.org/1999/xhtml"">PengestrÃ¸mmen er overskuelig.</p>",loesningtraelast@hotmail.com,,,,10283442.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomhedens resultat er tilfredsstillende. Fremover forventes lavere aktivitet.</p>",Elias Meldgaard,Elias Meldgaard,Elias Meldgaard,Danske Bank,LÃSNING TRÃLASTHANDEL ApS,LÃSNING TRÃLASTHANDEL ApS,,,20994.0,LÃ¸sning,2016-04-02,2017-04-01,0.0,,,2018-04-01,2017-04-02,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">virksomhedens resultat er tilfredsstillende. Der forventes mindre aktivitet fremover.</p>",,31790011.0,false,false,direktÃ¸r,direktÃ¸r,Ingen bistand,urn:ofk:oid:26690822,indberetninger-20180424,2.5953817000000003,10283442.0,AWjxA8pxet7j816D4Gl2,2019-02-15T11:56:57.083Z,2019-02-15T11:56:23.135Z,regnskab,0.0,,2018-04-01,2017-04-02,X18-EJ-54-BL,2019-02-15T11:56:23.541Z,,,,,,,,,,,,,,,,,,,,,,,,,
10283442,2017-04-02,2018-04-01,c6,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzQ2LzEwLzYyLzQ1YTgtNDVlZi1iOTA0LTQyYzM3NmY2NDc5ZA.xhtml,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzVkLzkyL2RlLzhlNDItNDU4YS1iOTQxLTBkZDQ3NGVjNDE3Nw.pdf,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2JhL2ZkL2NiL2NmMTgtNGVjZC04YzRkLTc0NjdkZmMxZmY3YQ.xml,true,Danmark,DK,Horsens,8700.0,1.0,Jessensgade,LÃ¸sning,8723.0,1.0,TrÃ¦lasten,8723 LÃ¸sning,TrÃ¦lasten 1,Regnskabsklasse B,2018-09-06,2018-09-06,,"<p xmlns=""http://www.w3.org/1999/xhtml"">PengestrÃ¸mmen er overskuelig.</p>",loesningtraelast@hotmail.com,,,,10283442.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomhedens resultat er tilfredsstillende. Fremover forventes lavere aktivitet.</p>",Elias Meldgaard,Elias Meldgaard,Elias Meldgaard,Danske Bank,LÃSNING TRÃLASTHANDEL ApS,LÃSNING TRÃLASTHANDEL ApS,,,20994.0,LÃ¸sning,2016-04-02,2017-04-01,26140.0,,,2018-04-01,2017-04-02,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">virksomhedens resultat er tilfredsstillende. Der forventes mindre aktivitet fremover.</p>",,31790011.0,false,false,direktÃ¸r,direktÃ¸r,Ingen bistand,urn:ofk:oid:26690822,indberetninger-20180424,2.5953817000000003,10283442.0,AWjxA8pxet7j816D4Gl2,2019-02-15T11:56:57.083Z,2019-02-15T11:56:23.135Z,regnskab,0.0,,2018-04-01,2017-04-02,X18-EJ-54-BL,2019-02-15T11:56:23.541Z,,,,,,,,,,,,,,,,,,,,,,,,,
10283442,2018-04-01,2018-04-01,c8,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzQ2LzEwLzYyLzQ1YTgtNDVlZi1iOTA0LTQyYzM3NmY2NDc5ZA.xhtml,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzVkLzkyL2RlLzhlNDItNDU4YS1iOTQxLTBkZDQ3NGVjNDE3Nw.pdf,http://regnskaber.virk.dk/24438201/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2JhL2ZkL2NiL2NmMTgtNGVjZC04YzRkLTc0NjdkZmMxZmY3YQ.xml,true,Danmark,DK,Horsens,8700.0,1.0,Jessensgade,LÃ¸sning,8723.0,1.0,TrÃ¦lasten,8723 LÃ¸sning,TrÃ¦lasten 1,Regnskabsklasse B,2018-09-06,2018-09-06,,"<p xmlns=""http://www.w3.org/1999/xhtml"">PengestrÃ¸mmen er overskuelig.</p>",loesningtraelast@hotmail.com,,,,10283442.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,"<p xmlns=""http://www.w3.org/1999/xhtml"">Virksomhedens resultat er tilfredsstillende. Fremover forventes lavere aktivitet.</p>",Elias Meldgaard,Elias Meldgaard,Elias Meldgaard,Danske Bank,LÃSNING TRÃLASTHANDEL ApS,LÃSNING TRÃLASTHANDEL ApS,,,20994.0,LÃ¸sning,2016-04-02,2017-04-01,,,,2018-04-01,2017-04-02,,false,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">virksomhedens resultat er tilfredsstillende. Der forventes mindre aktivitet fremover.</p>",,31790011.0,false,false,direktÃ¸r,direktÃ¸r,Ingen bistand,urn:ofk:oid:26690822,indberetninger-20180424,2.5953817000000003,10283442.0,AWjxA8pxet7j816D4Gl2,2019-02-15T11:56:57.083Z,2019-02-15T11:56:23.135Z,regnskab,0.0,,2018-04-01,2017-04-02,X18-EJ-54-BL,2019-02-15T11:56:23.541Z,356126.0,324626.0,200000.0,324626.0,276032.0,0.0,0.0,0.0,0.0,0.0,356126.0,80094.0,0.0,0.0,0.0,0.0,31500.0,31500.0,31500.0,0.0,76032.0,80094.0,80094.0,0.0,0.0
