entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DepositsLongtermInvestmentsAndReceivables,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
29443211,2015-07-01,2016-06-30,c5,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U4L2I2LzIzL2VjZGQtNDVkZS1iMDU3LTE5MjgxZjAxN2FkNA.xhtml,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzBhL2I3L2Q1LzEzMzMtNDcxZS05YmZhLThjNmYyNWM3NzI5Nw.pdf,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzhmLzdlLzY5L2I0ODktNDhjNy1iY2MyLWU1YTgzYmM2NGVkYw.xml,true,SolrÃ¸d Strand,2680.0,19.0,Gammel KÃ¸gevej,4690 Haslev,SpurvestrÃ¦de 4,Regnskabsklasse B,2017-11-30,2017-11-30,252705.0,212229.0,29443211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mie Kofod,Frank Gert Reinholdts Andersen,FINEWINE A/S,Mie Kofod,287.0,SolrÃ¸d Strand,2015-07-01,2016-06-30,-63844.0,-63844.0,-40476.0,2017-06-30,2016-07-01,23655.0,false,false,0.0,56149797.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24766979,indberetninger-20180424,2.59278,29443211.0,,2018-03-27T22:50:45.484Z,2017-11-30T20:40:14.163Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BJ-40-AK,2017-11-30T20:40:14.421Z,,,,,,,,,,,,,,,,,,,,,,,
29443211,2015-07-01,2016-06-30,c7,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U4L2I2LzIzL2VjZGQtNDVkZS1iMDU3LTE5MjgxZjAxN2FkNA.xhtml,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzBhL2I3L2Q1LzEzMzMtNDcxZS05YmZhLThjNmYyNWM3NzI5Nw.pdf,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzhmLzdlLzY5L2I0ODktNDhjNy1iY2MyLWU1YTgzYmM2NGVkYw.xml,true,SolrÃ¸d Strand,2680.0,19.0,Gammel KÃ¸gevej,4690 Haslev,SpurvestrÃ¦de 4,Regnskabsklasse B,2017-11-30,2017-11-30,,,29443211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mie Kofod,Frank Gert Reinholdts Andersen,FINEWINE A/S,Mie Kofod,,SolrÃ¸d Strand,2015-07-01,2016-06-30,-63844.0,,,2017-06-30,2016-07-01,,false,false,,56149797.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24766979,indberetninger-20180424,2.59278,29443211.0,,2018-03-27T22:50:45.484Z,2017-11-30T20:40:14.163Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BJ-40-AK,2017-11-30T20:40:14.421Z,,,,,,,,,,,,,,,,,,,,,,,
29443211,2016-06-30,2016-06-30,c9,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U4L2I2LzIzL2VjZGQtNDVkZS1iMDU3LTE5MjgxZjAxN2FkNA.xhtml,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzBhL2I3L2Q1LzEzMzMtNDcxZS05YmZhLThjNmYyNWM3NzI5Nw.pdf,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzhmLzdlLzY5L2I0ODktNDhjNy1iY2MyLWU1YTgzYmM2NGVkYw.xml,true,SolrÃ¸d Strand,2680.0,19.0,Gammel KÃ¸gevej,4690 Haslev,SpurvestrÃ¦de 4,Regnskabsklasse B,2017-11-30,2017-11-30,,,29443211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mie Kofod,Frank Gert Reinholdts Andersen,FINEWINE A/S,Mie Kofod,,SolrÃ¸d Strand,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,,56149797.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24766979,indberetninger-20180424,2.59278,29443211.0,,2018-03-27T22:50:45.484Z,2017-11-30T20:40:14.163Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BJ-40-AK,2017-11-30T20:40:14.421Z,1490280.0,34929.0,500000.0,1449654.0,41107.0,40626.0,841768.0,1280919.0,1490280.0,648512.0,40626.0,1280919.0,40626.0,4618.0,26140.0,341768.0,648512.0,185883.0,409163.0,133806.0,48848.0,66559.0,
29443211,2016-07-01,2017-06-30,c0,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U4L2I2LzIzL2VjZGQtNDVkZS1iMDU3LTE5MjgxZjAxN2FkNA.xhtml,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzBhL2I3L2Q1LzEzMzMtNDcxZS05YmZhLThjNmYyNWM3NzI5Nw.pdf,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzhmLzdlLzY5L2I0ODktNDhjNy1iY2MyLWU1YTgzYmM2NGVkYw.xml,true,SolrÃ¸d Strand,2680.0,19.0,Gammel KÃ¸gevej,4690 Haslev,SpurvestrÃ¦de 4,Regnskabsklasse B,2017-11-30,2017-11-30,191980.0,23210.0,29443211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mie Kofod,Frank Gert Reinholdts Andersen,FINEWINE A/S,Mie Kofod,81.0,SolrÃ¸d Strand,2015-07-01,2016-06-30,-146129.0,-197338.0,-168770.0,2017-06-30,2016-07-01,28649.0,false,false,-51209.0,56149797.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24766979,indberetninger-20180424,2.59278,29443211.0,,2018-03-27T22:50:45.484Z,2017-11-30T20:40:14.163Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BJ-40-AK,2017-11-30T20:40:14.421Z,,,,,,,,,,,,,,,,,,,,,,,
29443211,2016-07-01,2017-06-30,c1,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U4L2I2LzIzL2VjZGQtNDVkZS1iMDU3LTE5MjgxZjAxN2FkNA.xhtml,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzBhL2I3L2Q1LzEzMzMtNDcxZS05YmZhLThjNmYyNWM3NzI5Nw.pdf,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzhmLzdlLzY5L2I0ODktNDhjNy1iY2MyLWU1YTgzYmM2NGVkYw.xml,true,SolrÃ¸d Strand,2680.0,19.0,Gammel KÃ¸gevej,4690 Haslev,SpurvestrÃ¦de 4,Regnskabsklasse B,2017-11-30,2017-11-30,,,29443211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mie Kofod,Frank Gert Reinholdts Andersen,FINEWINE A/S,Mie Kofod,,SolrÃ¸d Strand,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,,56149797.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24766979,indberetninger-20180424,2.59278,29443211.0,,2018-03-27T22:50:45.484Z,2017-11-30T20:40:14.163Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BJ-40-AK,2017-11-30T20:40:14.421Z,,,,,,,,,,,,,,,,,,,,,,,
29443211,2016-07-01,2017-06-30,c2,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U4L2I2LzIzL2VjZGQtNDVkZS1iMDU3LTE5MjgxZjAxN2FkNA.xhtml,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzBhL2I3L2Q1LzEzMzMtNDcxZS05YmZhLThjNmYyNWM3NzI5Nw.pdf,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzhmLzdlLzY5L2I0ODktNDhjNy1iY2MyLWU1YTgzYmM2NGVkYw.xml,true,SolrÃ¸d Strand,2680.0,19.0,Gammel KÃ¸gevej,4690 Haslev,SpurvestrÃ¦de 4,Regnskabsklasse B,2017-11-30,2017-11-30,,,29443211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mie Kofod,Frank Gert Reinholdts Andersen,FINEWINE A/S,Mie Kofod,,SolrÃ¸d Strand,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,,56149797.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24766979,indberetninger-20180424,2.59278,29443211.0,,2018-03-27T22:50:45.484Z,2017-11-30T20:40:14.163Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BJ-40-AK,2017-11-30T20:40:14.421Z,,,,,,,,,,,,,,,,,,,,,,,Jesper NÃ¸rgaard
29443211,2016-07-01,2017-06-30,c3,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U4L2I2LzIzL2VjZGQtNDVkZS1iMDU3LTE5MjgxZjAxN2FkNA.xhtml,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzBhL2I3L2Q1LzEzMzMtNDcxZS05YmZhLThjNmYyNWM3NzI5Nw.pdf,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzhmLzdlLzY5L2I0ODktNDhjNy1iY2MyLWU1YTgzYmM2NGVkYw.xml,true,SolrÃ¸d Strand,2680.0,19.0,Gammel KÃ¸gevej,4690 Haslev,SpurvestrÃ¦de 4,Regnskabsklasse B,2017-11-30,2017-11-30,,,29443211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mie Kofod,Frank Gert Reinholdts Andersen,FINEWINE A/S,Mie Kofod,,SolrÃ¸d Strand,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,,56149797.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24766979,indberetninger-20180424,2.59278,29443211.0,,2018-03-27T22:50:45.484Z,2017-11-30T20:40:14.163Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BJ-40-AK,2017-11-30T20:40:14.421Z,,,,,,,,,,,,,,,,,,,,,,,Per Rico Nielsen
29443211,2016-07-01,2017-06-30,c4,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U4L2I2LzIzL2VjZGQtNDVkZS1iMDU3LTE5MjgxZjAxN2FkNA.xhtml,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzBhL2I3L2Q1LzEzMzMtNDcxZS05YmZhLThjNmYyNWM3NzI5Nw.pdf,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzhmLzdlLzY5L2I0ODktNDhjNy1iY2MyLWU1YTgzYmM2NGVkYw.xml,true,SolrÃ¸d Strand,2680.0,19.0,Gammel KÃ¸gevej,4690 Haslev,SpurvestrÃ¦de 4,Regnskabsklasse B,2017-11-30,2017-11-30,,,29443211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mie Kofod,Frank Gert Reinholdts Andersen,FINEWINE A/S,Mie Kofod,,SolrÃ¸d Strand,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,,56149797.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24766979,indberetninger-20180424,2.59278,29443211.0,,2018-03-27T22:50:45.484Z,2017-11-30T20:40:14.163Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BJ-40-AK,2017-11-30T20:40:14.421Z,,,,,,,,,,,,,,,,,,,,,,,Frank Gert Reinholdts Andersen
29443211,2016-07-01,2017-06-30,c6,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U4L2I2LzIzL2VjZGQtNDVkZS1iMDU3LTE5MjgxZjAxN2FkNA.xhtml,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzBhL2I3L2Q1LzEzMzMtNDcxZS05YmZhLThjNmYyNWM3NzI5Nw.pdf,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzhmLzdlLzY5L2I0ODktNDhjNy1iY2MyLWU1YTgzYmM2NGVkYw.xml,true,SolrÃ¸d Strand,2680.0,19.0,Gammel KÃ¸gevej,4690 Haslev,SpurvestrÃ¦de 4,Regnskabsklasse B,2017-11-30,2017-11-30,,,29443211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mie Kofod,Frank Gert Reinholdts Andersen,FINEWINE A/S,Mie Kofod,,SolrÃ¸d Strand,2015-07-01,2016-06-30,-146129.0,,,2017-06-30,2016-07-01,,false,false,,56149797.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24766979,indberetninger-20180424,2.59278,29443211.0,,2018-03-27T22:50:45.484Z,2017-11-30T20:40:14.163Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BJ-40-AK,2017-11-30T20:40:14.421Z,,,,,,,,,,,,,,,,,,,,,,,
29443211,2017-06-30,2017-06-30,c8,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjL2U4L2I2LzIzL2VjZGQtNDVkZS1iMDU3LTE5MjgxZjAxN2FkNA.xhtml,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzBhL2I3L2Q1LzEzMzMtNDcxZS05YmZhLThjNmYyNWM3NzI5Nw.pdf,http://regnskaber.virk.dk/11234492/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzhmLzdlLzY5L2I0ODktNDhjNy1iY2MyLWU1YTgzYmM2NGVkYw.xml,true,SolrÃ¸d Strand,2680.0,19.0,Gammel KÃ¸gevej,4690 Haslev,SpurvestrÃ¦de 4,Regnskabsklasse B,2017-11-30,2017-11-30,,,29443211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mie Kofod,Frank Gert Reinholdts Andersen,FINEWINE A/S,Mie Kofod,,SolrÃ¸d Strand,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,,false,false,,56149797.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:24766979,indberetninger-20180424,2.59278,29443211.0,,2018-03-27T22:50:45.484Z,2017-11-30T20:40:14.163Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BJ-40-AK,2017-11-30T20:40:14.421Z,1511631.0,58038.0,500000.0,1484631.0,92316.0,27000.0,695639.0,1240433.0,1511631.0,815992.0,27000.0,1240433.0,27000.0,4483.0,51650.0,195639.0,815992.0,193318.0,602264.0,186160.0,15927.0,42194.0,
