entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForInvestmentsInGroupEnterprises,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
25219856,2015-01-01,2015-12-31,ID_10,,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzBiL2ZjLzFhL2VkNTAtNDMzYy04MWJiLTc4YjNkODU4MjUyNw.pdf,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2ZmLzJhLzBhLzc4MzctNGVlOC04MjQ3LTEwNWEzMTg4OGNjZg.xml,true,"2605, BrÃ¸ndby",Kirkebjerg Parkvej 12,Til den daglige ledelse i Holst Gulstad Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-04-21,2017-04-21,2000-02-21,2017-04-21,34901694.0,25219856.0,34901694.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Holst Gulstad Holding ApS.,Ãrsrapport,Carsten Gulstad,ASSET,Holst Gulstad Holding ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Aarhus,2015-01-01,2015-12-31,234415.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"751, Ãrhus",2016-12-31,2016-01-01,false,2017-04-21,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23765113,indberetninger-20180424,2.5117111,25219856,,2018-03-27T16:28:53.391Z,2017-04-26T09:19:00.324Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-89-AG,2017-04-26T09:19:00.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25219856,2015-01-01,2015-12-31,ID_12,,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzBiL2ZjLzFhL2VkNTAtNDMzYy04MWJiLTc4YjNkODU4MjUyNw.pdf,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2ZmLzJhLzBhLzc4MzctNGVlOC04MjQ3LTEwNWEzMTg4OGNjZg.xml,true,"2605, BrÃ¸ndby",Kirkebjerg Parkvej 12,Til den daglige ledelse i Holst Gulstad Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-04-21,2017-04-21,2000-02-21,2017-04-21,34901694.0,25219856.0,34901694.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Holst Gulstad Holding ApS.,Ãrsrapport,Carsten Gulstad,ASSET,Holst Gulstad Holding ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Aarhus,2015-01-01,2015-12-31,209262.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"751, Ãrhus",2016-12-31,2016-01-01,false,2017-04-21,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23765113,indberetninger-20180424,2.5117111,25219856,,2018-03-27T16:28:53.391Z,2017-04-26T09:19:00.324Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-89-AG,2017-04-26T09:19:00.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25219856,2015-01-01,2015-12-31,ID_6,,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzBiL2ZjLzFhL2VkNTAtNDMzYy04MWJiLTc4YjNkODU4MjUyNw.pdf,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2ZmLzJhLzBhLzc4MzctNGVlOC04MjQ3LTEwNWEzMTg4OGNjZg.xml,true,"2605, BrÃ¸ndby",Kirkebjerg Parkvej 12,Til den daglige ledelse i Holst Gulstad Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-04-21,2017-04-21,2000-02-21,2017-04-21,34901694.0,25219856.0,34901694.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Holst Gulstad Holding ApS.,Ãrsrapport,Carsten Gulstad,ASSET,Holst Gulstad Holding ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Aarhus,2015-01-01,2015-12-31,-343677.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"751, Ãrhus",2016-12-31,2016-01-01,false,2017-04-21,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23765113,indberetninger-20180424,2.5117111,25219856,,2018-03-27T16:28:53.391Z,2017-04-26T09:19:00.324Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-89-AG,2017-04-26T09:19:00.522Z,23699.0,63835.0,22674.0,-306764.0,7341.0,5326.0,-373639.0,-64860.0,-29962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25219856,2015-01-01,2015-12-31,ID_8,,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzBiL2ZjLzFhL2VkNTAtNDMzYy04MWJiLTc4YjNkODU4MjUyNw.pdf,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2ZmLzJhLzBhLzc4MzctNGVlOC04MjQ3LTEwNWEzMTg4OGNjZg.xml,true,"2605, BrÃ¸ndby",Kirkebjerg Parkvej 12,Til den daglige ledelse i Holst Gulstad Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-04-21,2017-04-21,2000-02-21,2017-04-21,34901694.0,25219856.0,34901694.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Holst Gulstad Holding ApS.,Ãrsrapport,Carsten Gulstad,ASSET,Holst Gulstad Holding ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Aarhus,2015-01-01,2015-12-31,-100000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"751, Ãrhus",2016-12-31,2016-01-01,false,2017-04-21,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23765113,indberetninger-20180424,2.5117111,25219856,,2018-03-27T16:28:53.391Z,2017-04-26T09:19:00.324Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-89-AG,2017-04-26T09:19:00.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25219856,2015-12-31,2015-12-31,ID_5,,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzBiL2ZjLzFhL2VkNTAtNDMzYy04MWJiLTc4YjNkODU4MjUyNw.pdf,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2ZmLzJhLzBhLzc4MzctNGVlOC04MjQ3LTEwNWEzMTg4OGNjZg.xml,true,"2605, BrÃ¸ndby",Kirkebjerg Parkvej 12,Til den daglige ledelse i Holst Gulstad Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-04-21,2017-04-21,2000-02-21,2017-04-21,34901694.0,25219856.0,34901694.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Holst Gulstad Holding ApS.,Ãrsrapport,Carsten Gulstad,ASSET,Holst Gulstad Holding ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Aarhus,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"751, Ãrhus",2016-12-31,2016-01-01,false,2017-04-21,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23765113,indberetninger-20180424,2.5117111,25219856,,2018-03-27T16:28:53.391Z,2017-04-26T09:19:00.324Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-89-AG,2017-04-26T09:19:00.522Z,,,,,,,,,,1201933.0,416145.0,125000.0,580140.0,33634.0,1093813.0,414142.0,1201933.0,108121.0,207651.0,207651.0,621793.0,59851.0,22899.0,39575.0,414142.0,0.0,0.0,968813.0,59851.0,108121.0,81722.0,104144.0,16101.0,0.0,14833.0,3500.0,
25219856,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzBiL2ZjLzFhL2VkNTAtNDMzYy04MWJiLTc4YjNkODU4MjUyNw.pdf,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2ZmLzJhLzBhLzc4MzctNGVlOC04MjQ3LTEwNWEzMTg4OGNjZg.xml,true,"2605, BrÃ¸ndby",Kirkebjerg Parkvej 12,Til den daglige ledelse i Holst Gulstad Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-04-21,2017-04-21,2000-02-21,2017-04-21,34901694.0,25219856.0,34901694.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Holst Gulstad Holding ApS.,Ãrsrapport,Carsten Gulstad,ASSET,Holst Gulstad Holding ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Aarhus,2015-01-01,2015-12-31,-261286.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"751, Ãrhus",2016-12-31,2016-01-01,false,2017-04-21,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23765113,indberetninger-20180424,2.5117111,25219856,,2018-03-27T16:28:53.391Z,2017-04-26T09:19:00.324Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-89-AG,2017-04-26T09:19:00.522Z,29904.0,133.0,117800.0,-316734.0,5900.0,0.0,-234871.0,87763.0,26415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25219856,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzBiL2ZjLzFhL2VkNTAtNDMzYy04MWJiLTc4YjNkODU4MjUyNw.pdf,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2ZmLzJhLzBhLzc4MzctNGVlOC04MjQ3LTEwNWEzMTg4OGNjZg.xml,true,"2605, BrÃ¸ndby",Kirkebjerg Parkvej 12,Til den daglige ledelse i Holst Gulstad Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-04-21,2017-04-21,2000-02-21,2017-04-21,34901694.0,25219856.0,34901694.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Holst Gulstad Holding ApS.,Ãrsrapport,Carsten Gulstad,ASSET,Holst Gulstad Holding ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Aarhus,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"751, Ãrhus",2016-12-31,2016-01-01,false,2017-04-21,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23765113,indberetninger-20180424,2.5117111,25219856,,2018-03-27T16:28:53.391Z,2017-04-26T09:19:00.324Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-89-AG,2017-04-26T09:19:00.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25219856,2016-01-01,2016-12-31,ID_11,,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzBiL2ZjLzFhL2VkNTAtNDMzYy04MWJiLTc4YjNkODU4MjUyNw.pdf,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2ZmLzJhLzBhLzc4MzctNGVlOC04MjQ3LTEwNWEzMTg4OGNjZg.xml,true,"2605, BrÃ¸ndby",Kirkebjerg Parkvej 12,Til den daglige ledelse i Holst Gulstad Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-04-21,2017-04-21,2000-02-21,2017-04-21,34901694.0,25219856.0,34901694.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Holst Gulstad Holding ApS.,Ãrsrapport,Carsten Gulstad,ASSET,Holst Gulstad Holding ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Aarhus,2015-01-01,2015-12-31,261286.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"751, Ãrhus",2016-12-31,2016-01-01,false,2017-04-21,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23765113,indberetninger-20180424,2.5117111,25219856,,2018-03-27T16:28:53.391Z,2017-04-26T09:19:00.324Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-89-AG,2017-04-26T09:19:00.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25219856,2016-01-01,2016-12-31,ID_2,,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzBiL2ZjLzFhL2VkNTAtNDMzYy04MWJiLTc4YjNkODU4MjUyNw.pdf,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2ZmLzJhLzBhLzc4MzctNGVlOC04MjQ3LTEwNWEzMTg4OGNjZg.xml,true,"2605, BrÃ¸ndby",Kirkebjerg Parkvej 12,Til den daglige ledelse i Holst Gulstad Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-04-21,2017-04-21,2000-02-21,2017-04-21,34901694.0,25219856.0,34901694.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Holst Gulstad Holding ApS.,Ãrsrapport,Carsten Gulstad,ASSET,Holst Gulstad Holding ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Aarhus,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"751, Ãrhus",2016-12-31,2016-01-01,false,2017-04-21,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23765113,indberetninger-20180424,2.5117111,25219856,,2018-03-27T16:28:53.391Z,2017-04-26T09:19:00.324Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-89-AG,2017-04-26T09:19:00.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carsten Gulstad
25219856,2016-01-01,2016-12-31,ID_3,,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzBiL2ZjLzFhL2VkNTAtNDMzYy04MWJiLTc4YjNkODU4MjUyNw.pdf,http://regnskaber.virk.dk/65891252/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2ZmLzJhLzBhLzc4MzctNGVlOC04MjQ3LTEwNWEzMTg4OGNjZg.xml,true,"2605, BrÃ¸ndby",Kirkebjerg Parkvej 12,Til den daglige ledelse i Holst Gulstad Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-04-21,2017-04-21,2000-02-21,2017-04-21,34901694.0,25219856.0,34901694.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for Holst Gulstad Holding ApS.,Ãrsrapport,Carsten Gulstad,ASSET,Holst Gulstad Holding ApS,"ASSET, Statsautoriseret Revisionsanpartsselskab",Aarhus,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"751, Ãrhus",2016-12-31,2016-01-01,false,2017-04-21,BrÃ¸ndby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23765113,indberetninger-20180424,2.5117111,25219856,,2018-03-27T16:28:53.391Z,2017-04-26T09:19:00.324Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-89-AG,2017-04-26T09:19:00.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
