entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfSupervisoryBoard,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,CompletedDevelopmentProjects,ContributedCapital,ConvertibleProfitYieldingOrDividendYieldingLongtermDebtInstruments,DevelopmentProjectsInProgressAndPrepaymentsForIntangibleAssets,Equity,FixturesFittingsToolsAndEquipment,IntangibleAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,NumberOfEmployees,OtherLongtermInvestments,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,ReserveForDevelopmentExpenditure,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance,AdditionsToIntangibleAssets,AmortisationOfIntangibleAssets,IncreaseDecreaseOfIntangibleAssetsThroughTransfers,AdditionsToInvestments,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard
33576641,2015-07-01,2016-06-30,c175,,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzdiL2QwL2U3LzU2YTctNDRlNi04Y2E0LTg5NmI5MjVkY2RmNg.pdf,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2ViLzdiLzRmLzE3NzQtNDM1Zi1iNDI3LTgxOTEzM2FlMWVkNg.xml,false,Aalborg,9000.0,51.0,Visionsvej,9220 Aalborg Ã,Niels Jernes Vej 10,9220 Aalborg Ã,Niels Jernes Vej 10,324000.0,Regnskabsklasse B,-341079.0,2017-12-07,2011-03-11,2017-12-07,-816396.0,19098.0,Statsautoriseret revisor,-994366.0,2135624.0,20222670.0,33576641.0,33576641.0,Ãrsrapport,0.0,SÃ¸ren Engelund BÃ¦rentsen,Julie Nielsen,Jutlander Bank,Steinwurf ApS,Steinwurf ApS,42890.0,-404899.0,65.0,Aalborg,11560.0,2015-07-01,2016-06-30,-62893.0,-79972.0,324862.0,Aalborg,2017-06-30,2016-07-01,true,2017-12-07,Aalborg,16184.0,17079.0,Formand,923732.0,urn:ofk:oid:24850960,indberetninger-20180424,2.5097342,33576641.0,,2018-03-28T04:17:03.817Z,2017-12-18T07:13:42.681Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-14-TE,2017-12-18T07:13:42.833Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33576641,2015-07-01,2016-06-30,c196,,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzdiL2QwL2U3LzU2YTctNDRlNi04Y2E0LTg5NmI5MjVkY2RmNg.pdf,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2ViLzdiLzRmLzE3NzQtNDM1Zi1iNDI3LTgxOTEzM2FlMWVkNg.xml,false,Aalborg,9000.0,51.0,Visionsvej,9220 Aalborg Ã,Niels Jernes Vej 10,9220 Aalborg Ã,Niels Jernes Vej 10,,Regnskabsklasse B,,2017-12-07,2011-03-11,2017-12-07,,19098.0,Statsautoriseret revisor,,,20222670.0,33576641.0,33576641.0,Ãrsrapport,0.0,SÃ¸ren Engelund BÃ¦rentsen,Julie Nielsen,Jutlander Bank,Steinwurf ApS,Steinwurf ApS,,,,Aalborg,,2015-07-01,2016-06-30,-62893.0,,,Aalborg,2017-06-30,2016-07-01,true,2017-12-07,Aalborg,,,Formand,,urn:ofk:oid:24850960,indberetninger-20180424,2.5097342,33576641.0,,2018-03-28T04:17:03.817Z,2017-12-18T07:13:42.681Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-14-TE,2017-12-18T07:13:42.833Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33576641,2016-06-30,2016-06-30,c172,,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzdiL2QwL2U3LzU2YTctNDRlNi04Y2E0LTg5NmI5MjVkY2RmNg.pdf,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2ViLzdiLzRmLzE3NzQtNDM1Zi1iNDI3LTgxOTEzM2FlMWVkNg.xml,false,Aalborg,9000.0,51.0,Visionsvej,9220 Aalborg Ã,Niels Jernes Vej 10,9220 Aalborg Ã,Niels Jernes Vej 10,,Regnskabsklasse B,,2017-12-07,2011-03-11,2017-12-07,,19098.0,Statsautoriseret revisor,,,20222670.0,33576641.0,33576641.0,Ãrsrapport,0.0,SÃ¸ren Engelund BÃ¦rentsen,Julie Nielsen,Jutlander Bank,Steinwurf ApS,Steinwurf ApS,,,,Aalborg,,2015-07-01,2016-06-30,,,,Aalborg,2017-06-30,2016-07-01,true,2017-12-07,Aalborg,,,Formand,,urn:ofk:oid:24850960,indberetninger-20180424,2.5097342,33576641.0,,2018-03-28T04:17:03.817Z,2017-12-18T07:13:42.681Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-14-TE,2017-12-18T07:13:42.833Z,6744435.0,129052.0,2630516.0,124596.0,6146747.0,2255094.0,-811087.0,27446.0,4885610.0,6744435.0,6618522.0,32749.0,6146747.0,4945805.0,5.0,549.0,32200.0,343689.0,372866.0,27446.0,937000.0,937000.0,0.0,-935683.0,471775.0,1669578.0,801537.0,128086.0,495175.0,,,,,,,,,,,,,
33576641,2016-07-01,2016-07-01,c227,,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzdiL2QwL2U3LzU2YTctNDRlNi04Y2E0LTg5NmI5MjVkY2RmNg.pdf,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2ViLzdiLzRmLzE3NzQtNDM1Zi1iNDI3LTgxOTEzM2FlMWVkNg.xml,false,Aalborg,9000.0,51.0,Visionsvej,9220 Aalborg Ã,Niels Jernes Vej 10,9220 Aalborg Ã,Niels Jernes Vej 10,,Regnskabsklasse B,,2017-12-07,2011-03-11,2017-12-07,,19098.0,Statsautoriseret revisor,,,20222670.0,33576641.0,33576641.0,Ãrsrapport,0.0,SÃ¸ren Engelund BÃ¦rentsen,Julie Nielsen,Jutlander Bank,Steinwurf ApS,Steinwurf ApS,,,,Aalborg,,2015-07-01,2016-06-30,,,,Aalborg,2017-06-30,2016-07-01,true,2017-12-07,Aalborg,,,Formand,,urn:ofk:oid:24850960,indberetninger-20180424,2.5097342,33576641.0,,2018-03-28T04:17:03.817Z,2017-12-18T07:13:42.681Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-14-TE,2017-12-18T07:13:42.833Z,,,,,,,124596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33576641,2016-07-01,2016-07-01,c247,,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzdiL2QwL2U3LzU2YTctNDRlNi04Y2E0LTg5NmI5MjVkY2RmNg.pdf,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2ViLzdiLzRmLzE3NzQtNDM1Zi1iNDI3LTgxOTEzM2FlMWVkNg.xml,false,Aalborg,9000.0,51.0,Visionsvej,9220 Aalborg Ã,Niels Jernes Vej 10,9220 Aalborg Ã,Niels Jernes Vej 10,,Regnskabsklasse B,,2017-12-07,2011-03-11,2017-12-07,,19098.0,Statsautoriseret revisor,,,20222670.0,33576641.0,33576641.0,Ãrsrapport,0.0,SÃ¸ren Engelund BÃ¦rentsen,Julie Nielsen,Jutlander Bank,Steinwurf ApS,Steinwurf ApS,,,,Aalborg,,2015-07-01,2016-06-30,,,,Aalborg,2017-06-30,2016-07-01,true,2017-12-07,Aalborg,,,Formand,,urn:ofk:oid:24850960,indberetninger-20180424,2.5097342,33576641.0,,2018-03-28T04:17:03.817Z,2017-12-18T07:13:42.681Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-14-TE,2017-12-18T07:13:42.833Z,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33576641,2016-07-01,2016-07-01,c254,,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzdiL2QwL2U3LzU2YTctNDRlNi04Y2E0LTg5NmI5MjVkY2RmNg.pdf,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2ViLzdiLzRmLzE3NzQtNDM1Zi1iNDI3LTgxOTEzM2FlMWVkNg.xml,false,Aalborg,9000.0,51.0,Visionsvej,9220 Aalborg Ã,Niels Jernes Vej 10,9220 Aalborg Ã,Niels Jernes Vej 10,,Regnskabsklasse B,,2017-12-07,2011-03-11,2017-12-07,,19098.0,Statsautoriseret revisor,,,20222670.0,33576641.0,33576641.0,Ãrsrapport,0.0,SÃ¸ren Engelund BÃ¦rentsen,Julie Nielsen,Jutlander Bank,Steinwurf ApS,Steinwurf ApS,,,,Aalborg,,2015-07-01,2016-06-30,,,,Aalborg,2017-06-30,2016-07-01,true,2017-12-07,Aalborg,,,Formand,,urn:ofk:oid:24850960,indberetninger-20180424,2.5097342,33576641.0,,2018-03-28T04:17:03.817Z,2017-12-18T07:13:42.681Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-14-TE,2017-12-18T07:13:42.833Z,,,,,,,-935683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33576641,2016-07-01,2016-07-01,c324,,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzdiL2QwL2U3LzU2YTctNDRlNi04Y2E0LTg5NmI5MjVkY2RmNg.pdf,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2ViLzdiLzRmLzE3NzQtNDM1Zi1iNDI3LTgxOTEzM2FlMWVkNg.xml,false,Aalborg,9000.0,51.0,Visionsvej,9220 Aalborg Ã,Niels Jernes Vej 10,9220 Aalborg Ã,Niels Jernes Vej 10,,Regnskabsklasse B,,2017-12-07,2011-03-11,2017-12-07,,19098.0,Statsautoriseret revisor,,,20222670.0,33576641.0,33576641.0,Ãrsrapport,0.0,SÃ¸ren Engelund BÃ¦rentsen,Julie Nielsen,Jutlander Bank,Steinwurf ApS,Steinwurf ApS,,,,Aalborg,,2015-07-01,2016-06-30,,,,Aalborg,2017-06-30,2016-07-01,true,2017-12-07,Aalborg,,,Formand,,urn:ofk:oid:24850960,indberetninger-20180424,2.5097342,33576641.0,,2018-03-28T04:17:03.817Z,2017-12-18T07:13:42.681Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-14-TE,2017-12-18T07:13:42.833Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283307.0,3913823.0,,,,,,,,,,,
33576641,2016-07-01,2016-07-01,c360,,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzdiL2QwL2U3LzU2YTctNDRlNi04Y2E0LTg5NmI5MjVkY2RmNg.pdf,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2ViLzdiLzRmLzE3NzQtNDM1Zi1iNDI3LTgxOTEzM2FlMWVkNg.xml,false,Aalborg,9000.0,51.0,Visionsvej,9220 Aalborg Ã,Niels Jernes Vej 10,9220 Aalborg Ã,Niels Jernes Vej 10,,Regnskabsklasse B,,2017-12-07,2011-03-11,2017-12-07,,19098.0,Statsautoriseret revisor,,,20222670.0,33576641.0,33576641.0,Ãrsrapport,0.0,SÃ¸ren Engelund BÃ¦rentsen,Julie Nielsen,Jutlander Bank,Steinwurf ApS,Steinwurf ApS,,,,Aalborg,,2015-07-01,2016-06-30,,,,Aalborg,2017-06-30,2016-07-01,true,2017-12-07,Aalborg,,,Formand,,urn:ofk:oid:24850960,indberetninger-20180424,2.5097342,33576641.0,,2018-03-28T04:17:03.817Z,2017-12-18T07:13:42.681Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-14-TE,2017-12-18T07:13:42.833Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2255094.0,,,,,,,,,,,
33576641,2016-07-01,2016-07-01,c457,,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzdiL2QwL2U3LzU2YTctNDRlNi04Y2E0LTg5NmI5MjVkY2RmNg.pdf,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2ViLzdiLzRmLzE3NzQtNDM1Zi1iNDI3LTgxOTEzM2FlMWVkNg.xml,false,Aalborg,9000.0,51.0,Visionsvej,9220 Aalborg Ã,Niels Jernes Vej 10,9220 Aalborg Ã,Niels Jernes Vej 10,,Regnskabsklasse B,,2017-12-07,2011-03-11,2017-12-07,,19098.0,Statsautoriseret revisor,,,20222670.0,33576641.0,33576641.0,Ãrsrapport,0.0,SÃ¸ren Engelund BÃ¦rentsen,Julie Nielsen,Jutlander Bank,Steinwurf ApS,Steinwurf ApS,,,,Aalborg,,2015-07-01,2016-06-30,,,,Aalborg,2017-06-30,2016-07-01,true,2017-12-07,Aalborg,,,Formand,,urn:ofk:oid:24850960,indberetninger-20180424,2.5097342,33576641.0,,2018-03-28T04:17:03.817Z,2017-12-18T07:13:42.681Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-14-TE,2017-12-18T07:13:42.833Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132368.0,159813.0,,,,,,,,,
33576641,2016-07-01,2016-07-01,c570,,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2FiLzdiL2QwL2U3LzU2YTctNDRlNi04Y2E0LTg5NmI5MjVkY2RmNg.pdf,http://regnskaber.virk.dk/14667533/ZG9rdW1lbnRsYWdlcjovLzAzL2E1L2ViLzdiLzRmLzE3NzQtNDM1Zi1iNDI3LTgxOTEzM2FlMWVkNg.xml,false,Aalborg,9000.0,51.0,Visionsvej,9220 Aalborg Ã,Niels Jernes Vej 10,9220 Aalborg Ã,Niels Jernes Vej 10,,Regnskabsklasse B,,2017-12-07,2011-03-11,2017-12-07,,19098.0,Statsautoriseret revisor,,,20222670.0,33576641.0,33576641.0,Ãrsrapport,0.0,SÃ¸ren Engelund BÃ¦rentsen,Julie Nielsen,Jutlander Bank,Steinwurf ApS,Steinwurf ApS,,,,Aalborg,,2015-07-01,2016-06-30,,,,Aalborg,2017-06-30,2016-07-01,true,2017-12-07,Aalborg,,,Formand,,urn:ofk:oid:24850960,indberetninger-20180424,2.5097342,33576641.0,,2018-03-28T04:17:03.817Z,2017-12-18T07:13:42.681Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BL-14-TE,2017-12-18T07:13:42.833Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.0,,,,,,,,
