entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm
73275415,2013-05-01,2014-04-30,c1,,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2MwLzU4LzE3L2ZmNGYtNDJkNy04ZDgyLWU2ZWQ2OWVjYzY2OA.pdf,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzZmL2E2LzkzLzk0NTctNGNiMy1iZDA1LWViZmFkM2E5ZWY1NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,30.0,Dalgasgade,7400  Herning,Dueoddevej 10,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Boftex ApS,-15464.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-02,1983-06-29,2015-10-02,Statsautoriseret revisor,-528297.0,243834.0,20222670.0,73275415.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Boftex ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning K. Nielsen,Rasmus Hartung,Rasmus Hartung,Spar Nord Bank A/S,Boftex ApS,BDO Statsautoriseret revisionsaktieselskab,-40264.0,149.0,-40264.0,149.0,Herning,-44697.0,-340042.0,-324578.0,-284463.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2015-04-30,2014-05-01,2015-10-02,Herning,-13872.0,-15464.0,Andre erklÃ¦ringer uden sikkerhed,-469728.0,urn:ofk:oid:21507553,indberetninger-20180424,2.512255,73275415.0,,2018-03-30T08:51:57.348Z,2015-10-09T11:25:07.195Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-45-HS,2015-10-09T11:25:07.315Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
73275415,2013-05-01,2014-04-30,c30,,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2MwLzU4LzE3L2ZmNGYtNDJkNy04ZDgyLWU2ZWQ2OWVjYzY2OA.pdf,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzZmL2E2LzkzLzk0NTctNGNiMy1iZDA1LWViZmFkM2E5ZWY1NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,30.0,Dalgasgade,7400  Herning,Dueoddevej 10,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Boftex ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-02,1983-06-29,2015-10-02,Statsautoriseret revisor,,,20222670.0,73275415.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Boftex ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning K. Nielsen,Rasmus Hartung,Rasmus Hartung,Spar Nord Bank A/S,Boftex ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Herning,,-340042.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2015-04-30,2014-05-01,2015-10-02,Herning,,,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:21507553,indberetninger-20180424,2.512255,73275415.0,,2018-03-30T08:51:57.348Z,2015-10-09T11:25:07.195Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-45-HS,2015-10-09T11:25:07.315Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
73275415,2014-04-30,2014-04-30,c4,,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2MwLzU4LzE3L2ZmNGYtNDJkNy04ZDgyLWU2ZWQ2OWVjYzY2OA.pdf,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzZmL2E2LzkzLzk0NTctNGNiMy1iZDA1LWViZmFkM2E5ZWY1NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,30.0,Dalgasgade,7400  Herning,Dueoddevej 10,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Boftex ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-02,1983-06-29,2015-10-02,Statsautoriseret revisor,,,20222670.0,73275415.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Boftex ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning K. Nielsen,Rasmus Hartung,Rasmus Hartung,Spar Nord Bank A/S,Boftex ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Herning,,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2015-04-30,2014-05-01,2015-10-02,Herning,,,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:21507553,indberetninger-20180424,2.512255,73275415.0,,2018-03-30T08:51:57.348Z,2015-10-09T11:25:07.195Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-45-HS,2015-10-09T11:25:07.315Z,5850072.0,1431349.0,210000.0,5842905.0,197862.0,21005.0,279471.0,7090.0,734330.0,5850072.0,5570601.0,77.0,734330.0,7167.0,77.0,318525.0,7090.0,69471.0,5570601.0,5252076.0,3677226.0,3034983.0,0.0,423376.0,,,
73275415,2014-05-01,2014-05-01,c137,,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2MwLzU4LzE3L2ZmNGYtNDJkNy04ZDgyLWU2ZWQ2OWVjYzY2OA.pdf,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzZmL2E2LzkzLzk0NTctNGNiMy1iZDA1LWViZmFkM2E5ZWY1NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,30.0,Dalgasgade,7400  Herning,Dueoddevej 10,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Boftex ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-02,1983-06-29,2015-10-02,Statsautoriseret revisor,,,20222670.0,73275415.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Boftex ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning K. Nielsen,Rasmus Hartung,Rasmus Hartung,Spar Nord Bank A/S,Boftex ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Herning,,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2015-04-30,2014-05-01,2015-10-02,Herning,,,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:21507553,indberetninger-20180424,2.512255,73275415.0,,2018-03-30T08:51:57.348Z,2015-10-09T11:25:07.195Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-45-HS,2015-10-09T11:25:07.315Z,,,,,,,210000.0,,,,,,,,,,,,,,,,,,,,
73275415,2014-05-01,2014-05-01,c158,,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2MwLzU4LzE3L2ZmNGYtNDJkNy04ZDgyLWU2ZWQ2OWVjYzY2OA.pdf,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzZmL2E2LzkzLzk0NTctNGNiMy1iZDA1LWViZmFkM2E5ZWY1NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,30.0,Dalgasgade,7400  Herning,Dueoddevej 10,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Boftex ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-02,1983-06-29,2015-10-02,Statsautoriseret revisor,,,20222670.0,73275415.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Boftex ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning K. Nielsen,Rasmus Hartung,Rasmus Hartung,Spar Nord Bank A/S,Boftex ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Herning,,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2015-04-30,2014-05-01,2015-10-02,Herning,,,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:21507553,indberetninger-20180424,2.512255,73275415.0,,2018-03-30T08:51:57.348Z,2015-10-09T11:25:07.195Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-45-HS,2015-10-09T11:25:07.315Z,,,,,,,69471.0,,,,,,,,,,,,,,,,,,,,
73275415,2014-05-01,2014-05-01,c88,,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2MwLzU4LzE3L2ZmNGYtNDJkNy04ZDgyLWU2ZWQ2OWVjYzY2OA.pdf,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzZmL2E2LzkzLzk0NTctNGNiMy1iZDA1LWViZmFkM2E5ZWY1NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,30.0,Dalgasgade,7400  Herning,Dueoddevej 10,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Boftex ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-02,1983-06-29,2015-10-02,Statsautoriseret revisor,,,20222670.0,73275415.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Boftex ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning K. Nielsen,Rasmus Hartung,Rasmus Hartung,Spar Nord Bank A/S,Boftex ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Herning,,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2015-04-30,2014-05-01,2015-10-02,Herning,,,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:21507553,indberetninger-20180424,2.512255,73275415.0,,2018-03-30T08:51:57.348Z,2015-10-09T11:25:07.195Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-45-HS,2015-10-09T11:25:07.315Z,,,,,,,,,,,,,,,,,,,,,,,,,215679.0,222769.0,
73275415,2014-05-01,2015-04-30,c0,,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2MwLzU4LzE3L2ZmNGYtNDJkNy04ZDgyLWU2ZWQ2OWVjYzY2OA.pdf,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzZmL2E2LzkzLzk0NTctNGNiMy1iZDA1LWViZmFkM2E5ZWY1NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,30.0,Dalgasgade,7400  Herning,Dueoddevej 10,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Boftex ApS,115881.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-02,1983-06-29,2015-10-02,Statsautoriseret revisor,-469974.0,-353249.0,20222670.0,73275415.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Boftex ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning K. Nielsen,Rasmus Hartung,Rasmus Hartung,Spar Nord Bank A/S,Boftex ApS,BDO Statsautoriseret revisionsaktieselskab,0.0,314195.0,0.0,314195.0,Herning,-43884.0,-393147.0,-509028.0,-823223.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2015-04-30,2014-05-01,2015-10-02,Herning,-11066.0,115881.0,Andre erklÃ¦ringer uden sikkerhed,-415024.0,urn:ofk:oid:21507553,indberetninger-20180424,2.512255,73275415.0,,2018-03-30T08:51:57.348Z,2015-10-09T11:25:07.195Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-45-HS,2015-10-09T11:25:07.315Z,,,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab
73275415,2014-05-01,2015-04-30,c159,,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2MwLzU4LzE3L2ZmNGYtNDJkNy04ZDgyLWU2ZWQ2OWVjYzY2OA.pdf,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzZmL2E2LzkzLzk0NTctNGNiMy1iZDA1LWViZmFkM2E5ZWY1NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,30.0,Dalgasgade,7400  Herning,Dueoddevej 10,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Boftex ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-02,1983-06-29,2015-10-02,Statsautoriseret revisor,,,20222670.0,73275415.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Boftex ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning K. Nielsen,Rasmus Hartung,Rasmus Hartung,Spar Nord Bank A/S,Boftex ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Herning,,-393147.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2015-04-30,2014-05-01,2015-10-02,Herning,,,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:21507553,indberetninger-20180424,2.512255,73275415.0,,2018-03-30T08:51:57.348Z,2015-10-09T11:25:07.195Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-45-HS,2015-10-09T11:25:07.315Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
73275415,2014-05-01,2015-04-30,c199,,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2MwLzU4LzE3L2ZmNGYtNDJkNy04ZDgyLWU2ZWQ2OWVjYzY2OA.pdf,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzZmL2E2LzkzLzk0NTctNGNiMy1iZDA1LWViZmFkM2E5ZWY1NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,30.0,Dalgasgade,7400  Herning,Dueoddevej 10,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Boftex ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-02,1983-06-29,2015-10-02,Statsautoriseret revisor,,,20222670.0,73275415.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Boftex ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning K. Nielsen,Rasmus Hartung,Rasmus Hartung,Spar Nord Bank A/S,Boftex ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Herning,,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2015-04-30,2014-05-01,2015-10-02,Herning,,,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:21507553,indberetninger-20180424,2.512255,73275415.0,,2018-03-30T08:51:57.348Z,2015-10-09T11:25:07.195Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-45-HS,2015-10-09T11:25:07.315Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
73275415,2014-05-01,2015-04-30,c29,,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2MwLzU4LzE3L2ZmNGYtNDJkNy04ZDgyLWU2ZWQ2OWVjYzY2OA.pdf,http://regnskaber.virk.dk/51457237/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzZmL2E2LzkzLzk0NTctNGNiMy1iZDA1LWViZmFkM2E5ZWY1NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,30.0,Dalgasgade,7400  Herning,Dueoddevej 10,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Boftex ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-02,1983-06-29,2015-10-02,Statsautoriseret revisor,,,20222670.0,73275415.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Boftex ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henning K. Nielsen,Rasmus Hartung,Rasmus Hartung,Spar Nord Bank A/S,Boftex ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,Herning,,-393147.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2015-04-30,2014-05-01,2015-10-02,Herning,,,Andre erklÃ¦ringer uden sikkerhed,,urn:ofk:oid:21507553,indberetninger-20180424,2.512255,73275415.0,,2018-03-30T08:51:57.348Z,2015-10-09T11:25:07.195Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-45-HS,2015-10-09T11:25:07.315Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
