entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorPostcodeAndTown,AddressOfAuditorStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfClassOfIssuedShares,FaxNumberOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForCurrentTaxRelatingToTaxRateChangesOrImpositionOfNewTaxes,CurrentTaxExpense,EmployeeBenefitsExpense,GrossResult,InterestExpenseAssignedToGroupEnterprises,OtherExternalExpenses,OtherFinanceExpenses,OtherInterestExpenses,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,TaxExpenseOnOrdinaryActivities,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermReceivables,PaidContributedCapital,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
19269337,2011-01-01,2011-12-31,c279,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8vcGRmcy8xOTI2OTMzNztBcFMyMjc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYzMF8xNjIxMzJfMDky.xml,Danmark,2900  Hellerup,Strandvejen 44,4683  RÃ¸nnede,Industrivej 59,2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-06-10,2013-06-23,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 600 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,87108719.0,19269337.0,33771231.0,Ãrsrapport,Martin Rothe,Ignacio JosÃ© Walker,Avery Dennison Security Printing Europe ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,RÃ¸nnede,-496489.0,RÃ¸nnede,2012-12-31,2012-01-01,2013-06-10,Hellerup,87108710.0,urn:ofk:oid:12515838,indberetninger-20180424,2.5117297,19269337.0,,2018-04-01T12:41:49.327Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-66.716,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19269337,2011-01-01,2011-12-31,c68,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8vcGRmcy8xOTI2OTMzNztBcFMyMjc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYzMF8xNjIxMzJfMDky.xml,Danmark,2900  Hellerup,Strandvejen 44,4683  RÃ¸nnede,Industrivej 59,2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-06-10,2013-06-23,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 600 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,87108719.0,19269337.0,33771231.0,Ãrsrapport,Martin Rothe,Ignacio JosÃ© Walker,Avery Dennison Security Printing Europe ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,RÃ¸nnede,-496489.0,RÃ¸nnede,2012-12-31,2012-01-01,2013-06-10,Hellerup,87108710.0,urn:ofk:oid:12515838,indberetninger-20180424,2.5117297,19269337.0,,2018-04-01T12:41:49.327Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-66.716,2013-06-30T22:00:00.000Z,234839.0,-869000.0,-26425.0,0.0,-128256.0,1028781.0,128256.0,1028819.0,38.0,-128256.0,-660586.0,-660586.0,,,,,,,,,,,,,,,,,,
19269337,2011-12-31,2011-12-31,c69,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8vcGRmcy8xOTI2OTMzNztBcFMyMjc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYzMF8xNjIxMzJfMDky.xml,Danmark,2900  Hellerup,Strandvejen 44,4683  RÃ¸nnede,Industrivej 59,2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-06-10,2013-06-23,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 600 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,87108719.0,19269337.0,33771231.0,Ãrsrapport,Martin Rothe,Ignacio JosÃ© Walker,Avery Dennison Security Printing Europe ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,RÃ¸nnede,,RÃ¸nnede,2012-12-31,2012-01-01,2013-06-10,Hellerup,87108710.0,urn:ofk:oid:12515838,indberetninger-20180424,2.5117297,19269337.0,,2018-04-01T12:41:49.327Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-66.716,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,222534.0,600000.0,222534.0,0.0,-57848723.0,222534.0,58071257.0,20109.0,600000.0,-58448723.0,58071257.0,58054257.0,222534.0,202425.0,17000.0,,,
19269337,2012-01-01,2012-01-01,c2,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8vcGRmcy8xOTI2OTMzNztBcFMyMjc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYzMF8xNjIxMzJfMDky.xml,Danmark,2900  Hellerup,Strandvejen 44,4683  RÃ¸nnede,Industrivej 59,2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-06-10,2013-06-23,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 600 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,87108719.0,19269337.0,33771231.0,Ãrsrapport,Martin Rothe,Ignacio JosÃ© Walker,Avery Dennison Security Printing Europe ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,RÃ¸nnede,,RÃ¸nnede,2012-12-31,2012-01-01,2013-06-10,Hellerup,87108710.0,urn:ofk:oid:12515838,indberetninger-20180424,2.5117297,19269337.0,,2018-04-01T12:41:49.327Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-66.716,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,600000.0,,,,,,,,,,,,,
19269337,2012-01-01,2012-01-01,c22,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8vcGRmcy8xOTI2OTMzNztBcFMyMjc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYzMF8xNjIxMzJfMDky.xml,Danmark,2900  Hellerup,Strandvejen 44,4683  RÃ¸nnede,Industrivej 59,2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-06-10,2013-06-23,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 600 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,87108719.0,19269337.0,33771231.0,Ãrsrapport,Martin Rothe,Ignacio JosÃ© Walker,Avery Dennison Security Printing Europe ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,RÃ¸nnede,,RÃ¸nnede,2012-12-31,2012-01-01,2013-06-10,Hellerup,87108710.0,urn:ofk:oid:12515838,indberetninger-20180424,2.5117297,19269337.0,,2018-04-01T12:41:49.327Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-66.716,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,-58448723.0,,,,,,,,,,,,,
19269337,2012-01-01,2012-12-31,c1,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8vcGRmcy8xOTI2OTMzNztBcFMyMjc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYzMF8xNjIxMzJfMDky.xml,Danmark,2900  Hellerup,Strandvejen 44,4683  RÃ¸nnede,Industrivej 59,2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-06-10,2013-06-23,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 600 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,87108719.0,19269337.0,33771231.0,Ãrsrapport,Martin Rothe,Ignacio JosÃ© Walker,Avery Dennison Security Printing Europe ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,RÃ¸nnede,-596731.0,RÃ¸nnede,2012-12-31,2012-01-01,2013-06-10,Hellerup,87108710.0,urn:ofk:oid:12515838,indberetninger-20180424,2.5117297,19269337.0,,2018-04-01T12:41:49.327Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-66.716,2013-06-30T22:00:00.000Z,0.0,0.0,-198911.0,0.0,-98188.0,697454.0,98188.0,697454.0,0.0,-98188.0,-198911.0,-198911.0,,,,,,,,,,,,,,,,Jan Wright,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,
19269337,2012-01-01,2012-12-31,c113,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8vcGRmcy8xOTI2OTMzNztBcFMyMjc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYzMF8xNjIxMzJfMDky.xml,Danmark,2900  Hellerup,Strandvejen 44,4683  RÃ¸nnede,Industrivej 59,2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-06-10,2013-06-23,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 600 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,87108719.0,19269337.0,33771231.0,Ãrsrapport,Martin Rothe,Ignacio JosÃ© Walker,Avery Dennison Security Printing Europe ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,RÃ¸nnede,,RÃ¸nnede,2012-12-31,2012-01-01,2013-06-10,Hellerup,87108710.0,urn:ofk:oid:12515838,indberetninger-20180424,2.5117297,19269337.0,,2018-04-01T12:41:49.327Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-66.716,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Collins
19269337,2012-01-01,2012-12-31,c114,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8vcGRmcy8xOTI2OTMzNztBcFMyMjc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYzMF8xNjIxMzJfMDky.xml,Danmark,2900  Hellerup,Strandvejen 44,4683  RÃ¸nnede,Industrivej 59,2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-06-10,2013-06-23,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 600 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,87108719.0,19269337.0,33771231.0,Ãrsrapport,Martin Rothe,Ignacio JosÃ© Walker,Avery Dennison Security Printing Europe ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,RÃ¸nnede,,RÃ¸nnede,2012-12-31,2012-01-01,2013-06-10,Hellerup,87108710.0,urn:ofk:oid:12515838,indberetninger-20180424,2.5117297,19269337.0,,2018-04-01T12:41:49.327Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-66.716,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huibert Nicolaas van Gijn
19269337,2012-01-01,2012-12-31,c156,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8vcGRmcy8xOTI2OTMzNztBcFMyMjc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYzMF8xNjIxMzJfMDky.xml,Danmark,2900  Hellerup,Strandvejen 44,4683  RÃ¸nnede,Industrivej 59,2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-06-10,2013-06-23,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 600 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,87108719.0,19269337.0,33771231.0,Ãrsrapport,Martin Rothe,Ignacio JosÃ© Walker,Avery Dennison Security Printing Europe ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,RÃ¸nnede,,RÃ¸nnede,2012-12-31,2012-01-01,2013-06-10,Hellerup,87108710.0,urn:ofk:oid:12515838,indberetninger-20180424,2.5117297,19269337.0,,2018-04-01T12:41:49.327Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-66.716,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19269337,2012-01-01,2012-12-31,c160,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8vcGRmcy8xOTI2OTMzNztBcFMyMjc2NTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/73396291/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMDYzMF8xNjIxMzJfMDky.xml,Danmark,2900  Hellerup,Strandvejen 44,4683  RÃ¸nnede,Industrivej 59,2900  Hellerup,Strandvejen 44,Regnskabsklasse B,2013-06-10,2013-06-23,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 600 anparter Ã  nominelt DKK 1.000. Ingen anparter er tillagt sÃ¦rlige rettigheder.,87108719.0,19269337.0,33771231.0,Ãrsrapport,Martin Rothe,Ignacio JosÃ© Walker,Avery Dennison Security Printing Europe ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,RÃ¸nnede,,RÃ¸nnede,2012-12-31,2012-01-01,2013-06-10,Hellerup,87108710.0,urn:ofk:oid:12515838,indberetninger-20180424,2.5117297,19269337.0,,2018-04-01T12:41:49.327Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-66.716,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
