entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PlantAndMachinery,PrepaymentsForIntangibleAssets,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2010-07-01,2011-06-30,ID_10,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8vcGRmcy8yODUwNjY1MTtBcFMzNDU3MTk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8veGJybHMvWC00MjdGQjRCNS0yMDEyMTEyNl8xNTIxNTVfNjQ1.xml,"Helsinge, 3200",NÃ¸rretoftevej 11,"2970, HÃ¸rsholm","Hovedgaden 28, 2. sal",Til kapitalejerne i Helsinge Bilpleje ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-02-01,2012-11-23,158260.0,Registreret revisor,789559.0,-1059540.0,34045607.0,28506651.0,34045607.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Helsinge Bilpleje ApS.,"Vi har revideret Ã¥rsregnskabet for Helsinge Bilpleje ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Bastved,Anders Gram Kristiansen,Anders  Gram Kristiansen,"Revisorkompagniet, Godkendt revisionsanpartsselskab",Handelsbanken A/S,Helsinge Bilpleje ApS,"Godkendt revisionsanpartsselskab, Revisorkompagniet",112970.0,1378.0,1248.0,-111722.0,2012-06-30,2011-07-01,2012-11-15,HÃ¸rsholm,130.0,DirektÃ¸r,urn:ofk:oid:16571648,indberetninger-20180424,2.5097342,28506651.0,,2018-04-02T08:03:04.908Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-290.694,2012-11-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_12,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8vcGRmcy8yODUwNjY1MTtBcFMzNDU3MTk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8veGJybHMvWC00MjdGQjRCNS0yMDEyMTEyNl8xNTIxNTVfNjQ1.xml,"Helsinge, 3200",NÃ¸rretoftevej 11,"2970, HÃ¸rsholm","Hovedgaden 28, 2. sal",Til kapitalejerne i Helsinge Bilpleje ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-02-01,2012-11-23,,Registreret revisor,,,34045607.0,28506651.0,34045607.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Helsinge Bilpleje ApS.,"Vi har revideret Ã¥rsregnskabet for Helsinge Bilpleje ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Bastved,Anders Gram Kristiansen,Anders  Gram Kristiansen,"Revisorkompagniet, Godkendt revisionsanpartsselskab",Handelsbanken A/S,Helsinge Bilpleje ApS,"Godkendt revisionsanpartsselskab, Revisorkompagniet",,-1378.0,,,2012-06-30,2011-07-01,2012-11-15,HÃ¸rsholm,,DirektÃ¸r,urn:ofk:oid:16571648,indberetninger-20180424,2.5097342,28506651.0,,2018-04-02T08:03:04.908Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-290.694,2012-11-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-07-01,2011-06-30,ID_14,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8vcGRmcy8yODUwNjY1MTtBcFMzNDU3MTk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8veGJybHMvWC00MjdGQjRCNS0yMDEyMTEyNl8xNTIxNTVfNjQ1.xml,"Helsinge, 3200",NÃ¸rretoftevej 11,"2970, HÃ¸rsholm","Hovedgaden 28, 2. sal",Til kapitalejerne i Helsinge Bilpleje ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-02-01,2012-11-23,,Registreret revisor,,,34045607.0,28506651.0,34045607.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Helsinge Bilpleje ApS.,"Vi har revideret Ã¥rsregnskabet for Helsinge Bilpleje ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Bastved,Anders Gram Kristiansen,Anders  Gram Kristiansen,"Revisorkompagniet, Godkendt revisionsanpartsselskab",Handelsbanken A/S,Helsinge Bilpleje ApS,"Godkendt revisionsanpartsselskab, Revisorkompagniet",,-1378.0,,,2012-06-30,2011-07-01,2012-11-15,HÃ¸rsholm,,DirektÃ¸r,urn:ofk:oid:16571648,indberetninger-20180424,2.5097342,28506651.0,,2018-04-02T08:03:04.908Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-290.694,2012-11-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-06-30,2011-06-30,ID_16,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8vcGRmcy8yODUwNjY1MTtBcFMzNDU3MTk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8veGJybHMvWC00MjdGQjRCNS0yMDEyMTEyNl8xNTIxNTVfNjQ1.xml,"Helsinge, 3200",NÃ¸rretoftevej 11,"2970, HÃ¸rsholm","Hovedgaden 28, 2. sal",Til kapitalejerne i Helsinge Bilpleje ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-02-01,2012-11-23,,Registreret revisor,,,34045607.0,28506651.0,34045607.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Helsinge Bilpleje ApS.,"Vi har revideret Ã¥rsregnskabet for Helsinge Bilpleje ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Bastved,Anders Gram Kristiansen,Anders  Gram Kristiansen,"Revisorkompagniet, Godkendt revisionsanpartsselskab",Handelsbanken A/S,Helsinge Bilpleje ApS,"Godkendt revisionsanpartsselskab, Revisorkompagniet",,,,,2012-06-30,2011-07-01,2012-11-15,HÃ¸rsholm,,DirektÃ¸r,urn:ofk:oid:16571648,indberetninger-20180424,2.5097342,28506651.0,,2018-04-02T08:03:04.908Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-290.694,2012-11-26T23:00:00.000Z,1387659.0,48496.0,-125000.0,505593.0,108639.0,27142.0,209149.0,324450.0,170000.0,260072.0,203508.0,166134.0,-1387660.0,-1511575.0,-1073235.0,-1073235.0,882066.0,-127671.0,131410.0,90072.0,621994.0,-85233.0,-85233.0,203508.0,334149.0,-15000.0,-438340.0,-240000.0,0.0,253589.0,46074.0,0.0,-55669.0,71734.0
entity identifier,2011-07-01,2012-06-30,ID_0,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8vcGRmcy8yODUwNjY1MTtBcFMzNDU3MTk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8veGJybHMvWC00MjdGQjRCNS0yMDEyMTEyNl8xNTIxNTVfNjQ1.xml,"Helsinge, 3200",NÃ¸rretoftevej 11,"2970, HÃ¸rsholm","Hovedgaden 28, 2. sal",Til kapitalejerne i Helsinge Bilpleje ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-02-01,2012-11-23,,Registreret revisor,,,34045607.0,28506651.0,34045607.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Helsinge Bilpleje ApS.,"Vi har revideret Ã¥rsregnskabet for Helsinge Bilpleje ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Bastved,Anders Gram Kristiansen,Anders  Gram Kristiansen,"Revisorkompagniet, Godkendt revisionsanpartsselskab",Handelsbanken A/S,Helsinge Bilpleje ApS,"Godkendt revisionsanpartsselskab, Revisorkompagniet",,,,,2012-06-30,2011-07-01,2012-11-15,HÃ¸rsholm,,DirektÃ¸r,urn:ofk:oid:16571648,indberetninger-20180424,2.5097342,28506651.0,,2018-04-02T08:03:04.908Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-290.694,2012-11-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_1,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8vcGRmcy8yODUwNjY1MTtBcFMzNDU3MTk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8veGJybHMvWC00MjdGQjRCNS0yMDEyMTEyNl8xNTIxNTVfNjQ1.xml,"Helsinge, 3200",NÃ¸rretoftevej 11,"2970, HÃ¸rsholm","Hovedgaden 28, 2. sal",Til kapitalejerne i Helsinge Bilpleje ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-02-01,2012-11-23,,Registreret revisor,,,34045607.0,28506651.0,34045607.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Helsinge Bilpleje ApS.,"Vi har revideret Ã¥rsregnskabet for Helsinge Bilpleje ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Bastved,Anders Gram Kristiansen,Anders  Gram Kristiansen,"Revisorkompagniet, Godkendt revisionsanpartsselskab",Handelsbanken A/S,Helsinge Bilpleje ApS,"Godkendt revisionsanpartsselskab, Revisorkompagniet",,,,,2012-06-30,2011-07-01,2012-11-15,HÃ¸rsholm,,DirektÃ¸r,urn:ofk:oid:16571648,indberetninger-20180424,2.5097342,28506651.0,,2018-04-02T08:03:04.908Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-290.694,2012-11-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_11,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8vcGRmcy8yODUwNjY1MTtBcFMzNDU3MTk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8veGJybHMvWC00MjdGQjRCNS0yMDEyMTEyNl8xNTIxNTVfNjQ1.xml,"Helsinge, 3200",NÃ¸rretoftevej 11,"2970, HÃ¸rsholm","Hovedgaden 28, 2. sal",Til kapitalejerne i Helsinge Bilpleje ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-02-01,2012-11-23,,Registreret revisor,,,34045607.0,28506651.0,34045607.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Helsinge Bilpleje ApS.,"Vi har revideret Ã¥rsregnskabet for Helsinge Bilpleje ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Bastved,Anders Gram Kristiansen,Anders  Gram Kristiansen,"Revisorkompagniet, Godkendt revisionsanpartsselskab",Handelsbanken A/S,Helsinge Bilpleje ApS,"Godkendt revisionsanpartsselskab, Revisorkompagniet",,-118963.0,,,2012-06-30,2011-07-01,2012-11-15,HÃ¸rsholm,,DirektÃ¸r,urn:ofk:oid:16571648,indberetninger-20180424,2.5097342,28506651.0,,2018-04-02T08:03:04.908Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-290.694,2012-11-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_13,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8vcGRmcy8yODUwNjY1MTtBcFMzNDU3MTk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8veGJybHMvWC00MjdGQjRCNS0yMDEyMTEyNl8xNTIxNTVfNjQ1.xml,"Helsinge, 3200",NÃ¸rretoftevej 11,"2970, HÃ¸rsholm","Hovedgaden 28, 2. sal",Til kapitalejerne i Helsinge Bilpleje ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-02-01,2012-11-23,,Registreret revisor,,,34045607.0,28506651.0,34045607.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Helsinge Bilpleje ApS.,"Vi har revideret Ã¥rsregnskabet for Helsinge Bilpleje ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Bastved,Anders Gram Kristiansen,Anders  Gram Kristiansen,"Revisorkompagniet, Godkendt revisionsanpartsselskab",Handelsbanken A/S,Helsinge Bilpleje ApS,"Godkendt revisionsanpartsselskab, Revisorkompagniet",,-118963.0,,,2012-06-30,2011-07-01,2012-11-15,HÃ¸rsholm,,DirektÃ¸r,urn:ofk:oid:16571648,indberetninger-20180424,2.5097342,28506651.0,,2018-04-02T08:03:04.908Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-290.694,2012-11-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_17,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8vcGRmcy8yODUwNjY1MTtBcFMzNDU3MTk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8veGJybHMvWC00MjdGQjRCNS0yMDEyMTEyNl8xNTIxNTVfNjQ1.xml,"Helsinge, 3200",NÃ¸rretoftevej 11,"2970, HÃ¸rsholm","Hovedgaden 28, 2. sal",Til kapitalejerne i Helsinge Bilpleje ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-02-01,2012-11-23,,Registreret revisor,,,34045607.0,28506651.0,34045607.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Helsinge Bilpleje ApS.,"Vi har revideret Ã¥rsregnskabet for Helsinge Bilpleje ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Bastved,Anders Gram Kristiansen,Anders  Gram Kristiansen,"Revisorkompagniet, Godkendt revisionsanpartsselskab",Handelsbanken A/S,Helsinge Bilpleje ApS,"Godkendt revisionsanpartsselskab, Revisorkompagniet",,,,,2012-06-30,2011-07-01,2012-11-15,HÃ¸rsholm,,DirektÃ¸r,urn:ofk:oid:16571648,indberetninger-20180424,2.5097342,28506651.0,,2018-04-02T08:03:04.908Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-290.694,2012-11-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_18,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8vcGRmcy8yODUwNjY1MTtBcFMzNDU3MTk7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/15660582/Y3ZyLmRrOi8veGJybHMvWC00MjdGQjRCNS0yMDEyMTEyNl8xNTIxNTVfNjQ1.xml,"Helsinge, 3200",NÃ¸rretoftevej 11,"2970, HÃ¸rsholm","Hovedgaden 28, 2. sal",Til kapitalejerne i Helsinge Bilpleje ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2005-02-01,2012-11-23,,Registreret revisor,,,34045607.0,28506651.0,34045607.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for Helsinge Bilpleje ApS.,"Vi har revideret Ã¥rsregnskabet for Helsinge Bilpleje ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Bjarne Bastved,Anders Gram Kristiansen,Anders  Gram Kristiansen,"Revisorkompagniet, Godkendt revisionsanpartsselskab",Handelsbanken A/S,Helsinge Bilpleje ApS,"Godkendt revisionsanpartsselskab, Revisorkompagniet",,,,,2012-06-30,2011-07-01,2012-11-15,HÃ¸rsholm,,DirektÃ¸r,urn:ofk:oid:16571648,indberetninger-20180424,2.5097342,28506651.0,,2018-04-02T08:03:04.908Z,2012-11-26T23:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-290.694,2012-11-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
