entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncomeFromGroupEnterprises,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,NameAndSurnameOfMemberOfExecutiveBoard,DividendPaid
28479506,2017-07-01,2018-06-30,ID_14,,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzBiL2JiLzgyL2ZkOTEtNGQ2Ny1iMWJhLTgzYzc3Y2NkMjJkYw.pdf,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzBmL2QyLzA4L2ZmL2I4ZWYtNDMzZS05MWQ2LWViYjYxYmU1MTZiMA.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Anders Kristensen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-11-01,2019-11-01,2005-02-01,2019-11-13,-81948.0,39463113.0,28479506.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Anders Kristensen Holding ApS.,2490011.0,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Anders Kristensen,Kreston CM,Anders Kristensen Holding ApS,"Kreston CM, Statsautoriseret Revisionsinteressentskab",274.0,KÃ¸ge,2017-07-01,2018-06-30,2458650.0,2450466.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸ge, 259",2019-06-30,2018-07-01,2314.0,false,2019-11-01,KÃ¸benhavn,-8184.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:28016601,indberetninger-20180424,2.5097342,28479506.0,AW5lTJgyIXJRhhXBPbtI,2019-11-13T15:06:26.935Z,2019-11-13T15:05:48.311Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DK-73-NH,2019-11-13T15:05:48.556Z,,,,,,,,,,,,,,,,,,,,,,,,
28479506,2017-07-01,2018-06-30,ID_16,,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzBiL2JiLzgyL2ZkOTEtNGQ2Ny1iMWJhLTgzYzc3Y2NkMjJkYw.pdf,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzBmL2QyLzA4L2ZmL2I4ZWYtNDMzZS05MWQ2LWViYjYxYmU1MTZiMA.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Anders Kristensen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-11-01,2019-11-01,2005-02-01,2019-11-13,,39463113.0,28479506.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Anders Kristensen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Anders Kristensen,Kreston CM,Anders Kristensen Holding ApS,"Kreston CM, Statsautoriseret Revisionsinteressentskab",,KÃ¸ge,2017-07-01,2018-06-30,411000.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸ge, 259",2019-06-30,2018-07-01,,false,2019-11-01,KÃ¸benhavn,,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:28016601,indberetninger-20180424,2.5097342,28479506.0,AW5lTJgyIXJRhhXBPbtI,2019-11-13T15:06:26.935Z,2019-11-13T15:05:48.311Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DK-73-NH,2019-11-13T15:05:48.556Z,,,,,,,,,,,,,,,,,,,,,,,,
28479506,2017-07-01,2018-06-30,ID_18,,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzBiL2JiLzgyL2ZkOTEtNGQ2Ny1iMWJhLTgzYzc3Y2NkMjJkYw.pdf,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzBmL2QyLzA4L2ZmL2I4ZWYtNDMzZS05MWQ2LWViYjYxYmU1MTZiMA.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Anders Kristensen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-11-01,2019-11-01,2005-02-01,2019-11-13,,39463113.0,28479506.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Anders Kristensen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Anders Kristensen,Kreston CM,Anders Kristensen Holding ApS,"Kreston CM, Statsautoriseret Revisionsinteressentskab",,KÃ¸ge,2017-07-01,2018-06-30,2376011.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸ge, 259",2019-06-30,2018-07-01,,false,2019-11-01,KÃ¸benhavn,,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:28016601,indberetninger-20180424,2.5097342,28479506.0,AW5lTJgyIXJRhhXBPbtI,2019-11-13T15:06:26.935Z,2019-11-13T15:05:48.311Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DK-73-NH,2019-11-13T15:05:48.556Z,,,,,,,,,,,,,,,,,,,,,,,,
28479506,2017-07-01,2018-06-30,ID_20,,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzBiL2JiLzgyL2ZkOTEtNGQ2Ny1iMWJhLTgzYzc3Y2NkMjJkYw.pdf,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzBmL2QyLzA4L2ZmL2I4ZWYtNDMzZS05MWQ2LWViYjYxYmU1MTZiMA.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Anders Kristensen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-11-01,2019-11-01,2005-02-01,2019-11-13,,39463113.0,28479506.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Anders Kristensen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Anders Kristensen,Kreston CM,Anders Kristensen Holding ApS,"Kreston CM, Statsautoriseret Revisionsinteressentskab",,KÃ¸ge,2017-07-01,2018-06-30,-328361.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸ge, 259",2019-06-30,2018-07-01,,false,2019-11-01,KÃ¸benhavn,,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:28016601,indberetninger-20180424,2.5097342,28479506.0,AW5lTJgyIXJRhhXBPbtI,2019-11-13T15:06:26.935Z,2019-11-13T15:05:48.311Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DK-73-NH,2019-11-13T15:05:48.556Z,,,,,,,,,,,,,,,,,,,,,,,,
28479506,2018-06-30,2018-06-30,ID_5,,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzBiL2JiLzgyL2ZkOTEtNGQ2Ny1iMWJhLTgzYzc3Y2NkMjJkYw.pdf,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzBmL2QyLzA4L2ZmL2I4ZWYtNDMzZS05MWQ2LWViYjYxYmU1MTZiMA.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Anders Kristensen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-11-01,2019-11-01,2005-02-01,2019-11-13,,39463113.0,28479506.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Anders Kristensen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Anders Kristensen,Kreston CM,Anders Kristensen Holding ApS,"Kreston CM, Statsautoriseret Revisionsinteressentskab",,KÃ¸ge,2017-07-01,2018-06-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸ge, 259",2019-06-30,2018-07-01,,false,2019-11-01,KÃ¸benhavn,,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:28016601,indberetninger-20180424,2.5097342,28479506.0,AW5lTJgyIXJRhhXBPbtI,2019-11-13T15:06:26.935Z,2019-11-13T15:05:48.311Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DK-73-NH,2019-11-13T15:05:48.556Z,17351132.0,2372787.0,125000.0,3644792.0,8184.0,17349098.0,1251227.0,406382.0,17351132.0,2034.0,13299958.0,13299958.0,1251227.0,13706340.0,2034.0,406382.0,411000.0,13251208.0,3561890.0,2034.0,20778.0,12594.0,,
28479506,2018-07-01,2018-07-01,ID_10,,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzBiL2JiLzgyL2ZkOTEtNGQ2Ny1iMWJhLTgzYzc3Y2NkMjJkYw.pdf,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzBmL2QyLzA4L2ZmL2I4ZWYtNDMzZS05MWQ2LWViYjYxYmU1MTZiMA.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Anders Kristensen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-11-01,2019-11-01,2005-02-01,2019-11-13,,39463113.0,28479506.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Anders Kristensen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Anders Kristensen,Kreston CM,Anders Kristensen Holding ApS,"Kreston CM, Statsautoriseret Revisionsinteressentskab",,KÃ¸ge,2017-07-01,2018-06-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸ge, 259",2019-06-30,2018-07-01,,false,2019-11-01,KÃ¸benhavn,,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:28016601,indberetninger-20180424,2.5097342,28479506.0,AW5lTJgyIXJRhhXBPbtI,2019-11-13T15:06:26.935Z,2019-11-13T15:05:48.311Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DK-73-NH,2019-11-13T15:05:48.556Z,,,,,,-125000.0,,,,,,,,,,,,,,,,,,
28479506,2018-07-01,2018-07-01,ID_11,,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzBiL2JiLzgyL2ZkOTEtNGQ2Ny1iMWJhLTgzYzc3Y2NkMjJkYw.pdf,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzBmL2QyLzA4L2ZmL2I4ZWYtNDMzZS05MWQ2LWViYjYxYmU1MTZiMA.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Anders Kristensen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-11-01,2019-11-01,2005-02-01,2019-11-13,,39463113.0,28479506.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Anders Kristensen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Anders Kristensen,Kreston CM,Anders Kristensen Holding ApS,"Kreston CM, Statsautoriseret Revisionsinteressentskab",,KÃ¸ge,2017-07-01,2018-06-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸ge, 259",2019-06-30,2018-07-01,,false,2019-11-01,KÃ¸benhavn,,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:28016601,indberetninger-20180424,2.5097342,28479506.0,AW5lTJgyIXJRhhXBPbtI,2019-11-13T15:06:26.935Z,2019-11-13T15:05:48.311Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DK-73-NH,2019-11-13T15:05:48.556Z,,,,,,-13251208.0,,,,,,,,,,,,,,,,,,
28479506,2018-07-01,2018-07-01,ID_12,,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzBiL2JiLzgyL2ZkOTEtNGQ2Ny1iMWJhLTgzYzc3Y2NkMjJkYw.pdf,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzBmL2QyLzA4L2ZmL2I4ZWYtNDMzZS05MWQ2LWViYjYxYmU1MTZiMA.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Anders Kristensen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-11-01,2019-11-01,2005-02-01,2019-11-13,,39463113.0,28479506.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Anders Kristensen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Anders Kristensen,Kreston CM,Anders Kristensen Holding ApS,"Kreston CM, Statsautoriseret Revisionsinteressentskab",,KÃ¸ge,2017-07-01,2018-06-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸ge, 259",2019-06-30,2018-07-01,,false,2019-11-01,KÃ¸benhavn,,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:28016601,indberetninger-20180424,2.5097342,28479506.0,AW5lTJgyIXJRhhXBPbtI,2019-11-13T15:06:26.935Z,2019-11-13T15:05:48.311Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DK-73-NH,2019-11-13T15:05:48.556Z,,,,,,-3561890.0,,,,,,,,,,,,,,,,,,
28479506,2018-07-01,2018-07-01,ID_13,,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzBiL2JiLzgyL2ZkOTEtNGQ2Ny1iMWJhLTgzYzc3Y2NkMjJkYw.pdf,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzBmL2QyLzA4L2ZmL2I4ZWYtNDMzZS05MWQ2LWViYjYxYmU1MTZiMA.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Anders Kristensen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-11-01,2019-11-01,2005-02-01,2019-11-13,,39463113.0,28479506.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Anders Kristensen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Anders Kristensen,Kreston CM,Anders Kristensen Holding ApS,"Kreston CM, Statsautoriseret Revisionsinteressentskab",,KÃ¸ge,2017-07-01,2018-06-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸ge, 259",2019-06-30,2018-07-01,,false,2019-11-01,KÃ¸benhavn,,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:28016601,indberetninger-20180424,2.5097342,28479506.0,AW5lTJgyIXJRhhXBPbtI,2019-11-13T15:06:26.935Z,2019-11-13T15:05:48.311Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DK-73-NH,2019-11-13T15:05:48.556Z,,,,,,-411000.0,,,,,,,,,,,,,,,,,,
28479506,2018-07-01,2019-06-30,ID_0,,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzBiL2JiLzgyL2ZkOTEtNGQ2Ny1iMWJhLTgzYzc3Y2NkMjJkYw.pdf,http://regnskaber.virk.dk/60597482/ZG9rdW1lbnRsYWdlcjovLzAzLzBmL2QyLzA4L2ZmL2I4ZWYtNDMzZS05MWQ2LWViYjYxYmU1MTZiMA.xml,true,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Anders Kristensen Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",2019-11-01,2019-11-01,2005-02-01,2019-11-13,-95747.0,39463113.0,28479506.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Anders Kristensen Holding ApS.,2778175.0,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Anders Kristensen,Kreston CM,Anders Kristensen Holding ApS,"Kreston CM, Statsautoriseret Revisionsinteressentskab",0.0,KÃ¸ge,2017-07-01,2018-06-30,2747955.0,2739595.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"KÃ¸ge, 259",2019-06-30,2018-07-01,11072.0,false,2019-11-01,KÃ¸benhavn,-8360.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:28016601,indberetninger-20180424,2.5097342,28479506.0,AW5lTJgyIXJRhhXBPbtI,2019-11-13T15:06:26.935Z,2019-11-13T15:05:48.311Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DK-73-NH,2019-11-13T15:05:48.556Z,,,,,,,,,,,,,,,,,,,,,,,,
