entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,OtherOperatingExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivablesFromGroupEnterprises,ShorttermTradeReceivables
28292481,2015-01-01,2015-12-31,ID_11,,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzdiLzkzL2YyLzJmNmEtNDY4Ni1iZjcwLWFhZjVmZDcxNDUzZQ.pdf,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzk5Lzg3L2YxL2NkNDItNDZkYi04Y2NlLTI2MWIzMDM2ZDA3ZA.xml,false,"8355, Solbjerg",Solbjerg Hovedgade 24,Til den daglige ledelse i Beregnerkontoret VVS Kalkulation ApS,Regnskabsklasse B,2017-05-31,2017-05-31,2004-12-05,2017-05-31,28312393.0,28292481.0,28312393.0,Ãrsrapport,John Schantz,Marianne Christiansen,Marianne Christiansen,Revisionsfirmaet John Schantz,Handelsbanken,Beregnerkontoret VVS Kalkulation ApS,"Revisionsfirmaet John Schantz, Registreret revisionsaktieselskab",MÃ¥rslet,2015-01-01,2015-12-31,75000.0,2016-12-31,2016-01-01,false,2017-05-31,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24151006,indberetninger-20180424,2.5097508,28292481.0,,2018-03-29T05:44:10.578Z,2017-06-08T13:41:38.245Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-86-DY,2017-06-08T13:41:38.589Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28292481,2015-01-01,2015-12-31,ID_6,,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzdiLzkzL2YyLzJmNmEtNDY4Ni1iZjcwLWFhZjVmZDcxNDUzZQ.pdf,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzk5Lzg3L2YxL2NkNDItNDZkYi04Y2NlLTI2MWIzMDM2ZDA3ZA.xml,false,"8355, Solbjerg",Solbjerg Hovedgade 24,Til den daglige ledelse i Beregnerkontoret VVS Kalkulation ApS,Regnskabsklasse B,2017-05-31,2017-05-31,2004-12-05,2017-05-31,28312393.0,28292481.0,28312393.0,Ãrsrapport,John Schantz,Marianne Christiansen,Marianne Christiansen,Revisionsfirmaet John Schantz,Handelsbanken,Beregnerkontoret VVS Kalkulation ApS,"Revisionsfirmaet John Schantz, Registreret revisionsaktieselskab",MÃ¥rslet,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,2017-05-31,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24151006,indberetninger-20180424,2.5097508,28292481.0,,2018-03-29T05:44:10.578Z,2017-06-08T13:41:38.245Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-86-DY,2017-06-08T13:41:38.589Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28292481,2015-01-01,2015-12-31,ID_7,,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzdiLzkzL2YyLzJmNmEtNDY4Ni1iZjcwLWFhZjVmZDcxNDUzZQ.pdf,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzk5Lzg3L2YxL2NkNDItNDZkYi04Y2NlLTI2MWIzMDM2ZDA3ZA.xml,false,"8355, Solbjerg",Solbjerg Hovedgade 24,Til den daglige ledelse i Beregnerkontoret VVS Kalkulation ApS,Regnskabsklasse B,2017-05-31,2017-05-31,2004-12-05,2017-05-31,28312393.0,28292481.0,28312393.0,Ãrsrapport,John Schantz,Marianne Christiansen,Marianne Christiansen,Revisionsfirmaet John Schantz,Handelsbanken,Beregnerkontoret VVS Kalkulation ApS,"Revisionsfirmaet John Schantz, Registreret revisionsaktieselskab",MÃ¥rslet,2015-01-01,2015-12-31,8675.0,2016-12-31,2016-01-01,false,2017-05-31,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24151006,indberetninger-20180424,2.5097508,28292481.0,,2018-03-29T05:44:10.578Z,2017-06-08T13:41:38.245Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-86-DY,2017-06-08T13:41:38.589Z,,0.0,541163.0,556028.0,367.0,0.0,1298.0,0.0,15796.0,14865.0,7121.0,,,,,,,,,,,,,,,,,,,,,,,
28292481,2015-01-01,2015-12-31,ID_9,,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzdiLzkzL2YyLzJmNmEtNDY4Ni1iZjcwLWFhZjVmZDcxNDUzZQ.pdf,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzk5Lzg3L2YxL2NkNDItNDZkYi04Y2NlLTI2MWIzMDM2ZDA3ZA.xml,false,"8355, Solbjerg",Solbjerg Hovedgade 24,Til den daglige ledelse i Beregnerkontoret VVS Kalkulation ApS,Regnskabsklasse B,2017-05-31,2017-05-31,2004-12-05,2017-05-31,28312393.0,28292481.0,28312393.0,Ãrsrapport,John Schantz,Marianne Christiansen,Marianne Christiansen,Revisionsfirmaet John Schantz,Handelsbanken,Beregnerkontoret VVS Kalkulation ApS,"Revisionsfirmaet John Schantz, Registreret revisionsaktieselskab",MÃ¥rslet,2015-01-01,2015-12-31,-83675.0,2016-12-31,2016-01-01,false,2017-05-31,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24151006,indberetninger-20180424,2.5097508,28292481.0,,2018-03-29T05:44:10.578Z,2017-06-08T13:41:38.245Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-86-DY,2017-06-08T13:41:38.589Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28292481,2015-12-31,2015-12-31,ID_4,,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzdiLzkzL2YyLzJmNmEtNDY4Ni1iZjcwLWFhZjVmZDcxNDUzZQ.pdf,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzk5Lzg3L2YxL2NkNDItNDZkYi04Y2NlLTI2MWIzMDM2ZDA3ZA.xml,false,"8355, Solbjerg",Solbjerg Hovedgade 24,Til den daglige ledelse i Beregnerkontoret VVS Kalkulation ApS,Regnskabsklasse B,2017-05-31,2017-05-31,2004-12-05,2017-05-31,28312393.0,28292481.0,28312393.0,Ãrsrapport,John Schantz,Marianne Christiansen,Marianne Christiansen,Revisionsfirmaet John Schantz,Handelsbanken,Beregnerkontoret VVS Kalkulation ApS,"Revisionsfirmaet John Schantz, Registreret revisionsaktieselskab",MÃ¥rslet,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,2017-05-31,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24151006,indberetninger-20180424,2.5097508,28292481.0,,2018-03-29T05:44:10.578Z,2017-06-08T13:41:38.245Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-86-DY,2017-06-08T13:41:38.589Z,,,,,,,,,,,,367306.0,318947.0,125000.0,367306.0,0.0,4396.0,208675.0,0.0,367306.0,158631.0,0.0,143145.0,0.0,83675.0,0.0,0.0,158631.0,8365.0,0.0,48359.0,7121.0,0.0,43963.0
28292481,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzdiLzkzL2YyLzJmNmEtNDY4Ni1iZjcwLWFhZjVmZDcxNDUzZQ.pdf,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzk5Lzg3L2YxL2NkNDItNDZkYi04Y2NlLTI2MWIzMDM2ZDA3ZA.xml,false,"8355, Solbjerg",Solbjerg Hovedgade 24,Til den daglige ledelse i Beregnerkontoret VVS Kalkulation ApS,Regnskabsklasse B,2017-05-31,2017-05-31,2004-12-05,2017-05-31,28312393.0,28292481.0,28312393.0,Ãrsrapport,John Schantz,Marianne Christiansen,Marianne Christiansen,Revisionsfirmaet John Schantz,Handelsbanken,Beregnerkontoret VVS Kalkulation ApS,"Revisionsfirmaet John Schantz, Registreret revisionsaktieselskab",MÃ¥rslet,2015-01-01,2015-12-31,-33739.0,2016-12-31,2016-01-01,false,2017-05-31,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24151006,indberetninger-20180424,2.5097508,28292481.0,,2018-03-29T05:44:10.578Z,2017-06-08T13:41:38.245Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-86-DY,2017-06-08T13:41:38.589Z,,50000.0,600942.0,648591.0,5888.0,950.0,0.0,30000.0,-37289.0,-32351.0,-3550.0,,,,,,,,,,,,,,,,,,,,,,,
28292481,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzdiLzkzL2YyLzJmNmEtNDY4Ni1iZjcwLWFhZjVmZDcxNDUzZQ.pdf,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzk5Lzg3L2YxL2NkNDItNDZkYi04Y2NlLTI2MWIzMDM2ZDA3ZA.xml,false,"8355, Solbjerg",Solbjerg Hovedgade 24,Til den daglige ledelse i Beregnerkontoret VVS Kalkulation ApS,Regnskabsklasse B,2017-05-31,2017-05-31,2004-12-05,2017-05-31,28312393.0,28292481.0,28312393.0,Ãrsrapport,John Schantz,Marianne Christiansen,Marianne Christiansen,Revisionsfirmaet John Schantz,Handelsbanken,Beregnerkontoret VVS Kalkulation ApS,"Revisionsfirmaet John Schantz, Registreret revisionsaktieselskab",MÃ¥rslet,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,2017-05-31,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24151006,indberetninger-20180424,2.5097508,28292481.0,,2018-03-29T05:44:10.578Z,2017-06-08T13:41:38.245Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-86-DY,2017-06-08T13:41:38.589Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28292481,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzdiLzkzL2YyLzJmNmEtNDY4Ni1iZjcwLWFhZjVmZDcxNDUzZQ.pdf,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzk5Lzg3L2YxL2NkNDItNDZkYi04Y2NlLTI2MWIzMDM2ZDA3ZA.xml,false,"8355, Solbjerg",Solbjerg Hovedgade 24,Til den daglige ledelse i Beregnerkontoret VVS Kalkulation ApS,Regnskabsklasse B,2017-05-31,2017-05-31,2004-12-05,2017-05-31,28312393.0,28292481.0,28312393.0,Ãrsrapport,John Schantz,Marianne Christiansen,Marianne Christiansen,Revisionsfirmaet John Schantz,Handelsbanken,Beregnerkontoret VVS Kalkulation ApS,"Revisionsfirmaet John Schantz, Registreret revisionsaktieselskab",MÃ¥rslet,2015-01-01,2015-12-31,33739.0,2016-12-31,2016-01-01,false,2017-05-31,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24151006,indberetninger-20180424,2.5097508,28292481.0,,2018-03-29T05:44:10.578Z,2017-06-08T13:41:38.245Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-86-DY,2017-06-08T13:41:38.589Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28292481,2016-01-01,2016-12-31,ID_2,,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzdiLzkzL2YyLzJmNmEtNDY4Ni1iZjcwLWFhZjVmZDcxNDUzZQ.pdf,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzk5Lzg3L2YxL2NkNDItNDZkYi04Y2NlLTI2MWIzMDM2ZDA3ZA.xml,false,"8355, Solbjerg",Solbjerg Hovedgade 24,Til den daglige ledelse i Beregnerkontoret VVS Kalkulation ApS,Regnskabsklasse B,2017-05-31,2017-05-31,2004-12-05,2017-05-31,28312393.0,28292481.0,28312393.0,Ãrsrapport,John Schantz,Marianne Christiansen,Marianne Christiansen,Revisionsfirmaet John Schantz,Handelsbanken,Beregnerkontoret VVS Kalkulation ApS,"Revisionsfirmaet John Schantz, Registreret revisionsaktieselskab",MÃ¥rslet,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,2017-05-31,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24151006,indberetninger-20180424,2.5097508,28292481.0,,2018-03-29T05:44:10.578Z,2017-06-08T13:41:38.245Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-86-DY,2017-06-08T13:41:38.589Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28292481,2016-01-01,2016-12-31,ID_5,,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzdiLzkzL2YyLzJmNmEtNDY4Ni1iZjcwLWFhZjVmZDcxNDUzZQ.pdf,http://regnskaber.virk.dk/18429282/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzk5Lzg3L2YxL2NkNDItNDZkYi04Y2NlLTI2MWIzMDM2ZDA3ZA.xml,false,"8355, Solbjerg",Solbjerg Hovedgade 24,Til den daglige ledelse i Beregnerkontoret VVS Kalkulation ApS,Regnskabsklasse B,2017-05-31,2017-05-31,2004-12-05,2017-05-31,28312393.0,28292481.0,28312393.0,Ãrsrapport,John Schantz,Marianne Christiansen,Marianne Christiansen,Revisionsfirmaet John Schantz,Handelsbanken,Beregnerkontoret VVS Kalkulation ApS,"Revisionsfirmaet John Schantz, Registreret revisionsaktieselskab",MÃ¥rslet,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,2017-05-31,Solbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24151006,indberetninger-20180424,2.5097508,28292481.0,,2018-03-29T05:44:10.578Z,2017-06-08T13:41:38.245Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-86-DY,2017-06-08T13:41:38.589Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
