entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirmAppointedToPerformAudit,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnReceivablesFromOwnersAndManagement,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirmAppointedToPerformAudit,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TelephoneNumberOfReportingEntity,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8vcGRmcy8yNjMwMzUwODtBcFMyOTI1MjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8veGJybHMvWC1CMUREOEEyRi0yMDEzMDUyOF8wOTIzNTFfMjA2.xml,"BÃ¸rkop, 7080",Bystedparken 50,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-04-10,2001-11-02,2013-05-25,27479677.0,26303508.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Erik  Henningsen,Johnny DamkjÃ¦r,Johnny  DamkjÃ¦r,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle,-40979.0,"630, vejle",2012-12-31,2012-01-01,74 86 25 25,urn:ofk:oid:13130728,indberetninger-20180424,2.5124327999999996,26303508.0,,2018-04-01T21:56:02.353Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.896,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8vcGRmcy8yNjMwMzUwODtBcFMyOTI1MjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8veGJybHMvWC1CMUREOEEyRi0yMDEzMDUyOF8wOTIzNTFfMjA2.xml,"BÃ¸rkop, 7080",Bystedparken 50,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-04-10,2001-11-02,2013-05-25,27479677.0,26303508.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Erik  Henningsen,Johnny DamkjÃ¦r,Johnny  DamkjÃ¦r,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle,-40979.0,"630, vejle",2012-12-31,2012-01-01,74 86 25 25,urn:ofk:oid:13130728,indberetninger-20180424,2.5124327999999996,26303508.0,,2018-04-01T21:56:02.353Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.896,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_9,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8vcGRmcy8yNjMwMzUwODtBcFMyOTI1MjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8veGJybHMvWC1CMUREOEEyRi0yMDEzMDUyOF8wOTIzNTFfMjA2.xml,"BÃ¸rkop, 7080",Bystedparken 50,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-04-10,2001-11-02,2013-05-25,27479677.0,26303508.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Erik  Henningsen,Johnny DamkjÃ¦r,Johnny  DamkjÃ¦r,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle,40979.0,"630, vejle",2012-12-31,2012-01-01,74 86 25 25,urn:ofk:oid:13130728,indberetninger-20180424,2.5124327999999996,26303508.0,,2018-04-01T21:56:02.353Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.896,2013-05-28T22:00:00.000Z,-20000.0,368813.0,-297029.0,781.0,-597.0,51968.0,51784.0,-10989.0,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_15,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8vcGRmcy8yNjMwMzUwODtBcFMyOTI1MjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8veGJybHMvWC1CMUREOEEyRi0yMDEzMDUyOF8wOTIzNTFfMjA2.xml,"BÃ¸rkop, 7080",Bystedparken 50,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-04-10,2001-11-02,2013-05-25,27479677.0,26303508.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Erik  Henningsen,Johnny DamkjÃ¦r,Johnny  DamkjÃ¦r,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle,,"630, vejle",2012-12-31,2012-01-01,74 86 25 25,urn:ofk:oid:13130728,indberetninger-20180424,2.5124327999999996,26303508.0,,2018-04-01T21:56:02.353Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.896,2013-05-28T22:00:00.000Z,,,,,,,,,717592.0,482436.0,36805.0,-125000.0,717592.0,43833.0,15000.0,-432757.0,0.0,50000.0,-717592.0,-284835.0,0.0,-120138.0,1740.0,0.0,50000.0,-307757.0,-284835.0,185156.0,12000.0,-164697.0,75778.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8vcGRmcy8yNjMwMzUwODtBcFMyOTI1MjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8veGJybHMvWC1CMUREOEEyRi0yMDEzMDUyOF8wOTIzNTFfMjA2.xml,"BÃ¸rkop, 7080",Bystedparken 50,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-04-10,2001-11-02,2013-05-25,27479677.0,26303508.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Erik  Henningsen,Johnny DamkjÃ¦r,Johnny  DamkjÃ¦r,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle,,"630, vejle",2012-12-31,2012-01-01,74 86 25 25,urn:ofk:oid:13130728,indberetninger-20180424,2.5124327999999996,26303508.0,,2018-04-01T21:56:02.353Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.896,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8vcGRmcy8yNjMwMzUwODtBcFMyOTI1MjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8veGJybHMvWC1CMUREOEEyRi0yMDEzMDUyOF8wOTIzNTFfMjA2.xml,"BÃ¸rkop, 7080",Bystedparken 50,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-04-10,2001-11-02,2013-05-25,27479677.0,26303508.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Erik  Henningsen,Johnny DamkjÃ¦r,Johnny  DamkjÃ¦r,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle,,"630, vejle",2012-12-31,2012-01-01,74 86 25 25,urn:ofk:oid:13130728,indberetninger-20180424,2.5124327999999996,26303508.0,,2018-04-01T21:56:02.353Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.896,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8vcGRmcy8yNjMwMzUwODtBcFMyOTI1MjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8veGJybHMvWC1CMUREOEEyRi0yMDEzMDUyOF8wOTIzNTFfMjA2.xml,"BÃ¸rkop, 7080",Bystedparken 50,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-04-10,2001-11-02,2013-05-25,27479677.0,26303508.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Erik  Henningsen,Johnny DamkjÃ¦r,Johnny  DamkjÃ¦r,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle,-109075.0,"630, vejle",2012-12-31,2012-01-01,74 86 25 25,urn:ofk:oid:13130728,indberetninger-20180424,2.5124327999999996,26303508.0,,2018-04-01T21:56:02.353Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.896,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8vcGRmcy8yNjMwMzUwODtBcFMyOTI1MjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8veGJybHMvWC1CMUREOEEyRi0yMDEzMDUyOF8wOTIzNTFfMjA2.xml,"BÃ¸rkop, 7080",Bystedparken 50,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-04-10,2001-11-02,2013-05-25,27479677.0,26303508.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Erik  Henningsen,Johnny DamkjÃ¦r,Johnny  DamkjÃ¦r,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle,-109075.0,"630, vejle",2012-12-31,2012-01-01,74 86 25 25,urn:ofk:oid:13130728,indberetninger-20180424,2.5124327999999996,26303508.0,,2018-04-01T21:56:02.353Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.896,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_16,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8vcGRmcy8yNjMwMzUwODtBcFMyOTI1MjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8veGJybHMvWC1CMUREOEEyRi0yMDEzMDUyOF8wOTIzNTFfMjA2.xml,"BÃ¸rkop, 7080",Bystedparken 50,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-04-10,2001-11-02,2013-05-25,27479677.0,26303508.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Erik  Henningsen,Johnny DamkjÃ¦r,Johnny  DamkjÃ¦r,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle,,"630, vejle",2012-12-31,2012-01-01,74 86 25 25,urn:ofk:oid:13130728,indberetninger-20180424,2.5124327999999996,26303508.0,,2018-04-01T21:56:02.353Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.896,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_17,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8vcGRmcy8yNjMwMzUwODtBcFMyOTI1MjQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/80530362/Y3ZyLmRrOi8veGJybHMvWC1CMUREOEEyRi0yMDEzMDUyOF8wOTIzNTFfMjA2.xml,"BÃ¸rkop, 7080",Bystedparken 50,"Vejle, 7100",Damhaven 5C,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,2013-04-10,2001-11-02,2013-05-25,27479677.0,26303508.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS.,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Erik  Henningsen,Johnny DamkjÃ¦r,Johnny  DamkjÃ¦r,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle Egnens TÃ¸mrer- & Snedkerfirma ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",Vejle,,"630, vejle",2012-12-31,2012-01-01,74 86 25 25,urn:ofk:oid:13130728,indberetninger-20180424,2.5124327999999996,26303508.0,,2018-04-01T21:56:02.353Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.896,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
