entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,EmailOfReportingEntity,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncomeFromGroupEnterprises,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables
13379904,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzI0LzEwLzg5LzFhM2YtNDRhNC04YWQwLTA3ZjI1MjRmYzA5NQ.xhtml,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzMxL2RjLzdiL2RkZjYtNGQ0Yi04YjQxLWIxY2MyMTY4Y2M4Yg.pdf,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzMxLzIzLzc2LzEwOGMtNGIzOC05Y2RlLTI5Y2RiZGQ5NDM0Mw.xml,true,Danmark,DK,Taastrup,2630.0,99.0,Hovedvejen,Taastrup,2630.0,20.0,RugkÃ¦rgÃ¥rdsvej,2630.0,RugkÃ¦rgÃ¥rdsvej 20,Regnskabsklasse B,2017-12-22,2017-12-22,Glenn@gv-revision.dk,13379904.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Glenn Vestergaard,Glenn Vestergaard,Jyske Bank A/S,GBV INVEST ApS,Glenn Vestergaard,135494.0,Taastrup,2016-01-01,2016-12-31,62311.0,135494.0,2017-06-30,2017-01-01,false,false,73183.0,43438009.0,false,false,Ingen bistand,urn:ofk:oid:24890128,indberetninger-20180424,2.5955422,13379904.0,,2018-03-28T06:33:38.868Z,2017-12-22T16:43:45.936Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BL-90-JJ,2017-12-22T16:43:46.097Z,,,,,,,,,,,,
13379904,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzI0LzEwLzg5LzFhM2YtNDRhNC04YWQwLTA3ZjI1MjRmYzA5NQ.xhtml,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzMxL2RjLzdiL2RkZjYtNGQ0Yi04YjQxLWIxY2MyMTY4Y2M4Yg.pdf,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzMxLzIzLzc2LzEwOGMtNGIzOC05Y2RlLTI5Y2RiZGQ5NDM0Mw.xml,true,Danmark,DK,Taastrup,2630.0,99.0,Hovedvejen,Taastrup,2630.0,20.0,RugkÃ¦rgÃ¥rdsvej,2630.0,RugkÃ¦rgÃ¥rdsvej 20,Regnskabsklasse B,2017-12-22,2017-12-22,Glenn@gv-revision.dk,13379904.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Glenn Vestergaard,Glenn Vestergaard,Jyske Bank A/S,GBV INVEST ApS,Glenn Vestergaard,,Taastrup,2016-01-01,2016-12-31,62311.0,,2017-06-30,2017-01-01,false,false,,43438009.0,false,false,Ingen bistand,urn:ofk:oid:24890128,indberetninger-20180424,2.5955422,13379904.0,,2018-03-28T06:33:38.868Z,2017-12-22T16:43:45.936Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BL-90-JJ,2017-12-22T16:43:46.097Z,,,,,,,,,,,,
13379904,2016-12-31,2016-12-31,c6,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzI0LzEwLzg5LzFhM2YtNDRhNC04YWQwLTA3ZjI1MjRmYzA5NQ.xhtml,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzMxL2RjLzdiL2RkZjYtNGQ0Yi04YjQxLWIxY2MyMTY4Y2M4Yg.pdf,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzMxLzIzLzc2LzEwOGMtNGIzOC05Y2RlLTI5Y2RiZGQ5NDM0Mw.xml,true,Danmark,DK,Taastrup,2630.0,99.0,Hovedvejen,Taastrup,2630.0,20.0,RugkÃ¦rgÃ¥rdsvej,2630.0,RugkÃ¦rgÃ¥rdsvej 20,Regnskabsklasse B,2017-12-22,2017-12-22,Glenn@gv-revision.dk,13379904.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Glenn Vestergaard,Glenn Vestergaard,Jyske Bank A/S,GBV INVEST ApS,Glenn Vestergaard,,Taastrup,2016-01-01,2016-12-31,,,2017-06-30,2017-01-01,false,false,,43438009.0,false,false,Ingen bistand,urn:ofk:oid:24890128,indberetninger-20180424,2.5955422,13379904.0,,2018-03-28T06:33:38.868Z,2017-12-22T16:43:45.936Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BL-90-JJ,2017-12-22T16:43:46.097Z,1417681.0,7.0,1000000.0,1417681.0,1385862.0,1417681.0,31819.0,385862.0,31819.0,1417674.0,1417674.0,31819.0
13379904,2017-01-01,2017-01-01,c7,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzI0LzEwLzg5LzFhM2YtNDRhNC04YWQwLTA3ZjI1MjRmYzA5NQ.xhtml,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzMxL2RjLzdiL2RkZjYtNGQ0Yi04YjQxLWIxY2MyMTY4Y2M4Yg.pdf,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzMxLzIzLzc2LzEwOGMtNGIzOC05Y2RlLTI5Y2RiZGQ5NDM0Mw.xml,true,Danmark,DK,Taastrup,2630.0,99.0,Hovedvejen,Taastrup,2630.0,20.0,RugkÃ¦rgÃ¥rdsvej,2630.0,RugkÃ¦rgÃ¥rdsvej 20,Regnskabsklasse B,2017-12-22,2017-12-22,Glenn@gv-revision.dk,13379904.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Glenn Vestergaard,Glenn Vestergaard,Jyske Bank A/S,GBV INVEST ApS,Glenn Vestergaard,,Taastrup,2016-01-01,2016-12-31,,,2017-06-30,2017-01-01,false,false,,43438009.0,false,false,Ingen bistand,urn:ofk:oid:24890128,indberetninger-20180424,2.5955422,13379904.0,,2018-03-28T06:33:38.868Z,2017-12-22T16:43:45.936Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BL-90-JJ,2017-12-22T16:43:46.097Z,,,,,1000000.0,,,,,,,
13379904,2017-01-01,2017-01-01,c8,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzI0LzEwLzg5LzFhM2YtNDRhNC04YWQwLTA3ZjI1MjRmYzA5NQ.xhtml,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzMxL2RjLzdiL2RkZjYtNGQ0Yi04YjQxLWIxY2MyMTY4Y2M4Yg.pdf,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzMxLzIzLzc2LzEwOGMtNGIzOC05Y2RlLTI5Y2RiZGQ5NDM0Mw.xml,true,Danmark,DK,Taastrup,2630.0,99.0,Hovedvejen,Taastrup,2630.0,20.0,RugkÃ¦rgÃ¥rdsvej,2630.0,RugkÃ¦rgÃ¥rdsvej 20,Regnskabsklasse B,2017-12-22,2017-12-22,Glenn@gv-revision.dk,13379904.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Glenn Vestergaard,Glenn Vestergaard,Jyske Bank A/S,GBV INVEST ApS,Glenn Vestergaard,,Taastrup,2016-01-01,2016-12-31,,,2017-06-30,2017-01-01,false,false,,43438009.0,false,false,Ingen bistand,urn:ofk:oid:24890128,indberetninger-20180424,2.5955422,13379904.0,,2018-03-28T06:33:38.868Z,2017-12-22T16:43:45.936Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BL-90-JJ,2017-12-22T16:43:46.097Z,,,,,385862.0,,,,,,,
13379904,2017-01-01,2017-01-01,c9,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzI0LzEwLzg5LzFhM2YtNDRhNC04YWQwLTA3ZjI1MjRmYzA5NQ.xhtml,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzMxL2RjLzdiL2RkZjYtNGQ0Yi04YjQxLWIxY2MyMTY4Y2M4Yg.pdf,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzMxLzIzLzc2LzEwOGMtNGIzOC05Y2RlLTI5Y2RiZGQ5NDM0Mw.xml,true,Danmark,DK,Taastrup,2630.0,99.0,Hovedvejen,Taastrup,2630.0,20.0,RugkÃ¦rgÃ¥rdsvej,2630.0,RugkÃ¦rgÃ¥rdsvej 20,Regnskabsklasse B,2017-12-22,2017-12-22,Glenn@gv-revision.dk,13379904.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Glenn Vestergaard,Glenn Vestergaard,Jyske Bank A/S,GBV INVEST ApS,Glenn Vestergaard,,Taastrup,2016-01-01,2016-12-31,,,2017-06-30,2017-01-01,false,false,,43438009.0,false,false,Ingen bistand,urn:ofk:oid:24890128,indberetninger-20180424,2.5955422,13379904.0,,2018-03-28T06:33:38.868Z,2017-12-22T16:43:45.936Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BL-90-JJ,2017-12-22T16:43:46.097Z,,,,,1385862.0,,,,,,,
13379904,2017-01-01,2017-06-30,c0,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzI0LzEwLzg5LzFhM2YtNDRhNC04YWQwLTA3ZjI1MjRmYzA5NQ.xhtml,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzMxL2RjLzdiL2RkZjYtNGQ0Yi04YjQxLWIxY2MyMTY4Y2M4Yg.pdf,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzMxLzIzLzc2LzEwOGMtNGIzOC05Y2RlLTI5Y2RiZGQ5NDM0Mw.xml,true,Danmark,DK,Taastrup,2630.0,99.0,Hovedvejen,Taastrup,2630.0,20.0,RugkÃ¦rgÃ¥rdsvej,2630.0,RugkÃ¦rgÃ¥rdsvej 20,Regnskabsklasse B,2017-12-22,2017-12-22,Glenn@gv-revision.dk,13379904.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Glenn Vestergaard,Glenn Vestergaard,Jyske Bank A/S,GBV INVEST ApS,Glenn Vestergaard,41576.0,Taastrup,2016-01-01,2016-12-31,32429.0,41576.0,2017-06-30,2017-01-01,false,false,9147.0,43438009.0,false,false,Ingen bistand,urn:ofk:oid:24890128,indberetninger-20180424,2.5955422,13379904.0,,2018-03-28T06:33:38.868Z,2017-12-22T16:43:45.936Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BL-90-JJ,2017-12-22T16:43:46.097Z,,,,,,,,,,,,
13379904,2017-01-01,2017-06-30,c1,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzI0LzEwLzg5LzFhM2YtNDRhNC04YWQwLTA3ZjI1MjRmYzA5NQ.xhtml,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzMxL2RjLzdiL2RkZjYtNGQ0Yi04YjQxLWIxY2MyMTY4Y2M4Yg.pdf,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzMxLzIzLzc2LzEwOGMtNGIzOC05Y2RlLTI5Y2RiZGQ5NDM0Mw.xml,true,Danmark,DK,Taastrup,2630.0,99.0,Hovedvejen,Taastrup,2630.0,20.0,RugkÃ¦rgÃ¥rdsvej,2630.0,RugkÃ¦rgÃ¥rdsvej 20,Regnskabsklasse B,2017-12-22,2017-12-22,Glenn@gv-revision.dk,13379904.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Glenn Vestergaard,Glenn Vestergaard,Jyske Bank A/S,GBV INVEST ApS,Glenn Vestergaard,,Taastrup,2016-01-01,2016-12-31,,,2017-06-30,2017-01-01,false,false,,43438009.0,false,false,Ingen bistand,urn:ofk:oid:24890128,indberetninger-20180424,2.5955422,13379904.0,,2018-03-28T06:33:38.868Z,2017-12-22T16:43:45.936Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BL-90-JJ,2017-12-22T16:43:46.097Z,,,,,,,,,,,,
13379904,2017-01-01,2017-06-30,c10,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzI0LzEwLzg5LzFhM2YtNDRhNC04YWQwLTA3ZjI1MjRmYzA5NQ.xhtml,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzMxL2RjLzdiL2RkZjYtNGQ0Yi04YjQxLWIxY2MyMTY4Y2M4Yg.pdf,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzMxLzIzLzc2LzEwOGMtNGIzOC05Y2RlLTI5Y2RiZGQ5NDM0Mw.xml,true,Danmark,DK,Taastrup,2630.0,99.0,Hovedvejen,Taastrup,2630.0,20.0,RugkÃ¦rgÃ¥rdsvej,2630.0,RugkÃ¦rgÃ¥rdsvej 20,Regnskabsklasse B,2017-12-22,2017-12-22,Glenn@gv-revision.dk,13379904.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Glenn Vestergaard,Glenn Vestergaard,Jyske Bank A/S,GBV INVEST ApS,Glenn Vestergaard,,Taastrup,2016-01-01,2016-12-31,32429.0,,2017-06-30,2017-01-01,false,false,,43438009.0,false,false,Ingen bistand,urn:ofk:oid:24890128,indberetninger-20180424,2.5955422,13379904.0,,2018-03-28T06:33:38.868Z,2017-12-22T16:43:45.936Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BL-90-JJ,2017-12-22T16:43:46.097Z,,,,,,,,,,,,
13379904,2017-01-01,2017-06-30,c3,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzI0LzEwLzg5LzFhM2YtNDRhNC04YWQwLTA3ZjI1MjRmYzA5NQ.xhtml,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzL2ZjLzMxL2RjLzdiL2RkZjYtNGQ0Yi04YjQxLWIxY2MyMTY4Y2M4Yg.pdf,http://regnskaber.virk.dk/40997331/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzMxLzIzLzc2LzEwOGMtNGIzOC05Y2RlLTI5Y2RiZGQ5NDM0Mw.xml,true,Danmark,DK,Taastrup,2630.0,99.0,Hovedvejen,Taastrup,2630.0,20.0,RugkÃ¦rgÃ¥rdsvej,2630.0,RugkÃ¦rgÃ¥rdsvej 20,Regnskabsklasse B,2017-12-22,2017-12-22,Glenn@gv-revision.dk,13379904.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Glenn Vestergaard,Glenn Vestergaard,Jyske Bank A/S,GBV INVEST ApS,Glenn Vestergaard,,Taastrup,2016-01-01,2016-12-31,32429.0,,2017-06-30,2017-01-01,false,false,,43438009.0,false,false,Ingen bistand,urn:ofk:oid:24890128,indberetninger-20180424,2.5955422,13379904.0,,2018-03-28T06:33:38.868Z,2017-12-22T16:43:45.936Z,regnskab,0.0,,2017-06-30,2017-01-01,X17-BL-90-JJ,2017-12-22T16:43:46.097Z,,,,,,,,,,,,
