entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfLawFirmDistrictName,AddressOfLawFirmPostCodeIdentifier,AddressOfLawFirmStreetBuildingIdentifier,AddressOfLawFirmStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,ExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherInterestExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfSupervisoryBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermReceivablesFromGroupEnterprises,NoncurrentAssets,OtherLongtermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,NameOfAuditFirm,TypeOfAuditorAssistance,DecreaseOfCapital,EquityTransfersToReserves,NameAndSurnameOfMemberOfSupervisoryBoard
35402403,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzdmL2RjL2QzL2FjYzQtNGIyYS1iZTQyLTM5MGQ3NmZjZmYxYQ.pdf,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzZjL2ZmLzUyLzIyZWYtNGYwMy05MjBlLTE0MmRiNjkzMGUxMA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,2-6,Skt. Clemens Torv,Aarhus C,8000.0,2.0,Mindet,8000 Aarhus C,c/o Obton A/S,DK-8000 Aarhus C,Kystvejen 29,Til ejerne af K/S Obton Solenergi Welle,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-29,2013-06-19,2019-04-29,Statsautoriseret revisor,31563.0,20222670.0,35402403.0,20222670.0,mne32168,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for K/S Obton Solenergi Welle.,117424.0,Ãrsrapport,3566.0,81000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Dorte Harriet Melchior JÃ¸rgensen,Anders Marcus,Nordea,Innova Advokatfirma,K/S Obton Solenergi Welle,BDO Statsautoriseret revisionsaktieselskab,9684.0,6118.0,Aarhus,2017-01-01,2017-12-31,76177.0,76177.0,85861.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2018-12-31,2018-01-01,true,2019-04-29,Aarhus,0.0,Formand,urn:ofk:oid:27069377,indberetninger-20180424,2.5124211,35402403.0,AWp5OzErRYGX6_YTHVZr,2019-05-02T15:48:40.734Z,2019-05-02T15:48:02.869Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-41-VZ,2019-05-02T15:48:03.060Z,,,,,,,,,,,,,,,,,,,,,,,,,
35402403,2017-01-01,2017-12-31,c213,,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzdmL2RjL2QzL2FjYzQtNGIyYS1iZTQyLTM5MGQ3NmZjZmYxYQ.pdf,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzZjL2ZmLzUyLzIyZWYtNGYwMy05MjBlLTE0MmRiNjkzMGUxMA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,2-6,Skt. Clemens Torv,Aarhus C,8000.0,2.0,Mindet,8000 Aarhus C,c/o Obton A/S,DK-8000 Aarhus C,Kystvejen 29,Til ejerne af K/S Obton Solenergi Welle,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-29,2013-06-19,2019-04-29,Statsautoriseret revisor,,20222670.0,35402403.0,20222670.0,mne32168,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for K/S Obton Solenergi Welle.,,Ãrsrapport,,81000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Dorte Harriet Melchior JÃ¸rgensen,Anders Marcus,Nordea,Innova Advokatfirma,K/S Obton Solenergi Welle,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2017-01-01,2017-12-31,-41247.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2018-12-31,2018-01-01,true,2019-04-29,Aarhus,,Formand,urn:ofk:oid:27069377,indberetninger-20180424,2.5124211,35402403.0,AWp5OzErRYGX6_YTHVZr,2019-05-02T15:48:40.734Z,2019-05-02T15:48:02.869Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-41-VZ,2019-05-02T15:48:03.060Z,,,,,,,,,,,,,,,,,,,,,,,,,
35402403,2017-01-01,2017-12-31,c215,,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzdmL2RjL2QzL2FjYzQtNGIyYS1iZTQyLTM5MGQ3NmZjZmYxYQ.pdf,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzZjL2ZmLzUyLzIyZWYtNGYwMy05MjBlLTE0MmRiNjkzMGUxMA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,2-6,Skt. Clemens Torv,Aarhus C,8000.0,2.0,Mindet,8000 Aarhus C,c/o Obton A/S,DK-8000 Aarhus C,Kystvejen 29,Til ejerne af K/S Obton Solenergi Welle,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-29,2013-06-19,2019-04-29,Statsautoriseret revisor,,20222670.0,35402403.0,20222670.0,mne32168,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for K/S Obton Solenergi Welle.,,Ãrsrapport,,81000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Dorte Harriet Melchior JÃ¸rgensen,Anders Marcus,Nordea,Innova Advokatfirma,K/S Obton Solenergi Welle,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2017-01-01,2017-12-31,117424.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2018-12-31,2018-01-01,true,2019-04-29,Aarhus,,Formand,urn:ofk:oid:27069377,indberetninger-20180424,2.5124211,35402403.0,AWp5OzErRYGX6_YTHVZr,2019-05-02T15:48:40.734Z,2019-05-02T15:48:02.869Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-41-VZ,2019-05-02T15:48:03.060Z,,,,,,,,,,,,,,,,,,,,,,,,,
35402403,2017-12-31,2017-12-31,c172,,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzdmL2RjL2QzL2FjYzQtNGIyYS1iZTQyLTM5MGQ3NmZjZmYxYQ.pdf,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzZjL2ZmLzUyLzIyZWYtNGYwMy05MjBlLTE0MmRiNjkzMGUxMA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,2-6,Skt. Clemens Torv,Aarhus C,8000.0,2.0,Mindet,8000 Aarhus C,c/o Obton A/S,DK-8000 Aarhus C,Kystvejen 29,Til ejerne af K/S Obton Solenergi Welle,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-29,2013-06-19,2019-04-29,Statsautoriseret revisor,,20222670.0,35402403.0,20222670.0,mne32168,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for K/S Obton Solenergi Welle.,,Ãrsrapport,,81000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Dorte Harriet Melchior JÃ¸rgensen,Anders Marcus,Nordea,Innova Advokatfirma,K/S Obton Solenergi Welle,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2018-12-31,2018-01-01,true,2019-04-29,Aarhus,,Formand,urn:ofk:oid:27069377,indberetninger-20180424,2.5124211,35402403.0,AWp5OzErRYGX6_YTHVZr,2019-05-02T15:48:40.734Z,2019-05-02T15:48:02.869Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-41-VZ,2019-05-02T15:48:03.060Z,2412201.0,131003.0,3419000.0,4282.0,2121561.0,2412201.0,290640.0,1501902.0,80661.0,86158.0,1421241.0,1501902.0,86158.0,37250.0,-1297439.0,204482.0,92706.0,779296.0,737764.0,10783.0,,,,,
35402403,2018-01-01,2018-01-01,c230,,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzdmL2RjL2QzL2FjYzQtNGIyYS1iZTQyLTM5MGQ3NmZjZmYxYQ.pdf,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzZjL2ZmLzUyLzIyZWYtNGYwMy05MjBlLTE0MmRiNjkzMGUxMA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,2-6,Skt. Clemens Torv,Aarhus C,8000.0,2.0,Mindet,8000 Aarhus C,c/o Obton A/S,DK-8000 Aarhus C,Kystvejen 29,Til ejerne af K/S Obton Solenergi Welle,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-29,2013-06-19,2019-04-29,Statsautoriseret revisor,,20222670.0,35402403.0,20222670.0,mne32168,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for K/S Obton Solenergi Welle.,,Ãrsrapport,,81000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Dorte Harriet Melchior JÃ¸rgensen,Anders Marcus,Nordea,Innova Advokatfirma,K/S Obton Solenergi Welle,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2018-12-31,2018-01-01,true,2019-04-29,Aarhus,,Formand,urn:ofk:oid:27069377,indberetninger-20180424,2.5124211,35402403.0,AWp5OzErRYGX6_YTHVZr,2019-05-02T15:48:40.734Z,2019-05-02T15:48:02.869Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-41-VZ,2019-05-02T15:48:03.060Z,,,,,3419000.0,,,,,,,,,,,,,,,,,,,,
35402403,2018-01-01,2018-01-01,c233,,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzdmL2RjL2QzL2FjYzQtNGIyYS1iZTQyLTM5MGQ3NmZjZmYxYQ.pdf,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzZjL2ZmLzUyLzIyZWYtNGYwMy05MjBlLTE0MmRiNjkzMGUxMA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,2-6,Skt. Clemens Torv,Aarhus C,8000.0,2.0,Mindet,8000 Aarhus C,c/o Obton A/S,DK-8000 Aarhus C,Kystvejen 29,Til ejerne af K/S Obton Solenergi Welle,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-29,2013-06-19,2019-04-29,Statsautoriseret revisor,,20222670.0,35402403.0,20222670.0,mne32168,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for K/S Obton Solenergi Welle.,,Ãrsrapport,,81000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Dorte Harriet Melchior JÃ¸rgensen,Anders Marcus,Nordea,Innova Advokatfirma,K/S Obton Solenergi Welle,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2018-12-31,2018-01-01,true,2019-04-29,Aarhus,,Formand,urn:ofk:oid:27069377,indberetninger-20180424,2.5124211,35402403.0,AWp5OzErRYGX6_YTHVZr,2019-05-02T15:48:40.734Z,2019-05-02T15:48:02.869Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-41-VZ,2019-05-02T15:48:03.060Z,,,,,0.0,,,,,,,,,,,,,,,,,,,,
35402403,2018-01-01,2018-01-01,c248,,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzdmL2RjL2QzL2FjYzQtNGIyYS1iZTQyLTM5MGQ3NmZjZmYxYQ.pdf,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzZjL2ZmLzUyLzIyZWYtNGYwMy05MjBlLTE0MmRiNjkzMGUxMA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,2-6,Skt. Clemens Torv,Aarhus C,8000.0,2.0,Mindet,8000 Aarhus C,c/o Obton A/S,DK-8000 Aarhus C,Kystvejen 29,Til ejerne af K/S Obton Solenergi Welle,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-29,2013-06-19,2019-04-29,Statsautoriseret revisor,,20222670.0,35402403.0,20222670.0,mne32168,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for K/S Obton Solenergi Welle.,,Ãrsrapport,,81000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Dorte Harriet Melchior JÃ¸rgensen,Anders Marcus,Nordea,Innova Advokatfirma,K/S Obton Solenergi Welle,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2018-12-31,2018-01-01,true,2019-04-29,Aarhus,,Formand,urn:ofk:oid:27069377,indberetninger-20180424,2.5124211,35402403.0,AWp5OzErRYGX6_YTHVZr,2019-05-02T15:48:40.734Z,2019-05-02T15:48:02.869Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-41-VZ,2019-05-02T15:48:03.060Z,,,,,-1297439.0,,,,,,,,,,,,,,,,,,,,
35402403,2018-01-01,2018-12-31,c173,,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzdmL2RjL2QzL2FjYzQtNGIyYS1iZTQyLTM5MGQ3NmZjZmYxYQ.pdf,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzZjL2ZmLzUyLzIyZWYtNGYwMy05MjBlLTE0MmRiNjkzMGUxMA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,2-6,Skt. Clemens Torv,Aarhus C,8000.0,2.0,Mindet,8000 Aarhus C,c/o Obton A/S,DK-8000 Aarhus C,Kystvejen 29,Til ejerne af K/S Obton Solenergi Welle,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-29,2013-06-19,2019-04-29,Statsautoriseret revisor,42353.0,20222670.0,35402403.0,20222670.0,mne32168,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for K/S Obton Solenergi Welle.,285035.0,Ãrsrapport,15878.0,81000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Dorte Harriet Melchior JÃ¸rgensen,Anders Marcus,Nordea,Innova Advokatfirma,K/S Obton Solenergi Welle,BDO Statsautoriseret revisionsaktieselskab,9942.0,-5936.0,Aarhus,2017-01-01,2017-12-31,232740.0,232740.0,242682.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2018-12-31,2018-01-01,true,2019-04-29,Aarhus,0.0,Formand,urn:ofk:oid:27069377,indberetninger-20180424,2.5124211,35402403.0,AWp5OzErRYGX6_YTHVZr,2019-05-02T15:48:40.734Z,2019-05-02T15:48:02.869Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-41-VZ,2019-05-02T15:48:03.060Z,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning,,,
35402403,2018-01-01,2018-12-31,c212,,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzdmL2RjL2QzL2FjYzQtNGIyYS1iZTQyLTM5MGQ3NmZjZmYxYQ.pdf,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzZjL2ZmLzUyLzIyZWYtNGYwMy05MjBlLTE0MmRiNjkzMGUxMA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,2-6,Skt. Clemens Torv,Aarhus C,8000.0,2.0,Mindet,8000 Aarhus C,c/o Obton A/S,DK-8000 Aarhus C,Kystvejen 29,Til ejerne af K/S Obton Solenergi Welle,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-29,2013-06-19,2019-04-29,Statsautoriseret revisor,,20222670.0,35402403.0,20222670.0,mne32168,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for K/S Obton Solenergi Welle.,,Ãrsrapport,,81000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Dorte Harriet Melchior JÃ¸rgensen,Anders Marcus,Nordea,Innova Advokatfirma,K/S Obton Solenergi Welle,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2017-01-01,2017-12-31,-58105.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2018-12-31,2018-01-01,true,2019-04-29,Aarhus,,Formand,urn:ofk:oid:27069377,indberetninger-20180424,2.5124211,35402403.0,AWp5OzErRYGX6_YTHVZr,2019-05-02T15:48:40.734Z,2019-05-02T15:48:02.869Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-41-VZ,2019-05-02T15:48:03.060Z,,,,,,,,,,,,,,,,,,,,,,,,,
35402403,2018-01-01,2018-12-31,c214,,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzdmL2RjL2QzL2FjYzQtNGIyYS1iZTQyLTM5MGQ3NmZjZmYxYQ.pdf,http://regnskaber.virk.dk/30420453/ZG9rdW1lbnRsYWdlcjovLzAzL2QzLzZjL2ZmLzUyLzIyZWYtNGYwMy05MjBlLTE0MmRiNjkzMGUxMA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,2-6,Skt. Clemens Torv,Aarhus C,8000.0,2.0,Mindet,8000 Aarhus C,c/o Obton A/S,DK-8000 Aarhus C,Kystvejen 29,Til ejerne af K/S Obton Solenergi Welle,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-29,2013-06-19,2019-04-29,Statsautoriseret revisor,,20222670.0,35402403.0,20222670.0,mne32168,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for K/S Obton Solenergi Welle.,,Ãrsrapport,,81000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jesper L. Christensen,Dorte Harriet Melchior JÃ¸rgensen,Anders Marcus,Nordea,Innova Advokatfirma,K/S Obton Solenergi Welle,BDO Statsautoriseret revisionsaktieselskab,,,Aarhus,2017-01-01,2017-12-31,290845.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus,2018-12-31,2018-01-01,true,2019-04-29,Aarhus,,Formand,urn:ofk:oid:27069377,indberetninger-20180424,2.5124211,35402403.0,AWp5OzErRYGX6_YTHVZr,2019-05-02T15:48:40.734Z,2019-05-02T15:48:02.869Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-41-VZ,2019-05-02T15:48:03.060Z,,,,,,,,,,,,,,,,,,,,,,,,,
