entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CostOfSales,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividend,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2011-07-01,2012-06-30,ID_9,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEzMDkyM18xMDUzNThfOTA4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","Assens, 5610",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013.",20.0,2013-09-23,41.0,Registreret revisor,236.0,-384.0,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,673.0,0.0,-5.0,-83.0,-112.0,-107.0,2013-06-30,2012-07-01,-1077.0,2013-09-17,Assens,29.0,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773758,indberetninger-20180424,2.5122786,33153481.0,,2018-04-01T18:18:36.853Z,2013-09-23T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-306.775,2013-09-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-06-30,2012-06-30,ID_11,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEzMDkyM18xMDUzNThfOTA4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","Assens, 5610",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013.",,2013-09-23,,Registreret revisor,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2013-06-30,2012-07-01,,2013-09-17,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773758,indberetninger-20180424,2.5122786,33153481.0,,2018-04-01T18:18:36.853Z,2013-09-23T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-306.775,2013-09-23T22:00:00.000Z,396.0,52.0,-150.0,297.0,0.0,6.0,-153.0,99.0,-396.0,-238.0,99.0,-70.0,50.0,99.0,-50.0,50.0,-5.0,-5.0,-53.0,-6.0,-238.0,245.0,104.0,-15.0,-97.0,85.0
entity identifier,2012-07-01,2013-06-30,ID_0,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEzMDkyM18xMDUzNThfOTA4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","Assens, 5610",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013.",,2013-09-23,,Registreret revisor,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2013-06-30,2012-07-01,,2013-09-17,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773758,indberetninger-20180424,2.5122786,33153481.0,,2018-04-01T18:18:36.853Z,2013-09-23T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-306.775,2013-09-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-07-01,2013-06-30,ID_1,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEzMDkyM18xMDUzNThfOTA4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","Assens, 5610",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013.",,2013-09-23,,Registreret revisor,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2013-06-30,2012-07-01,,2013-09-17,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773758,indberetninger-20180424,2.5122786,33153481.0,,2018-04-01T18:18:36.853Z,2013-09-23T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-306.775,2013-09-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-07-01,2013-06-30,ID_12,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEzMDkyM18xMDUzNThfOTA4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","Assens, 5610",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013.",,2013-09-23,,Registreret revisor,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2013-06-30,2012-07-01,,2013-09-17,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773758,indberetninger-20180424,2.5122786,33153481.0,,2018-04-01T18:18:36.853Z,2013-09-23T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-306.775,2013-09-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-07-01,2013-06-30,ID_13,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEzMDkyM18xMDUzNThfOTA4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","Assens, 5610",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013.",,2013-09-23,,Registreret revisor,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2013-06-30,2012-07-01,,2013-09-17,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773758,indberetninger-20180424,2.5122786,33153481.0,,2018-04-01T18:18:36.853Z,2013-09-23T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-306.775,2013-09-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-07-01,2013-06-30,ID_2,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEzMDkyM18xMDUzNThfOTA4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","Assens, 5610",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013.",,2013-09-23,,Registreret revisor,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2013-06-30,2012-07-01,,2013-09-17,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773758,indberetninger-20180424,2.5122786,33153481.0,,2018-04-01T18:18:36.853Z,2013-09-23T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-306.775,2013-09-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-07-01,2013-06-30,ID_3,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEzMDkyM18xMDUzNThfOTA4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","Assens, 5610",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013.",,2013-09-23,,Registreret revisor,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2013-06-30,2012-07-01,,2013-09-17,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773758,indberetninger-20180424,2.5122786,33153481.0,,2018-04-01T18:18:36.853Z,2013-09-23T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-306.775,2013-09-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-07-01,2013-06-30,ID_4,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEzMDkyM18xMDUzNThfOTA4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","Assens, 5610",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013.",,2013-09-23,,Registreret revisor,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2013-06-30,2012-07-01,,2013-09-17,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773758,indberetninger-20180424,2.5122786,33153481.0,,2018-04-01T18:18:36.853Z,2013-09-23T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-306.775,2013-09-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-07-01,2013-06-30,ID_5,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEzMDkyM18xMDUzNThfOTA4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","Assens, 5610",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2013 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013.",,2013-09-23,,Registreret revisor,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2012 - 30. juni 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2013-06-30,2012-07-01,,2013-09-17,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773758,indberetninger-20180424,2.5122786,33153481.0,,2018-04-01T18:18:36.853Z,2013-09-23T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-306.775,2013-09-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
