entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CostOfSales,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfLongtermLiabilities,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividend,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2010-07-01,2011-06-30,ID_10,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEyMTAwMV8xNTMyMzVfNjI4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","5610, Assens",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",0.0,2012-10-01,23.0,Registreret revisor,. Langfristede gÃ¦ldsforpligtelser,128.0,-113.0,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,561.0,0.0,0.0,28.0,38.0,38.0,2012-06-30,2011-07-01,-674.0,2012-09-25,Assens,-10.0,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773755,indberetninger-20180424,2.5097342,33153481.0,,2018-04-02T02:24:28.070Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-297.831,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-06-30,2011-06-30,ID_12,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEyMTAwMV8xNTMyMzVfNjI4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","5610, Assens",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",,2012-10-01,,Registreret revisor,. Langfristede gÃ¦ldsforpligtelser,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2012-06-30,2011-07-01,,2012-09-25,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773755,indberetninger-20180424,2.5097342,33153481.0,,2018-04-02T02:24:28.070Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-297.831,2012-10-04T22:00:00.000Z,268.0,60.0,-150.0,167.0,10.0,6.0,-122.0,101.0,-268.0,-146.0,101.0,-46.0,0.0,101.0,0.0,0.0,0.0,0.0,28.0,0.0,-146.0,-29.0,107.0,0.0,0.0,-71.0,91.0
entity identifier,2011-07-01,2012-06-30,ID_0,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEyMTAwMV8xNTMyMzVfNjI4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","5610, Assens",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",,2012-10-01,,Registreret revisor,. Langfristede gÃ¦ldsforpligtelser,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2012-06-30,2011-07-01,,2012-09-25,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773755,indberetninger-20180424,2.5097342,33153481.0,,2018-04-02T02:24:28.070Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-297.831,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_1,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEyMTAwMV8xNTMyMzVfNjI4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","5610, Assens",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",,2012-10-01,,Registreret revisor,. Langfristede gÃ¦ldsforpligtelser,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2012-06-30,2011-07-01,,2012-09-25,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773755,indberetninger-20180424,2.5097342,33153481.0,,2018-04-02T02:24:28.070Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-297.831,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_13,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEyMTAwMV8xNTMyMzVfNjI4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","5610, Assens",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",,2012-10-01,,Registreret revisor,. Langfristede gÃ¦ldsforpligtelser,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2012-06-30,2011-07-01,,2012-09-25,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773755,indberetninger-20180424,2.5097342,33153481.0,,2018-04-02T02:24:28.070Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-297.831,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_14,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEyMTAwMV8xNTMyMzVfNjI4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","5610, Assens",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",,2012-10-01,,Registreret revisor,. Langfristede gÃ¦ldsforpligtelser,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2012-06-30,2011-07-01,,2012-09-25,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773755,indberetninger-20180424,2.5097342,33153481.0,,2018-04-02T02:24:28.070Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-297.831,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_2,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEyMTAwMV8xNTMyMzVfNjI4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","5610, Assens",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",,2012-10-01,,Registreret revisor,. Langfristede gÃ¦ldsforpligtelser,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2012-06-30,2011-07-01,,2012-09-25,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773755,indberetninger-20180424,2.5097342,33153481.0,,2018-04-02T02:24:28.070Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-297.831,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_3,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEyMTAwMV8xNTMyMzVfNjI4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","5610, Assens",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",,2012-10-01,,Registreret revisor,. Langfristede gÃ¦ldsforpligtelser,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2012-06-30,2011-07-01,,2012-09-25,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773755,indberetninger-20180424,2.5097342,33153481.0,,2018-04-02T02:24:28.070Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-297.831,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_4,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEyMTAwMV8xNTMyMzVfNjI4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","5610, Assens",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",,2012-10-01,,Registreret revisor,. Langfristede gÃ¦ldsforpligtelser,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2012-06-30,2011-07-01,,2012-09-25,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773755,indberetninger-20180424,2.5097342,33153481.0,,2018-04-02T02:24:28.070Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-297.831,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-07-01,2012-06-30,ID_5,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8vcGRmcy8zMzE1MzQ4MTtBcFM0ODAyMDU7MjAxMTA3MDE7MjAxMjA2MzA7UjtS.pdf,http://regnskaber.virk.dk/18435133/Y3ZyLmRrOi8veGJybHMvWC0xNDE3NThENy0yMDEyMTAwMV8xNTMyMzVfNjI4.xml,"Bredgade 20, 5540  Aarup","Glamsbjerg, 5620","Moselundvej 5, Ãrsted","5610, Assens",Sdr. Ringvej 2  1.sal,Til kapitalejerne i KP Trans & Montage ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012.",,2012-10-01,,Registreret revisor,. Langfristede gÃ¦ldsforpligtelser,,,17632841.0,33153481.0,17632841.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2011 - 30. juni 2012 for KP Trans & Montage ApS.,"Vi har revideret Ã¥rsregnskabet for KP Trans & Montage ApS for regnskabsÃ¥ret 1. juli 2011 - 30. juni 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Per Johansen,Kaj Petersen,Kaj Petersen,Assens Revisionskontor,Nordea,KP Trans & Montage ApS,Assens Revisionskontor,,,,,,,2012-06-30,2011-07-01,,2012-09-25,Assens,,40 47 72 10,DirektÃ¸r,urn:ofk:oid:13773755,indberetninger-20180424,2.5097342,33153481.0,,2018-04-02T02:24:28.070Z,2012-10-04T22:00:00.000Z,regnskab,0.0,,2012-06-30,2011-07-01,12-297.831,2012-10-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
