entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfGeneralMeeting,FaxNumberOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossResult,OtherExternalExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
33263686,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8vcGRmcy8zMzI2MzY4NjtBcFM0ODM0MTQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8veGJybHMvWC0xNjcwQzQ4QS0yMDE0MDUyNl8xNTQwMzJfODc5.xml,"2000, Frederiksberg",Dirch Passers AllÃ© 76,Til kapitalejerne i Komplementarselskabet Rosavej ApS,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2014-05-22,70 30 20 21 (administrator),33263686.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Komplementarselskabet Rosavej ApS.,"Vi har revideret Ã¥rsregnskabet for Komplementarselskabet Rosavej ApS for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Anette Lonsdale,Komplementarselskabet Rosavej ApS,DEAS A/S,4660.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2013-12-31,2013-01-01,2014-05-22,KÃ¸benhavn,70 30 20 20 (administrator),RevisionspÃ¥tegning,urn:ofk:oid:13866568,indberetninger-20180424,2.5118406,33263686.0,,2018-04-01T01:49:19.455Z,2014-05-26T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-147.536,2014-05-26T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
33263686,2012-01-01,2012-12-31,ID_6,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8vcGRmcy8zMzI2MzY4NjtBcFM0ODM0MTQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8veGJybHMvWC0xNjcwQzQ4QS0yMDE0MDUyNl8xNTQwMzJfODc5.xml,"2000, Frederiksberg",Dirch Passers AllÃ© 76,Til kapitalejerne i Komplementarselskabet Rosavej ApS,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2014-05-22,70 30 20 21 (administrator),33263686.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Komplementarselskabet Rosavej ApS.,"Vi har revideret Ã¥rsregnskabet for Komplementarselskabet Rosavej ApS for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Anette Lonsdale,Komplementarselskabet Rosavej ApS,DEAS A/S,-4660.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2013-12-31,2013-01-01,2014-05-22,KÃ¸benhavn,70 30 20 20 (administrator),RevisionspÃ¥tegning,urn:ofk:oid:13866568,indberetninger-20180424,2.5118406,33263686.0,,2018-04-01T01:49:19.455Z,2014-05-26T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-147.536,2014-05-26T22:00:00.000Z,-11185.0,11185.0,6525.0,-4660.0,0.0,,,,,,,,,,,,,,,
33263686,2012-01-01,2012-12-31,ID_8,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8vcGRmcy8zMzI2MzY4NjtBcFM0ODM0MTQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8veGJybHMvWC0xNjcwQzQ4QS0yMDE0MDUyNl8xNTQwMzJfODc5.xml,"2000, Frederiksberg",Dirch Passers AllÃ© 76,Til kapitalejerne i Komplementarselskabet Rosavej ApS,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2014-05-22,70 30 20 21 (administrator),33263686.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Komplementarselskabet Rosavej ApS.,"Vi har revideret Ã¥rsregnskabet for Komplementarselskabet Rosavej ApS for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Anette Lonsdale,Komplementarselskabet Rosavej ApS,DEAS A/S,4660.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2013-12-31,2013-01-01,2014-05-22,KÃ¸benhavn,70 30 20 20 (administrator),RevisionspÃ¥tegning,urn:ofk:oid:13866568,indberetninger-20180424,2.5118406,33263686.0,,2018-04-01T01:49:19.455Z,2014-05-26T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-147.536,2014-05-26T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
33263686,2012-12-31,2012-12-31,ID_12,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8vcGRmcy8zMzI2MzY4NjtBcFM0ODM0MTQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8veGJybHMvWC0xNjcwQzQ4QS0yMDE0MDUyNl8xNTQwMzJfODc5.xml,"2000, Frederiksberg",Dirch Passers AllÃ© 76,Til kapitalejerne i Komplementarselskabet Rosavej ApS,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2014-05-22,70 30 20 21 (administrator),33263686.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Komplementarselskabet Rosavej ApS.,"Vi har revideret Ã¥rsregnskabet for Komplementarselskabet Rosavej ApS for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Anette Lonsdale,Komplementarselskabet Rosavej ApS,DEAS A/S,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2013-12-31,2013-01-01,2014-05-22,KÃ¸benhavn,70 30 20 20 (administrator),RevisionspÃ¥tegning,urn:ofk:oid:13866568,indberetninger-20180424,2.5118406,33263686.0,,2018-04-01T01:49:19.455Z,2014-05-26T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-147.536,2014-05-26T22:00:00.000Z,,,,,,63806.0,49409.0,80000.0,63806.0,59331.0,63806.0,4475.0,14397.0,-20669.0,4475.0,14397.0,475.0,0.0,4000.0,
33263686,2013-01-01,2013-12-31,ID_0,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8vcGRmcy8zMzI2MzY4NjtBcFM0ODM0MTQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8veGJybHMvWC0xNjcwQzQ4QS0yMDE0MDUyNl8xNTQwMzJfODc5.xml,"2000, Frederiksberg",Dirch Passers AllÃ© 76,Til kapitalejerne i Komplementarselskabet Rosavej ApS,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2014-05-22,70 30 20 21 (administrator),33263686.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Komplementarselskabet Rosavej ApS.,"Vi har revideret Ã¥rsregnskabet for Komplementarselskabet Rosavej ApS for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Anette Lonsdale,Komplementarselskabet Rosavej ApS,DEAS A/S,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2013-12-31,2013-01-01,2014-05-22,KÃ¸benhavn,70 30 20 20 (administrator),RevisionspÃ¥tegning,urn:ofk:oid:13866568,indberetninger-20180424,2.5118406,33263686.0,,2018-04-01T01:49:19.455Z,2014-05-26T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-147.536,2014-05-26T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
33263686,2013-01-01,2013-12-31,ID_1,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8vcGRmcy8zMzI2MzY4NjtBcFM0ODM0MTQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8veGJybHMvWC0xNjcwQzQ4QS0yMDE0MDUyNl8xNTQwMzJfODc5.xml,"2000, Frederiksberg",Dirch Passers AllÃ© 76,Til kapitalejerne i Komplementarselskabet Rosavej ApS,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2014-05-22,70 30 20 21 (administrator),33263686.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Komplementarselskabet Rosavej ApS.,"Vi har revideret Ã¥rsregnskabet for Komplementarselskabet Rosavej ApS for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Anette Lonsdale,Komplementarselskabet Rosavej ApS,DEAS A/S,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2013-12-31,2013-01-01,2014-05-22,KÃ¸benhavn,70 30 20 20 (administrator),RevisionspÃ¥tegning,urn:ofk:oid:13866568,indberetninger-20180424,2.5118406,33263686.0,,2018-04-01T01:49:19.455Z,2014-05-26T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-147.536,2014-05-26T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
33263686,2013-01-01,2013-12-31,ID_13,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8vcGRmcy8zMzI2MzY4NjtBcFM0ODM0MTQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8veGJybHMvWC0xNjcwQzQ4QS0yMDE0MDUyNl8xNTQwMzJfODc5.xml,"2000, Frederiksberg",Dirch Passers AllÃ© 76,Til kapitalejerne i Komplementarselskabet Rosavej ApS,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2014-05-22,70 30 20 21 (administrator),33263686.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Komplementarselskabet Rosavej ApS.,"Vi har revideret Ã¥rsregnskabet for Komplementarselskabet Rosavej ApS for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Anette Lonsdale,Komplementarselskabet Rosavej ApS,DEAS A/S,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2013-12-31,2013-01-01,2014-05-22,KÃ¸benhavn,70 30 20 20 (administrator),RevisionspÃ¥tegning,urn:ofk:oid:13866568,indberetninger-20180424,2.5118406,33263686.0,,2018-04-01T01:49:19.455Z,2014-05-26T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-147.536,2014-05-26T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
33263686,2013-01-01,2013-12-31,ID_14,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8vcGRmcy8zMzI2MzY4NjtBcFM0ODM0MTQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8veGJybHMvWC0xNjcwQzQ4QS0yMDE0MDUyNl8xNTQwMzJfODc5.xml,"2000, Frederiksberg",Dirch Passers AllÃ© 76,Til kapitalejerne i Komplementarselskabet Rosavej ApS,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2014-05-22,70 30 20 21 (administrator),33263686.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Komplementarselskabet Rosavej ApS.,"Vi har revideret Ã¥rsregnskabet for Komplementarselskabet Rosavej ApS for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Anette Lonsdale,Komplementarselskabet Rosavej ApS,DEAS A/S,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2013-12-31,2013-01-01,2014-05-22,KÃ¸benhavn,70 30 20 20 (administrator),RevisionspÃ¥tegning,urn:ofk:oid:13866568,indberetninger-20180424,2.5118406,33263686.0,,2018-04-01T01:49:19.455Z,2014-05-26T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-147.536,2014-05-26T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
33263686,2013-01-01,2013-12-31,ID_15,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8vcGRmcy8zMzI2MzY4NjtBcFM0ODM0MTQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8veGJybHMvWC0xNjcwQzQ4QS0yMDE0MDUyNl8xNTQwMzJfODc5.xml,"2000, Frederiksberg",Dirch Passers AllÃ© 76,Til kapitalejerne i Komplementarselskabet Rosavej ApS,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2014-05-22,70 30 20 21 (administrator),33263686.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Komplementarselskabet Rosavej ApS.,"Vi har revideret Ã¥rsregnskabet for Komplementarselskabet Rosavej ApS for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Anette Lonsdale,Komplementarselskabet Rosavej ApS,DEAS A/S,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2013-12-31,2013-01-01,2014-05-22,KÃ¸benhavn,70 30 20 20 (administrator),RevisionspÃ¥tegning,urn:ofk:oid:13866568,indberetninger-20180424,2.5118406,33263686.0,,2018-04-01T01:49:19.455Z,2014-05-26T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-147.536,2014-05-26T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,
33263686,2013-01-01,2013-12-31,ID_2,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8vcGRmcy8zMzI2MzY4NjtBcFM0ODM0MTQ7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/68636233/Y3ZyLmRrOi8veGJybHMvWC0xNjcwQzQ4QS0yMDE0MDUyNl8xNTQwMzJfODc5.xml,"2000, Frederiksberg",Dirch Passers AllÃ© 76,Til kapitalejerne i Komplementarselskabet Rosavej ApS,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2014-05-22,70 30 20 21 (administrator),33263686.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Komplementarselskabet Rosavej ApS.,"Vi har revideret Ã¥rsregnskabet for Komplementarselskabet Rosavej ApS for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Anette Lonsdale,Komplementarselskabet Rosavej ApS,DEAS A/S,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2013-12-31,2013-01-01,2014-05-22,KÃ¸benhavn,70 30 20 20 (administrator),RevisionspÃ¥tegning,urn:ofk:oid:13866568,indberetninger-20180424,2.5118406,33263686.0,,2018-04-01T01:49:19.455Z,2014-05-26T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-147.536,2014-05-26T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,BjÃ¸rn Berg
