entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossResult,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8vcGRmcy8zMjg4NzMzMztBcFM0NzI4OTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8veGJybHMvWC04QTEzNEJCRi0yMDEzMDYxNF8xNDM2NDlfNjY4.xml,"KÃ¸benhavn C, 0900",Vesterbrogade 8,"KÃ¸benhavn NV, 2400",Ferskenvej 49,"2690, Karlslunde",BjÃ¦lkevangen 3,Til kapitalejerne i Jungsberg Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2010-04-23,2013-06-13,Registreret revisor,18248697.0,32887333.0,18248697.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Jungsberg Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jungsberg Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Torsten Rasmussen,Torben Jungsberg,Torben Jungsberg,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",Nordea Bank Danmark A/S,Jungsberg Holding ApS,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",96000.0,2012-12-31,2012-01-01,2013-06-03,Karlslunde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:20680140,indberetninger-20180424,2.5118417999999996,32887333.0,,2018-04-02T03:56:23.748Z,2013-06-14T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-141.195,2013-06-14T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8vcGRmcy8zMjg4NzMzMztBcFM0NzI4OTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8veGJybHMvWC04QTEzNEJCRi0yMDEzMDYxNF8xNDM2NDlfNjY4.xml,"KÃ¸benhavn C, 0900",Vesterbrogade 8,"KÃ¸benhavn NV, 2400",Ferskenvej 49,"2690, Karlslunde",BjÃ¦lkevangen 3,Til kapitalejerne i Jungsberg Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2010-04-23,2013-06-13,Registreret revisor,18248697.0,32887333.0,18248697.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Jungsberg Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jungsberg Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Torsten Rasmussen,Torben Jungsberg,Torben Jungsberg,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",Nordea Bank Danmark A/S,Jungsberg Holding ApS,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",-77148.0,2012-12-31,2012-01-01,2013-06-03,Karlslunde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:20680140,indberetninger-20180424,2.5118417999999996,32887333.0,,2018-04-02T03:56:23.748Z,2013-06-14T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-141.195,2013-06-14T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_15,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8vcGRmcy8zMjg4NzMzMztBcFM0NzI4OTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8veGJybHMvWC04QTEzNEJCRi0yMDEzMDYxNF8xNDM2NDlfNjY4.xml,"KÃ¸benhavn C, 0900",Vesterbrogade 8,"KÃ¸benhavn NV, 2400",Ferskenvej 49,"2690, Karlslunde",BjÃ¦lkevangen 3,Til kapitalejerne i Jungsberg Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2010-04-23,2013-06-13,Registreret revisor,18248697.0,32887333.0,18248697.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Jungsberg Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jungsberg Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Torsten Rasmussen,Torben Jungsberg,Torben Jungsberg,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",Nordea Bank Danmark A/S,Jungsberg Holding ApS,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",18852.0,2012-12-31,2012-01-01,2013-06-03,Karlslunde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:20680140,indberetninger-20180424,2.5118417999999996,32887333.0,,2018-04-02T03:56:23.748Z,2013-06-14T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-141.195,2013-06-14T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_9,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8vcGRmcy8zMjg4NzMzMztBcFM0NzI4OTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8veGJybHMvWC04QTEzNEJCRi0yMDEzMDYxNF8xNDM2NDlfNjY4.xml,"KÃ¸benhavn C, 0900",Vesterbrogade 8,"KÃ¸benhavn NV, 2400",Ferskenvej 49,"2690, Karlslunde",BjÃ¦lkevangen 3,Til kapitalejerne i Jungsberg Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2010-04-23,2013-06-13,Registreret revisor,18248697.0,32887333.0,18248697.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Jungsberg Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jungsberg Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Torsten Rasmussen,Torben Jungsberg,Torben Jungsberg,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",Nordea Bank Danmark A/S,Jungsberg Holding ApS,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",-18852.0,2012-12-31,2012-01-01,2013-06-03,Karlslunde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:20680140,indberetninger-20180424,2.5118417999999996,32887333.0,,2018-04-02T03:56:23.748Z,2013-06-14T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-141.195,2013-06-14T22:00:00.000Z,7500.0,-34208.0,7500.0,0.0,-642.0,-27350.0,7500.0,8498.0,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_17,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8vcGRmcy8zMjg4NzMzMztBcFM0NzI4OTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8veGJybHMvWC04QTEzNEJCRi0yMDEzMDYxNF8xNDM2NDlfNjY4.xml,"KÃ¸benhavn C, 0900",Vesterbrogade 8,"KÃ¸benhavn NV, 2400",Ferskenvej 49,"2690, Karlslunde",BjÃ¦lkevangen 3,Til kapitalejerne i Jungsberg Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2010-04-23,2013-06-13,Registreret revisor,18248697.0,32887333.0,18248697.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Jungsberg Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jungsberg Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Torsten Rasmussen,Torben Jungsberg,Torben Jungsberg,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",Nordea Bank Danmark A/S,Jungsberg Holding ApS,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",,2012-12-31,2012-01-01,2013-06-03,Karlslunde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:20680140,indberetninger-20180424,2.5118417999999996,32887333.0,,2018-04-02T03:56:23.748Z,2013-06-14T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-141.195,2013-06-14T22:00:00.000Z,,,,,,,,,1256619.0,0.0,-80000.0,1077085.0,-1173749.0,-1256619.0,-82870.0,179534.0,179534.0,179534.0,-96000.0,-997749.0,-82870.0,-69120.0,1077085.0,918643.0,158442.0,-13750.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8vcGRmcy8zMjg4NzMzMztBcFM0NzI4OTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8veGJybHMvWC04QTEzNEJCRi0yMDEzMDYxNF8xNDM2NDlfNjY4.xml,"KÃ¸benhavn C, 0900",Vesterbrogade 8,"KÃ¸benhavn NV, 2400",Ferskenvej 49,"2690, Karlslunde",BjÃ¦lkevangen 3,Til kapitalejerne i Jungsberg Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2010-04-23,2013-06-13,Registreret revisor,18248697.0,32887333.0,18248697.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Jungsberg Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jungsberg Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Torsten Rasmussen,Torben Jungsberg,Torben Jungsberg,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",Nordea Bank Danmark A/S,Jungsberg Holding ApS,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",,2012-12-31,2012-01-01,2013-06-03,Karlslunde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:20680140,indberetninger-20180424,2.5118417999999996,32887333.0,,2018-04-02T03:56:23.748Z,2013-06-14T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-141.195,2013-06-14T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8vcGRmcy8zMjg4NzMzMztBcFM0NzI4OTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8veGJybHMvWC04QTEzNEJCRi0yMDEzMDYxNF8xNDM2NDlfNjY4.xml,"KÃ¸benhavn C, 0900",Vesterbrogade 8,"KÃ¸benhavn NV, 2400",Ferskenvej 49,"2690, Karlslunde",BjÃ¦lkevangen 3,Til kapitalejerne i Jungsberg Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2010-04-23,2013-06-13,Registreret revisor,18248697.0,32887333.0,18248697.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Jungsberg Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jungsberg Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Torsten Rasmussen,Torben Jungsberg,Torben Jungsberg,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",Nordea Bank Danmark A/S,Jungsberg Holding ApS,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",,2012-12-31,2012-01-01,2013-06-03,Karlslunde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:20680140,indberetninger-20180424,2.5118417999999996,32887333.0,,2018-04-02T03:56:23.748Z,2013-06-14T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-141.195,2013-06-14T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8vcGRmcy8zMjg4NzMzMztBcFM0NzI4OTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8veGJybHMvWC04QTEzNEJCRi0yMDEzMDYxNF8xNDM2NDlfNjY4.xml,"KÃ¸benhavn C, 0900",Vesterbrogade 8,"KÃ¸benhavn NV, 2400",Ferskenvej 49,"2690, Karlslunde",BjÃ¦lkevangen 3,Til kapitalejerne i Jungsberg Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2010-04-23,2013-06-13,Registreret revisor,18248697.0,32887333.0,18248697.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Jungsberg Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jungsberg Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Torsten Rasmussen,Torben Jungsberg,Torben Jungsberg,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",Nordea Bank Danmark A/S,Jungsberg Holding ApS,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",96000.0,2012-12-31,2012-01-01,2013-06-03,Karlslunde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:20680140,indberetninger-20180424,2.5118417999999996,32887333.0,,2018-04-02T03:56:23.748Z,2013-06-14T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-141.195,2013-06-14T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8vcGRmcy8zMjg4NzMzMztBcFM0NzI4OTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8veGJybHMvWC04QTEzNEJCRi0yMDEzMDYxNF8xNDM2NDlfNjY4.xml,"KÃ¸benhavn C, 0900",Vesterbrogade 8,"KÃ¸benhavn NV, 2400",Ferskenvej 49,"2690, Karlslunde",BjÃ¦lkevangen 3,Til kapitalejerne i Jungsberg Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2010-04-23,2013-06-13,Registreret revisor,18248697.0,32887333.0,18248697.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Jungsberg Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jungsberg Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Torsten Rasmussen,Torben Jungsberg,Torben Jungsberg,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",Nordea Bank Danmark A/S,Jungsberg Holding ApS,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",155620.0,2012-12-31,2012-01-01,2013-06-03,Karlslunde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:20680140,indberetninger-20180424,2.5118417999999996,32887333.0,,2018-04-02T03:56:23.748Z,2013-06-14T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-141.195,2013-06-14T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_14,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8vcGRmcy8zMjg4NzMzMztBcFM0NzI4OTk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/33378823/Y3ZyLmRrOi8veGJybHMvWC04QTEzNEJCRi0yMDEzMDYxNF8xNDM2NDlfNjY4.xml,"KÃ¸benhavn C, 0900",Vesterbrogade 8,"KÃ¸benhavn NV, 2400",Ferskenvej 49,"2690, Karlslunde",BjÃ¦lkevangen 3,Til kapitalejerne i Jungsberg Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.",2010-04-23,2013-06-13,Registreret revisor,18248697.0,32887333.0,18248697.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Jungsberg Holding ApS.,"Vi har revideret Ã¥rsregnskabet for Jungsberg Holding ApS for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Torsten Rasmussen,Torben Jungsberg,Torben Jungsberg,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",Nordea Bank Danmark A/S,Jungsberg Holding ApS,"TORSTEN RASMUSSEN, Danske Revisorer - FSR",251620.0,2012-12-31,2012-01-01,2013-06-03,Karlslunde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:20680140,indberetninger-20180424,2.5118417999999996,32887333.0,,2018-04-02T03:56:23.748Z,2013-06-14T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-141.195,2013-06-14T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
