entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,IncomeFromOtherLongtermInvestmentsAndReceivables,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables
29219400,2016-01-01,2016-01-01,c720,,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzYyLzNiL2ExL2FhMWYtNGQzOS1hMjhjLWY0NDc1ZWQ4OTYzZA.pdf,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2ViLzdmLzBiLzU4NTctNGI2My1iMTkwLTlhNmZlMmUxNDdjOA.xml,StÃ¸vring,9530.0,61.0,Volsted Bygade,9530 StÃ¸vring,Volsted Bygade 61,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-05-28,2005-12-21,2018-05-28,Andre eksterne omkostninger omfatter omkostninger til administration.,125000.0,29219400.0,29219400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for Tingstrup Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Steen Jensen,Steen Jensen,Nordea Bank A/S,Tingstrup Holding ApS,Tingstrup Holding,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,2017-01-01,Ingen bistand,urn:ofk:oid:25607174,indberetninger-20180424,2.5124327999999996,29219400.0,AWOw2PUm0wkEsASktLUK,2018-05-30T11:40:25.045Z,2018-05-30T11:39:57.793Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-19-HL,2018-05-30T11:39:58.043Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
29219400,2016-01-01,2016-01-01,c741,,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzYyLzNiL2ExL2FhMWYtNGQzOS1hMjhjLWY0NDc1ZWQ4OTYzZA.pdf,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2ViLzdmLzBiLzU4NTctNGI2My1iMTkwLTlhNmZlMmUxNDdjOA.xml,StÃ¸vring,9530.0,61.0,Volsted Bygade,9530 StÃ¸vring,Volsted Bygade 61,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-05-28,2005-12-21,2018-05-28,Andre eksterne omkostninger omfatter omkostninger til administration.,3413000.0,29219400.0,29219400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for Tingstrup Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Steen Jensen,Steen Jensen,Nordea Bank A/S,Tingstrup Holding ApS,Tingstrup Holding,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,2017-01-01,Ingen bistand,urn:ofk:oid:25607174,indberetninger-20180424,2.5124327999999996,29219400.0,AWOw2PUm0wkEsASktLUK,2018-05-30T11:40:25.045Z,2018-05-30T11:39:57.793Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-19-HL,2018-05-30T11:39:58.043Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
29219400,2016-01-01,2016-12-31,c123,,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzYyLzNiL2ExL2FhMWYtNGQzOS1hMjhjLWY0NDc1ZWQ4OTYzZA.pdf,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2ViLzdmLzBiLzU4NTctNGI2My1iMTkwLTlhNmZlMmUxNDdjOA.xml,StÃ¸vring,9530.0,61.0,Volsted Bygade,9530 StÃ¸vring,Volsted Bygade 61,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-05-28,2005-12-21,2018-05-28,Andre eksterne omkostninger omfatter omkostninger til administration.,,29219400.0,29219400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for Tingstrup Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Steen Jensen,Steen Jensen,Nordea Bank A/S,Tingstrup Holding ApS,Tingstrup Holding,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,2017-01-01,Ingen bistand,urn:ofk:oid:25607174,indberetninger-20180424,2.5124327999999996,29219400.0,AWOw2PUm0wkEsASktLUK,2018-05-30T11:40:25.045Z,2018-05-30T11:39:57.793Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-19-HL,2018-05-30T11:39:58.043Z,587000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29219400,2016-01-01,2016-12-31,c3,,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzYyLzNiL2ExL2FhMWYtNGQzOS1hMjhjLWY0NDc1ZWQ4OTYzZA.pdf,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2ViLzdmLzBiLzU4NTctNGI2My1iMTkwLTlhNmZlMmUxNDdjOA.xml,StÃ¸vring,9530.0,61.0,Volsted Bygade,9530 StÃ¸vring,Volsted Bygade 61,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-05-28,2005-12-21,2018-05-28,Andre eksterne omkostninger omfatter omkostninger til administration.,,29219400.0,29219400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for Tingstrup Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Steen Jensen,Steen Jensen,Nordea Bank A/S,Tingstrup Holding ApS,Tingstrup Holding,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,2017-01-01,Ingen bistand,urn:ofk:oid:25607174,indberetninger-20180424,2.5124327999999996,29219400.0,AWOw2PUm0wkEsASktLUK,2018-05-30T11:40:25.045Z,2018-05-30T11:39:57.793Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-19-HL,2018-05-30T11:39:58.043Z,587000.0,0.0,680000.0,0.0,77000.0,757000.0,0.0,170000.0,,,,,,,,,,,,,,,,,,,
29219400,2016-01-01,2016-12-31,c742,,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzYyLzNiL2ExL2FhMWYtNGQzOS1hMjhjLWY0NDc1ZWQ4OTYzZA.pdf,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2ViLzdmLzBiLzU4NTctNGI2My1iMTkwLTlhNmZlMmUxNDdjOA.xml,StÃ¸vring,9530.0,61.0,Volsted Bygade,9530 StÃ¸vring,Volsted Bygade 61,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-05-28,2005-12-21,2018-05-28,Andre eksterne omkostninger omfatter omkostninger til administration.,,29219400.0,29219400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for Tingstrup Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Steen Jensen,Steen Jensen,Nordea Bank A/S,Tingstrup Holding ApS,Tingstrup Holding,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,2017-01-01,Ingen bistand,urn:ofk:oid:25607174,indberetninger-20180424,2.5124327999999996,29219400.0,AWOw2PUm0wkEsASktLUK,2018-05-30T11:40:25.045Z,2018-05-30T11:39:57.793Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-19-HL,2018-05-30T11:39:58.043Z,587000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29219400,2016-12-31,2016-12-31,c4,,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzYyLzNiL2ExL2FhMWYtNGQzOS1hMjhjLWY0NDc1ZWQ4OTYzZA.pdf,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2ViLzdmLzBiLzU4NTctNGI2My1iMTkwLTlhNmZlMmUxNDdjOA.xml,StÃ¸vring,9530.0,61.0,Volsted Bygade,9530 StÃ¸vring,Volsted Bygade 61,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-05-28,2005-12-21,2018-05-28,Andre eksterne omkostninger omfatter omkostninger til administration.,4125000.0,29219400.0,29219400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for Tingstrup Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Steen Jensen,Steen Jensen,Nordea Bank A/S,Tingstrup Holding ApS,Tingstrup Holding,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,2017-01-01,Ingen bistand,urn:ofk:oid:25607174,indberetninger-20180424,2.5124327999999996,29219400.0,AWOw2PUm0wkEsASktLUK,2018-05-30T11:40:25.045Z,2018-05-30T11:39:57.793Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-19-HL,2018-05-30T11:39:58.043Z,,,,,,,,,5394000.0,1000.0,125000.0,1519000.0,5394000.0,191000.0,3875000.0,3875000.0,3875000.0,1518000.0,111000.0,1078000.0,1078000.0,4000000.0,1518000.0,191000.0,0.0,80000.0,0.0
29219400,2016-12-31,2016-12-31,c722,,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzYyLzNiL2ExL2FhMWYtNGQzOS1hMjhjLWY0NDc1ZWQ4OTYzZA.pdf,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2ViLzdmLzBiLzU4NTctNGI2My1iMTkwLTlhNmZlMmUxNDdjOA.xml,StÃ¸vring,9530.0,61.0,Volsted Bygade,9530 StÃ¸vring,Volsted Bygade 61,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-05-28,2005-12-21,2018-05-28,Andre eksterne omkostninger omfatter omkostninger til administration.,125000.0,29219400.0,29219400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for Tingstrup Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Steen Jensen,Steen Jensen,Nordea Bank A/S,Tingstrup Holding ApS,Tingstrup Holding,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,2017-01-01,Ingen bistand,urn:ofk:oid:25607174,indberetninger-20180424,2.5124327999999996,29219400.0,AWOw2PUm0wkEsASktLUK,2018-05-30T11:40:25.045Z,2018-05-30T11:39:57.793Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-19-HL,2018-05-30T11:39:58.043Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
29219400,2016-12-31,2016-12-31,c743,,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzYyLzNiL2ExL2FhMWYtNGQzOS1hMjhjLWY0NDc1ZWQ4OTYzZA.pdf,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2ViLzdmLzBiLzU4NTctNGI2My1iMTkwLTlhNmZlMmUxNDdjOA.xml,StÃ¸vring,9530.0,61.0,Volsted Bygade,9530 StÃ¸vring,Volsted Bygade 61,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-05-28,2005-12-21,2018-05-28,Andre eksterne omkostninger omfatter omkostninger til administration.,4000000.0,29219400.0,29219400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for Tingstrup Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Steen Jensen,Steen Jensen,Nordea Bank A/S,Tingstrup Holding ApS,Tingstrup Holding,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,2017-01-01,Ingen bistand,urn:ofk:oid:25607174,indberetninger-20180424,2.5124327999999996,29219400.0,AWOw2PUm0wkEsASktLUK,2018-05-30T11:40:25.045Z,2018-05-30T11:39:57.793Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-19-HL,2018-05-30T11:39:58.043Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
29219400,2017-01-01,2017-01-01,c181,,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzYyLzNiL2ExL2FhMWYtNGQzOS1hMjhjLWY0NDc1ZWQ4OTYzZA.pdf,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2ViLzdmLzBiLzU4NTctNGI2My1iMTkwLTlhNmZlMmUxNDdjOA.xml,StÃ¸vring,9530.0,61.0,Volsted Bygade,9530 StÃ¸vring,Volsted Bygade 61,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-05-28,2005-12-21,2018-05-28,Andre eksterne omkostninger omfatter omkostninger til administration.,125000.0,29219400.0,29219400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for Tingstrup Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Steen Jensen,Steen Jensen,Nordea Bank A/S,Tingstrup Holding ApS,Tingstrup Holding,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,2017-01-01,Ingen bistand,urn:ofk:oid:25607174,indberetninger-20180424,2.5124327999999996,29219400.0,AWOw2PUm0wkEsASktLUK,2018-05-30T11:40:25.045Z,2018-05-30T11:39:57.793Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-19-HL,2018-05-30T11:39:58.043Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
29219400,2017-01-01,2017-01-01,c199,,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzYyLzNiL2ExL2FhMWYtNGQzOS1hMjhjLWY0NDc1ZWQ4OTYzZA.pdf,http://regnskaber.virk.dk/00491292/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2ViLzdmLzBiLzU4NTctNGI2My1iMTkwLTlhNmZlMmUxNDdjOA.xml,StÃ¸vring,9530.0,61.0,Volsted Bygade,9530 StÃ¸vring,Volsted Bygade 61,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-05-28,2005-12-21,2018-05-28,Andre eksterne omkostninger omfatter omkostninger til administration.,4000419.0,29219400.0,29219400.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017 for Tingstrup Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Steen Jensen,Steen Jensen,Nordea Bank A/S,Tingstrup Holding ApS,Tingstrup Holding,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2017-12-31,2017-01-01,Ingen bistand,urn:ofk:oid:25607174,indberetninger-20180424,2.5124327999999996,29219400.0,AWOw2PUm0wkEsASktLUK,2018-05-30T11:40:25.045Z,2018-05-30T11:39:57.793Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-19-HL,2018-05-30T11:39:58.043Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
