entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromAssociates,InvestmentsGross,NameOfAuditFirm
35678042,2014-01-01,2014-12-31,c171,,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzJlL2U4LzM4L2QyMjctNGJiMS1hZGFjLWU4OWFkZTJkM2Q0ZA.pdf,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzE0LzkyL2EwLzg0ZDctNGQxYy1hYWEwLTdmODU1YzZjYzEyNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,LV-1013,7 Vesetas,1203 KÃ¸benhavn K,Nybrogade 18,DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-07-01,2014-03-06,2016-07-21,-14995.0,20222670.0,35678042.0,20222670.0,Ãrsrapport,Antonis Ambrus Papp,Antonis Ambrus Papp,JSC Rietumu Banka,Varde Eager Agency ApS,BDO Statsautoriseret revisionsaktieselskab,-313.0,KÃ¸benhavn,-15308.0,-15308.0,KÃ¸benhavn,2015-12-31,2015-01-01,2016-07-01,KÃ¸benhavn,0.0,RevisionspÃ¥tegning,urn:ofk:oid:22854200,indberetninger-20180424,2.5122082000000003,35678042.0,,2018-03-28T16:57:36.400Z,2016-07-22T09:45:45.196Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-75-LG,2016-07-22T09:45:45.383Z,,,,,,,,,,,,,,,,,
35678042,2014-01-01,2014-12-31,c194,,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzJlL2U4LzM4L2QyMjctNGJiMS1hZGFjLWU4OWFkZTJkM2Q0ZA.pdf,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzE0LzkyL2EwLzg0ZDctNGQxYy1hYWEwLTdmODU1YzZjYzEyNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,LV-1013,7 Vesetas,1203 KÃ¸benhavn K,Nybrogade 18,DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-07-01,2014-03-06,2016-07-21,,20222670.0,35678042.0,20222670.0,Ãrsrapport,Antonis Ambrus Papp,Antonis Ambrus Papp,JSC Rietumu Banka,Varde Eager Agency ApS,BDO Statsautoriseret revisionsaktieselskab,,KÃ¸benhavn,-15308.0,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-07-01,KÃ¸benhavn,,RevisionspÃ¥tegning,urn:ofk:oid:22854200,indberetninger-20180424,2.5122082000000003,35678042.0,,2018-03-28T16:57:36.400Z,2016-07-22T09:45:45.196Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-75-LG,2016-07-22T09:45:45.383Z,,,,,,,,,,,,,,,,,
35678042,2014-12-31,2014-12-31,c173,,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzJlL2U4LzM4L2QyMjctNGJiMS1hZGFjLWU4OWFkZTJkM2Q0ZA.pdf,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzE0LzkyL2EwLzg0ZDctNGQxYy1hYWEwLTdmODU1YzZjYzEyNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,LV-1013,7 Vesetas,1203 KÃ¸benhavn K,Nybrogade 18,DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-07-01,2014-03-06,2016-07-21,,20222670.0,35678042.0,20222670.0,Ãrsrapport,Antonis Ambrus Papp,Antonis Ambrus Papp,JSC Rietumu Banka,Varde Eager Agency ApS,BDO Statsautoriseret revisionsaktieselskab,,KÃ¸benhavn,,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-07-01,KÃ¸benhavn,,RevisionspÃ¥tegning,urn:ofk:oid:22854200,indberetninger-20180424,2.5122082000000003,35678042.0,,2018-03-28T16:57:36.400Z,2016-07-22T09:45:45.196Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-75-LG,2016-07-22T09:45:45.383Z,21832.0,0.0,14720.0,-588.0,21832.0,22420.0,275.0,275.0,275.0,-15308.0,6685.0,22420.0,15735.0,21557.0,21557.0,,
35678042,2015-01-01,2015-01-01,c225,,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzJlL2U4LzM4L2QyMjctNGJiMS1hZGFjLWU4OWFkZTJkM2Q0ZA.pdf,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzE0LzkyL2EwLzg0ZDctNGQxYy1hYWEwLTdmODU1YzZjYzEyNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,LV-1013,7 Vesetas,1203 KÃ¸benhavn K,Nybrogade 18,DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-07-01,2014-03-06,2016-07-21,,20222670.0,35678042.0,20222670.0,Ãrsrapport,Antonis Ambrus Papp,Antonis Ambrus Papp,JSC Rietumu Banka,Varde Eager Agency ApS,BDO Statsautoriseret revisionsaktieselskab,,KÃ¸benhavn,,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-07-01,KÃ¸benhavn,,RevisionspÃ¥tegning,urn:ofk:oid:22854200,indberetninger-20180424,2.5122082000000003,35678042.0,,2018-03-28T16:57:36.400Z,2016-07-22T09:45:45.196Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-75-LG,2016-07-22T09:45:45.383Z,,,,14720.0,,,,,,,,,,,,,
35678042,2015-01-01,2015-01-01,c252,,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzJlL2U4LzM4L2QyMjctNGJiMS1hZGFjLWU4OWFkZTJkM2Q0ZA.pdf,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzE0LzkyL2EwLzg0ZDctNGQxYy1hYWEwLTdmODU1YzZjYzEyNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,LV-1013,7 Vesetas,1203 KÃ¸benhavn K,Nybrogade 18,DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-07-01,2014-03-06,2016-07-21,,20222670.0,35678042.0,20222670.0,Ãrsrapport,Antonis Ambrus Papp,Antonis Ambrus Papp,JSC Rietumu Banka,Varde Eager Agency ApS,BDO Statsautoriseret revisionsaktieselskab,,KÃ¸benhavn,,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-07-01,KÃ¸benhavn,,RevisionspÃ¥tegning,urn:ofk:oid:22854200,indberetninger-20180424,2.5122082000000003,35678042.0,,2018-03-28T16:57:36.400Z,2016-07-22T09:45:45.196Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-75-LG,2016-07-22T09:45:45.383Z,,,,-15308.0,,,,,,,,,,,,,
35678042,2015-01-01,2015-01-01,c534,,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzJlL2U4LzM4L2QyMjctNGJiMS1hZGFjLWU4OWFkZTJkM2Q0ZA.pdf,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzE0LzkyL2EwLzg0ZDctNGQxYy1hYWEwLTdmODU1YzZjYzEyNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,LV-1013,7 Vesetas,1203 KÃ¸benhavn K,Nybrogade 18,DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-07-01,2014-03-06,2016-07-21,,20222670.0,35678042.0,20222670.0,Ãrsrapport,Antonis Ambrus Papp,Antonis Ambrus Papp,JSC Rietumu Banka,Varde Eager Agency ApS,BDO Statsautoriseret revisionsaktieselskab,,KÃ¸benhavn,,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-07-01,KÃ¸benhavn,,RevisionspÃ¥tegning,urn:ofk:oid:22854200,indberetninger-20180424,2.5122082000000003,35678042.0,,2018-03-28T16:57:36.400Z,2016-07-22T09:45:45.196Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-75-LG,2016-07-22T09:45:45.383Z,,,,,,,,,,,,,,,,275.0,
35678042,2015-01-01,2015-12-31,c0,,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzJlL2U4LzM4L2QyMjctNGJiMS1hZGFjLWU4OWFkZTJkM2Q0ZA.pdf,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzE0LzkyL2EwLzg0ZDctNGQxYy1hYWEwLTdmODU1YzZjYzEyNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,LV-1013,7 Vesetas,1203 KÃ¸benhavn K,Nybrogade 18,DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-07-01,2014-03-06,2016-07-21,-11617.0,20222670.0,35678042.0,20222670.0,Ãrsrapport,Antonis Ambrus Papp,Antonis Ambrus Papp,JSC Rietumu Banka,Varde Eager Agency ApS,BDO Statsautoriseret revisionsaktieselskab,-605.0,KÃ¸benhavn,-12222.0,-12222.0,KÃ¸benhavn,2015-12-31,2015-01-01,2016-07-01,KÃ¸benhavn,0.0,RevisionspÃ¥tegning,urn:ofk:oid:22854200,indberetninger-20180424,2.5122082000000003,35678042.0,,2018-03-28T16:57:36.400Z,2016-07-22T09:45:45.196Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-75-LG,2016-07-22T09:45:45.383Z,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab
35678042,2015-01-01,2015-12-31,c193,,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzJlL2U4LzM4L2QyMjctNGJiMS1hZGFjLWU4OWFkZTJkM2Q0ZA.pdf,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzE0LzkyL2EwLzg0ZDctNGQxYy1hYWEwLTdmODU1YzZjYzEyNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,LV-1013,7 Vesetas,1203 KÃ¸benhavn K,Nybrogade 18,DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-07-01,2014-03-06,2016-07-21,,20222670.0,35678042.0,20222670.0,Ãrsrapport,Antonis Ambrus Papp,Antonis Ambrus Papp,JSC Rietumu Banka,Varde Eager Agency ApS,BDO Statsautoriseret revisionsaktieselskab,,KÃ¸benhavn,-12222.0,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-07-01,KÃ¸benhavn,,RevisionspÃ¥tegning,urn:ofk:oid:22854200,indberetninger-20180424,2.5122082000000003,35678042.0,,2018-03-28T16:57:36.400Z,2016-07-22T09:45:45.196Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-75-LG,2016-07-22T09:45:45.383Z,,,,,,,,,,,,,,,,,
35678042,2015-01-01,2015-12-31,c253,,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzJlL2U4LzM4L2QyMjctNGJiMS1hZGFjLWU4OWFkZTJkM2Q0ZA.pdf,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzE0LzkyL2EwLzg0ZDctNGQxYy1hYWEwLTdmODU1YzZjYzEyNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,LV-1013,7 Vesetas,1203 KÃ¸benhavn K,Nybrogade 18,DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-07-01,2014-03-06,2016-07-21,,20222670.0,35678042.0,20222670.0,Ãrsrapport,Antonis Ambrus Papp,Antonis Ambrus Papp,JSC Rietumu Banka,Varde Eager Agency ApS,BDO Statsautoriseret revisionsaktieselskab,,KÃ¸benhavn,-12222.0,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-07-01,KÃ¸benhavn,,RevisionspÃ¥tegning,urn:ofk:oid:22854200,indberetninger-20180424,2.5122082000000003,35678042.0,,2018-03-28T16:57:36.400Z,2016-07-22T09:45:45.196Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-75-LG,2016-07-22T09:45:45.383Z,,,,,,,,,,,,,,,,,
35678042,2015-01-01,2015-12-31,c633,,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzLzk3LzJlL2U4LzM4L2QyMjctNGJiMS1hZGFjLWU4OWFkZTJkM2Q0ZA.pdf,http://regnskaber.virk.dk/24087653/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzE0LzkyL2EwLzg0ZDctNGQxYy1hYWEwLTdmODU1YzZjYzEyNA.xml,1.0,KÃ¸benhavn V,1561.0,29.0,Havneholmen,LV-1013,7 Vesetas,1203 KÃ¸benhavn K,Nybrogade 18,DK-1561 KÃ¸benhavn V,Havneholmen 29,Regnskabsklasse B,2016-07-01,2014-03-06,2016-07-21,,20222670.0,35678042.0,20222670.0,Ãrsrapport,Antonis Ambrus Papp,Antonis Ambrus Papp,JSC Rietumu Banka,Varde Eager Agency ApS,BDO Statsautoriseret revisionsaktieselskab,,KÃ¸benhavn,,,KÃ¸benhavn,2015-12-31,2015-01-01,2016-07-01,KÃ¸benhavn,,RevisionspÃ¥tegning,urn:ofk:oid:22854200,indberetninger-20180424,2.5122082000000003,35678042.0,,2018-03-28T16:57:36.400Z,2016-07-22T09:45:45.196Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-75-LG,2016-07-22T09:45:45.383Z,,,,,,,,,,,,,,,,,
