entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsOfHedgingInstrumentsAtFairValue,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfClassOfIssuedShares,Equity,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,NominalValueOfIssuedShares,NumberOfIssuedShares,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfPropertyPlantAndEquipment,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,ChangesInEquityOfTax,IncreaseOfCapital,ValueAdjustmentsOfEquity,GrossProfitLoss,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,PropertyCost,Revenue,TaxExpense,WritedownsOfCurrentAssetsOtherThanCurrentFinancialAssets,LongtermLiabilitiesOtherThanProvisions,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradeReceivables,AccumulatedRevaluationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,PlaceOfSignatureOfStatement,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
29795401,2013-01-01,2013-01-01,c244,,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2MxL2Q3L2JkL2EyMTAtNGFmZS1hNjAwLTE4MTkwZjNjYjg2NQ.pdf,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2FmLzI4L2VhLzZlNjYtNDU5Ny05NzhkLTk4NzY3MjBiZDRiYg.xml,131179.0,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,86858.0,Regnskabsklasse B,2015-04-17,2015-05-05,Statsaut. revisor,Kapitalandele,2340176.0,29795401.0,Ãrsrapport,6996600.0,923900.0,Jan Molin,Klaus Nyborg,SÃ¸ren Gjelstrup,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Rudersdal,2014-12-31,2014-01-01,296757.0,2015-04-17,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:5228144,indberetninger-20180424,2.5118406,29795401,,2018-03-30T10:19:11.468Z,2015-05-12T16:55:22.278Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-58-WZ,2015-05-12T16:55:22.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2013-01-01,2013-01-01,c289,,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2MxL2Q3L2JkL2EyMTAtNGFmZS1hNjAwLTE4MTkwZjNjYjg2NQ.pdf,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2FmLzI4L2VhLzZlNjYtNDU5Ny05NzhkLTk4NzY3MjBiZDRiYg.xml,131179.0,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,86858.0,Regnskabsklasse B,2015-04-17,2015-05-05,Statsaut. revisor,Kapitalandele,1160145.0,29795401.0,Ãrsrapport,6996600.0,923900.0,Jan Molin,Klaus Nyborg,SÃ¸ren Gjelstrup,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Rudersdal,2014-12-31,2014-01-01,296757.0,2015-04-17,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:5228144,indberetninger-20180424,2.5118406,29795401,,2018-03-30T10:19:11.468Z,2015-05-12T16:55:22.278Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-58-WZ,2015-05-12T16:55:22.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2013-01-01,2013-12-31,c180,,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2MxL2Q3L2JkL2EyMTAtNGFmZS1hNjAwLTE4MTkwZjNjYjg2NQ.pdf,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2FmLzI4L2VhLzZlNjYtNDU5Ny05NzhkLTk4NzY3MjBiZDRiYg.xml,131179.0,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,86858.0,Regnskabsklasse B,2015-04-17,2015-05-05,Statsaut. revisor,Kapitalandele,,29795401.0,Ãrsrapport,6996600.0,923900.0,Jan Molin,Klaus Nyborg,SÃ¸ren Gjelstrup,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Rudersdal,2014-12-31,2014-01-01,296757.0,2015-04-17,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:5228144,indberetninger-20180424,2.5118406,29795401,,2018-03-30T10:19:11.468Z,2015-05-12T16:55:22.278Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-58-WZ,2015-05-12T16:55:22.322Z,76644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2013-01-01,2013-12-31,c245,,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2MxL2Q3L2JkL2EyMTAtNGFmZS1hNjAwLTE4MTkwZjNjYjg2NQ.pdf,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2FmLzI4L2VhLzZlNjYtNDU5Ny05NzhkLTk4NzY3MjBiZDRiYg.xml,131179.0,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,86858.0,Regnskabsklasse B,2015-04-17,2015-05-05,Statsaut. revisor,Kapitalandele,,29795401.0,Ãrsrapport,6996600.0,923900.0,Jan Molin,Klaus Nyborg,SÃ¸ren Gjelstrup,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Rudersdal,2014-12-31,2014-01-01,296757.0,2015-04-17,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:5228144,indberetninger-20180424,2.5118406,29795401,,2018-03-30T10:19:11.468Z,2015-05-12T16:55:22.278Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-58-WZ,2015-05-12T16:55:22.322Z,,0.0,350730.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2013-01-01,2013-12-31,c290,,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2MxL2Q3L2JkL2EyMTAtNGFmZS1hNjAwLTE4MTkwZjNjYjg2NQ.pdf,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2FmLzI4L2VhLzZlNjYtNDU5Ny05NzhkLTk4NzY3MjBiZDRiYg.xml,131179.0,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,86858.0,Regnskabsklasse B,2015-04-17,2015-05-05,Statsaut. revisor,Kapitalandele,,29795401.0,Ãrsrapport,6996600.0,923900.0,Jan Molin,Klaus Nyborg,SÃ¸ren Gjelstrup,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Rudersdal,2014-12-31,2014-01-01,296757.0,2015-04-17,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:5228144,indberetninger-20180424,2.5118406,29795401,,2018-03-30T10:19:11.468Z,2015-05-12T16:55:22.278Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-58-WZ,2015-05-12T16:55:22.322Z,76644.0,172000.0,210537.0,698280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2013-01-01,2013-12-31,c4,,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2MxL2Q3L2JkL2EyMTAtNGFmZS1hNjAwLTE4MTkwZjNjYjg2NQ.pdf,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2FmLzI4L2VhLzZlNjYtNDU5Ny05NzhkLTk4NzY3MjBiZDRiYg.xml,131179.0,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,86858.0,Regnskabsklasse B,2015-04-17,2015-05-05,Statsaut. revisor,Kapitalandele,,29795401.0,Ãrsrapport,6996600.0,923900.0,Jan Molin,Klaus Nyborg,SÃ¸ren Gjelstrup,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Rudersdal,2014-12-31,2014-01-01,296757.0,2015-04-17,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:5228144,indberetninger-20180424,2.5118406,29795401,,2018-03-30T10:19:11.468Z,2015-05-12T16:55:22.278Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-58-WZ,2015-05-12T16:55:22.322Z,76644.0,,,,494839.0,93146.0,1083043.0,21.0,90435.0,189804.0,777789.0,13791.0,-678618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2013-12-31,2013-12-31,c363,,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2MxL2Q3L2JkL2EyMTAtNGFmZS1hNjAwLTE4MTkwZjNjYjg2NQ.pdf,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2FmLzI4L2VhLzZlNjYtNDU5Ny05NzhkLTk4NzY3MjBiZDRiYg.xml,131179.0,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,86858.0,Regnskabsklasse B,2015-04-17,2015-05-05,Statsaut. revisor,Kapitalandele,,29795401.0,Ãrsrapport,6996600.0,923900.0,Jan Molin,Klaus Nyborg,SÃ¸ren Gjelstrup,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Rudersdal,2014-12-31,2014-01-01,296757.0,2015-04-17,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:5228144,indberetninger-20180424,2.5118406,29795401,,2018-03-30T10:19:11.468Z,2015-05-12T16:55:22.278Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-58-WZ,2015-05-12T16:55:22.322Z,,,,,,,,,,,,,,8288320.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2013-12-31,2013-12-31,c5,,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2MxL2Q3L2JkL2EyMTAtNGFmZS1hNjAwLTE4MTkwZjNjYjg2NQ.pdf,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2FmLzI4L2VhLzZlNjYtNDU5Ny05NzhkLTk4NzY3MjBiZDRiYg.xml,131179.0,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,86858.0,Regnskabsklasse B,2015-04-17,2015-05-05,Statsaut. revisor,Kapitalandele,5008512.0,29795401.0,Ãrsrapport,6996600.0,923900.0,Jan Molin,Klaus Nyborg,SÃ¸ren Gjelstrup,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Rudersdal,2014-12-31,2014-01-01,296757.0,2015-04-17,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:5228144,indberetninger-20180424,2.5118406,29795401,,2018-03-30T10:19:11.468Z,2015-05-12T16:55:22.278Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-58-WZ,2015-05-12T16:55:22.322Z,,,,,,,,,,,,,,7344920.0,14631557.0,418614.0,2690906.0,439048.0,14192509.0,14631557.0,9516345.0,7344920.0,14192509.0,1193715.0,7081.0,14192509.0,106700.0,106700.0,2317606.0,2171425.0,943400.0,34310.0,20434.0,214.0,13139.0,,,,,
29795401,2014-01-01,2014-01-01,c208,,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2MxL2Q3L2JkL2EyMTAtNGFmZS1hNjAwLTE4MTkwZjNjYjg2NQ.pdf,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2FmLzI4L2VhLzZlNjYtNDU5Ny05NzhkLTk4NzY3MjBiZDRiYg.xml,131179.0,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,86858.0,Regnskabsklasse B,2015-04-17,2015-05-05,Statsaut. revisor,Kapitalandele,,29795401.0,Ãrsrapport,6996600.0,923900.0,Jan Molin,Klaus Nyborg,SÃ¸ren Gjelstrup,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Rudersdal,2014-12-31,2014-01-01,296757.0,2015-04-17,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:5228144,indberetninger-20180424,2.5118406,29795401,,2018-03-30T10:19:11.468Z,2015-05-12T16:55:22.278Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-58-WZ,2015-05-12T16:55:22.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968005.0,12224504.0,,,
29795401,2014-01-01,2014-01-01,c247,,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzLzA0L2MxL2Q3L2JkL2EyMTAtNGFmZS1hNjAwLTE4MTkwZjNjYjg2NQ.pdf,http://regnskaber.virk.dk/10459792/ZG9rdW1lbnRsYWdlcjovLzAzL2I3L2FmLzI4L2VhLzZlNjYtNDU5Ny05NzhkLTk4NzY3MjBiZDRiYg.xml,131179.0,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,86858.0,Regnskabsklasse B,2015-04-17,2015-05-05,Statsaut. revisor,Kapitalandele,2690906.0,29795401.0,Ãrsrapport,6996600.0,923900.0,Jan Molin,Klaus Nyborg,SÃ¸ren Gjelstrup,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Rudersdal,2014-12-31,2014-01-01,296757.0,2015-04-17,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:5228144,indberetninger-20180424,2.5118406,29795401,,2018-03-30T10:19:11.468Z,2015-05-12T16:55:22.278Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-58-WZ,2015-05-12T16:55:22.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
