entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorCountry,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfClassOfIssuedShares,Equity,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,NominalValueOfIssuedShares,NumberOfIssuedShares,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfPropertyPlantAndEquipment,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,EquityTransfersToReserves,IncreaseOfCapital,ValueAdjustmentsOfEquity,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,PropertyCost,Revenue,TaxExpense,WritedownsOfCurrentAssetsOtherThanCurrentFinancialAssets,LongtermLiabilitiesOtherThanProvisions,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradeReceivables,AccumulatedRevaluationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,DescriptionOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,ChangesInEquityOfTax,NameAndSurnameOfMemberOfSupervisoryBoard
29795401,2012-01-01,2012-01-01,c244,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8vcGRmcy8yOTc5NTQwMTtBL1MzODYwNTY7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDYxMF8xNzQ1NDRfMDIz.xml,128682.0,Danmark,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-05-14,2014-06-02,"Aktieklasse A, som i DKK kan specifiseres ved",2052525.0,29795401.0,Ãrsrapport,7015000.0,943400.0,Lars Perch-Nielsen,Lars Perch Nielsen,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Holte,Rudersdal,2013-12-31,2013-01-01,678618.0,2014-05-14,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:21242884,indberetninger-20180424,2.5118417999999996,29795401.0,,2018-04-01T02:47:23.612Z,2014-06-11T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-92.108,2014-06-11T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2012-01-01,2012-01-01,c289,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8vcGRmcy8yOTc5NTQwMTtBL1MzODYwNTY7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDYxMF8xNzQ1NDRfMDIz.xml,128682.0,Danmark,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-05-14,2014-06-02,"Aktieklasse A, som i DKK kan specifiseres ved",1066555.0,29795401.0,Ãrsrapport,7015000.0,943400.0,Lars Perch-Nielsen,Lars Perch Nielsen,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Holte,Rudersdal,2013-12-31,2013-01-01,678618.0,2014-05-14,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:21242884,indberetninger-20180424,2.5118417999999996,29795401.0,,2018-04-01T02:47:23.612Z,2014-06-11T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-92.108,2014-06-11T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2012-01-01,2012-12-31,c180,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8vcGRmcy8yOTc5NTQwMTtBL1MzODYwNTY7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDYxMF8xNzQ1NDRfMDIz.xml,128682.0,Danmark,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-05-14,2014-06-02,"Aktieklasse A, som i DKK kan specifiseres ved",,29795401.0,Ãrsrapport,7015000.0,943400.0,Lars Perch-Nielsen,Lars Perch Nielsen,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Holte,Rudersdal,2013-12-31,2013-01-01,678618.0,2014-05-14,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:21242884,indberetninger-20180424,2.5118417999999996,29795401.0,,2018-04-01T02:47:23.612Z,2014-06-11T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-92.108,2014-06-11T22:00:00.000Z,339526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2012-01-01,2012-12-31,c245,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8vcGRmcy8yOTc5NTQwMTtBL1MzODYwNTY7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDYxMF8xNzQ1NDRfMDIz.xml,128682.0,Danmark,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-05-14,2014-06-02,"Aktieklasse A, som i DKK kan specifiseres ved",,29795401.0,Ãrsrapport,7015000.0,943400.0,Lars Perch-Nielsen,Lars Perch Nielsen,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Holte,Rudersdal,2013-12-31,2013-01-01,678618.0,2014-05-14,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:21242884,indberetninger-20180424,2.5118417999999996,29795401.0,,2018-04-01T02:47:23.612Z,2014-06-11T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-92.108,2014-06-11T22:00:00.000Z,,0.0,287651.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2012-01-01,2012-12-31,c290,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8vcGRmcy8yOTc5NTQwMTtBL1MzODYwNTY7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDYxMF8xNzQ1NDRfMDIz.xml,128682.0,Danmark,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-05-14,2014-06-02,"Aktieklasse A, som i DKK kan specifiseres ved",,29795401.0,Ãrsrapport,7015000.0,943400.0,Lars Perch-Nielsen,Lars Perch Nielsen,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Holte,Rudersdal,2013-12-31,2013-01-01,678618.0,2014-05-14,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:21242884,indberetninger-20180424,2.5118417999999996,29795401.0,,2018-04-01T02:47:23.612Z,2014-06-11T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-92.108,2014-06-11T22:00:00.000Z,339526.0,112715.0,0.0,-358651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2012-01-01,2012-12-31,c4,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8vcGRmcy8yOTc5NTQwMTtBL1MzODYwNTY7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDYxMF8xNzQ1NDRfMDIz.xml,128682.0,Danmark,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-05-14,2014-06-02,"Aktieklasse A, som i DKK kan specifiseres ved",,29795401.0,Ãrsrapport,7015000.0,943400.0,Lars Perch-Nielsen,Lars Perch Nielsen,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Holte,Rudersdal,2013-12-31,2013-01-01,678618.0,2014-05-14,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:21242884,indberetninger-20180424,2.5118417999999996,29795401.0,,2018-04-01T02:47:23.612Z,2014-06-11T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-92.108,2014-06-11T22:00:00.000Z,339526.0,,,,40471.0,678114.0,1567.0,339526.0,219627.0,841164.0,0.0,-435007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2012-12-31,2012-12-31,c363,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8vcGRmcy8yOTc5NTQwMTtBL1MzODYwNTY7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDYxMF8xNzQ1NDRfMDIz.xml,128682.0,Danmark,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-05-14,2014-06-02,"Aktieklasse A, som i DKK kan specifiseres ved",,29795401.0,Ãrsrapport,7015000.0,943400.0,Lars Perch-Nielsen,Lars Perch Nielsen,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Holte,Rudersdal,2013-12-31,2013-01-01,678618.0,2014-05-14,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:21242884,indberetninger-20180424,2.5118417999999996,29795401.0,,2018-04-01T02:47:23.612Z,2014-06-11T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-92.108,2014-06-11T22:00:00.000Z,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29795401,2012-12-31,2012-12-31,c5,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8vcGRmcy8yOTc5NTQwMTtBL1MzODYwNTY7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDYxMF8xNzQ1NDRfMDIz.xml,128682.0,Danmark,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-05-14,2014-06-02,"Aktieklasse A, som i DKK kan specifiseres ved",3500321.0,29795401.0,Ãrsrapport,7015000.0,943400.0,Lars Perch-Nielsen,Lars Perch Nielsen,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Holte,Rudersdal,2013-12-31,2013-01-01,678618.0,2014-05-14,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:21242884,indberetninger-20180424,2.5118417999999996,29795401.0,,2018-04-01T02:47:23.612Z,2014-06-11T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-92.108,2014-06-11T22:00:00.000Z,,,,,,,,,,,,,0.0,14426231.0,1027346.0,2340176.0,1041022.0,13385209.0,14426231.0,10925910.0,0.0,13385209.0,2500380.0,0.0,13385209.0,0.0,0.0,1160145.0,8391220.0,10925910.0,0.0,34310.0,13676.0,537.0,13139.0,,,,,,,,,,,
29795401,2013-01-01,2013-01-01,c208,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8vcGRmcy8yOTc5NTQwMTtBL1MzODYwNTY7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDYxMF8xNzQ1NDRfMDIz.xml,128682.0,Danmark,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-05-14,2014-06-02,"Aktieklasse A, som i DKK kan specifiseres ved",,29795401.0,Ãrsrapport,7015000.0,943400.0,Lars Perch-Nielsen,Lars Perch Nielsen,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Holte,Rudersdal,2013-12-31,2013-01-01,678618.0,2014-05-14,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:21242884,indberetninger-20180424,2.5118417999999996,29795401.0,,2018-04-01T02:47:23.612Z,2014-06-11T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-92.108,2014-06-11T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289387.0,12095822.0,,,,,,,,,
29795401,2013-01-01,2013-01-01,c247,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8vcGRmcy8yOTc5NTQwMTtBL1MzODYwNTY7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10459792/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDYxMF8xNzQ1NDRfMDIz.xml,128682.0,Danmark,Holte,2840.0,136.0,"NÃ¦sseslottet, DronninggÃ¥rds Alle",9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-05-14,2014-06-02,"Aktieklasse A, som i DKK kan specifiseres ved",2340176.0,29795401.0,Ãrsrapport,7015000.0,943400.0,Lars Perch-Nielsen,Lars Perch Nielsen,Tysk Ejendomsselskab A/S,Beierholm,1.0,20059450.0,Holte,Rudersdal,2013-12-31,2013-01-01,678618.0,2014-05-14,KÃ¸benhavn,45 47 50 42,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:21242884,indberetninger-20180424,2.5118417999999996,29795401.0,,2018-04-01T02:47:23.612Z,2014-06-11T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-92.108,2014-06-11T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
