entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,EmailOfReportingEntity,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,CostOfProduction,DistributionCosts,GrossResult,OtherOperatingExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
34886199,2015-01-01,2015-12-31,c10,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2Y4Lzg0LzhhL2E2YjAtNGI2ZC1iZmYzLWY2OGYwNDdiOWI4Nw.xhtml,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2RiLzZjLzEzLzExNDMtNGJiZi1hNWZhLTYyZmFmOWIzMzdhYw.pdf,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RhLzBmL2VmLzVhLzk5YjEtNDFlNS04MDRjLTc3MzhmNzZiNDhkNA.xml,true,Danmark,DK,KÃ¸benhavn,1202.0,"42, 1. sal",Gammel Strand,KÃ¸benhavn Ã,2100.0,"2, st th",Aggersborggade,4720 PrÃ¦stÃ¸,BygvÃ¦nget 29,Regnskabsklasse B,2017-03-29,2017-03-29,info@anotherview.dk,34886199.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Stuhr,Pia Ravn Dyhr,Sparekassen Vendsyssel,ANOTHER VIEW ApS,Susanne Juel Olsen,Ãsterbro,2015-01-01,2015-12-31,29618.0,2016-12-31,2016-01-01,false,false,24664846.0,false,false,Ingen bistand,urn:ofk:oid:23781679,indberetninger-20180424,2.5953592999999997,34886199.0,,2018-03-27T17:49:01.811Z,2017-04-29T11:28:45.370Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-10-UZ,2017-04-29T11:28:45.500Z,,,,,,,,,,,,,,,,,,,,,,,
34886199,2015-01-01,2015-12-31,c8,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2Y4Lzg0LzhhL2E2YjAtNGI2ZC1iZmYzLWY2OGYwNDdiOWI4Nw.xhtml,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2RiLzZjLzEzLzExNDMtNGJiZi1hNWZhLTYyZmFmOWIzMzdhYw.pdf,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RhLzBmL2VmLzVhLzk5YjEtNDFlNS04MDRjLTc3MzhmNzZiNDhkNA.xml,true,Danmark,DK,KÃ¸benhavn,1202.0,"42, 1. sal",Gammel Strand,KÃ¸benhavn Ã,2100.0,"2, st th",Aggersborggade,4720 PrÃ¦stÃ¸,BygvÃ¦nget 29,Regnskabsklasse B,2017-03-29,2017-03-29,info@anotherview.dk,34886199.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Stuhr,Pia Ravn Dyhr,Sparekassen Vendsyssel,ANOTHER VIEW ApS,Susanne Juel Olsen,Ãsterbro,2015-01-01,2015-12-31,29618.0,2016-12-31,2016-01-01,false,false,24664846.0,false,false,Ingen bistand,urn:ofk:oid:23781679,indberetninger-20180424,2.5953592999999997,34886199.0,,2018-03-27T17:49:01.811Z,2017-04-29T11:28:45.370Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-10-UZ,2017-04-29T11:28:45.500Z,224180.0,56561.0,269267.0,183088.0,29618.0,29618.0,493447.0,,,,,,,,,,,,,,,,
34886199,2015-12-31,2015-12-31,c12,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2Y4Lzg0LzhhL2E2YjAtNGI2ZC1iZmYzLWY2OGYwNDdiOWI4Nw.xhtml,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2RiLzZjLzEzLzExNDMtNGJiZi1hNWZhLTYyZmFmOWIzMzdhYw.pdf,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RhLzBmL2VmLzVhLzk5YjEtNDFlNS04MDRjLTc3MzhmNzZiNDhkNA.xml,true,Danmark,DK,KÃ¸benhavn,1202.0,"42, 1. sal",Gammel Strand,KÃ¸benhavn Ã,2100.0,"2, st th",Aggersborggade,4720 PrÃ¦stÃ¸,BygvÃ¦nget 29,Regnskabsklasse B,2017-03-29,2017-03-29,info@anotherview.dk,34886199.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Stuhr,Pia Ravn Dyhr,Sparekassen Vendsyssel,ANOTHER VIEW ApS,Susanne Juel Olsen,Ãsterbro,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,false,24664846.0,false,false,Ingen bistand,urn:ofk:oid:23781679,indberetninger-20180424,2.5953592999999997,34886199.0,,2018-03-27T17:49:01.811Z,2017-04-29T11:28:45.370Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-10-UZ,2017-04-29T11:28:45.500Z,,,,,,,,287418.0,197666.0,135000.0,287418.0,-14468.0,56227.0,287418.0,301886.0,56227.0,289735.0,-149468.0,301886.0,33525.0,12151.0,33525.0,
34886199,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2Y4Lzg0LzhhL2E2YjAtNGI2ZC1iZmYzLWY2OGYwNDdiOWI4Nw.xhtml,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2RiLzZjLzEzLzExNDMtNGJiZi1hNWZhLTYyZmFmOWIzMzdhYw.pdf,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RhLzBmL2VmLzVhLzk5YjEtNDFlNS04MDRjLTc3MzhmNzZiNDhkNA.xml,true,Danmark,DK,KÃ¸benhavn,1202.0,"42, 1. sal",Gammel Strand,KÃ¸benhavn Ã,2100.0,"2, st th",Aggersborggade,4720 PrÃ¦stÃ¸,BygvÃ¦nget 29,Regnskabsklasse B,2017-03-29,2017-03-29,info@anotherview.dk,34886199.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Stuhr,Pia Ravn Dyhr,Sparekassen Vendsyssel,ANOTHER VIEW ApS,Susanne Juel Olsen,Ãsterbro,2015-01-01,2015-12-31,13914.0,2016-12-31,2016-01-01,false,false,24664846.0,false,false,Ingen bistand,urn:ofk:oid:23781679,indberetninger-20180424,2.5953592999999997,34886199.0,,2018-03-27T17:49:01.811Z,2017-04-29T11:28:45.370Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-10-UZ,2017-04-29T11:28:45.500Z,262263.0,56539.0,228187.0,157734.0,13914.0,13914.0,490450.0,,,,,,,,,,,,,,,,
34886199,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2Y4Lzg0LzhhL2E2YjAtNGI2ZC1iZmYzLWY2OGYwNDdiOWI4Nw.xhtml,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2RiLzZjLzEzLzExNDMtNGJiZi1hNWZhLTYyZmFmOWIzMzdhYw.pdf,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RhLzBmL2VmLzVhLzk5YjEtNDFlNS04MDRjLTc3MzhmNzZiNDhkNA.xml,true,Danmark,DK,KÃ¸benhavn,1202.0,"42, 1. sal",Gammel Strand,KÃ¸benhavn Ã,2100.0,"2, st th",Aggersborggade,4720 PrÃ¦stÃ¸,BygvÃ¦nget 29,Regnskabsklasse B,2017-03-29,2017-03-29,info@anotherview.dk,34886199.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Stuhr,Pia Ravn Dyhr,Sparekassen Vendsyssel,ANOTHER VIEW ApS,Susanne Juel Olsen,Ãsterbro,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,false,24664846.0,false,false,Ingen bistand,urn:ofk:oid:23781679,indberetninger-20180424,2.5953592999999997,34886199.0,,2018-03-27T17:49:01.811Z,2017-04-29T11:28:45.370Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-10-UZ,2017-04-29T11:28:45.500Z,,,,,,,,,,,,,,,,,,,,,,,
34886199,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2Y4Lzg0LzhhL2E2YjAtNGI2ZC1iZmYzLWY2OGYwNDdiOWI4Nw.xhtml,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2RiLzZjLzEzLzExNDMtNGJiZi1hNWZhLTYyZmFmOWIzMzdhYw.pdf,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RhLzBmL2VmLzVhLzk5YjEtNDFlNS04MDRjLTc3MzhmNzZiNDhkNA.xml,true,Danmark,DK,KÃ¸benhavn,1202.0,"42, 1. sal",Gammel Strand,KÃ¸benhavn Ã,2100.0,"2, st th",Aggersborggade,4720 PrÃ¦stÃ¸,BygvÃ¦nget 29,Regnskabsklasse B,2017-03-29,2017-03-29,info@anotherview.dk,34886199.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Stuhr,Pia Ravn Dyhr,Sparekassen Vendsyssel,ANOTHER VIEW ApS,Susanne Juel Olsen,Ãsterbro,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,false,24664846.0,false,false,Ingen bistand,urn:ofk:oid:23781679,indberetninger-20180424,2.5953592999999997,34886199.0,,2018-03-27T17:49:01.811Z,2017-04-29T11:28:45.370Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-10-UZ,2017-04-29T11:28:45.500Z,,,,,,,,,,,,,,,,,,,,,,,Mette Rejnholt Groth Pedersen
34886199,2016-01-01,2016-12-31,c3,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2Y4Lzg0LzhhL2E2YjAtNGI2ZC1iZmYzLWY2OGYwNDdiOWI4Nw.xhtml,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2RiLzZjLzEzLzExNDMtNGJiZi1hNWZhLTYyZmFmOWIzMzdhYw.pdf,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RhLzBmL2VmLzVhLzk5YjEtNDFlNS04MDRjLTc3MzhmNzZiNDhkNA.xml,true,Danmark,DK,KÃ¸benhavn,1202.0,"42, 1. sal",Gammel Strand,KÃ¸benhavn Ã,2100.0,"2, st th",Aggersborggade,4720 PrÃ¦stÃ¸,BygvÃ¦nget 29,Regnskabsklasse B,2017-03-29,2017-03-29,info@anotherview.dk,34886199.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Stuhr,Pia Ravn Dyhr,Sparekassen Vendsyssel,ANOTHER VIEW ApS,Susanne Juel Olsen,Ãsterbro,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,false,24664846.0,false,false,Ingen bistand,urn:ofk:oid:23781679,indberetninger-20180424,2.5953592999999997,34886199.0,,2018-03-27T17:49:01.811Z,2017-04-29T11:28:45.370Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-10-UZ,2017-04-29T11:28:45.500Z,,,,,,,,,,,,,,,,,,,,,,,Dorthe Merete BrÃ¸gger
34886199,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2Y4Lzg0LzhhL2E2YjAtNGI2ZC1iZmYzLWY2OGYwNDdiOWI4Nw.xhtml,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2RiLzZjLzEzLzExNDMtNGJiZi1hNWZhLTYyZmFmOWIzMzdhYw.pdf,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RhLzBmL2VmLzVhLzk5YjEtNDFlNS04MDRjLTc3MzhmNzZiNDhkNA.xml,true,Danmark,DK,KÃ¸benhavn,1202.0,"42, 1. sal",Gammel Strand,KÃ¸benhavn Ã,2100.0,"2, st th",Aggersborggade,4720 PrÃ¦stÃ¸,BygvÃ¦nget 29,Regnskabsklasse B,2017-03-29,2017-03-29,info@anotherview.dk,34886199.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Stuhr,Pia Ravn Dyhr,Sparekassen Vendsyssel,ANOTHER VIEW ApS,Susanne Juel Olsen,Ãsterbro,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,false,24664846.0,false,false,Ingen bistand,urn:ofk:oid:23781679,indberetninger-20180424,2.5953592999999997,34886199.0,,2018-03-27T17:49:01.811Z,2017-04-29T11:28:45.370Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-10-UZ,2017-04-29T11:28:45.500Z,,,,,,,,,,,,,,,,,,,,,,,Pia Ravn Dyhr
34886199,2016-01-01,2016-12-31,c5,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2Y4Lzg0LzhhL2E2YjAtNGI2ZC1iZmYzLWY2OGYwNDdiOWI4Nw.xhtml,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2RiLzZjLzEzLzExNDMtNGJiZi1hNWZhLTYyZmFmOWIzMzdhYw.pdf,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RhLzBmL2VmLzVhLzk5YjEtNDFlNS04MDRjLTc3MzhmNzZiNDhkNA.xml,true,Danmark,DK,KÃ¸benhavn,1202.0,"42, 1. sal",Gammel Strand,KÃ¸benhavn Ã,2100.0,"2, st th",Aggersborggade,4720 PrÃ¦stÃ¸,BygvÃ¦nget 29,Regnskabsklasse B,2017-03-29,2017-03-29,info@anotherview.dk,34886199.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Stuhr,Pia Ravn Dyhr,Sparekassen Vendsyssel,ANOTHER VIEW ApS,Susanne Juel Olsen,Ãsterbro,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,false,24664846.0,false,false,Ingen bistand,urn:ofk:oid:23781679,indberetninger-20180424,2.5953592999999997,34886199.0,,2018-03-27T17:49:01.811Z,2017-04-29T11:28:45.370Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-10-UZ,2017-04-29T11:28:45.500Z,,,,,,,,,,,,,,,,,,,,,,,Mette Stuhr
34886199,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzLzMwL2Y4Lzg0LzhhL2E2YjAtNGI2ZC1iZmYzLWY2OGYwNDdiOWI4Nw.xhtml,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2RiLzZjLzEzLzExNDMtNGJiZi1hNWZhLTYyZmFmOWIzMzdhYw.pdf,http://regnskaber.virk.dk/99168843/ZG9rdW1lbnRsYWdlcjovLzAzL2RhLzBmL2VmLzVhLzk5YjEtNDFlNS04MDRjLTc3MzhmNzZiNDhkNA.xml,true,Danmark,DK,KÃ¸benhavn,1202.0,"42, 1. sal",Gammel Strand,KÃ¸benhavn Ã,2100.0,"2, st th",Aggersborggade,4720 PrÃ¦stÃ¸,BygvÃ¦nget 29,Regnskabsklasse B,2017-03-29,2017-03-29,info@anotherview.dk,34886199.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mette Stuhr,Pia Ravn Dyhr,Sparekassen Vendsyssel,ANOTHER VIEW ApS,Susanne Juel Olsen,Ãsterbro,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,false,false,24664846.0,false,false,Ingen bistand,urn:ofk:oid:23781679,indberetninger-20180424,2.5953592999999997,34886199.0,,2018-03-27T17:49:01.811Z,2017-04-29T11:28:45.370Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-10-UZ,2017-04-29T11:28:45.500Z,,,,,,,,,,,,,,,,,,,,,,,Marianne Skovgaard Hansen
