entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,Assets,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,NoncurrentAssets,OtherFinanceExpenses,OtherShorttermPayables,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss
entity identifier,2012-09-21,2013-06-30,ID_0,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8vcGRmcy8zNDcwNzQxMztBcFM1MTc5NDQ7MjAxMjA5MjE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8veGJybHMvWC1DNjIwNDI4Qy0yMDEzMDkxNl8xMTM1NThfMDU0.xml,"Valby, 2500","Christen Bergs AllÃ© 19, c/o Thomas Juhlsgaard Jepsen","3450, AllerÃ¸d",Gl. Frederiksborgvej 79,Til kapitalejerne i T.J. Jepsen Holding ApS,108558.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 30.06.2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 21-09-2012 - 30-06-2013.",-80000.0,1950.0,1950.0,2012-09-21,2013-09-16,Statsautoriseret revisor,-92696.0,7545.0,34879753.0,34707413.0,34879753.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 21-09-2012 - 30-06-2013 for T.J. Jepsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for T.J. Jepsen Holding ApS for regnskabsÃ¥ret 21-09-2012 - 30-06-2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-13601.0,Ãrsrapport,-108558.0,-15862.0,106608.0,106608.0,Per Frederiksen,Thomas Juhlsgaard Jepsen,Thomas Juhlsgaard Jepsen,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",T.J. Jepsen Holding ApS,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",106608.0,310.0,-15552.0,-5746.0,7545.0,2013-06-30,2012-09-21,-13601.0,905.0,-310.0,-15862.0,1950.0,2013-09-16,AllerÃ¸d,-1950.0,DirektÃ¸r,urn:ofk:oid:14778838,indberetninger-20180424,2.5118406,34707413.0,,2018-04-01T17:45:50.847Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-09-21,13-313.042,2013-09-16T22:00:00.000Z,
entity identifier,2012-09-21,2013-06-30,ID_1,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8vcGRmcy8zNDcwNzQxMztBcFM1MTc5NDQ7MjAxMjA5MjE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8veGJybHMvWC1DNjIwNDI4Qy0yMDEzMDkxNl8xMTM1NThfMDU0.xml,"Valby, 2500","Christen Bergs AllÃ© 19, c/o Thomas Juhlsgaard Jepsen","3450, AllerÃ¸d",Gl. Frederiksborgvej 79,Til kapitalejerne i T.J. Jepsen Holding ApS,108558.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 30.06.2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 21-09-2012 - 30-06-2013.",-80000.0,1950.0,1950.0,2012-09-21,2013-09-16,Statsautoriseret revisor,-92696.0,7545.0,34879753.0,34707413.0,34879753.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 21-09-2012 - 30-06-2013 for T.J. Jepsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for T.J. Jepsen Holding ApS for regnskabsÃ¥ret 21-09-2012 - 30-06-2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-13601.0,Ãrsrapport,-108558.0,-15862.0,106608.0,106608.0,Per Frederiksen,Thomas Juhlsgaard Jepsen,Thomas Juhlsgaard Jepsen,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",T.J. Jepsen Holding ApS,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",106608.0,310.0,-15552.0,-5746.0,7545.0,2013-06-30,2012-09-21,-13601.0,905.0,-310.0,-15862.0,1950.0,2013-09-16,AllerÃ¸d,-1950.0,DirektÃ¸r,urn:ofk:oid:14778838,indberetninger-20180424,2.5118406,34707413.0,,2018-04-01T17:45:50.847Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-09-21,13-313.042,2013-09-16T22:00:00.000Z,
entity identifier,2012-09-21,2013-06-30,ID_10,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8vcGRmcy8zNDcwNzQxMztBcFM1MTc5NDQ7MjAxMjA5MjE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8veGJybHMvWC1DNjIwNDI4Qy0yMDEzMDkxNl8xMTM1NThfMDU0.xml,"Valby, 2500","Christen Bergs AllÃ© 19, c/o Thomas Juhlsgaard Jepsen","3450, AllerÃ¸d",Gl. Frederiksborgvej 79,Til kapitalejerne i T.J. Jepsen Holding ApS,108558.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 30.06.2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 21-09-2012 - 30-06-2013.",-80000.0,1950.0,1950.0,2012-09-21,2013-09-16,Statsautoriseret revisor,-92696.0,7545.0,34879753.0,34707413.0,34879753.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 21-09-2012 - 30-06-2013 for T.J. Jepsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for T.J. Jepsen Holding ApS for regnskabsÃ¥ret 21-09-2012 - 30-06-2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-13601.0,Ãrsrapport,-108558.0,-15862.0,106608.0,106608.0,Per Frederiksen,Thomas Juhlsgaard Jepsen,Thomas Juhlsgaard Jepsen,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",T.J. Jepsen Holding ApS,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",106608.0,310.0,-15552.0,-5746.0,7545.0,2013-06-30,2012-09-21,-13601.0,905.0,-310.0,-15862.0,1950.0,2013-09-16,AllerÃ¸d,-1950.0,DirektÃ¸r,urn:ofk:oid:14778838,indberetninger-20180424,2.5118406,34707413.0,,2018-04-01T17:45:50.847Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-09-21,13-313.042,2013-09-16T22:00:00.000Z,-5000.0
entity identifier,2012-09-21,2013-06-30,ID_11,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8vcGRmcy8zNDcwNzQxMztBcFM1MTc5NDQ7MjAxMjA5MjE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8veGJybHMvWC1DNjIwNDI4Qy0yMDEzMDkxNl8xMTM1NThfMDU0.xml,"Valby, 2500","Christen Bergs AllÃ© 19, c/o Thomas Juhlsgaard Jepsen","3450, AllerÃ¸d",Gl. Frederiksborgvej 79,Til kapitalejerne i T.J. Jepsen Holding ApS,108558.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 30.06.2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 21-09-2012 - 30-06-2013.",-80000.0,1950.0,1950.0,2012-09-21,2013-09-16,Statsautoriseret revisor,-92696.0,7545.0,34879753.0,34707413.0,34879753.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 21-09-2012 - 30-06-2013 for T.J. Jepsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for T.J. Jepsen Holding ApS for regnskabsÃ¥ret 21-09-2012 - 30-06-2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-13601.0,Ãrsrapport,-108558.0,-15862.0,106608.0,106608.0,Per Frederiksen,Thomas Juhlsgaard Jepsen,Thomas Juhlsgaard Jepsen,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",T.J. Jepsen Holding ApS,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",106608.0,310.0,-15552.0,-5746.0,7545.0,2013-06-30,2012-09-21,-13601.0,905.0,-310.0,-15862.0,1950.0,2013-09-16,AllerÃ¸d,-1950.0,DirektÃ¸r,urn:ofk:oid:14778838,indberetninger-20180424,2.5118406,34707413.0,,2018-04-01T17:45:50.847Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-09-21,13-313.042,2013-09-16T22:00:00.000Z,-905.0
entity identifier,2012-09-21,2013-06-30,ID_12,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8vcGRmcy8zNDcwNzQxMztBcFM1MTc5NDQ7MjAxMjA5MjE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8veGJybHMvWC1DNjIwNDI4Qy0yMDEzMDkxNl8xMTM1NThfMDU0.xml,"Valby, 2500","Christen Bergs AllÃ© 19, c/o Thomas Juhlsgaard Jepsen","3450, AllerÃ¸d",Gl. Frederiksborgvej 79,Til kapitalejerne i T.J. Jepsen Holding ApS,108558.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 30.06.2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 21-09-2012 - 30-06-2013.",-80000.0,1950.0,1950.0,2012-09-21,2013-09-16,Statsautoriseret revisor,-92696.0,7545.0,34879753.0,34707413.0,34879753.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 21-09-2012 - 30-06-2013 for T.J. Jepsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for T.J. Jepsen Holding ApS for regnskabsÃ¥ret 21-09-2012 - 30-06-2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-13601.0,Ãrsrapport,-108558.0,-15862.0,106608.0,106608.0,Per Frederiksen,Thomas Juhlsgaard Jepsen,Thomas Juhlsgaard Jepsen,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",T.J. Jepsen Holding ApS,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",106608.0,310.0,-15552.0,-5746.0,7545.0,2013-06-30,2012-09-21,-13601.0,905.0,-310.0,-15862.0,1950.0,2013-09-16,AllerÃ¸d,-1950.0,DirektÃ¸r,urn:ofk:oid:14778838,indberetninger-20180424,2.5118406,34707413.0,,2018-04-01T17:45:50.847Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-09-21,13-313.042,2013-09-16T22:00:00.000Z,7696.0
entity identifier,2012-09-21,2013-06-30,ID_14,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8vcGRmcy8zNDcwNzQxMztBcFM1MTc5NDQ7MjAxMjA5MjE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8veGJybHMvWC1DNjIwNDI4Qy0yMDEzMDkxNl8xMTM1NThfMDU0.xml,"Valby, 2500","Christen Bergs AllÃ© 19, c/o Thomas Juhlsgaard Jepsen","3450, AllerÃ¸d",Gl. Frederiksborgvej 79,Til kapitalejerne i T.J. Jepsen Holding ApS,108558.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 30.06.2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 21-09-2012 - 30-06-2013.",-80000.0,1950.0,1950.0,2012-09-21,2013-09-16,Statsautoriseret revisor,-92696.0,7545.0,34879753.0,34707413.0,34879753.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 21-09-2012 - 30-06-2013 for T.J. Jepsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for T.J. Jepsen Holding ApS for regnskabsÃ¥ret 21-09-2012 - 30-06-2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-13601.0,Ãrsrapport,-108558.0,-15862.0,106608.0,106608.0,Per Frederiksen,Thomas Juhlsgaard Jepsen,Thomas Juhlsgaard Jepsen,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",T.J. Jepsen Holding ApS,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",106608.0,310.0,-15552.0,-5746.0,7545.0,2013-06-30,2012-09-21,-13601.0,905.0,-310.0,-15862.0,1950.0,2013-09-16,AllerÃ¸d,-1950.0,DirektÃ¸r,urn:ofk:oid:14778838,indberetninger-20180424,2.5118406,34707413.0,,2018-04-01T17:45:50.847Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-09-21,13-313.042,2013-09-16T22:00:00.000Z,
entity identifier,2012-09-21,2013-06-30,ID_15,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8vcGRmcy8zNDcwNzQxMztBcFM1MTc5NDQ7MjAxMjA5MjE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8veGJybHMvWC1DNjIwNDI4Qy0yMDEzMDkxNl8xMTM1NThfMDU0.xml,"Valby, 2500","Christen Bergs AllÃ© 19, c/o Thomas Juhlsgaard Jepsen","3450, AllerÃ¸d",Gl. Frederiksborgvej 79,Til kapitalejerne i T.J. Jepsen Holding ApS,108558.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 30.06.2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 21-09-2012 - 30-06-2013.",-80000.0,1950.0,1950.0,2012-09-21,2013-09-16,Statsautoriseret revisor,-92696.0,7545.0,34879753.0,34707413.0,34879753.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 21-09-2012 - 30-06-2013 for T.J. Jepsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for T.J. Jepsen Holding ApS for regnskabsÃ¥ret 21-09-2012 - 30-06-2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-13601.0,Ãrsrapport,-108558.0,-15862.0,106608.0,106608.0,Per Frederiksen,Thomas Juhlsgaard Jepsen,Thomas Juhlsgaard Jepsen,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",T.J. Jepsen Holding ApS,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",106608.0,310.0,-15552.0,-5746.0,7545.0,2013-06-30,2012-09-21,-13601.0,905.0,-310.0,-15862.0,1950.0,2013-09-16,AllerÃ¸d,-1950.0,DirektÃ¸r,urn:ofk:oid:14778838,indberetninger-20180424,2.5118406,34707413.0,,2018-04-01T17:45:50.847Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-09-21,13-313.042,2013-09-16T22:00:00.000Z,
entity identifier,2012-09-21,2013-06-30,ID_2,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8vcGRmcy8zNDcwNzQxMztBcFM1MTc5NDQ7MjAxMjA5MjE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8veGJybHMvWC1DNjIwNDI4Qy0yMDEzMDkxNl8xMTM1NThfMDU0.xml,"Valby, 2500","Christen Bergs AllÃ© 19, c/o Thomas Juhlsgaard Jepsen","3450, AllerÃ¸d",Gl. Frederiksborgvej 79,Til kapitalejerne i T.J. Jepsen Holding ApS,108558.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 30.06.2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 21-09-2012 - 30-06-2013.",-80000.0,1950.0,1950.0,2012-09-21,2013-09-16,Statsautoriseret revisor,-92696.0,7545.0,34879753.0,34707413.0,34879753.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 21-09-2012 - 30-06-2013 for T.J. Jepsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for T.J. Jepsen Holding ApS for regnskabsÃ¥ret 21-09-2012 - 30-06-2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-13601.0,Ãrsrapport,-108558.0,-15862.0,106608.0,106608.0,Per Frederiksen,Thomas Juhlsgaard Jepsen,Thomas Juhlsgaard Jepsen,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",T.J. Jepsen Holding ApS,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",106608.0,310.0,-15552.0,-5746.0,7545.0,2013-06-30,2012-09-21,-13601.0,905.0,-310.0,-15862.0,1950.0,2013-09-16,AllerÃ¸d,-1950.0,DirektÃ¸r,urn:ofk:oid:14778838,indberetninger-20180424,2.5118406,34707413.0,,2018-04-01T17:45:50.847Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-09-21,13-313.042,2013-09-16T22:00:00.000Z,
entity identifier,2012-09-21,2013-06-30,ID_3,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8vcGRmcy8zNDcwNzQxMztBcFM1MTc5NDQ7MjAxMjA5MjE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8veGJybHMvWC1DNjIwNDI4Qy0yMDEzMDkxNl8xMTM1NThfMDU0.xml,"Valby, 2500","Christen Bergs AllÃ© 19, c/o Thomas Juhlsgaard Jepsen","3450, AllerÃ¸d",Gl. Frederiksborgvej 79,Til kapitalejerne i T.J. Jepsen Holding ApS,108558.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 30.06.2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 21-09-2012 - 30-06-2013.",-80000.0,1950.0,1950.0,2012-09-21,2013-09-16,Statsautoriseret revisor,-92696.0,7545.0,34879753.0,34707413.0,34879753.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 21-09-2012 - 30-06-2013 for T.J. Jepsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for T.J. Jepsen Holding ApS for regnskabsÃ¥ret 21-09-2012 - 30-06-2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-13601.0,Ãrsrapport,-108558.0,-15862.0,106608.0,106608.0,Per Frederiksen,Thomas Juhlsgaard Jepsen,Thomas Juhlsgaard Jepsen,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",T.J. Jepsen Holding ApS,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",106608.0,310.0,-15552.0,-5746.0,7545.0,2013-06-30,2012-09-21,-13601.0,905.0,-310.0,-15862.0,1950.0,2013-09-16,AllerÃ¸d,-1950.0,DirektÃ¸r,urn:ofk:oid:14778838,indberetninger-20180424,2.5118406,34707413.0,,2018-04-01T17:45:50.847Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-09-21,13-313.042,2013-09-16T22:00:00.000Z,
entity identifier,2012-09-21,2013-06-30,ID_4,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8vcGRmcy8zNDcwNzQxMztBcFM1MTc5NDQ7MjAxMjA5MjE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/31470743/Y3ZyLmRrOi8veGJybHMvWC1DNjIwNDI4Qy0yMDEzMDkxNl8xMTM1NThfMDU0.xml,"Valby, 2500","Christen Bergs AllÃ© 19, c/o Thomas Juhlsgaard Jepsen","3450, AllerÃ¸d",Gl. Frederiksborgvej 79,Til kapitalejerne i T.J. Jepsen Holding ApS,108558.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 30.06.2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 21-09-2012 - 30-06-2013.",-80000.0,1950.0,1950.0,2012-09-21,2013-09-16,Statsautoriseret revisor,-92696.0,7545.0,34879753.0,34707413.0,34879753.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 21-09-2012 - 30-06-2013 for T.J. Jepsen Holding ApS.,"Vi har revideret Ã¥rsregnskabet for T.J. Jepsen Holding ApS for regnskabsÃ¥ret 21-09-2012 - 30-06-2013, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-13601.0,Ãrsrapport,-108558.0,-15862.0,106608.0,106608.0,Per Frederiksen,Thomas Juhlsgaard Jepsen,Thomas Juhlsgaard Jepsen,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",T.J. Jepsen Holding ApS,"Revisionsfirmaet Tage SÃ¸rensen, Statsautoriseret Revisionsaktieselskab",106608.0,310.0,-15552.0,-5746.0,7545.0,2013-06-30,2012-09-21,-13601.0,905.0,-310.0,-15862.0,1950.0,2013-09-16,AllerÃ¸d,-1950.0,DirektÃ¸r,urn:ofk:oid:14778838,indberetninger-20180424,2.5118406,34707413.0,,2018-04-01T17:45:50.847Z,2013-09-16T22:00:00.000Z,regnskab,0.0,,2013-06-30,2012-09-21,13-313.042,2013-09-16T22:00:00.000Z,
