entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfAuditorCountry,AddressOfAuditorPostcodeAndTown,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfClassOfIssuedShares,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,InvestmentsGross,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,ProfitLossRelatedToInvestments,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,CurrentTaxExpense,GrossResult,IncomeFromInvestmentsInAssociates,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromAssociates,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestIncome,TaxExpense,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,PaidContributedCapital,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,NameAndSurnameOfAuditor,NameOfAuditFirm
32550460,2011-05-01,2011-05-01,c423,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8vcGRmcy8zMjU1MDQ2MDtBcFM0NjM0NDU7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMTAwMl8xNjUzNDlfODEz.xml,-2877.0,Danmark,6900 Skjern,6900 Skjern,Banktorvet 3,6900  Skjern,Torvet 1,6900 Skjern,Regnskabsklasse B,2013-09-20,2013-09-20,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.500 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,32550460.0,33771231.0,Ãrsrapport,62500.0,Jacob Hall,JÃ¸rgen SÃ¸ndergaard Axelsen,Skjern Bank,MRTT Invest ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Skjern,RingkÃ¸bing-Skjern,Vestre Ringgade 62 ApS,RingkÃ¸bing-Skjern,2013-04-30,2012-05-01,50.0,2013-09-20,Skjern,96 80 10 00,urn:ofk:oid:20452996,indberetninger-20180424,2.511702,32550460,,2018-04-01T13:14:35.513Z,2013-10-02T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.507,2013-10-02T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32550460,2011-05-01,2012-04-30,c215,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8vcGRmcy8zMjU1MDQ2MDtBcFM0NjM0NDU7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMTAwMl8xNjUzNDlfODEz.xml,,Danmark,6900 Skjern,6900 Skjern,Banktorvet 3,6900  Skjern,Torvet 1,6900 Skjern,Regnskabsklasse B,2013-09-20,2013-09-20,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.500 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,32550460.0,33771231.0,Ãrsrapport,,Jacob Hall,JÃ¸rgen SÃ¸ndergaard Axelsen,Skjern Bank,MRTT Invest ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Skjern,RingkÃ¸bing-Skjern,Vestre Ringgade 62 ApS,RingkÃ¸bing-Skjern,2013-04-30,2012-05-01,50.0,2013-09-20,Skjern,96 80 10 00,urn:ofk:oid:20452996,indberetninger-20180424,2.511702,32550460,,2018-04-01T13:14:35.513Z,2013-10-02T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.507,2013-10-02T22:00:00.000Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32550460,2011-05-01,2012-04-30,c235,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8vcGRmcy8zMjU1MDQ2MDtBcFM0NjM0NDU7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMTAwMl8xNjUzNDlfODEz.xml,,Danmark,6900 Skjern,6900 Skjern,Banktorvet 3,6900  Skjern,Torvet 1,6900 Skjern,Regnskabsklasse B,2013-09-20,2013-09-20,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.500 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,32550460.0,33771231.0,Ãrsrapport,,Jacob Hall,JÃ¸rgen SÃ¸ndergaard Axelsen,Skjern Bank,MRTT Invest ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Skjern,RingkÃ¸bing-Skjern,Vestre Ringgade 62 ApS,RingkÃ¸bing-Skjern,2013-04-30,2012-05-01,50.0,2013-09-20,Skjern,96 80 10 00,urn:ofk:oid:20452996,indberetninger-20180424,2.511702,32550460,,2018-04-01T13:14:35.513Z,2013-10-02T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.507,2013-10-02T22:00:00.000Z,595446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32550460,2011-05-01,2012-04-30,c424,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8vcGRmcy8zMjU1MDQ2MDtBcFM0NjM0NDU7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMTAwMl8xNjUzNDlfODEz.xml,,Danmark,6900 Skjern,6900 Skjern,Banktorvet 3,6900  Skjern,Torvet 1,6900 Skjern,Regnskabsklasse B,2013-09-20,2013-09-20,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.500 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,32550460.0,33771231.0,Ãrsrapport,,Jacob Hall,JÃ¸rgen SÃ¸ndergaard Axelsen,Skjern Bank,MRTT Invest ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Skjern,RingkÃ¸bing-Skjern,Vestre Ringgade 62 ApS,RingkÃ¸bing-Skjern,2013-04-30,2012-05-01,50.0,2013-09-20,Skjern,96 80 10 00,urn:ofk:oid:20452996,indberetninger-20180424,2.511702,32550460,,2018-04-01T13:14:35.513Z,2013-10-02T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.507,2013-10-02T22:00:00.000Z,,597652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32550460,2011-05-01,2012-04-30,c68,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8vcGRmcy8zMjU1MDQ2MDtBcFM0NjM0NDU7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMTAwMl8xNjUzNDlfODEz.xml,,Danmark,6900 Skjern,6900 Skjern,Banktorvet 3,6900  Skjern,Torvet 1,6900 Skjern,Regnskabsklasse B,2013-09-20,2013-09-20,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.500 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,32550460.0,33771231.0,Ãrsrapport,,Jacob Hall,JÃ¸rgen SÃ¸ndergaard Axelsen,Skjern Bank,MRTT Invest ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Skjern,RingkÃ¸bing-Skjern,Vestre Ringgade 62 ApS,RingkÃ¸bing-Skjern,2013-04-30,2012-05-01,50.0,2013-09-20,Skjern,96 80 10 00,urn:ofk:oid:20452996,indberetninger-20180424,2.511702,32550460,,2018-04-01T13:14:35.513Z,2013-10-02T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.507,2013-10-02T22:00:00.000Z,595446.0,,-1369.0,-4722.0,0.0,-8240.0,597652.0,156.0,0.0,8240.0,156.0,99.0,99.0,-6091.0,-6091.0,,,,,,,,,,,,,,,,,,,
32550460,2012-04-30,2012-04-30,c425,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8vcGRmcy8zMjU1MDQ2MDtBcFM0NjM0NDU7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMTAwMl8xNjUzNDlfODEz.xml,594775.0,Danmark,6900 Skjern,6900 Skjern,Banktorvet 3,6900  Skjern,Torvet 1,6900 Skjern,Regnskabsklasse B,2013-09-20,2013-09-20,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.500 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,32550460.0,33771231.0,Ãrsrapport,62500.0,Jacob Hall,JÃ¸rgen SÃ¸ndergaard Axelsen,Skjern Bank,MRTT Invest ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Skjern,RingkÃ¸bing-Skjern,Vestre Ringgade 62 ApS,RingkÃ¸bing-Skjern,2013-04-30,2012-05-01,50.0,2013-09-20,Skjern,96 80 10 00,urn:ofk:oid:20452996,indberetninger-20180424,2.511702,32550460,,2018-04-01T13:14:35.513Z,2013-10-02T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.507,2013-10-02T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32550460,2012-04-30,2012-04-30,c69,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8vcGRmcy8zMjU1MDQ2MDtBcFM0NjM0NDU7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMTAwMl8xNjUzNDlfODEz.xml,,Danmark,6900 Skjern,6900 Skjern,Banktorvet 3,6900  Skjern,Torvet 1,6900 Skjern,Regnskabsklasse B,2013-09-20,2013-09-20,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.500 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,32550460.0,33771231.0,Ãrsrapport,,Jacob Hall,JÃ¸rgen SÃ¸ndergaard Axelsen,Skjern Bank,MRTT Invest ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Skjern,RingkÃ¸bing-Skjern,Vestre Ringgade 62 ApS,RingkÃ¸bing-Skjern,2013-04-30,2012-05-01,50.0,2013-09-20,Skjern,96 80 10 00,urn:ofk:oid:20452996,indberetninger-20180424,2.511702,32550460,,2018-04-01T13:14:35.513Z,2013-10-02T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.507,2013-10-02T22:00:00.000Z,,,,,,,,,,,,,,,,732046.0,9458.0,150000.0,74771.0,4722.0,727046.0,732046.0,5000.0,657275.0,657275.0,657275.0,5000.0,150000.0,577046.0,5000.0,65313.0,60591.0,,
32550460,2012-05-01,2012-05-01,c2,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8vcGRmcy8zMjU1MDQ2MDtBcFM0NjM0NDU7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMTAwMl8xNjUzNDlfODEz.xml,,Danmark,6900 Skjern,6900 Skjern,Banktorvet 3,6900  Skjern,Torvet 1,6900 Skjern,Regnskabsklasse B,2013-09-20,2013-09-20,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.500 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,32550460.0,33771231.0,Ãrsrapport,,Jacob Hall,JÃ¸rgen SÃ¸ndergaard Axelsen,Skjern Bank,MRTT Invest ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Skjern,RingkÃ¸bing-Skjern,Vestre Ringgade 62 ApS,RingkÃ¸bing-Skjern,2013-04-30,2012-05-01,50.0,2013-09-20,Skjern,96 80 10 00,urn:ofk:oid:20452996,indberetninger-20180424,2.511702,32550460,,2018-04-01T13:14:35.513Z,2013-10-02T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.507,2013-10-02T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,150000.0,,,,,,,,,,,,,
32550460,2012-05-01,2012-05-01,c22,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8vcGRmcy8zMjU1MDQ2MDtBcFM0NjM0NDU7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMTAwMl8xNjUzNDlfODEz.xml,,Danmark,6900 Skjern,6900 Skjern,Banktorvet 3,6900  Skjern,Torvet 1,6900 Skjern,Regnskabsklasse B,2013-09-20,2013-09-20,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.500 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,32550460.0,33771231.0,Ãrsrapport,,Jacob Hall,JÃ¸rgen SÃ¸ndergaard Axelsen,Skjern Bank,MRTT Invest ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Skjern,RingkÃ¸bing-Skjern,Vestre Ringgade 62 ApS,RingkÃ¸bing-Skjern,2013-04-30,2012-05-01,50.0,2013-09-20,Skjern,96 80 10 00,urn:ofk:oid:20452996,indberetninger-20180424,2.511702,32550460,,2018-04-01T13:14:35.513Z,2013-10-02T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.507,2013-10-02T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,577046.0,,,,,,,,,,,,,
32550460,2012-05-01,2012-05-01,c420,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8vcGRmcy8zMjU1MDQ2MDtBcFM0NjM0NDU7MjAxMjA1MDE7MjAxMzA0MzA7UjtS.pdf,http://regnskaber.virk.dk/06405523/Y3ZyLmRrOi8veGJybHMvWC03RENCRUIxMi0yMDEzMTAwMl8xNjUzNDlfODEz.xml,594775.0,Danmark,6900 Skjern,6900 Skjern,Banktorvet 3,6900  Skjern,Torvet 1,6900 Skjern,Regnskabsklasse B,2013-09-20,2013-09-20,statsautoriseret revisor,Selskabskapitalen bestÃ¥r af 1.500 anparter Ã  nominelt DKK 100. Ingen anparter er tillagt sÃ¦rlige rettigheder.,32550460.0,33771231.0,Ãrsrapport,62500.0,Jacob Hall,JÃ¸rgen SÃ¸ndergaard Axelsen,Skjern Bank,MRTT Invest ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,Skjern,RingkÃ¸bing-Skjern,Vestre Ringgade 62 ApS,RingkÃ¸bing-Skjern,2013-04-30,2012-05-01,50.0,2013-09-20,Skjern,96 80 10 00,urn:ofk:oid:20452996,indberetninger-20180424,2.511702,32550460,,2018-04-01T13:14:35.513Z,2013-10-02T22:00:00.000Z,regnskab,0.0,,2013-04-30,2012-05-01,13-223.507,2013-10-02T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
