entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,NameAndSurnameOfMemberOfExecutiveBoard
29787026,2016-01-01,2016-12-31,ID_5,,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2Q2L2MwL2I1LzgzN2EtNDk1MS04ZjllLTY4OGJhNmNkOTcwYg.pdf,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzlhL2RhLzQwLzBhYTctNGNhZi04ZDY4LWM4ZDcyM2E5ZWQzYQ.xml,true,"Ãrhus C, 8000","SÃ¸ndergade 44,1",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-22,2018-06-22,2006-11-01,2018-06-22,-3750.0,29787026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BNN Invest ApS.,2907274.0,Ãrsrapport,Bjerne Kaj Nielsen,BNN Invest ApS,4audit ass DK ApS,2.0,Odense,2016-01-01,2016-12-31,2903526.0,2903526.0,-3750.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25938138,indberetninger-20180424,2.5124211,29787026.0,AWRKuEDB0wkEsASkuLMk,2018-06-29T08:46:20.933Z,2018-06-29T08:45:43.422Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-52-MR,2018-06-29T08:45:43.568Z,,,,,,,,,,,,,,,,
29787026,2016-01-01,2016-12-31,ID_7,,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2Q2L2MwL2I1LzgzN2EtNDk1MS04ZjllLTY4OGJhNmNkOTcwYg.pdf,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzlhL2RhLzQwLzBhYTctNGNhZi04ZDY4LWM4ZDcyM2E5ZWQzYQ.xml,true,"Ãrhus C, 8000","SÃ¸ndergade 44,1",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-22,2018-06-22,2006-11-01,2018-06-22,,29787026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BNN Invest ApS.,,Ãrsrapport,Bjerne Kaj Nielsen,BNN Invest ApS,4audit ass DK ApS,,Odense,2016-01-01,2016-12-31,-2907274.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25938138,indberetninger-20180424,2.5124211,29787026.0,AWRKuEDB0wkEsASkuLMk,2018-06-29T08:46:20.933Z,2018-06-29T08:45:43.422Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-52-MR,2018-06-29T08:45:43.568Z,,,,,,,,,,,,,,,,
29787026,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2Q2L2MwL2I1LzgzN2EtNDk1MS04ZjllLTY4OGJhNmNkOTcwYg.pdf,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzlhL2RhLzQwLzBhYTctNGNhZi04ZDY4LWM4ZDcyM2E5ZWQzYQ.xml,true,"Ãrhus C, 8000","SÃ¸ndergade 44,1",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-22,2018-06-22,2006-11-01,2018-06-22,,29787026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BNN Invest ApS.,,Ãrsrapport,Bjerne Kaj Nielsen,BNN Invest ApS,4audit ass DK ApS,,Odense,2016-01-01,2016-12-31,3748.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25938138,indberetninger-20180424,2.5124211,29787026.0,AWRKuEDB0wkEsASkuLMk,2018-06-29T08:46:20.933Z,2018-06-29T08:45:43.422Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-52-MR,2018-06-29T08:45:43.568Z,,,,,,,,,,,,,,,,
29787026,2016-12-31,2016-12-31,ID_4,,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2Q2L2MwL2I1LzgzN2EtNDk1MS04ZjllLTY4OGJhNmNkOTcwYg.pdf,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzlhL2RhLzQwLzBhYTctNGNhZi04ZDY4LWM4ZDcyM2E5ZWQzYQ.xml,true,"Ãrhus C, 8000","SÃ¸ndergade 44,1",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-22,2018-06-22,2006-11-01,2018-06-22,,29787026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BNN Invest ApS.,,Ãrsrapport,Bjerne Kaj Nielsen,BNN Invest ApS,4audit ass DK ApS,,Odense,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25938138,indberetninger-20180424,2.5124211,29787026.0,AWRKuEDB0wkEsASkuLMk,2018-06-29T08:46:20.933Z,2018-06-29T08:45:43.422Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-52-MR,2018-06-29T08:45:43.568Z,4539884.0,16256.0,125000.0,16256.0,4536658.0,4539884.0,3226.0,4523628.0,4523628.0,4523628.0,0.0,4460628.0,-48970.0,3226.0,3226.0,
29787026,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2Q2L2MwL2I1LzgzN2EtNDk1MS04ZjllLTY4OGJhNmNkOTcwYg.pdf,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzlhL2RhLzQwLzBhYTctNGNhZi04ZDY4LWM4ZDcyM2E5ZWQzYQ.xml,true,"Ãrhus C, 8000","SÃ¸ndergade 44,1",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-22,2018-06-22,2006-11-01,2018-06-22,,29787026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BNN Invest ApS.,,Ãrsrapport,Bjerne Kaj Nielsen,BNN Invest ApS,4audit ass DK ApS,,Odense,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25938138,indberetninger-20180424,2.5124211,29787026.0,AWRKuEDB0wkEsASkuLMk,2018-06-29T08:46:20.933Z,2018-06-29T08:45:43.422Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-52-MR,2018-06-29T08:45:43.568Z,,,,,,,,,,,,,,,,Bjerne Kaj Nielsen
29787026,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2Q2L2MwL2I1LzgzN2EtNDk1MS04ZjllLTY4OGJhNmNkOTcwYg.pdf,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzlhL2RhLzQwLzBhYTctNGNhZi04ZDY4LWM4ZDcyM2E5ZWQzYQ.xml,true,"Ãrhus C, 8000","SÃ¸ndergade 44,1",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-22,2018-06-22,2006-11-01,2018-06-22,,29787026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BNN Invest ApS.,,Ãrsrapport,Bjerne Kaj Nielsen,BNN Invest ApS,4audit ass DK ApS,,Odense,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25938138,indberetninger-20180424,2.5124211,29787026.0,AWRKuEDB0wkEsASkuLMk,2018-06-29T08:46:20.933Z,2018-06-29T08:45:43.422Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-52-MR,2018-06-29T08:45:43.568Z,,,,,,,,,,,,,,,,
29787026,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2Q2L2MwL2I1LzgzN2EtNDk1MS04ZjllLTY4OGJhNmNkOTcwYg.pdf,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzlhL2RhLzQwLzBhYTctNGNhZi04ZDY4LWM4ZDcyM2E5ZWQzYQ.xml,true,"Ãrhus C, 8000","SÃ¸ndergade 44,1",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-22,2018-06-22,2006-11-01,2018-06-22,-3780.0,29787026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BNN Invest ApS.,-752419.0,Ãrsrapport,Bjerne Kaj Nielsen,BNN Invest ApS,4audit ass DK ApS,990638.0,Odense,2016-01-01,2016-12-31,234439.0,234439.0,-3780.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25938138,indberetninger-20180424,2.5124211,29787026.0,AWRKuEDB0wkEsASkuLMk,2018-06-29T08:46:20.933Z,2018-06-29T08:45:43.422Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-52-MR,2018-06-29T08:45:43.568Z,,,,,,,,,,,,,,,,
29787026,2017-01-01,2017-12-31,ID_6,,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2Q2L2MwL2I1LzgzN2EtNDk1MS04ZjllLTY4OGJhNmNkOTcwYg.pdf,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzlhL2RhLzQwLzBhYTctNGNhZi04ZDY4LWM4ZDcyM2E5ZWQzYQ.xml,true,"Ãrhus C, 8000","SÃ¸ndergade 44,1",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-22,2018-06-22,2006-11-01,2018-06-22,,29787026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BNN Invest ApS.,,Ãrsrapport,Bjerne Kaj Nielsen,BNN Invest ApS,4audit ass DK ApS,,Odense,2016-01-01,2016-12-31,752419.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25938138,indberetninger-20180424,2.5124211,29787026.0,AWRKuEDB0wkEsASkuLMk,2018-06-29T08:46:20.933Z,2018-06-29T08:45:43.422Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-52-MR,2018-06-29T08:45:43.568Z,,,,,,,,,,,,,,,,
29787026,2017-01-01,2017-12-31,ID_8,,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2Q2L2MwL2I1LzgzN2EtNDk1MS04ZjllLTY4OGJhNmNkOTcwYg.pdf,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzlhL2RhLzQwLzBhYTctNGNhZi04ZDY4LWM4ZDcyM2E5ZWQzYQ.xml,true,"Ãrhus C, 8000","SÃ¸ndergade 44,1",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-22,2018-06-22,2006-11-01,2018-06-22,,29787026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BNN Invest ApS.,,Ãrsrapport,Bjerne Kaj Nielsen,BNN Invest ApS,4audit ass DK ApS,,Odense,2016-01-01,2016-12-31,-986858.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25938138,indberetninger-20180424,2.5124211,29787026.0,AWRKuEDB0wkEsASkuLMk,2018-06-29T08:46:20.933Z,2018-06-29T08:45:43.422Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-52-MR,2018-06-29T08:45:43.568Z,,,,,,,,,,,,,,,,
29787026,2017-12-31,2017-12-31,ID_3,,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2Q2L2MwL2I1LzgzN2EtNDk1MS04ZjllLTY4OGJhNmNkOTcwYg.pdf,http://regnskaber.virk.dk/62078792/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzlhL2RhLzQwLzBhYTctNGNhZi04ZDY4LWM4ZDcyM2E5ZWQzYQ.xml,true,"Ãrhus C, 8000","SÃ¸ndergade 44,1",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-22,2018-06-22,2006-11-01,2018-06-22,,29787026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for BNN Invest ApS.,,Ãrsrapport,Bjerne Kaj Nielsen,BNN Invest ApS,4audit ass DK ApS,,Odense,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25938138,indberetninger-20180424,2.5124211,29787026.0,AWRKuEDB0wkEsASkuLMk,2018-06-29T08:46:20.933Z,2018-06-29T08:45:43.422Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-52-MR,2018-06-29T08:45:43.568Z,4779065.0,16226.0,125000.0,16226.0,4771097.0,4779065.0,7968.0,4762839.0,4762839.0,4762839.0,992.0,3708209.0,937888.0,7968.0,6976.0,
