entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,ProfitLossFromOrdinaryActivitiesBeforeTax,Assets,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates
entity identifier,2010-01-01,2010-12-31,ID_10,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8vcGRmcy8zMDc0MDEwNjtBcFM0MDk4NjA7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcwMV8yMTM5MzBfOTMx.xml,"Aalborg, 9000",Helgolandsgade 31,"9000, Aalborg",Hobrovej 76,"Til kapitalejerne i BENTZEN HOLDING, AALBORG APS",PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2007-08-15,2012-06-22,Statsautoriseret revisor,30740106.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for BENTZEN HOLDING, AALBORG APS.","Vi har revideret Ã¥rsregnskabet for BENTZEN HOLDING, AALBORG APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Bjarke Schou Bentzen,Bjarke Schou Bentzen,Attiri Statsautoriseret Revisionsanpartsselskab,"BENTZEN HOLDING, AALBORG APS",Attiri Statsautoriseret Revisionsanpartsselskab,-153345.0,2011-12-31,2011-01-01,2012-06-22,Aalborg,DirektÃ¸r,urn:ofk:oid:18779284,indberetninger-20180424,2.511541,30740106,,2018-04-02T02:12:03.484Z,2012-07-01T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-124.913,2012-07-01T22:00:00.000Z,,,,,,,,,,,,,,,
entity identifier,2010-01-01,2010-12-31,ID_12,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8vcGRmcy8zMDc0MDEwNjtBcFM0MDk4NjA7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcwMV8yMTM5MzBfOTMx.xml,"Aalborg, 9000",Helgolandsgade 31,"9000, Aalborg",Hobrovej 76,"Til kapitalejerne i BENTZEN HOLDING, AALBORG APS",PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2007-08-15,2012-06-22,Statsautoriseret revisor,30740106.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for BENTZEN HOLDING, AALBORG APS.","Vi har revideret Ã¥rsregnskabet for BENTZEN HOLDING, AALBORG APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Bjarke Schou Bentzen,Bjarke Schou Bentzen,Attiri Statsautoriseret Revisionsanpartsselskab,"BENTZEN HOLDING, AALBORG APS",Attiri Statsautoriseret Revisionsanpartsselskab,-6875.0,2011-12-31,2011-01-01,2012-06-22,Aalborg,DirektÃ¸r,urn:ofk:oid:18779284,indberetninger-20180424,2.511541,30740106,,2018-04-02T02:12:03.484Z,2012-07-01T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-124.913,2012-07-01T22:00:00.000Z,,,,,,,,,,,,,,,
entity identifier,2010-01-01,2010-12-31,ID_14,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8vcGRmcy8zMDc0MDEwNjtBcFM0MDk4NjA7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcwMV8yMTM5MzBfOTMx.xml,"Aalborg, 9000",Helgolandsgade 31,"9000, Aalborg",Hobrovej 76,"Til kapitalejerne i BENTZEN HOLDING, AALBORG APS",PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2007-08-15,2012-06-22,Statsautoriseret revisor,30740106.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for BENTZEN HOLDING, AALBORG APS.","Vi har revideret Ã¥rsregnskabet for BENTZEN HOLDING, AALBORG APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Bjarke Schou Bentzen,Bjarke Schou Bentzen,Attiri Statsautoriseret Revisionsanpartsselskab,"BENTZEN HOLDING, AALBORG APS",Attiri Statsautoriseret Revisionsanpartsselskab,-53028.0,2011-12-31,2011-01-01,2012-06-22,Aalborg,DirektÃ¸r,urn:ofk:oid:18779284,indberetninger-20180424,2.511541,30740106,,2018-04-02T02:12:03.484Z,2012-07-01T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-124.913,2012-07-01T22:00:00.000Z,,,,,,,,,,,,,,,
entity identifier,2010-01-01,2010-12-31,ID_16,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8vcGRmcy8zMDc0MDEwNjtBcFM0MDk4NjA7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcwMV8yMTM5MzBfOTMx.xml,"Aalborg, 9000",Helgolandsgade 31,"9000, Aalborg",Hobrovej 76,"Til kapitalejerne i BENTZEN HOLDING, AALBORG APS",PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2007-08-15,2012-06-22,Statsautoriseret revisor,30740106.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for BENTZEN HOLDING, AALBORG APS.","Vi har revideret Ã¥rsregnskabet for BENTZEN HOLDING, AALBORG APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Bjarke Schou Bentzen,Bjarke Schou Bentzen,Attiri Statsautoriseret Revisionsanpartsselskab,"BENTZEN HOLDING, AALBORG APS",Attiri Statsautoriseret Revisionsanpartsselskab,-213248.0,2011-12-31,2011-01-01,2012-06-22,Aalborg,DirektÃ¸r,urn:ofk:oid:18779284,indberetninger-20180424,2.511541,30740106,,2018-04-02T02:12:03.484Z,2012-07-01T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-124.913,2012-07-01T22:00:00.000Z,,,,,,,,,,,,,,,
entity identifier,2010-01-01,2010-12-31,ID_8,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8vcGRmcy8zMDc0MDEwNjtBcFM0MDk4NjA7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcwMV8yMTM5MzBfOTMx.xml,"Aalborg, 9000",Helgolandsgade 31,"9000, Aalborg",Hobrovej 76,"Til kapitalejerne i BENTZEN HOLDING, AALBORG APS",PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2007-08-15,2012-06-22,Statsautoriseret revisor,30740106.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for BENTZEN HOLDING, AALBORG APS.","Vi har revideret Ã¥rsregnskabet for BENTZEN HOLDING, AALBORG APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Bjarke Schou Bentzen,Bjarke Schou Bentzen,Attiri Statsautoriseret Revisionsanpartsselskab,"BENTZEN HOLDING, AALBORG APS",Attiri Statsautoriseret Revisionsanpartsselskab,213248.0,2011-12-31,2011-01-01,2012-06-22,Aalborg,DirektÃ¸r,urn:ofk:oid:18779284,indberetninger-20180424,2.511541,30740106,,2018-04-02T02:12:03.484Z,2012-07-01T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-124.913,2012-07-01T22:00:00.000Z,875.0,212373.0,213248.0,,,,,,,,,,,,
entity identifier,2010-12-31,2010-12-31,ID_18,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8vcGRmcy8zMDc0MDEwNjtBcFM0MDk4NjA7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcwMV8yMTM5MzBfOTMx.xml,"Aalborg, 9000",Helgolandsgade 31,"9000, Aalborg",Hobrovej 76,"Til kapitalejerne i BENTZEN HOLDING, AALBORG APS",PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2007-08-15,2012-06-22,Statsautoriseret revisor,30740106.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for BENTZEN HOLDING, AALBORG APS.","Vi har revideret Ã¥rsregnskabet for BENTZEN HOLDING, AALBORG APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Bjarke Schou Bentzen,Bjarke Schou Bentzen,Attiri Statsautoriseret Revisionsanpartsselskab,"BENTZEN HOLDING, AALBORG APS",Attiri Statsautoriseret Revisionsanpartsselskab,,2011-12-31,2011-01-01,2012-06-22,Aalborg,DirektÃ¸r,urn:ofk:oid:18779284,indberetninger-20180424,2.511541,30740106,,2018-04-02T02:12:03.484Z,2012-07-01T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-124.913,2012-07-01T22:00:00.000Z,,,,69097.0,-125000.0,-63222.0,-69097.0,-5875.0,69097.0,69097.0,69097.0,-2000.0,61778.0,-5875.0,-3875.0
entity identifier,2011-01-01,2011-12-31,ID_0,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8vcGRmcy8zMDc0MDEwNjtBcFM0MDk4NjA7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcwMV8yMTM5MzBfOTMx.xml,"Aalborg, 9000",Helgolandsgade 31,"9000, Aalborg",Hobrovej 76,"Til kapitalejerne i BENTZEN HOLDING, AALBORG APS",PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2007-08-15,2012-06-22,Statsautoriseret revisor,30740106.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for BENTZEN HOLDING, AALBORG APS.","Vi har revideret Ã¥rsregnskabet for BENTZEN HOLDING, AALBORG APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Bjarke Schou Bentzen,Bjarke Schou Bentzen,Attiri Statsautoriseret Revisionsanpartsselskab,"BENTZEN HOLDING, AALBORG APS",Attiri Statsautoriseret Revisionsanpartsselskab,,2011-12-31,2011-01-01,2012-06-22,Aalborg,DirektÃ¸r,urn:ofk:oid:18779284,indberetninger-20180424,2.511541,30740106,,2018-04-02T02:12:03.484Z,2012-07-01T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-124.913,2012-07-01T22:00:00.000Z,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_1,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8vcGRmcy8zMDc0MDEwNjtBcFM0MDk4NjA7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcwMV8yMTM5MzBfOTMx.xml,"Aalborg, 9000",Helgolandsgade 31,"9000, Aalborg",Hobrovej 76,"Til kapitalejerne i BENTZEN HOLDING, AALBORG APS",PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2007-08-15,2012-06-22,Statsautoriseret revisor,30740106.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for BENTZEN HOLDING, AALBORG APS.","Vi har revideret Ã¥rsregnskabet for BENTZEN HOLDING, AALBORG APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Bjarke Schou Bentzen,Bjarke Schou Bentzen,Attiri Statsautoriseret Revisionsanpartsselskab,"BENTZEN HOLDING, AALBORG APS",Attiri Statsautoriseret Revisionsanpartsselskab,,2011-12-31,2011-01-01,2012-06-22,Aalborg,DirektÃ¸r,urn:ofk:oid:18779284,indberetninger-20180424,2.511541,30740106,,2018-04-02T02:12:03.484Z,2012-07-01T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-124.913,2012-07-01T22:00:00.000Z,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8vcGRmcy8zMDc0MDEwNjtBcFM0MDk4NjA7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcwMV8yMTM5MzBfOTMx.xml,"Aalborg, 9000",Helgolandsgade 31,"9000, Aalborg",Hobrovej 76,"Til kapitalejerne i BENTZEN HOLDING, AALBORG APS",PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2007-08-15,2012-06-22,Statsautoriseret revisor,30740106.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for BENTZEN HOLDING, AALBORG APS.","Vi har revideret Ã¥rsregnskabet for BENTZEN HOLDING, AALBORG APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Bjarke Schou Bentzen,Bjarke Schou Bentzen,Attiri Statsautoriseret Revisionsanpartsselskab,"BENTZEN HOLDING, AALBORG APS",Attiri Statsautoriseret Revisionsanpartsselskab,0.0,2011-12-31,2011-01-01,2012-06-22,Aalborg,DirektÃ¸r,urn:ofk:oid:18779284,indberetninger-20180424,2.511541,30740106,,2018-04-02T02:12:03.484Z,2012-07-01T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-124.913,2012-07-01T22:00:00.000Z,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8vcGRmcy8zMDc0MDEwNjtBcFM0MDk4NjA7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/60104703/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcwMV8yMTM5MzBfOTMx.xml,"Aalborg, 9000",Helgolandsgade 31,"9000, Aalborg",Hobrovej 76,"Til kapitalejerne i BENTZEN HOLDING, AALBORG APS",PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2007-08-15,2012-06-22,Statsautoriseret revisor,30740106.0,"Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for BENTZEN HOLDING, AALBORG APS.","Vi har revideret Ã¥rsregnskabet for BENTZEN HOLDING, AALBORG APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Bjarke Schou Bentzen,Bjarke Schou Bentzen,Attiri Statsautoriseret Revisionsanpartsselskab,"BENTZEN HOLDING, AALBORG APS",Attiri Statsautoriseret Revisionsanpartsselskab,-21415.0,2011-12-31,2011-01-01,2012-06-22,Aalborg,DirektÃ¸r,urn:ofk:oid:18779284,indberetninger-20180424,2.511541,30740106,,2018-04-02T02:12:03.484Z,2012-07-01T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-124.913,2012-07-01T22:00:00.000Z,,,,,,,,,,,,,,,
