entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,ProposedDividend,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
34627347,2013-05-01,2014-04-30,ID_11,,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzZhL2Y3LzhhLzc1L2U2YmMtNGNlOS05YWRmLTgzNzM1YjIyZmIzZQ.pdf,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzJhL2U1LzMwLzIwMTctNGFiOC04YjAzLTU0MDYzMTc0MTkzZg.xml,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til den daglige ledelse i Ganpack ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2015-08-26,2012-08-08,2015-08-26,34627347.0,32344720.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for Ganpack ApS.,Ãrsrapport,Henning Geertsen,Ganpack ApS,"Mer Revision A/S, FSR - danske revisorer","VeksÃ¸ SjÃ¦lland, den 26. august 2015",-33384.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Egedal, 240",2015-04-30,2014-05-01,2015-08-26,Roskilde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21375092,indberetninger-20180424,2.5095263,34627347.0,,2018-03-30T12:35:19.299Z,2015-08-27T11:19:42.761Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-14-QX,2015-08-27T11:19:42.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34627347,2013-05-01,2014-04-30,ID_13,,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzZhL2Y3LzhhLzc1L2U2YmMtNGNlOS05YWRmLTgzNzM1YjIyZmIzZQ.pdf,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzJhL2U1LzMwLzIwMTctNGFiOC04YjAzLTU0MDYzMTc0MTkzZg.xml,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til den daglige ledelse i Ganpack ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2015-08-26,2012-08-08,2015-08-26,34627347.0,32344720.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for Ganpack ApS.,Ãrsrapport,Henning Geertsen,Ganpack ApS,"Mer Revision A/S, FSR - danske revisorer","VeksÃ¸ SjÃ¦lland, den 26. august 2015",-33384.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Egedal, 240",2015-04-30,2014-05-01,2015-08-26,Roskilde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21375092,indberetninger-20180424,2.5095263,34627347.0,,2018-03-30T12:35:19.299Z,2015-08-27T11:19:42.761Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-14-QX,2015-08-27T11:19:42.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34627347,2013-05-01,2014-04-30,ID_7,,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzZhL2Y3LzhhLzc1L2U2YmMtNGNlOS05YWRmLTgzNzM1YjIyZmIzZQ.pdf,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzJhL2U1LzMwLzIwMTctNGFiOC04YjAzLTU0MDYzMTc0MTkzZg.xml,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til den daglige ledelse i Ganpack ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2015-08-26,2012-08-08,2015-08-26,34627347.0,32344720.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for Ganpack ApS.,Ãrsrapport,Henning Geertsen,Ganpack ApS,"Mer Revision A/S, FSR - danske revisorer","VeksÃ¸ SjÃ¦lland, den 26. august 2015",33384.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Egedal, 240",2015-04-30,2014-05-01,2015-08-26,Roskilde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21375092,indberetninger-20180424,2.5095263,34627347.0,,2018-03-30T12:35:19.299Z,2015-08-27T11:19:42.761Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-14-QX,2015-08-27T11:19:42.930Z,61307.0,97615.0,3845.0,12669.0,45132.0,36308.0,11748.0,,,,,,,,,,,,,,,,,,,
34627347,2013-05-01,2014-04-30,ID_9,,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzZhL2Y3LzhhLzc1L2U2YmMtNGNlOS05YWRmLTgzNzM1YjIyZmIzZQ.pdf,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzJhL2U1LzMwLzIwMTctNGFiOC04YjAzLTU0MDYzMTc0MTkzZg.xml,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til den daglige ledelse i Ganpack ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2015-08-26,2012-08-08,2015-08-26,34627347.0,32344720.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for Ganpack ApS.,Ãrsrapport,Henning Geertsen,Ganpack ApS,"Mer Revision A/S, FSR - danske revisorer","VeksÃ¸ SjÃ¦lland, den 26. august 2015",0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Egedal, 240",2015-04-30,2014-05-01,2015-08-26,Roskilde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21375092,indberetninger-20180424,2.5095263,34627347.0,,2018-03-30T12:35:19.299Z,2015-08-27T11:19:42.761Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-14-QX,2015-08-27T11:19:42.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34627347,2014-04-30,2014-04-30,ID_15,,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzZhL2Y3LzhhLzc1L2U2YmMtNGNlOS05YWRmLTgzNzM1YjIyZmIzZQ.pdf,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzJhL2U1LzMwLzIwMTctNGFiOC04YjAzLTU0MDYzMTc0MTkzZg.xml,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til den daglige ledelse i Ganpack ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2015-08-26,2012-08-08,2015-08-26,34627347.0,32344720.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for Ganpack ApS.,Ãrsrapport,Henning Geertsen,Ganpack ApS,"Mer Revision A/S, FSR - danske revisorer","VeksÃ¸ SjÃ¦lland, den 26. august 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Egedal, 240",2015-04-30,2014-05-01,2015-08-26,Roskilde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21375092,indberetninger-20180424,2.5095263,34627347.0,,2018-03-30T12:35:19.299Z,2015-08-27T11:19:42.761Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-14-QX,2015-08-27T11:19:42.930Z,,,,,,,,313058.0,232520.0,80000.0,313058.0,188744.0,313058.0,124314.0,83927.0,0.0,0.0,108744.0,124314.0,27473.0,1166.0,80538.0,11748.0,0.0,80538.0,
34627347,2014-05-01,2015-04-30,ID_0,,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzZhL2Y3LzhhLzc1L2U2YmMtNGNlOS05YWRmLTgzNzM1YjIyZmIzZQ.pdf,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzJhL2U1LzMwLzIwMTctNGFiOC04YjAzLTU0MDYzMTc0MTkzZg.xml,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til den daglige ledelse i Ganpack ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2015-08-26,2012-08-08,2015-08-26,34627347.0,32344720.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for Ganpack ApS.,Ãrsrapport,Henning Geertsen,Ganpack ApS,"Mer Revision A/S, FSR - danske revisorer","VeksÃ¸ SjÃ¦lland, den 26. august 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Egedal, 240",2015-04-30,2014-05-01,2015-08-26,Roskilde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21375092,indberetninger-20180424,2.5095263,34627347.0,,2018-03-30T12:35:19.299Z,2015-08-27T11:19:42.761Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-14-QX,2015-08-27T11:19:42.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34627347,2014-05-01,2015-04-30,ID_1,,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzZhL2Y3LzhhLzc1L2U2YmMtNGNlOS05YWRmLTgzNzM1YjIyZmIzZQ.pdf,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzJhL2U1LzMwLzIwMTctNGFiOC04YjAzLTU0MDYzMTc0MTkzZg.xml,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til den daglige ledelse i Ganpack ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2015-08-26,2012-08-08,2015-08-26,34627347.0,32344720.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for Ganpack ApS.,Ãrsrapport,Henning Geertsen,Ganpack ApS,"Mer Revision A/S, FSR - danske revisorer","VeksÃ¸ SjÃ¦lland, den 26. august 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Egedal, 240",2015-04-30,2014-05-01,2015-08-26,Roskilde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21375092,indberetninger-20180424,2.5095263,34627347.0,,2018-03-30T12:35:19.299Z,2015-08-27T11:19:42.761Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-14-QX,2015-08-27T11:19:42.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34627347,2014-05-01,2015-04-30,ID_10,,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzZhL2Y3LzhhLzc1L2U2YmMtNGNlOS05YWRmLTgzNzM1YjIyZmIzZQ.pdf,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzJhL2U1LzMwLzIwMTctNGFiOC04YjAzLTU0MDYzMTc0MTkzZg.xml,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til den daglige ledelse i Ganpack ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2015-08-26,2012-08-08,2015-08-26,34627347.0,32344720.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for Ganpack ApS.,Ãrsrapport,Henning Geertsen,Ganpack ApS,"Mer Revision A/S, FSR - danske revisorer","VeksÃ¸ SjÃ¦lland, den 26. august 2015",-1471.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Egedal, 240",2015-04-30,2014-05-01,2015-08-26,Roskilde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21375092,indberetninger-20180424,2.5095263,34627347.0,,2018-03-30T12:35:19.299Z,2015-08-27T11:19:42.761Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-14-QX,2015-08-27T11:19:42.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34627347,2014-05-01,2015-04-30,ID_12,,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzZhL2Y3LzhhLzc1L2U2YmMtNGNlOS05YWRmLTgzNzM1YjIyZmIzZQ.pdf,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzJhL2U1LzMwLzIwMTctNGFiOC04YjAzLTU0MDYzMTc0MTkzZg.xml,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til den daglige ledelse i Ganpack ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2015-08-26,2012-08-08,2015-08-26,34627347.0,32344720.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for Ganpack ApS.,Ãrsrapport,Henning Geertsen,Ganpack ApS,"Mer Revision A/S, FSR - danske revisorer","VeksÃ¸ SjÃ¦lland, den 26. august 2015",-76471.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Egedal, 240",2015-04-30,2014-05-01,2015-08-26,Roskilde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21375092,indberetninger-20180424,2.5095263,34627347.0,,2018-03-30T12:35:19.299Z,2015-08-27T11:19:42.761Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-14-QX,2015-08-27T11:19:42.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,
34627347,2014-05-01,2015-04-30,ID_16,,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzZhL2Y3LzhhLzc1L2U2YmMtNGNlOS05YWRmLTgzNzM1YjIyZmIzZQ.pdf,http://regnskaber.virk.dk/74372643/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzJhL2U1LzMwLzIwMTctNGFiOC04YjAzLTU0MDYzMTc0MTkzZg.xml,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Til den daglige ledelse i Ganpack ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2015-08-26,2012-08-08,2015-08-26,34627347.0,32344720.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for Ganpack ApS.,Ãrsrapport,Henning Geertsen,Ganpack ApS,"Mer Revision A/S, FSR - danske revisorer","VeksÃ¸ SjÃ¦lland, den 26. august 2015",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Egedal, 240",2015-04-30,2014-05-01,2015-08-26,Roskilde,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21375092,indberetninger-20180424,2.5095263,34627347.0,,2018-03-30T12:35:19.299Z,2015-08-27T11:19:42.761Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-14-QX,2015-08-27T11:19:42.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,
