entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
31888840,2014-06-01,2015-05-31,c3,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2U1LzQ4L2E0LzJmMDEtNDc5NC05NDM1LTY0Y2YxNDg3MDBlYg.xhtml,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U5LzhmLzE0L2IxYzItNDU0MS1hMDIzLTI5OTZlMDEyYzU4NQ.pdf,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZkLzAyLzY5LzkzYTEtNDI4ZS1iMjM5LTgxNGY2YzNjYWUwZA.xml,false,Danmark,DK,Aarhus C,8000.0,34.0,Frederiksgade,Risskov,8240.0,2.0,Strandhusvej,8000 Aarhus C,Frederiksgade 34,Til den daglige ledelse i SMV Group ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-09-08,2016-10-17,Registreret revisor,8759.0,-99244.0,31888840.0,1000625740.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Steen B. Hansen,SÃ¸ren Morten Vindfeldt,SÃ¸ren Morten Vindfeldt,Danske Bank A/S,SMV GROUP ApS,Revisionsfirma Steen B. Hansen,113201.0,867571.0,Aarhus,2014-06-01,2015-05-31,493182.0,646367.0,-108003.0,2016-05-31,2015-06-01,false,false,2016-09-08,Aarhus,153185.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23072129,indberetninger-20180424,2.5953846,31888840.0,,2018-03-28T17:34:27.157Z,2016-10-19T06:58:42.768Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BE-20-MU,2016-10-19T06:58:43.136Z,,,,,,,,,,,,,,,,,,,,,,,,
31888840,2014-06-01,2015-05-31,c5,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2U1LzQ4L2E0LzJmMDEtNDc5NC05NDM1LTY0Y2YxNDg3MDBlYg.xhtml,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U5LzhmLzE0L2IxYzItNDU0MS1hMDIzLTI5OTZlMDEyYzU4NQ.pdf,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZkLzAyLzY5LzkzYTEtNDI4ZS1iMjM5LTgxNGY2YzNjYWUwZA.xml,false,Danmark,DK,Aarhus C,8000.0,34.0,Frederiksgade,Risskov,8240.0,2.0,Strandhusvej,8000 Aarhus C,Frederiksgade 34,Til den daglige ledelse i SMV Group ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-09-08,2016-10-17,Registreret revisor,,,31888840.0,1000625740.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Steen B. Hansen,SÃ¸ren Morten Vindfeldt,SÃ¸ren Morten Vindfeldt,Danske Bank A/S,SMV GROUP ApS,Revisionsfirma Steen B. Hansen,,,Aarhus,2014-06-01,2015-05-31,99800.0,,,2016-05-31,2015-06-01,false,false,2016-09-08,Aarhus,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23072129,indberetninger-20180424,2.5953846,31888840.0,,2018-03-28T17:34:27.157Z,2016-10-19T06:58:42.768Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BE-20-MU,2016-10-19T06:58:43.136Z,,,,,,,,,,,,,,,,,,,,,,,,
31888840,2014-06-01,2015-05-31,c7,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2U1LzQ4L2E0LzJmMDEtNDc5NC05NDM1LTY0Y2YxNDg3MDBlYg.xhtml,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U5LzhmLzE0L2IxYzItNDU0MS1hMDIzLTI5OTZlMDEyYzU4NQ.pdf,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZkLzAyLzY5LzkzYTEtNDI4ZS1iMjM5LTgxNGY2YzNjYWUwZA.xml,false,Danmark,DK,Aarhus C,8000.0,34.0,Frederiksgade,Risskov,8240.0,2.0,Strandhusvej,8000 Aarhus C,Frederiksgade 34,Til den daglige ledelse i SMV Group ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-09-08,2016-10-17,Registreret revisor,,,31888840.0,1000625740.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Steen B. Hansen,SÃ¸ren Morten Vindfeldt,SÃ¸ren Morten Vindfeldt,Danske Bank A/S,SMV GROUP ApS,Revisionsfirma Steen B. Hansen,,,Aarhus,2014-06-01,2015-05-31,393382.0,,,2016-05-31,2015-06-01,false,false,2016-09-08,Aarhus,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23072129,indberetninger-20180424,2.5953846,31888840.0,,2018-03-28T17:34:27.157Z,2016-10-19T06:58:42.768Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BE-20-MU,2016-10-19T06:58:43.136Z,,,,,,,,,,,,,,,,,,,,,,,,
31888840,2015-05-31,2015-05-31,c9,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2U1LzQ4L2E0LzJmMDEtNDc5NC05NDM1LTY0Y2YxNDg3MDBlYg.xhtml,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U5LzhmLzE0L2IxYzItNDU0MS1hMDIzLTI5OTZlMDEyYzU4NQ.pdf,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZkLzAyLzY5LzkzYTEtNDI4ZS1iMjM5LTgxNGY2YzNjYWUwZA.xml,false,Danmark,DK,Aarhus C,8000.0,34.0,Frederiksgade,Risskov,8240.0,2.0,Strandhusvej,8000 Aarhus C,Frederiksgade 34,Til den daglige ledelse i SMV Group ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-09-08,2016-10-17,Registreret revisor,,,31888840.0,1000625740.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Steen B. Hansen,SÃ¸ren Morten Vindfeldt,SÃ¸ren Morten Vindfeldt,Danske Bank A/S,SMV GROUP ApS,Revisionsfirma Steen B. Hansen,,,Aarhus,2014-06-01,2015-05-31,,,,2016-05-31,2015-06-01,false,false,2016-09-08,Aarhus,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23072129,indberetninger-20180424,2.5953846,31888840.0,,2018-03-28T17:34:27.157Z,2016-10-19T06:58:42.768Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BE-20-MU,2016-10-19T06:58:43.136Z,7988466.0,1129600.0,125000.0,7908466.0,0.0,7824947.0,7988466.0,263319.0,80000.0,80000.0,80000.0,6564442.0,11700.0,214424.0,99800.0,7600147.0,6564442.0,163519.0,14634.0,214424.0,137185.0,0.0,,
31888840,2015-06-01,2016-05-31,c0,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2U1LzQ4L2E0LzJmMDEtNDc5NC05NDM1LTY0Y2YxNDg3MDBlYg.xhtml,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U5LzhmLzE0L2IxYzItNDU0MS1hMDIzLTI5OTZlMDEyYzU4NQ.pdf,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZkLzAyLzY5LzkzYTEtNDI4ZS1iMjM5LTgxNGY2YzNjYWUwZA.xml,false,Danmark,DK,Aarhus C,8000.0,34.0,Frederiksgade,Risskov,8240.0,2.0,Strandhusvej,8000 Aarhus C,Frederiksgade 34,Til den daglige ledelse i SMV Group ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-09-08,2016-10-17,Registreret revisor,41312.0,-68506.0,31888840.0,1000625740.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Steen B. Hansen,SÃ¸ren Morten Vindfeldt,SÃ¸ren Morten Vindfeldt,Danske Bank A/S,SMV GROUP ApS,Revisionsfirma Steen B. Hansen,465263.0,387375.0,Aarhus,2014-06-01,2015-05-31,-149246.0,-187706.0,-109818.0,2016-05-31,2015-06-01,false,false,2016-09-08,Aarhus,-38460.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23072129,indberetninger-20180424,2.5953846,31888840.0,,2018-03-28T17:34:27.157Z,2016-10-19T06:58:42.768Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BE-20-MU,2016-10-19T06:58:43.136Z,,,,,,,,,,,,,,,,,,,,,,,,
31888840,2015-06-01,2016-05-31,c1,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2U1LzQ4L2E0LzJmMDEtNDc5NC05NDM1LTY0Y2YxNDg3MDBlYg.xhtml,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U5LzhmLzE0L2IxYzItNDU0MS1hMDIzLTI5OTZlMDEyYzU4NQ.pdf,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZkLzAyLzY5LzkzYTEtNDI4ZS1iMjM5LTgxNGY2YzNjYWUwZA.xml,false,Danmark,DK,Aarhus C,8000.0,34.0,Frederiksgade,Risskov,8240.0,2.0,Strandhusvej,8000 Aarhus C,Frederiksgade 34,Til den daglige ledelse i SMV Group ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-09-08,2016-10-17,Registreret revisor,,,31888840.0,1000625740.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Steen B. Hansen,SÃ¸ren Morten Vindfeldt,SÃ¸ren Morten Vindfeldt,Danske Bank A/S,SMV GROUP ApS,Revisionsfirma Steen B. Hansen,,,Aarhus,2014-06-01,2015-05-31,,,,2016-05-31,2015-06-01,false,false,2016-09-08,Aarhus,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23072129,indberetninger-20180424,2.5953846,31888840.0,,2018-03-28T17:34:27.157Z,2016-10-19T06:58:42.768Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BE-20-MU,2016-10-19T06:58:43.136Z,,,,,,,,,,,,,,,,,,,,,,,13790981.0,REVISIONSFIRMA STEEN B HANSEN
31888840,2015-06-01,2016-05-31,c2,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2U1LzQ4L2E0LzJmMDEtNDc5NC05NDM1LTY0Y2YxNDg3MDBlYg.xhtml,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U5LzhmLzE0L2IxYzItNDU0MS1hMDIzLTI5OTZlMDEyYzU4NQ.pdf,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZkLzAyLzY5LzkzYTEtNDI4ZS1iMjM5LTgxNGY2YzNjYWUwZA.xml,false,Danmark,DK,Aarhus C,8000.0,34.0,Frederiksgade,Risskov,8240.0,2.0,Strandhusvej,8000 Aarhus C,Frederiksgade 34,Til den daglige ledelse i SMV Group ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-09-08,2016-10-17,Registreret revisor,,,31888840.0,1000625740.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Steen B. Hansen,SÃ¸ren Morten Vindfeldt,SÃ¸ren Morten Vindfeldt,Danske Bank A/S,SMV GROUP ApS,Revisionsfirma Steen B. Hansen,,,Aarhus,2014-06-01,2015-05-31,,,,2016-05-31,2015-06-01,false,false,2016-09-08,Aarhus,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23072129,indberetninger-20180424,2.5953846,31888840.0,,2018-03-28T17:34:27.157Z,2016-10-19T06:58:42.768Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BE-20-MU,2016-10-19T06:58:43.136Z,,,,,,,,,,,,,,,,,,,,,,,,
31888840,2015-06-01,2016-05-31,c4,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2U1LzQ4L2E0LzJmMDEtNDc5NC05NDM1LTY0Y2YxNDg3MDBlYg.xhtml,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U5LzhmLzE0L2IxYzItNDU0MS1hMDIzLTI5OTZlMDEyYzU4NQ.pdf,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZkLzAyLzY5LzkzYTEtNDI4ZS1iMjM5LTgxNGY2YzNjYWUwZA.xml,false,Danmark,DK,Aarhus C,8000.0,34.0,Frederiksgade,Risskov,8240.0,2.0,Strandhusvej,8000 Aarhus C,Frederiksgade 34,Til den daglige ledelse i SMV Group ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-09-08,2016-10-17,Registreret revisor,,,31888840.0,1000625740.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Steen B. Hansen,SÃ¸ren Morten Vindfeldt,SÃ¸ren Morten Vindfeldt,Danske Bank A/S,SMV GROUP ApS,Revisionsfirma Steen B. Hansen,,,Aarhus,2014-06-01,2015-05-31,101600.0,,,2016-05-31,2015-06-01,false,false,2016-09-08,Aarhus,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23072129,indberetninger-20180424,2.5953846,31888840.0,,2018-03-28T17:34:27.157Z,2016-10-19T06:58:42.768Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BE-20-MU,2016-10-19T06:58:43.136Z,,,,,,,,,,,,,,,,,,,,,,,,
31888840,2015-06-01,2016-05-31,c6,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2U1LzQ4L2E0LzJmMDEtNDc5NC05NDM1LTY0Y2YxNDg3MDBlYg.xhtml,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U5LzhmLzE0L2IxYzItNDU0MS1hMDIzLTI5OTZlMDEyYzU4NQ.pdf,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZkLzAyLzY5LzkzYTEtNDI4ZS1iMjM5LTgxNGY2YzNjYWUwZA.xml,false,Danmark,DK,Aarhus C,8000.0,34.0,Frederiksgade,Risskov,8240.0,2.0,Strandhusvej,8000 Aarhus C,Frederiksgade 34,Til den daglige ledelse i SMV Group ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-09-08,2016-10-17,Registreret revisor,,,31888840.0,1000625740.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Steen B. Hansen,SÃ¸ren Morten Vindfeldt,SÃ¸ren Morten Vindfeldt,Danske Bank A/S,SMV GROUP ApS,Revisionsfirma Steen B. Hansen,,,Aarhus,2014-06-01,2015-05-31,-250846.0,,,2016-05-31,2015-06-01,false,false,2016-09-08,Aarhus,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23072129,indberetninger-20180424,2.5953846,31888840.0,,2018-03-28T17:34:27.157Z,2016-10-19T06:58:42.768Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BE-20-MU,2016-10-19T06:58:43.136Z,,,,,,,,,,,,,,,,,,,,,,,,
31888840,2016-05-31,2016-05-31,c8,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2U1LzQ4L2E0LzJmMDEtNDc5NC05NDM1LTY0Y2YxNDg3MDBlYg.xhtml,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U5LzhmLzE0L2IxYzItNDU0MS1hMDIzLTI5OTZlMDEyYzU4NQ.pdf,http://regnskaber.virk.dk/04888813/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZkLzAyLzY5LzkzYTEtNDI4ZS1iMjM5LTgxNGY2YzNjYWUwZA.xml,false,Danmark,DK,Aarhus C,8000.0,34.0,Frederiksgade,Risskov,8240.0,2.0,Strandhusvej,8000 Aarhus C,Frederiksgade 34,Til den daglige ledelse i SMV Group ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-09-08,2016-10-17,Registreret revisor,,,31888840.0,1000625740.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Steen B. Hansen,SÃ¸ren Morten Vindfeldt,SÃ¸ren Morten Vindfeldt,Danske Bank A/S,SMV GROUP ApS,Revisionsfirma Steen B. Hansen,,,Aarhus,2014-06-01,2015-05-31,,,,2016-05-31,2015-06-01,false,false,2016-09-08,Aarhus,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23072129,indberetninger-20180424,2.5953846,31888840.0,,2018-03-28T17:34:27.157Z,2016-10-19T06:58:42.768Z,regnskab,0.0,,2016-05-31,2015-06-01,X16-BE-20-MU,2016-10-19T06:58:43.136Z,7619069.0,404051.0,125000.0,7539069.0,38460.0,7575901.0,7619069.0,43168.0,80000.0,80000.0,80000.0,6882774.0,7703.0,172402.0,101600.0,7349301.0,6882774.0,43168.0,35465.0,252244.0,0.0,41382.0,,
