entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,EmailOfAuditor,EmailOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TelephoneNumberOfReportingEntity,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherFinanceExpenses,OtherInterestExpenses,OtherOperatingExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradePayables,PropertyPlantAndEquipmentGross,NameAndSurnameOfMemberOfSupervisoryBoard
29520690,2017-01-01,2017-12-31,c123,,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzJmLzg0LzkxLzY3NTMtNGFhOS1iNmJlLTI3ODc2ZDBjZjg1OQ.pdf,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzJhLzg2L2Y4LzYzZWEtNDdiYS1hNWNkLTQwNmViNjhhMzA3ZQ.xml,Danmark,Aalborg,9000.0,6.0,Hasseris Bymidte,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,Aalborg,9000.0,17.0,FuglevÃ¦nget,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-04,2019-04-04,2006-04-26,2019-04-23,statsautoriseret revisor,aalborg@redmark.dk,ra@tk.dk,29442789.0,29520690.0,29442789.0,mne9954,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018 for PE Skagen ApS.,Ãrsrapport,3276210.0,380365.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per NÃ¸rgaard Laursen,Robert Andersen,Robert Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",Nykredit Bank,PE Skagen ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,-2028000.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-04-04,Aalborg,98183333.0,88961010.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27024646,indberetninger-20180424,2.5118417999999996,29520690.0,AWpTPi-KRYGX6_YTHHYO,2019-04-25T06:46:07.425Z,2019-04-25T06:45:44.746Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-89-FG,2019-04-25T06:45:44.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29520690,2017-01-01,2017-12-31,c3,,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzJmLzg0LzkxLzY3NTMtNGFhOS1iNmJlLTI3ODc2ZDBjZjg1OQ.pdf,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzJhLzg2L2Y4LzYzZWEtNDdiYS1hNWNkLTQwNmViNjhhMzA3ZQ.xml,Danmark,Aalborg,9000.0,6.0,Hasseris Bymidte,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,Aalborg,9000.0,17.0,FuglevÃ¦nget,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-04,2019-04-04,2006-04-26,2019-04-23,statsautoriseret revisor,aalborg@redmark.dk,ra@tk.dk,29442789.0,29520690.0,29442789.0,mne9954,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018 for PE Skagen ApS.,Ãrsrapport,3276210.0,380365.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per NÃ¸rgaard Laursen,Robert Andersen,Robert Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",Nykredit Bank,PE Skagen ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,472000.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-04-04,Aalborg,98183333.0,88961010.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27024646,indberetninger-20180424,2.5118417999999996,29520690.0,AWpTPi-KRYGX6_YTHHYO,2019-04-25T06:46:07.425Z,2019-04-25T06:45:44.746Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-89-FG,2019-04-25T06:45:44.930Z,123000.0,250000.0,520000.0,0.0,132000.0,132000.0,43000.0,472000.0,604000.0,,,,,,,,,,,,,,,,,,,,,,
29520690,2017-01-01,2017-12-31,c426,,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzJmLzg0LzkxLzY3NTMtNGFhOS1iNmJlLTI3ODc2ZDBjZjg1OQ.pdf,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzJhLzg2L2Y4LzYzZWEtNDdiYS1hNWNkLTQwNmViNjhhMzA3ZQ.xml,Danmark,Aalborg,9000.0,6.0,Hasseris Bymidte,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,Aalborg,9000.0,17.0,FuglevÃ¦nget,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-04,2019-04-04,2006-04-26,2019-04-23,statsautoriseret revisor,aalborg@redmark.dk,ra@tk.dk,29442789.0,29520690.0,29442789.0,mne9954,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018 for PE Skagen ApS.,Ãrsrapport,3276210.0,380365.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per NÃ¸rgaard Laursen,Robert Andersen,Robert Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",Nykredit Bank,PE Skagen ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,2500000.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-04-04,Aalborg,98183333.0,88961010.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27024646,indberetninger-20180424,2.5118417999999996,29520690.0,AWpTPi-KRYGX6_YTHHYO,2019-04-25T06:46:07.425Z,2019-04-25T06:45:44.746Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-89-FG,2019-04-25T06:45:44.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29520690,2017-12-31,2017-12-31,c4,,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzJmLzg0LzkxLzY3NTMtNGFhOS1iNmJlLTI3ODc2ZDBjZjg1OQ.pdf,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzJhLzg2L2Y4LzYzZWEtNDdiYS1hNWNkLTQwNmViNjhhMzA3ZQ.xml,Danmark,Aalborg,9000.0,6.0,Hasseris Bymidte,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,Aalborg,9000.0,17.0,FuglevÃ¦nget,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-04,2019-04-04,2006-04-26,2019-04-23,statsautoriseret revisor,aalborg@redmark.dk,ra@tk.dk,29442789.0,29520690.0,29442789.0,mne9954,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018 for PE Skagen ApS.,Ãrsrapport,3276210.0,380365.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per NÃ¸rgaard Laursen,Robert Andersen,Robert Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",Nykredit Bank,PE Skagen ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-04-04,Aalborg,98183333.0,88961010.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27024646,indberetninger-20180424,2.5118417999999996,29520690.0,AWpTPi-KRYGX6_YTHHYO,2019-04-25T06:46:07.425Z,2019-04-25T06:45:44.746Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-89-FG,2019-04-25T06:45:44.930Z,,,,,,,,,,13485000.0,1611000.0,500000.0,1613000.0,5954000.0,11872000.0,13485000.0,7531000.0,5154000.0,5154000.0,11872000.0,81000.0,2000.0,11872000.0,5454000.0,2377000.0,380000.0,1893000.0,2000.0,23000.0,,
29520690,2018-01-01,2018-01-01,c151,,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzJmLzg0LzkxLzY3NTMtNGFhOS1iNmJlLTI3ODc2ZDBjZjg1OQ.pdf,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzJhLzg2L2Y4LzYzZWEtNDdiYS1hNWNkLTQwNmViNjhhMzA3ZQ.xml,Danmark,Aalborg,9000.0,6.0,Hasseris Bymidte,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,Aalborg,9000.0,17.0,FuglevÃ¦nget,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-04,2019-04-04,2006-04-26,2019-04-23,statsautoriseret revisor,aalborg@redmark.dk,ra@tk.dk,29442789.0,29520690.0,29442789.0,mne9954,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018 for PE Skagen ApS.,Ãrsrapport,3276210.0,380365.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per NÃ¸rgaard Laursen,Robert Andersen,Robert Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",Nykredit Bank,PE Skagen ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-04-04,Aalborg,98183333.0,88961010.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27024646,indberetninger-20180424,2.5118417999999996,29520690.0,AWpTPi-KRYGX6_YTHHYO,2019-04-25T06:46:07.425Z,2019-04-25T06:45:44.746Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-89-FG,2019-04-25T06:45:44.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11872773.0,
29520690,2018-01-01,2018-12-31,c1,,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzJmLzg0LzkxLzY3NTMtNGFhOS1iNmJlLTI3ODc2ZDBjZjg1OQ.pdf,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzJhLzg2L2Y4LzYzZWEtNDdiYS1hNWNkLTQwNmViNjhhMzA3ZQ.xml,Danmark,Aalborg,9000.0,6.0,Hasseris Bymidte,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,Aalborg,9000.0,17.0,FuglevÃ¦nget,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-04,2019-04-04,2006-04-26,2019-04-23,statsautoriseret revisor,aalborg@redmark.dk,ra@tk.dk,29442789.0,29520690.0,29442789.0,mne9954,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018 for PE Skagen ApS.,Ãrsrapport,3276210.0,380365.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per NÃ¸rgaard Laursen,Robert Andersen,Robert Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",Nykredit Bank,PE Skagen ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,155722.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-04-04,Aalborg,98183333.0,88961010.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27024646,indberetninger-20180424,2.5118417999999996,29520690.0,AWpTPi-KRYGX6_YTHHYO,2019-04-25T06:46:07.425Z,2019-04-25T06:45:44.746Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-89-FG,2019-04-25T06:45:44.930Z,0.0,0.0,258449.0,37766.0,102727.0,64961.0,0.0,155722.0,258449.0,,,,,,,,,,,,,,,,,,,,,,
29520690,2018-01-01,2018-12-31,c122,,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzJmLzg0LzkxLzY3NTMtNGFhOS1iNmJlLTI3ODc2ZDBjZjg1OQ.pdf,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzJhLzg2L2Y4LzYzZWEtNDdiYS1hNWNkLTQwNmViNjhhMzA3ZQ.xml,Danmark,Aalborg,9000.0,6.0,Hasseris Bymidte,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,Aalborg,9000.0,17.0,FuglevÃ¦nget,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-04,2019-04-04,2006-04-26,2019-04-23,statsautoriseret revisor,aalborg@redmark.dk,ra@tk.dk,29442789.0,29520690.0,29442789.0,mne9954,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018 for PE Skagen ApS.,Ãrsrapport,3276210.0,380365.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per NÃ¸rgaard Laursen,Robert Andersen,Robert Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",Nykredit Bank,PE Skagen ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,155722.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-04-04,Aalborg,98183333.0,88961010.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27024646,indberetninger-20180424,2.5118417999999996,29520690.0,AWpTPi-KRYGX6_YTHHYO,2019-04-25T06:46:07.425Z,2019-04-25T06:45:44.746Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-89-FG,2019-04-25T06:45:44.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29520690,2018-01-01,2018-12-31,c32,,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzJmLzg0LzkxLzY3NTMtNGFhOS1iNmJlLTI3ODc2ZDBjZjg1OQ.pdf,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzJhLzg2L2Y4LzYzZWEtNDdiYS1hNWNkLTQwNmViNjhhMzA3ZQ.xml,Danmark,Aalborg,9000.0,6.0,Hasseris Bymidte,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,Aalborg,9000.0,17.0,FuglevÃ¦nget,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-04,2019-04-04,2006-04-26,2019-04-23,statsautoriseret revisor,aalborg@redmark.dk,ra@tk.dk,29442789.0,29520690.0,29442789.0,mne9954,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018 for PE Skagen ApS.,Ãrsrapport,3276210.0,380365.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per NÃ¸rgaard Laursen,Robert Andersen,Robert Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",Nykredit Bank,PE Skagen ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-04-04,Aalborg,98183333.0,88961010.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27024646,indberetninger-20180424,2.5118417999999996,29520690.0,AWpTPi-KRYGX6_YTHHYO,2019-04-25T06:46:07.425Z,2019-04-25T06:45:44.746Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-89-FG,2019-04-25T06:45:44.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frede Clausen
29520690,2018-01-01,2018-12-31,c425,,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzJmLzg0LzkxLzY3NTMtNGFhOS1iNmJlLTI3ODc2ZDBjZjg1OQ.pdf,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzJhLzg2L2Y4LzYzZWEtNDdiYS1hNWNkLTQwNmViNjhhMzA3ZQ.xml,Danmark,Aalborg,9000.0,6.0,Hasseris Bymidte,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,Aalborg,9000.0,17.0,FuglevÃ¦nget,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-04,2019-04-04,2006-04-26,2019-04-23,statsautoriseret revisor,aalborg@redmark.dk,ra@tk.dk,29442789.0,29520690.0,29442789.0,mne9954,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018 for PE Skagen ApS.,Ãrsrapport,3276210.0,380365.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per NÃ¸rgaard Laursen,Robert Andersen,Robert Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",Nykredit Bank,PE Skagen ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,0.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-04-04,Aalborg,98183333.0,88961010.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27024646,indberetninger-20180424,2.5118417999999996,29520690.0,AWpTPi-KRYGX6_YTHHYO,2019-04-25T06:46:07.425Z,2019-04-25T06:45:44.746Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-89-FG,2019-04-25T06:45:44.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29520690,2018-01-01,2018-12-31,c48,,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzLzM3LzJmLzg0LzkxLzY3NTMtNGFhOS1iNmJlLTI3ODc2ZDBjZjg1OQ.pdf,http://regnskaber.virk.dk/09602592/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzJhLzg2L2Y4LzYzZWEtNDdiYS1hNWNkLTQwNmViNjhhMzA3ZQ.xml,Danmark,Aalborg,9000.0,6.0,Hasseris Bymidte,KÃ¸benhavn V,1780.0,1-3,Kalvebod Brygge,Aalborg,9000.0,17.0,FuglevÃ¦nget,"9000, Aalborg","Hasseris Bymidte, 6",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-04-04,2019-04-04,2006-04-26,2019-04-23,statsautoriseret revisor,aalborg@redmark.dk,ra@tk.dk,29442789.0,29520690.0,29442789.0,mne9954,Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for 2018 for PE Skagen ApS.,Ãrsrapport,3276210.0,380365.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Per NÃ¸rgaard Laursen,Robert Andersen,Robert Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",Nykredit Bank,PE Skagen ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Aalborg,2017-01-01,2017-12-31,,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-04-04,Aalborg,98183333.0,88961010.0,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27024646,indberetninger-20180424,2.5118417999999996,29520690.0,AWpTPi-KRYGX6_YTHHYO,2019-04-25T06:46:07.425Z,2019-04-25T06:45:44.746Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-89-FG,2019-04-25T06:45:44.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurits Toft
