entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,EmailOfReportingEntity,ExplanationOfNotDisclosingCashFlowsStatements,FaxNumberOfReportingEntity,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GainsLossesFromCurrentValueAdjustmentsOfOtherInvestmentAssets,GrossResult,IncomeFromInvestmentsInAssociates,IncomeFromInvestmentsInGroupEnterprises,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,InvestmentProperty,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermReceivablesFromAssociates,LongtermReceivablesFromGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,OtherLongtermPayables,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgressAndPrepaymentsForPropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,RevaluationReserve,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
31159830,2015-01-01,2015-12-31,ID_11,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2VkLzIxL2I5Lzk3NGUtNDZlZS05MGEzLWE0OTc2ZTgwMWE1MA.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2JiL2E1L2Q2L2ZhNmQtNDlmNy05YzNhLWUxODYyOGYzYWYxNw.xml,false,"Billund, 7190",Koldingvej 2,To the shareholder of  KIRKBI Invest A/S,13.0,"Regnskabsklasse C, stor virksomhed",The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",2017-04-28,2017-04-28,2017-04-28,kirkbi@kirkbi.com,"The Company has also decided not to include an cash flow statement due to Danish Financial Statements Act Â§ 86, 4.",+45 75 33 89 44,www.kirkbi.com,33963556.0,31159830.0,33963556.0,"Today, Management has considered and adopted the Annual Report of KIRKBI Invest A/S for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,Deloitte,KIRKBI Invest A/S,KIRKBI A/S,Billund,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Billund, 530",2016-12-31,2016-01-01,false,2017-04-28,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:23797165,indberetninger-20180424,2.5097342,31159830,,2018-03-27T19:00:59.315Z,2017-05-02T13:20:43.386Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-33-DS,2017-05-02T13:20:43.592Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2015-01-01,2015-12-31,ID_12,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2VkLzIxL2I5Lzk3NGUtNDZlZS05MGEzLWE0OTc2ZTgwMWE1MA.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2JiL2E1L2Q2L2ZhNmQtNDlmNy05YzNhLWUxODYyOGYzYWYxNw.xml,false,"Billund, 7190",Koldingvej 2,To the shareholder of  KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",2017-04-28,2017-04-28,2017-04-28,kirkbi@kirkbi.com,"The Company has also decided not to include an cash flow statement due to Danish Financial Statements Act Â§ 86, 4.",+45 75 33 89 44,www.kirkbi.com,33963556.0,31159830.0,33963556.0,"Today, Management has considered and adopted the Annual Report of KIRKBI Invest A/S for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,Deloitte,KIRKBI Invest A/S,KIRKBI A/S,Billund,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Billund, 530",2016-12-31,2016-01-01,false,2017-04-28,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:23797165,indberetninger-20180424,2.5097342,31159830,,2018-03-27T19:00:59.315Z,2017-05-02T13:20:43.386Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-33-DS,2017-05-02T13:20:43.592Z,34699000.0,13348000.0,-29374000.0,1812905000.0,855488000.0,193592000.0,1456580000.0,213391000.0,55838000.0,48199000.0,3978793000.0,4233505000.0,2590972000.0,1068879000.0,254712000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2015-12-31,2015-12-31,ID_8,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2VkLzIxL2I5Lzk3NGUtNDZlZS05MGEzLWE0OTc2ZTgwMWE1MA.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2JiL2E1L2Q2L2ZhNmQtNDlmNy05YzNhLWUxODYyOGYzYWYxNw.xml,false,"Billund, 7190",Koldingvej 2,To the shareholder of  KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",2017-04-28,2017-04-28,2017-04-28,kirkbi@kirkbi.com,"The Company has also decided not to include an cash flow statement due to Danish Financial Statements Act Â§ 86, 4.",+45 75 33 89 44,www.kirkbi.com,33963556.0,31159830.0,33963556.0,"Today, Management has considered and adopted the Annual Report of KIRKBI Invest A/S for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,Deloitte,KIRKBI Invest A/S,KIRKBI A/S,Billund,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Billund, 530",2016-12-31,2016-01-01,false,2017-04-28,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:23797165,indberetninger-20180424,2.5097342,31159830,,2018-03-27T19:00:59.315Z,2017-05-02T13:20:43.386Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-33-DS,2017-05-02T13:20:43.592Z,,,,,,,,,,,,,,,,48171464000.0,622816000.0,120000000.0,28547730000.0,22125040000.0,391868000.0,1221848000.0,58982000.0,48171464000.0,25887193000.0,17875315000.0,5495165000.0,8614748000.0,2150907000.0,401591000.0,78042000.0,3654720000.0,19623734000.0,32640000.0,1749316000.0,26428520000.0,456570000.0,930995000.0,1748419000.0,75721000.0,159231000.0,159231000.0,1271310000.0,20732112000.0,1618000.0,143456000.0,382000.0,26428520000.0,23736286000.0,605171000.0,2474000.0,22341394000.0,1496394000.0,672000.0,564727000.0,162076000.0,24763000.0,,,
31159830,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2VkLzIxL2I5Lzk3NGUtNDZlZS05MGEzLWE0OTc2ZTgwMWE1MA.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2JiL2E1L2Q2L2ZhNmQtNDlmNy05YzNhLWUxODYyOGYzYWYxNw.xml,false,"Billund, 7190",Koldingvej 2,To the shareholder of  KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",2017-04-28,2017-04-28,2017-04-28,kirkbi@kirkbi.com,"The Company has also decided not to include an cash flow statement due to Danish Financial Statements Act Â§ 86, 4.",+45 75 33 89 44,www.kirkbi.com,33963556.0,31159830.0,33963556.0,"Today, Management has considered and adopted the Annual Report of KIRKBI Invest A/S for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,Deloitte,KIRKBI Invest A/S,KIRKBI A/S,Billund,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Billund, 530",2016-12-31,2016-01-01,false,2017-04-28,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:23797165,indberetninger-20180424,2.5097342,31159830,,2018-03-27T19:00:59.315Z,2017-05-02T13:20:43.386Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-33-DS,2017-05-02T13:20:43.592Z,32979000.0,14928000.0,58905000.0,1371917000.0,814923000.0,265990000.0,1244390000.0,182522000.0,122382000.0,5355000.0,3273060000.0,3591191000.0,2197838000.0,997445000.0,318131000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2VkLzIxL2I5Lzk3NGUtNDZlZS05MGEzLWE0OTc2ZTgwMWE1MA.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2JiL2E1L2Q2L2ZhNmQtNDlmNy05YzNhLWUxODYyOGYzYWYxNw.xml,false,"Billund, 7190",Koldingvej 2,To the shareholder of  KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",2017-04-28,2017-04-28,2017-04-28,kirkbi@kirkbi.com,"The Company has also decided not to include an cash flow statement due to Danish Financial Statements Act Â§ 86, 4.",+45 75 33 89 44,www.kirkbi.com,33963556.0,31159830.0,33963556.0,"Today, Management has considered and adopted the Annual Report of KIRKBI Invest A/S for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,Deloitte,KIRKBI Invest A/S,KIRKBI A/S,Billund,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Billund, 530",2016-12-31,2016-01-01,false,2017-04-28,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:23797165,indberetninger-20180424,2.5097342,31159830,,2018-03-27T19:00:59.315Z,2017-05-02T13:20:43.386Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-33-DS,2017-05-02T13:20:43.592Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2VkLzIxL2I5Lzk3NGUtNDZlZS05MGEzLWE0OTc2ZTgwMWE1MA.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2JiL2E1L2Q2L2ZhNmQtNDlmNy05YzNhLWUxODYyOGYzYWYxNw.xml,false,"Billund, 7190",Koldingvej 2,To the shareholder of  KIRKBI Invest A/S,16.0,"Regnskabsklasse C, stor virksomhed",The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",2017-04-28,2017-04-28,2017-04-28,kirkbi@kirkbi.com,"The Company has also decided not to include an cash flow statement due to Danish Financial Statements Act Â§ 86, 4.",+45 75 33 89 44,www.kirkbi.com,33963556.0,31159830.0,33963556.0,"Today, Management has considered and adopted the Annual Report of KIRKBI Invest A/S for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,Deloitte,KIRKBI Invest A/S,KIRKBI A/S,Billund,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Billund, 530",2016-12-31,2016-01-01,false,2017-04-28,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:23797165,indberetninger-20180424,2.5097342,31159830,,2018-03-27T19:00:59.315Z,2017-05-02T13:20:43.386Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-33-DS,2017-05-02T13:20:43.592Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2016-01-01,2016-12-31,ID_2,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2VkLzIxL2I5Lzk3NGUtNDZlZS05MGEzLWE0OTc2ZTgwMWE1MA.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2JiL2E1L2Q2L2ZhNmQtNDlmNy05YzNhLWUxODYyOGYzYWYxNw.xml,false,"Billund, 7190",Koldingvej 2,To the shareholder of  KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",2017-04-28,2017-04-28,2017-04-28,kirkbi@kirkbi.com,"The Company has also decided not to include an cash flow statement due to Danish Financial Statements Act Â§ 86, 4.",+45 75 33 89 44,www.kirkbi.com,33963556.0,31159830.0,33963556.0,"Today, Management has considered and adopted the Annual Report of KIRKBI Invest A/S for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,Deloitte,KIRKBI Invest A/S,KIRKBI A/S,Billund,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Billund, 530",2016-12-31,2016-01-01,false,2017-04-28,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:23797165,indberetninger-20180424,2.5097342,31159830,,2018-03-27T19:00:59.315Z,2017-05-02T13:20:43.386Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-33-DS,2017-05-02T13:20:43.592Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SÃ¸ren Thorup SÃ¸rensen,,
31159830,2016-01-01,2016-12-31,ID_3,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2VkLzIxL2I5Lzk3NGUtNDZlZS05MGEzLWE0OTc2ZTgwMWE1MA.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2JiL2E1L2Q2L2ZhNmQtNDlmNy05YzNhLWUxODYyOGYzYWYxNw.xml,false,"Billund, 7190",Koldingvej 2,To the shareholder of  KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",2017-04-28,2017-04-28,2017-04-28,kirkbi@kirkbi.com,"The Company has also decided not to include an cash flow statement due to Danish Financial Statements Act Â§ 86, 4.",+45 75 33 89 44,www.kirkbi.com,33963556.0,31159830.0,33963556.0,"Today, Management has considered and adopted the Annual Report of KIRKBI Invest A/S for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,Deloitte,KIRKBI Invest A/S,KIRKBI A/S,Billund,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Billund, 530",2016-12-31,2016-01-01,false,2017-04-28,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:23797165,indberetninger-20180424,2.5097342,31159830,,2018-03-27T19:00:59.315Z,2017-05-02T13:20:43.386Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-33-DS,2017-05-02T13:20:43.592Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2016-01-01,2016-12-31,ID_4,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2VkLzIxL2I5Lzk3NGUtNDZlZS05MGEzLWE0OTc2ZTgwMWE1MA.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2JiL2E1L2Q2L2ZhNmQtNDlmNy05YzNhLWUxODYyOGYzYWYxNw.xml,false,"Billund, 7190",Koldingvej 2,To the shareholder of  KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",2017-04-28,2017-04-28,2017-04-28,kirkbi@kirkbi.com,"The Company has also decided not to include an cash flow statement due to Danish Financial Statements Act Â§ 86, 4.",+45 75 33 89 44,www.kirkbi.com,33963556.0,31159830.0,33963556.0,"Today, Management has considered and adopted the Annual Report of KIRKBI Invest A/S for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,Deloitte,KIRKBI Invest A/S,KIRKBI A/S,Billund,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Billund, 530",2016-12-31,2016-01-01,false,2017-04-28,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:23797165,indberetninger-20180424,2.5097342,31159830,,2018-03-27T19:00:59.315Z,2017-05-02T13:20:43.386Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-33-DS,2017-05-02T13:20:43.592Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2016-01-01,2016-12-31,ID_5,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2VkLzIxL2I5Lzk3NGUtNDZlZS05MGEzLWE0OTc2ZTgwMWE1MA.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2JiL2E1L2Q2L2ZhNmQtNDlmNy05YzNhLWUxODYyOGYzYWYxNw.xml,false,"Billund, 7190",Koldingvej 2,To the shareholder of  KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",2017-04-28,2017-04-28,2017-04-28,kirkbi@kirkbi.com,"The Company has also decided not to include an cash flow statement due to Danish Financial Statements Act Â§ 86, 4.",+45 75 33 89 44,www.kirkbi.com,33963556.0,31159830.0,33963556.0,"Today, Management has considered and adopted the Annual Report of KIRKBI Invest A/S for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,Deloitte,KIRKBI Invest A/S,KIRKBI A/S,Billund,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Billund, 530",2016-12-31,2016-01-01,false,2017-04-28,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:23797165,indberetninger-20180424,2.5097342,31159830,,2018-03-27T19:00:59.315Z,2017-05-02T13:20:43.386Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-33-DS,2017-05-02T13:20:43.592Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kjeld Kirk Kristiansen,Chairman
