entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,EmailOfReportingEntity,ExplanationOfNotDisclosingCashFlowsStatements,FaxNumberOfReportingEntity,HomepageOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GrossResult,IncomeFromInvestmentsInAssociates,IncomeFromInvestmentsInGroupEnterprises,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,InvestmentProperty,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermReceivablesFromAssociates,LongtermReceivablesFromGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,OtherLongtermPayables,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgressAndPrepaymentsForPropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,RevaluationReserve,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,IdentificationNumberCvrOfAuditFirm,NameAndSurnameOfAuditor,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,AdditionsToDisposalsOfEquityThroughMergersAndBusinessCombinations,AdjustmentsOfCollateralsBySaleOfInvestments,AdjustmentsOfHedgingInstruments,AdjustmentsOfHedgingInstrumentsAtFairValue,BonusShares,CashPaymentsConcerningFormationOfEntity,ChangesInEquityOfTax,ContributionFromGroup,CostRelatedToIncreaseOfCapital,DecreaseOfCapital,DissolutionOfPreviousYearsRevaluations,DistributedDividendsFromAssociates,DistributedDividendsFromGroupEnterprises,Dividend,DividendPaid,DividendsFromTreasuryShares,EquityTransfersToReserves,ExtraordinaryDividendPaid,IncreaseDecreaseOfEquityByDivisionAndSaleOfOtherCompany,IncreaseDecreaseOfEquityThroughChangesInAccountingPolicies,IncreaseDecreaseOfEquityThroughCorrectionsOfErrors,IncreaseDecreaseOfInvestmentsThroughNetExchangeDifferencesEquity,IncreaseDecreaseOfReservesThroughApplicationOfUnitingOfInterestsMethodEquity,IncreaseOfCapital,OtherAdjustmentsOfEquity,ProfitLlossFromGroupEnterprises,ProfitLossFromAssociates,PurchaseOfMinorityShares,PurchaseOfTreasuryShares,ReceivablesShareCapitalPaid,Revaluations,ReversedRevaluationsDuringReportingPeriod,SaleOfMinorityShares,SalesOfTreasuryShares,TransferToCoverageOfLosses,TransferredFromSharePremium,ValueAdjustmentsOfEquity,IdentificationNumberOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard
31159830,2016-01-01,2016-12-31,ID_17,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzYxL2Y0LzcyLzk1ZjctNDViMi1iNTUyLTRlNjc3ZTI4NjdmMw.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzExL2NiLzVkL2IyNjUtNGJjMy04MzFkLWI1MDZmZjg4M2ZhNg.xml,true,"Billund, 7190",Koldingvej 2,To the shareholder of KIRKBI Invest A/S,16.0,"Regnskabsklasse C, stor virksomhed",The annual report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the financial statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2017 and of the results of the Company's operations for the financial year 1 January 2017 - 31 December 2017.",2018-05-01,2018-05-01,2018-05-01,kirkbi@kirkbi.com,"The Company has also decided not to include a cash flow statement due to Danish Financial Statements Act Â§ 86,4.",+45 75 33 89 44,www.kirkbi.com,31159830.0,33963556.0,"Today, management has considered and adopted the annual report of KIRKBI Invest A/S for the financial year 1 January 2017 - 31 December 2017.",Ãrsrapport,"In our opinion, the management's review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,KIRKBI Invest A/S,KIRKBI A/S,Billund,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Billund, 530",2017-12-31,2017-01-01,false,2018-05-01,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:25400455,indberetninger-20180424,2.5124211,31159830.0,AWMlCwLDx8uVRSOdgNLc,2018-05-03T08:08:17.343Z,2018-05-03T08:07:46.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-WM,2018-05-03T08:07:46.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2016-01-01,2016-12-31,ID_19,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzYxL2Y0LzcyLzk1ZjctNDViMi1iNTUyLTRlNjc3ZTI4NjdmMw.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzExL2NiLzVkL2IyNjUtNGJjMy04MzFkLWI1MDZmZjg4M2ZhNg.xml,true,"Billund, 7190",Koldingvej 2,To the shareholder of KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The annual report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the financial statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2017 and of the results of the Company's operations for the financial year 1 January 2017 - 31 December 2017.",2018-05-01,2018-05-01,2018-05-01,kirkbi@kirkbi.com,"The Company has also decided not to include a cash flow statement due to Danish Financial Statements Act Â§ 86,4.",+45 75 33 89 44,www.kirkbi.com,31159830.0,33963556.0,"Today, management has considered and adopted the annual report of KIRKBI Invest A/S for the financial year 1 January 2017 - 31 December 2017.",Ãrsrapport,"In our opinion, the management's review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,KIRKBI Invest A/S,KIRKBI A/S,Billund,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Billund, 530",2017-12-31,2017-01-01,false,2018-05-01,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:25400455,indberetninger-20180424,2.5124211,31159830.0,AWMlCwLDx8uVRSOdgNLc,2018-05-03T08:08:17.343Z,2018-05-03T08:07:46.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-WM,2018-05-03T08:07:46.759Z,32979000.0,14928000.0,58905000.0,814923000.0,265990000.0,1244390000.0,182522000.0,122382000.0,1377272000.0,3273060000.0,3591191000.0,825921000.0,997445000.0,318131000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2016-12-31,2016-12-31,ID_16,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzYxL2Y0LzcyLzk1ZjctNDViMi1iNTUyLTRlNjc3ZTI4NjdmMw.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzExL2NiLzVkL2IyNjUtNGJjMy04MzFkLWI1MDZmZjg4M2ZhNg.xml,true,"Billund, 7190",Koldingvej 2,To the shareholder of KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The annual report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the financial statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2017 and of the results of the Company's operations for the financial year 1 January 2017 - 31 December 2017.",2018-05-01,2018-05-01,2018-05-01,kirkbi@kirkbi.com,"The Company has also decided not to include a cash flow statement due to Danish Financial Statements Act Â§ 86,4.",+45 75 33 89 44,www.kirkbi.com,31159830.0,33963556.0,"Today, management has considered and adopted the annual report of KIRKBI Invest A/S for the financial year 1 January 2017 - 31 December 2017.",Ãrsrapport,"In our opinion, the management's review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,KIRKBI Invest A/S,KIRKBI A/S,Billund,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Billund, 530",2017-12-31,2017-01-01,false,2018-05-01,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:25400455,indberetninger-20180424,2.5124211,31159830.0,AWMlCwLDx8uVRSOdgNLc,2018-05-03T08:08:17.343Z,2018-05-03T08:07:46.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-WM,2018-05-03T08:07:46.759Z,,,,,,,,,,,,,,,55887272000.0,215503000.0,120000000.0,31253548000.0,25447922000.0,361326000.0,1389701000.0,103258000.0,55887272000.0,30268327000.0,22543118000.0,5806805000.0,12260723000.0,1528641000.0,377909000.0,267592000.0,4107146000.0,24633724000.0,100852000.0,1150732000.0,29926450000.0,236399000.0,158545000.0,2090606000.0,236321000.0,171023000.0,171023000.0,1399595000.0,22943498000.0,984829000.0,500697000.0,177000.0,29926450000.0,28739686000.0,621551000.0,27145306000.0,1111595000.0,2304000.0,950746000.0,213918000.0,21638000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2017-01-01,2017-01-01,ID_20,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzYxL2Y0LzcyLzk1ZjctNDViMi1iNTUyLTRlNjc3ZTI4NjdmMw.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzExL2NiLzVkL2IyNjUtNGJjMy04MzFkLWI1MDZmZjg4M2ZhNg.xml,true,"Billund, 7190",Koldingvej 2,To the shareholder of KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The annual report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the financial statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2017 and of the results of the Company's operations for the financial year 1 January 2017 - 31 December 2017.",2018-05-01,2018-05-01,2018-05-01,kirkbi@kirkbi.com,"The Company has also decided not to include a cash flow statement due to Danish Financial Statements Act Â§ 86,4.",+45 75 33 89 44,www.kirkbi.com,31159830.0,33963556.0,"Today, management has considered and adopted the annual report of KIRKBI Invest A/S for the financial year 1 January 2017 - 31 December 2017.",Ãrsrapport,"In our opinion, the management's review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,KIRKBI Invest A/S,KIRKBI A/S,Billund,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Billund, 530",2017-12-31,2017-01-01,false,2018-05-01,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:25400455,indberetninger-20180424,2.5124211,31159830.0,AWMlCwLDx8uVRSOdgNLc,2018-05-03T08:08:17.343Z,2018-05-03T08:07:46.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-WM,2018-05-03T08:07:46.759Z,,,,,,,,,,,,,,,,,,,-120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2017-01-01,2017-01-01,ID_21,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzYxL2Y0LzcyLzk1ZjctNDViMi1iNTUyLTRlNjc3ZTI4NjdmMw.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzExL2NiLzVkL2IyNjUtNGJjMy04MzFkLWI1MDZmZjg4M2ZhNg.xml,true,"Billund, 7190",Koldingvej 2,To the shareholder of KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The annual report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the financial statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2017 and of the results of the Company's operations for the financial year 1 January 2017 - 31 December 2017.",2018-05-01,2018-05-01,2018-05-01,kirkbi@kirkbi.com,"The Company has also decided not to include a cash flow statement due to Danish Financial Statements Act Â§ 86,4.",+45 75 33 89 44,www.kirkbi.com,31159830.0,33963556.0,"Today, management has considered and adopted the annual report of KIRKBI Invest A/S for the financial year 1 January 2017 - 31 December 2017.",Ãrsrapport,"In our opinion, the management's review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,KIRKBI Invest A/S,KIRKBI A/S,Billund,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Billund, 530",2017-12-31,2017-01-01,false,2018-05-01,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:25400455,indberetninger-20180424,2.5124211,31159830.0,AWMlCwLDx8uVRSOdgNLc,2018-05-03T08:08:17.343Z,2018-05-03T08:07:46.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-WM,2018-05-03T08:07:46.759Z,,,,,,,,,,,,,,,,,,,-984829000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2017-01-01,2017-01-01,ID_22,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzYxL2Y0LzcyLzk1ZjctNDViMi1iNTUyLTRlNjc3ZTI4NjdmMw.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzExL2NiLzVkL2IyNjUtNGJjMy04MzFkLWI1MDZmZjg4M2ZhNg.xml,true,"Billund, 7190",Koldingvej 2,To the shareholder of KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The annual report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the financial statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2017 and of the results of the Company's operations for the financial year 1 January 2017 - 31 December 2017.",2018-05-01,2018-05-01,2018-05-01,kirkbi@kirkbi.com,"The Company has also decided not to include a cash flow statement due to Danish Financial Statements Act Â§ 86,4.",+45 75 33 89 44,www.kirkbi.com,31159830.0,33963556.0,"Today, management has considered and adopted the annual report of KIRKBI Invest A/S for the financial year 1 January 2017 - 31 December 2017.",Ãrsrapport,"In our opinion, the management's review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,KIRKBI Invest A/S,KIRKBI A/S,Billund,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Billund, 530",2017-12-31,2017-01-01,false,2018-05-01,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:25400455,indberetninger-20180424,2.5124211,31159830.0,AWMlCwLDx8uVRSOdgNLc,2018-05-03T08:08:17.343Z,2018-05-03T08:07:46.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-WM,2018-05-03T08:07:46.759Z,,,,,,,,,,,,,,,,,,,-1399595000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2017-01-01,2017-01-01,ID_23,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzYxL2Y0LzcyLzk1ZjctNDViMi1iNTUyLTRlNjc3ZTI4NjdmMw.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzExL2NiLzVkL2IyNjUtNGJjMy04MzFkLWI1MDZmZjg4M2ZhNg.xml,true,"Billund, 7190",Koldingvej 2,To the shareholder of KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The annual report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the financial statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2017 and of the results of the Company's operations for the financial year 1 January 2017 - 31 December 2017.",2018-05-01,2018-05-01,2018-05-01,kirkbi@kirkbi.com,"The Company has also decided not to include a cash flow statement due to Danish Financial Statements Act Â§ 86,4.",+45 75 33 89 44,www.kirkbi.com,31159830.0,33963556.0,"Today, management has considered and adopted the annual report of KIRKBI Invest A/S for the financial year 1 January 2017 - 31 December 2017.",Ãrsrapport,"In our opinion, the management's review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,KIRKBI Invest A/S,KIRKBI A/S,Billund,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Billund, 530",2017-12-31,2017-01-01,false,2018-05-01,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:25400455,indberetninger-20180424,2.5124211,31159830.0,AWMlCwLDx8uVRSOdgNLc,2018-05-03T08:08:17.343Z,2018-05-03T08:07:46.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-WM,2018-05-03T08:07:46.759Z,,,,,,,,,,,,,,,,,,,-22943498000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzYxL2Y0LzcyLzk1ZjctNDViMi1iNTUyLTRlNjc3ZTI4NjdmMw.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzExL2NiLzVkL2IyNjUtNGJjMy04MzFkLWI1MDZmZjg4M2ZhNg.xml,true,"Billund, 7190",Koldingvej 2,To the shareholder of KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The annual report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the financial statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2017 and of the results of the Company's operations for the financial year 1 January 2017 - 31 December 2017.",2018-05-01,2018-05-01,2018-05-01,kirkbi@kirkbi.com,"The Company has also decided not to include a cash flow statement due to Danish Financial Statements Act Â§ 86,4.",+45 75 33 89 44,www.kirkbi.com,31159830.0,33963556.0,"Today, management has considered and adopted the annual report of KIRKBI Invest A/S for the financial year 1 January 2017 - 31 December 2017.",Ãrsrapport,"In our opinion, the management's review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,KIRKBI Invest A/S,KIRKBI A/S,Billund,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Billund, 530",2017-12-31,2017-01-01,false,2018-05-01,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:25400455,indberetninger-20180424,2.5124211,31159830.0,AWMlCwLDx8uVRSOdgNLc,2018-05-03T08:08:17.343Z,2018-05-03T08:07:46.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-WM,2018-05-03T08:07:46.759Z,46460000.0,16409000.0,123764000.0,731410000.0,244550000.0,1604513000.0,158137000.0,144761000.0,2339736000.0,4209120000.0,4836343000.0,792305000.0,889547000.0,627223000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzYxL2Y0LzcyLzk1ZjctNDViMi1iNTUyLTRlNjc3ZTI4NjdmMw.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzExL2NiLzVkL2IyNjUtNGJjMy04MzFkLWI1MDZmZjg4M2ZhNg.xml,true,"Billund, 7190",Koldingvej 2,To the shareholder of KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The annual report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the financial statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2017 and of the results of the Company's operations for the financial year 1 January 2017 - 31 December 2017.",2018-05-01,2018-05-01,2018-05-01,kirkbi@kirkbi.com,"The Company has also decided not to include a cash flow statement due to Danish Financial Statements Act Â§ 86,4.",+45 75 33 89 44,www.kirkbi.com,31159830.0,33963556.0,"Today, management has considered and adopted the annual report of KIRKBI Invest A/S for the financial year 1 January 2017 - 31 December 2017.",Ãrsrapport,"In our opinion, the management's review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,KIRKBI Invest A/S,KIRKBI A/S,Billund,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Billund, 530",2017-12-31,2017-01-01,false,2018-05-01,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:25400455,indberetninger-20180424,2.5124211,31159830.0,AWMlCwLDx8uVRSOdgNLc,2018-05-03T08:08:17.343Z,2018-05-03T08:07:46.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-WM,2018-05-03T08:07:46.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33963556.0,Bill Haudal Pedersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31159830,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzYxL2Y0LzcyLzk1ZjctNDViMi1iNTUyLTRlNjc3ZTI4NjdmMw.pdf,http://regnskaber.virk.dk/03895113/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzExL2NiLzVkL2IyNjUtNGJjMy04MzFkLWI1MDZmZjg4M2ZhNg.xml,true,"Billund, 7190",Koldingvej 2,To the shareholder of KIRKBI Invest A/S,,"Regnskabsklasse C, stor virksomhed",The annual report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the financial statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2017 and of the results of the Company's operations for the financial year 1 January 2017 - 31 December 2017.",2018-05-01,2018-05-01,2018-05-01,kirkbi@kirkbi.com,"The Company has also decided not to include a cash flow statement due to Danish Financial Statements Act Â§ 86,4.",+45 75 33 89 44,www.kirkbi.com,31159830.0,33963556.0,"Today, management has considered and adopted the annual report of KIRKBI Invest A/S for the financial year 1 January 2017 - 31 December 2017.",Ãrsrapport,"In our opinion, the management's review includes a true and fair account of the matters addressed in the review.",Sidsel Marie Kristensen,KIRKBI Invest A/S,KIRKBI A/S,Billund,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Billund, 530",2017-12-31,2017-01-01,false,2018-05-01,Aarhus,+45 75 33 88 33,RevisionspÃ¥tegning,urn:ofk:oid:25400455,indberetninger-20180424,2.5124211,31159830.0,AWMlCwLDx8uVRSOdgNLc,2018-05-03T08:08:17.343Z,2018-05-03T08:07:46.407Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-WM,2018-05-03T08:07:46.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SÃ¸ren Thorup SÃ¸rensen,Board Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
